,辆格内靛,辆格疙,朝楼,矫啊,绊啊,历啊,辆啊,芭贰樊,刘鼻傈魂诀辆内靛,惯青林侥荐
0,A000060,皋府明拳犁,20210823,23700,24400,23650,24150,72773,025,120625000
1,A000060,皋府明拳犁,20210820,24300,24600,23600,23600,381311,025,120625000
2,A000060,皋府明拳犁,20210819,25250,25250,24050,24300,562874,025,120625000
3,A000060,皋府明拳犁,20210818,25400,25400,24850,25250,196308,025,120625000
4,A000060,皋府明拳犁,20210817,25000,25700,25000,25350,286249,025,120625000
5,A000060,皋府明拳犁,20210813,25650,25750,24900,25000,279130,025,120625000
6,A000060,皋府明拳犁,20210812,25500,25750,25400,25600,159417,025,120625000
7,A000060,皋府明拳犁,20210811,25400,25800,25400,25500,182875,025,120625000
8,A000060,皋府明拳犁,20210810,25200,25600,25100,25400,225606,025,120625000
9,A000060,皋府明拳犁,20210809,25850,26200,24950,25150,329571,025,120625000
10,A000060,皋府明拳犁,20210806,25900,25950,25650,25700,204011,025,120625000
11,A000060,皋府明拳犁,20210805,25600,26000,25350,25900,252047,025,120625000
12,A000060,皋府明拳犁,20210804,24250,25700,24250,25600,439512,025,120625000
13,A000060,皋府明拳犁,20210803,24400,24600,23500,24500,426075,025,120625000
14,A000060,皋府明拳犁,20210802,25500,25700,24400,24400,423180,025,120625000
15,A000060,皋府明拳犁,20210730,25100,25700,24700,25500,470175,025,120625000
16,A000060,皋府明拳犁,20210729,24000,25050,23850,24950,539972,025,120625000
17,A000060,皋府明拳犁,20210728,23400,24600,23200,23850,453441,025,120625000
18,A000060,皋府明拳犁,20210727,22950,23450,22900,23350,202481,025,120625000
19,A000060,皋府明拳犁,20210726,23000,23100,22800,22800,214903,025,120625000
20,A000060,皋府明拳犁,20210723,22550,23200,22400,22900,278073,025,120625000
21,A000060,皋府明拳犁,20210722,22600,23100,22450,22550,335737,025,120625000
22,A000060,皋府明拳犁,20210721,21950,22550,21950,22450,247715,025,120625000
23,A000060,皋府明拳犁,20210720,21600,22050,21500,21900,237342,025,120625000
24,A000060,皋府明拳犁,20210719,21900,22200,21850,21850,224867,025,120625000
25,A000060,皋府明拳犁,20210716,21300,22200,21150,22000,346544,025,120625000
26,A000060,皋府明拳犁,20210715,21000,21450,20850,21300,316234,025,120625000
27,A000060,皋府明拳犁,20210714,21000,21100,20700,20850,211706,025,120625000
28,A000060,皋府明拳犁,20210713,20900,21050,20800,20950,204706,025,120625000
29,A000060,皋府明拳犁,20210712,20750,21100,20650,20650,279114,025,120625000
30,A000060,皋府明拳犁,20210709,20900,21000,20250,20500,445485,025,120625000
31,A000060,皋府明拳犁,20210708,21000,21250,20750,21250,402204,025,120625000
32,A000060,皋府明拳犁,20210707,20850,21150,20750,20850,257652,025,120625000
33,A000060,皋府明拳犁,20210706,20650,21050,20500,20900,316749,025,120625000
34,A000060,皋府明拳犁,20210705,20900,20900,20500,20700,310151,025,120625000
35,A000060,皋府明拳犁,20210702,20400,20850,20250,20800,507415,025,120625000
36,A000060,皋府明拳犁,20210701,20700,20900,19800,20300,898921,025,120625000
37,A000060,皋府明拳犁,20210630,19900,20450,19900,20400,480515,025,120625000
38,A000060,皋府明拳犁,20210629,19600,20000,19400,20000,403457,025,120625000
39,A000060,皋府明拳犁,20210628,19400,19850,19000,19800,580095,025,120625000
40,A000060,皋府明拳犁,20210625,18550,19500,18550,19400,986490,025,120625000
41,A000060,皋府明拳犁,20210624,18450,18550,18150,18400,268039,025,120625000
42,A000060,皋府明拳犁,20210623,18200,18500,18150,18300,316563,025,120625000
43,A000060,皋府明拳犁,20210622,18500,18600,18150,18200,186829,025,120625000
44,A000060,皋府明拳犁,20210621,18050,18500,17900,18400,347222,025,120625000
45,A000060,皋府明拳犁,20210618,18000,18400,17850,18200,630533,025,120625000
46,A000060,皋府明拳犁,20210617,18050,18150,17800,17900,252389,025,120625000
47,A000060,皋府明拳犁,20210616,17700,18000,17650,18000,316193,025,120625000
48,A000060,皋府明拳犁,20210615,17400,17800,17350,17600,708915,025,120625000
49,A000060,皋府明拳犁,20210614,17550,17650,17350,17400,369190,025,120625000
50,A000060,皋府明拳犁,20210611,17700,17750,17550,17550,290548,025,120625000
51,A000060,皋府明拳犁,20210610,17500,17700,17350,17700,369567,025,120625000
52,A000060,皋府明拳犁,20210609,17650,17650,17500,17500,297606,025,120625000
53,A000060,皋府明拳犁,20210608,17650,17800,17500,17650,351660,025,120625000
54,A000060,皋府明拳犁,20210607,17800,17800,17500,17650,393838,025,120625000
55,A000060,皋府明拳犁,20210604,17950,18000,17750,17850,230046,025,120625000
56,A000060,皋府明拳犁,20210603,18150,18200,17850,17900,239677,025,120625000
57,A000060,皋府明拳犁,20210602,18250,18250,18000,18050,173461,025,120625000
58,A000060,皋府明拳犁,20210601,17850,18250,17850,18100,249765,025,120625000
59,A000060,皋府明拳犁,20210531,17850,17950,17750,17850,311462,025,120625000
60,A000060,皋府明拳犁,20210528,18150,18250,17800,17850,390705,025,120625000
61,A000060,皋府明拳犁,20210527,18450,18550,18100,18150,394477,025,120625000
62,A000060,皋府明拳犁,20210526,18250,18600,18200,18450,344315,025,120625000
63,A000060,皋府明拳犁,20210525,18000,18400,17900,18300,474939,025,120625000
64,A000060,皋府明拳犁,20210524,17400,18050,17400,18000,708415,025,120625000
65,A000060,皋府明拳犁,20210521,17600,17750,17200,17250,538031,025,120625000
66,A000060,皋府明拳犁,20210520,17500,17650,17150,17550,644854,025,120625000
67,A000060,皋府明拳犁,20210518,17300,18100,17300,17600,1481918,025,120625000
68,A000060,皋府明拳犁,20210517,19100,19400,17400,17600,3428940,025,120625000
69,A000060,皋府明拳犁,20210514,21350,21350,20850,21150,284189,025,120625000
70,A000060,皋府明拳犁,20210513,20200,21300,20050,21200,446987,025,120625000
71,A000060,皋府明拳犁,20210512,21150,21150,20400,20450,262145,025,120625000
72,A000060,皋府明拳犁,20210511,20600,21000,20500,21000,205332,025,120625000
73,A000060,皋府明拳犁,20210510,20800,21000,20750,20800,164482,025,120625000
74,A000060,皋府明拳犁,20210507,20500,21000,20350,20850,329187,025,120625000
75,A000060,皋府明拳犁,20210506,19800,20450,19750,20400,512610,025,120625000
76,A000060,皋府明拳犁,20210504,19750,19850,19150,19500,230103,025,120625000
77,A000060,皋府明拳犁,20210503,19950,20300,19650,19700,307378,025,120625000
78,A000060,皋府明拳犁,20210430,19550,19950,19450,19950,291149,025,120625000
79,A000060,皋府明拳犁,20210429,19700,19850,19350,19550,246894,025,120625000
80,A000060,皋府明拳犁,20210428,19500,19950,19350,19800,621850,025,120625000
81,A000060,皋府明拳犁,20210427,19250,19450,19100,19450,259611,025,120625000
82,A000060,皋府明拳犁,20210426,18850,19650,18850,19300,554175,025,120625000
83,A000060,皋府明拳犁,20210423,18500,18800,18450,18750,266825,025,120625000
84,A000060,皋府明拳犁,20210422,18600,18750,18400,18550,499978,025,120625000
85,A000060,皋府明拳犁,20210421,18900,18950,18450,18450,277541,025,120625000
86,A000060,皋府明拳犁,20210420,18450,19150,18400,18850,536499,025,120625000
87,A000060,皋府明拳犁,20210419,18600,18600,18250,18350,228808,025,120625000
88,A000060,皋府明拳犁,20210416,18700,18750,18400,18450,284738,025,120625000
89,A000060,皋府明拳犁,20210415,18750,18800,18600,18750,132109,025,120625000
90,A000060,皋府明拳犁,20210414,18650,18750,18550,18700,160970,025,120625000
91,A000060,皋府明拳犁,20210413,18600,18650,18400,18650,140786,025,120625000
92,A000060,皋府明拳犁,20210412,18550,18600,18350,18550,191080,025,120625000
93,A000060,皋府明拳犁,20210409,18600,18650,18450,18550,159447,025,120625000
94,A000060,皋府明拳犁,20210408,19300,19300,18500,18650,291004,025,120625000
95,A000060,皋府明拳犁,20210407,18800,19250,18700,19200,249662,025,120625000
96,A000060,皋府明拳犁,20210406,19000,19000,18800,18900,150746,025,120625000
97,A000060,皋府明拳犁,20210405,19000,19050,18750,19000,261258,025,120625000
98,A000060,皋府明拳犁,20210402,19250,19250,18800,19000,363416,025,120625000
99,A000060,皋府明拳犁,20210401,19350,19500,19150,19400,356106,025,120625000
100,A000060,皋府明拳犁,20210331,18450,19400,18400,19350,955676,025,120625000
101,A000060,皋府明拳犁,20210330,17950,18400,17900,18400,462000,025,120625000
102,A000060,皋府明拳犁,20210329,17800,17900,17700,17850,261478,025,120625000
103,A000060,皋府明拳犁,20210326,17800,18000,17700,17750,331764,025,120625000
104,A000060,皋府明拳犁,20210325,17850,18050,17650,17750,434003,025,120625000
105,A000060,皋府明拳犁,20210324,17950,18000,17650,17800,332627,025,120625000
106,A000060,皋府明拳犁,20210323,17950,18100,17850,18050,294720,025,120625000
107,A000060,皋府明拳犁,20210322,18050,18200,17800,18050,390921,025,120625000
108,A000060,皋府明拳犁,20210319,18200,18250,17900,18000,471742,025,120625000
109,A000060,皋府明拳犁,20210318,18400,18400,17950,18000,513183,025,120625000
110,A000060,皋府明拳犁,20210317,18550,18750,18100,18450,470374,025,120625000
111,A000060,皋府明拳犁,20210316,18000,18550,18000,18550,377241,025,120625000
112,A000060,皋府明拳犁,20210315,18050,18200,17900,18050,318435,025,120625000
113,A000060,皋府明拳犁,20210312,18100,18150,17750,17800,449834,025,120625000
114,A000060,皋府明拳犁,20210311,18100,18350,17950,18200,439687,025,120625000
115,A000060,皋府明拳犁,20210310,17700,18000,17350,17950,603186,025,120625000
116,A000060,皋府明拳犁,20210309,18200,18350,17700,18000,847979,025,120625000
117,A000060,皋府明拳犁,20210308,17200,18050,17050,17700,1619450,025,120625000
118,A000060,皋府明拳犁,20210305,16900,17600,16850,17050,1233139,025,120625000
119,A000060,皋府明拳犁,20210304,17000,17200,16550,16750,490720,025,120625000
120,A000060,皋府明拳犁,20210303,16450,17150,16400,17000,1048157,025,120625000
121,A000060,皋府明拳犁,20210302,16250,16650,16100,16600,807143,025,120625000
122,A000060,皋府明拳犁,20210226,15750,16250,15750,16100,679141,025,120625000
123,A000060,皋府明拳犁,20210225,15850,16000,15800,15950,315622,025,120625000
124,A000060,皋府明拳犁,20210224,16000,16300,15600,15600,760250,025,120625000
125,A000060,皋府明拳犁,20210223,15900,16150,15800,16000,769746,025,120625000
126,A000060,皋府明拳犁,20210222,15150,16000,15050,15700,1271128,025,120625000
127,A000060,皋府明拳犁,20210219,15000,15050,14750,15000,353566,025,120625000
128,A000060,皋府明拳犁,20210218,15200,15200,14950,14950,209089,025,120625000
129,A000060,皋府明拳犁,20210217,15000,15150,14750,15050,344140,025,120625000
130,A000060,皋府明拳犁,20210216,15050,15100,14850,14900,261654,025,120625000
131,A000060,皋府明拳犁,20210215,15150,15150,14900,15050,209204,025,120625000
132,A000060,皋府明拳犁,20210210,15000,15150,14900,15050,344599,025,120625000
133,A000060,皋府明拳犁,20210209,15000,15300,14750,14900,638588,025,120625000
134,A000060,皋府明拳犁,20210208,14850,15050,14600,14850,655208,025,120625000
135,A000060,皋府明拳犁,20210205,14650,14650,14350,14500,896322,025,120625000
136,A000060,皋府明拳犁,20210204,14800,14900,14450,14550,814072,025,120625000
137,A000060,皋府明拳犁,20210203,15250,15300,14850,14850,727831,025,120625000
138,A000060,皋府明拳犁,20210202,15050,15650,14950,15200,498196,025,120625000
139,A000060,皋府明拳犁,20210201,15650,15650,14900,14900,1152343,025,120625000
140,A000060,皋府明拳犁,20210129,16250,16400,15800,15850,769460,025,120625000
141,A000060,皋府明拳犁,20210128,15750,16250,15250,16200,469344,025,120625000
142,A000060,皋府明拳犁,20210127,15900,16200,15750,16000,447317,025,120625000
143,A000060,皋府明拳犁,20210126,15800,16000,15650,15950,488952,025,120625000
144,A000060,皋府明拳犁,20210125,15350,16000,15350,15850,978548,025,120625000
145,A000060,皋府明拳犁,20210122,15350,15350,15000,15200,318540,025,120625000
146,A000060,皋府明拳犁,20210121,14900,15300,14850,15300,602210,025,120625000
147,A000060,皋府明拳犁,20210120,14700,14900,14700,14800,292242,025,120625000
148,A000060,皋府明拳犁,20210119,14700,14900,14400,14700,340999,025,120625000
149,A000060,皋府明拳犁,20210118,14900,14900,14450,14450,313963,025,120625000
150,A000060,皋府明拳犁,20210115,15150,15200,14700,14900,464413,025,120625000
151,A000060,皋府明拳犁,20210114,14550,15200,14450,15050,743867,025,120625000
152,A000060,皋府明拳犁,20210113,14150,14600,14050,14450,578264,025,120625000
153,A000060,皋府明拳犁,20210112,14200,14400,13950,14100,383200,025,120625000
154,A000060,皋府明拳犁,20210111,14750,14750,14200,14200,619909,025,120625000
155,A000060,皋府明拳犁,20210108,14900,15100,14550,14750,636942,025,120625000
156,A000060,皋府明拳犁,20210107,14350,14750,14250,14700,588139,025,120625000
157,A000060,皋府明拳犁,20210106,14150,14350,14050,14250,488126,025,120625000
158,A000060,皋府明拳犁,20210105,14100,14200,13800,14050,753918,025,120625000
159,A000060,皋府明拳犁,20210104,14650,14650,14000,14250,876899,025,120625000
160,A000060,皋府明拳犁,20201230,15100,15100,14500,14600,763534,025,120625000
