,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A257370,명성티엔에스,20210823,9210,9210,9210,9210,0,360,6440000
1,A257370,명성티엔에스,20210820,9210,9210,9210,9210,0,360,6440000
2,A257370,명성티엔에스,20210819,9210,9210,9210,9210,0,360,6440000
3,A257370,명성티엔에스,20210818,9210,9210,9210,9210,0,360,6440000
4,A257370,명성티엔에스,20210817,9210,9210,9210,9210,0,360,6440000
5,A257370,명성티엔에스,20210813,9210,9210,9210,9210,0,360,6440000
6,A257370,명성티엔에스,20210812,9210,9210,9210,9210,0,360,6440000
7,A257370,명성티엔에스,20210811,9210,9210,9210,9210,0,360,6440000
8,A257370,명성티엔에스,20210810,9210,9210,9210,9210,0,360,6440000
9,A257370,명성티엔에스,20210809,9210,9210,9210,9210,0,360,6440000
10,A257370,명성티엔에스,20210806,9210,9210,9210,9210,0,360,6440000
11,A257370,명성티엔에스,20210805,9210,9210,9210,9210,0,360,6440000
12,A257370,명성티엔에스,20210804,9210,9210,9210,9210,0,360,6440000
13,A257370,명성티엔에스,20210803,9210,9210,9210,9210,0,360,6440000
14,A257370,명성티엔에스,20210802,9210,9210,9210,9210,0,360,6440000
15,A257370,명성티엔에스,20210730,9210,9210,9210,9210,0,360,6440000
16,A257370,명성티엔에스,20210729,9210,9210,9210,9210,0,360,6440000
17,A257370,명성티엔에스,20210728,9210,9210,9210,9210,0,360,6440000
18,A257370,명성티엔에스,20210727,9210,9210,9210,9210,0,360,6440000
19,A257370,명성티엔에스,20210726,9210,9210,9210,9210,0,360,6440000
20,A257370,명성티엔에스,20210723,9210,9210,9210,9210,0,360,6440000
21,A257370,명성티엔에스,20210722,9210,9210,9210,9210,0,360,6440000
22,A257370,명성티엔에스,20210721,9210,9210,9210,9210,0,360,6440000
23,A257370,명성티엔에스,20210720,9210,9210,9210,9210,0,360,6440000
24,A257370,명성티엔에스,20210719,9210,9210,9210,9210,0,360,6440000
25,A257370,명성티엔에스,20210716,9210,9210,9210,9210,0,360,6440000
26,A257370,명성티엔에스,20210715,9210,9210,9210,9210,0,360,6440000
27,A257370,명성티엔에스,20210714,9210,9210,9210,9210,0,360,6440000
28,A257370,명성티엔에스,20210713,9210,9210,9210,9210,0,360,6440000
29,A257370,명성티엔에스,20210712,9210,9210,9210,9210,0,360,6440000
30,A257370,명성티엔에스,20210709,9210,9210,9210,9210,0,360,6440000
31,A257370,명성티엔에스,20210708,9210,9210,9210,9210,0,360,6440000
32,A257370,명성티엔에스,20210707,9210,9210,9210,9210,0,360,6440000
33,A257370,명성티엔에스,20210706,9210,9210,9210,9210,0,360,6440000
34,A257370,명성티엔에스,20210705,9210,9210,9210,9210,0,360,6440000
35,A257370,명성티엔에스,20210702,9210,9210,9210,9210,0,360,6440000
36,A257370,명성티엔에스,20210701,9210,9210,9210,9210,0,360,6440000
37,A257370,명성티엔에스,20210630,9210,9210,9210,9210,0,360,6440000
38,A257370,명성티엔에스,20210629,9210,9210,9210,9210,0,360,6440000
39,A257370,명성티엔에스,20210628,9210,9210,9210,9210,0,360,6440000
40,A257370,명성티엔에스,20210625,9210,9210,9210,9210,0,360,6440000
41,A257370,명성티엔에스,20210624,9210,9210,9210,9210,0,360,6440000
42,A257370,명성티엔에스,20210623,9210,9210,9210,9210,0,360,6440000
43,A257370,명성티엔에스,20210622,9210,9210,9210,9210,0,360,6440000
44,A257370,명성티엔에스,20210621,9210,9210,9210,9210,0,360,6440000
45,A257370,명성티엔에스,20210618,9210,9210,9210,9210,0,360,6440000
46,A257370,명성티엔에스,20210617,9210,9210,9210,9210,0,360,6440000
47,A257370,명성티엔에스,20210616,9210,9210,9210,9210,0,360,6440000
48,A257370,명성티엔에스,20210615,9210,9210,9210,9210,0,360,6440000
49,A257370,명성티엔에스,20210614,9210,9210,9210,9210,0,360,6440000
50,A257370,명성티엔에스,20210611,9210,9210,9210,9210,0,360,6440000
51,A257370,명성티엔에스,20210610,9210,9210,9210,9210,0,360,6440000
52,A257370,명성티엔에스,20210609,9210,9210,9210,9210,0,360,6440000
53,A257370,명성티엔에스,20210608,9210,9210,9210,9210,0,360,6440000
54,A257370,명성티엔에스,20210607,9210,9210,9210,9210,0,360,6440000
55,A257370,명성티엔에스,20210604,9210,9210,9210,9210,0,360,6440000
