,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A009900,명신산업,20210823,29100,29800,27900,28600,513861,015,52470000
1,A009900,명신산업,20210820,30500,30800,27800,29100,2673335,015,52470000
2,A009900,명신산업,20210819,30300,31950,29800,29900,10981425,015,52470000
3,A009900,명신산업,20210818,32900,34600,32400,34550,1093678,015,52470000
4,A009900,명신산업,20210817,36400,36550,33800,34000,1493764,015,52470000
5,A009900,명신산업,20210813,37200,38000,36000,37400,1834020,015,52470000
6,A009900,명신산업,20210812,35400,37450,34850,36300,1320175,015,52470000
7,A009900,명신산업,20210811,37150,39250,35350,35550,4391127,015,52470000
8,A009900,명신산업,20210810,35300,36750,34400,36500,2057493,015,52470000
9,A009900,명신산업,20210809,34750,35900,34300,35000,1886656,015,52470000
10,A009900,명신산업,20210806,33050,34950,32600,34300,2008901,015,52470000
11,A009900,명신산업,20210805,33100,33250,32500,32950,446754,015,52470000
12,A009900,명신산업,20210804,33250,33500,32050,33350,609785,015,52470000
13,A009900,명신산업,20210803,34150,34700,33000,33150,1328694,015,52470000
14,A009900,명신산업,20210802,33150,33800,32150,33400,954506,015,52470000
15,A009900,명신산업,20210730,33500,34150,32100,33300,1567035,015,52470000
16,A009900,명신산업,20210729,31350,34700,31050,33200,6357997,015,52470000
17,A009900,명신산업,20210728,30250,31150,29850,30700,491977,015,52470000
18,A009900,명신산업,20210727,30200,30900,30050,30250,494874,015,52470000
19,A009900,명신산업,20210726,30450,30450,29200,29250,390490,015,52470000
20,A009900,명신산업,20210723,30800,30800,30150,30200,299866,015,52470000
21,A009900,명신산업,20210722,30950,31050,30550,30700,260452,015,52470000
22,A009900,명신산업,20210721,30700,31100,30100,30700,372974,015,52470000
23,A009900,명신산업,20210720,30450,30950,29950,30250,549691,015,52470000
24,A009900,명신산업,20210719,31850,32250,30900,31300,586300,015,52470000
25,A009900,명신산업,20210716,31800,32700,31500,32100,935841,015,52470000
26,A009900,명신산업,20210715,31500,31700,30800,31400,451100,015,52470000
27,A009900,명신산업,20210714,31150,31800,31050,31450,851225,015,52470000
28,A009900,명신산업,20210713,30600,31200,30450,31000,790034,015,52470000
29,A009900,명신산업,20210712,30400,30700,29800,30050,345067,015,52470000
30,A009900,명신산업,20210709,29550,30450,29000,30300,567950,015,52470000
31,A009900,명신산업,20210708,31100,31650,29500,30050,1274649,015,52470000
32,A009900,명신산업,20210707,30150,30950,29550,30700,960170,015,52470000
33,A009900,명신산업,20210706,29900,30250,29050,30000,1032721,015,52470000
34,A009900,명신산업,20210705,28300,29450,28250,29450,754167,015,52470000
35,A009900,명신산업,20210702,28650,28650,28150,28200,203628,015,52470000
36,A009900,명신산업,20210701,28400,28500,28050,28350,185318,015,52470000
37,A009900,명신산업,20210630,28600,28650,28050,28400,230499,015,52470000
38,A009900,명신산업,20210629,28100,28750,27800,28500,384144,015,52470000
39,A009900,명신산업,20210628,28300,28450,27750,28000,264657,015,52470000
40,A009900,명신산업,20210625,28800,28800,28100,28200,283415,015,52470000
41,A009900,명신산업,20210624,28850,29100,28100,28150,453708,015,52470000
