,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A267060,명진홀딩스,20210823,445,445,445,445,1,000,8812000
1,A267060,명진홀딩스,20210820,336,451,336,390,117851,000,8812000
2,A267060,명진홀딩스,20210819,400,400,395,395,52225,000,8812000
3,A267060,명진홀딩스,20210818,464,626,464,464,34929,000,8812000
4,A267060,명진홀딩스,20210817,434,545,434,545,22481,000,8812000
5,A267060,명진홀딩스,20210813,550,587,510,510,16917,000,8812000
6,A267060,명진홀딩스,20210812,669,669,526,600,48415,000,8812000
7,A267060,명진홀딩스,20210811,578,764,578,618,77605,000,8812000
8,A267060,명진홀딩스,20210810,797,797,680,680,28261,000,8812000
9,A267060,명진홀딩스,20210809,1025,1025,785,800,27360,000,8812000
10,A267060,명진홀딩스,20210806,1030,1030,805,923,13713,000,8812000
11,A267060,명진홀딩스,20210805,1155,1155,935,935,51841,000,8812000
12,A267060,명진홀딩스,20210804,1235,1235,1000,1100,2081,000,8812000
13,A267060,명진홀딩스,20210803,1280,1280,995,1150,2969,000,8812000
14,A267060,명진홀딩스,20210802,1325,1325,995,1170,7477,000,8812000
15,A267060,명진홀딩스,20210730,1190,1190,953,1170,10,000,8812000
16,A267060,명진홀딩스,20210729,1230,1230,965,1080,15318,000,8812000
17,A267060,명진홀딩스,20210728,1245,1245,950,1120,7117,000,8812000
18,A267060,명진홀딩스,20210727,1350,1350,1080,1100,7319,000,8812000
19,A267060,명진홀딩스,20210726,1260,1260,1075,1195,2635,000,8812000
20,A267060,명진홀딩스,20210723,1280,1280,1050,1140,26658,000,8812000
21,A267060,명진홀딩스,20210722,1290,1290,1170,1195,150,000,8812000
22,A267060,명진홀딩스,20210721,1325,1325,1100,1175,11407,000,8812000
23,A267060,명진홀딩스,20210720,1285,1285,1160,1220,13810,000,8812000
24,A267060,명진홀딩스,20210719,1465,1465,1255,1295,6337,000,8812000
25,A267060,명진홀딩스,20210716,1470,1470,1470,1470,1,000,8812000
26,A267060,명진홀딩스,20210715,1470,1470,1285,1470,255,000,8812000
27,A267060,명진홀딩스,20210714,1475,1475,1475,1475,1,000,8812000
28,A267060,명진홀딩스,20210713,1475,1475,1290,1440,94,000,8812000
29,A267060,명진홀딩스,20210712,1470,1470,1260,1415,209,000,8812000
30,A267060,명진홀딩스,20210709,1480,1480,1285,1415,1150,000,8812000
31,A267060,명진홀딩스,20210708,1350,1485,1345,1455,379,000,8812000
32,A267060,명진홀딩스,20210707,1450,1450,1380,1395,270,000,8812000
33,A267060,명진홀딩스,20210706,1265,1290,1150,1290,24679,000,8812000
34,A267060,명진홀딩스,20210705,1290,1290,1110,1125,4624,000,8812000
35,A267060,명진홀딩스,20210702,1290,1290,1125,1260,896,000,8812000
36,A267060,명진홀딩스,20210701,1295,1295,1160,1235,2986,000,8812000
37,A267060,명진홀딩스,20210630,1320,1320,1140,1220,2179,000,8812000
38,A267060,명진홀딩스,20210629,1430,1430,1250,1320,1041,000,8812000
39,A267060,명진홀딩스,20210628,1405,1405,1155,1295,3247,000,8812000
40,A267060,명진홀딩스,20210625,1305,1305,1160,1270,5494,000,8812000
41,A267060,명진홀딩스,20210624,1340,1340,1330,1330,501,000,8812000
42,A267060,명진홀딩스,20210623,1420,1420,1225,1360,3219,000,8812000
43,A267060,명진홀딩스,20210622,1295,1295,1200,1265,5486,000,8812000
44,A267060,명진홀딩스,20210621,1490,1490,1225,1295,1893,000,8812000
45,A267060,명진홀딩스,20210618,1380,1380,1165,1380,2210,000,8812000
46,A267060,명진홀딩스,20210617,1430,1435,1220,1290,5106,000,8812000
47,A267060,명진홀딩스,20210616,1685,1685,1435,1435,11767,000,8812000
48,A267060,명진홀딩스,20210615,1685,1685,1685,1685,1,000,8812000
49,A267060,명진홀딩스,20210614,1690,1690,1590,1590,180,000,8812000
50,A267060,명진홀딩스,20210611,1645,1645,1535,1535,8,000,8812000
51,A267060,명진홀딩스,20210610,1570,1570,1490,1495,1745,000,8812000
52,A267060,명진홀딩스,20210609,1490,1490,1425,1430,203,000,8812000
53,A267060,명진홀딩스,20210608,1480,1480,1310,1360,222,000,8812000
54,A267060,명진홀딩스,20210607,1470,1470,1310,1375,2661,000,8812000
55,A267060,명진홀딩스,20210604,1540,1540,1260,1485,21269,000,8812000
56,A267060,명진홀딩스,20210603,1535,1535,1300,1440,453,000,8812000
57,A267060,명진홀딩스,20210602,1595,1595,1400,1440,3601,000,8812000
58,A267060,명진홀딩스,20210601,1700,1700,1440,1455,843,000,8812000
59,A267060,명진홀딩스,20210531,1800,1800,1505,1650,514,000,8812000
60,A267060,명진홀딩스,20210528,1740,1740,1650,1685,874,000,8812000
61,A267060,명진홀딩스,20210527,1955,1955,1535,1795,1372,000,8812000
62,A267060,명진홀딩스,20210526,1885,1885,1805,1805,10,000,8812000
63,A267060,명진홀딩스,20210525,1715,1715,1715,1715,200,000,8812000
64,A267060,명진홀딩스,20210524,1765,1765,1720,1720,5,000,8812000
65,A267060,명진홀딩스,20210521,1670,1780,1670,1780,581,000,8812000
66,A267060,명진홀딩스,20210520,1700,1700,1670,1670,3,000,8812000
67,A267060,명진홀딩스,20210518,1715,1715,1480,1600,2058,000,8812000
68,A267060,명진홀딩스,20210517,1745,1745,1715,1715,13,000,8812000
69,A267060,명진홀딩스,20210514,1740,1900,1535,1535,1968,000,8812000
70,A267060,명진홀딩스,20210513,1750,1750,1745,1745,528,000,8812000
71,A267060,명진홀딩스,20210512,1900,1900,1680,1760,5008,000,8812000
72,A267060,명진홀딩스,20210511,1800,1950,1625,1940,7369,000,8812000
73,A267060,명진홀딩스,20210510,1990,1990,1680,1845,4813,000,8812000
74,A267060,명진홀딩스,20210507,1700,2000,1690,1930,6284,000,8812000
75,A267060,명진홀딩스,20210506,1750,2005,1745,1985,4699,000,8812000
76,A267060,명진홀딩스,20210504,1745,1755,1375,1750,4307,000,8812000
77,A267060,명진홀딩스,20210503,1900,1900,1530,1530,3689,000,8812000
78,A267060,명진홀딩스,20210430,1800,1800,1800,1800,1,000,8812000
79,A267060,명진홀딩스,20210429,2040,2040,1710,1800,654,000,8812000
80,A267060,명진홀딩스,20210428,1995,2040,1690,1985,919,000,8812000
