,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A033200,모아텍,20210823,7930,8000,7790,8000,9322,360,14331000
1,A033200,모아텍,20210820,8050,8310,7720,7920,53538,360,14331000
2,A033200,모아텍,20210819,8740,8800,8070,8140,55894,360,14331000
3,A033200,모아텍,20210818,8700,8840,8340,8750,40266,360,14331000
4,A033200,모아텍,20210817,9470,9530,8610,8860,62490,360,14331000
5,A033200,모아텍,20210813,9660,9780,9050,9510,60939,360,14331000
6,A033200,모아텍,20210812,9990,9990,9680,9680,30284,360,14331000
7,A033200,모아텍,20210811,10150,10150,9860,9870,25906,360,14331000
8,A033200,모아텍,20210810,9840,10200,9600,10150,56533,360,14331000
9,A033200,모아텍,20210809,9960,9960,9650,9840,53293,360,14331000
10,A033200,모아텍,20210806,10250,10250,9870,9960,58800,360,14331000
11,A033200,모아텍,20210805,10050,10300,9970,10200,54101,360,14331000
12,A033200,모아텍,20210804,10050,10300,10000,10150,61687,360,14331000
13,A033200,모아텍,20210803,10550,10650,9900,10000,170293,360,14331000
14,A033200,모아텍,20210802,10500,10900,10400,10650,102750,360,14331000
15,A033200,모아텍,20210730,10950,10950,10500,10500,122745,360,14331000
16,A033200,모아텍,20210729,10350,11500,10350,11050,725701,360,14331000
17,A033200,모아텍,20210728,10200,10450,10050,10250,84311,360,14331000
18,A033200,모아텍,20210727,9790,10950,9630,10450,402942,360,14331000
19,A033200,모아텍,20210726,9940,9940,9500,9500,31727,360,14331000
20,A033200,모아텍,20210723,9950,10050,9800,9880,29416,360,14331000
21,A033200,모아텍,20210722,9510,10200,9440,9950,104316,360,14331000
22,A033200,모아텍,20210721,9650,9840,9450,9590,48184,360,14331000
23,A033200,모아텍,20210720,10300,10300,9590,9700,123737,360,14331000
24,A033200,모아텍,20210719,10350,10700,10150,10350,79927,360,14331000
25,A033200,모아텍,20210716,10200,10400,10100,10350,56339,360,14331000
26,A033200,모아텍,20210715,10250,10700,10000,10200,103418,360,14331000
27,A033200,모아텍,20210714,10600,10650,10200,10350,108823,360,14331000
28,A033200,모아텍,20210713,10450,11300,10400,10650,432785,360,14331000
29,A033200,모아텍,20210712,9970,10600,9950,10250,225714,360,14331000
30,A033200,모아텍,20210709,9420,11550,9370,10100,1082094,360,14331000
31,A033200,모아텍,20210708,9690,9940,9170,9420,119086,360,14331000
32,A033200,모아텍,20210707,9400,9860,9260,9680,178767,360,14331000
33,A033200,모아텍,20210706,8560,10500,8560,9400,614598,360,14331000
34,A033200,모아텍,20210705,8390,8620,8390,8560,21506,360,14331000
35,A033200,모아텍,20210702,8510,8530,8320,8380,17128,360,14331000
36,A033200,모아텍,20210701,8300,8700,8300,8510,34819,360,14331000
37,A033200,모아텍,20210630,8290,8330,8250,8310,7979,360,14331000
38,A033200,모아텍,20210629,8320,8400,8280,8280,16139,360,14331000
39,A033200,모아텍,20210628,8450,8470,8300,8320,21476,360,14331000
40,A033200,모아텍,20210625,8380,8490,8360,8430,12791,360,14331000
41,A033200,모아텍,20210624,8530,8550,8340,8420,16431,360,14331000
42,A033200,모아텍,20210623,8720,8770,8510,8530,20187,360,14331000
43,A033200,모아텍,20210622,8560,8710,8560,8710,13970,360,14331000
44,A033200,모아텍,20210621,8690,8690,8540,8560,11693,360,14331000
45,A033200,모아텍,20210618,8710,8820,8700,8730,8511,360,14331000
46,A033200,모아텍,20210617,8650,8890,8630,8720,35127,360,14331000
47,A033200,모아텍,20210616,8490,8610,8370,8610,25474,360,14331000
48,A033200,모아텍,20210615,8580,8580,8480,8490,7682,360,14331000
49,A033200,모아텍,20210614,8720,8720,8560,8590,11901,360,14331000
50,A033200,모아텍,20210611,8300,8610,8300,8570,14947,360,14331000
51,A033200,모아텍,20210610,8250,8380,8250,8350,14906,360,14331000
52,A033200,모아텍,20210609,8400,8470,8280,8340,18406,360,14331000
53,A033200,모아텍,20210608,8460,8600,8400,8400,13183,360,14331000
54,A033200,모아텍,20210607,8640,8640,8480,8490,10947,360,14331000
55,A033200,모아텍,20210604,8660,8710,8550,8630,16050,360,14331000
56,A033200,모아텍,20210603,8610,8700,8580,8660,14203,360,14331000
57,A033200,모아텍,20210602,8830,8910,8600,8600,17769,360,14331000
58,A033200,모아텍,20210601,8610,8990,8560,8830,38642,360,14331000
59,A033200,모아텍,20210531,8260,8730,8210,8610,34366,360,14331000
60,A033200,모아텍,20210528,8050,8290,8050,8260,28859,360,14331000
61,A033200,모아텍,20210527,8150,8200,8000,8050,22499,360,14331000
62,A033200,모아텍,20210526,8150,8270,8070,8150,22304,360,14331000
63,A033200,모아텍,20210525,8210,8250,8070,8240,28767,360,14331000
64,A033200,모아텍,20210524,8500,8500,8070,8070,30325,360,14331000
65,A033200,모아텍,20210521,8480,8570,8450,8460,15158,360,14331000
66,A033200,모아텍,20210520,8570,8580,8390,8520,10293,360,14331000
67,A033200,모아텍,20210518,8420,8590,8320,8570,16626,360,14331000
68,A033200,모아텍,20210517,8550,8590,8400,8460,12887,360,14331000
69,A033200,모아텍,20210514,8450,8580,8390,8540,15941,360,14331000
70,A033200,모아텍,20210513,8700,8730,8120,8400,32979,360,14331000
71,A033200,모아텍,20210512,9140,9150,8750,8770,37453,360,14331000
72,A033200,모아텍,20210511,9280,9280,9080,9140,21434,360,14331000
73,A033200,모아텍,20210510,9240,9330,9210,9290,24875,360,14331000
74,A033200,모아텍,20210507,9310,9330,9190,9240,22025,360,14331000
75,A033200,모아텍,20210506,9190,9310,9100,9310,18694,360,14331000
76,A033200,모아텍,20210504,9750,9790,8800,9200,51057,360,14331000
77,A033200,모아텍,20210503,10150,10150,9710,9750,16569,360,14331000
78,A033200,모아텍,20210430,10150,10200,9920,10050,33328,360,14331000
79,A033200,모아텍,20210429,10000,10200,9910,10000,22673,360,14331000
80,A033200,모아텍,20210428,10300,10600,9930,9950,53814,360,14331000
81,A033200,모아텍,20210427,10550,10700,10200,10300,38751,360,14331000
82,A033200,모아텍,20210426,10450,10750,10350,10500,73056,360,14331000
83,A033200,모아텍,20210423,10000,10700,9980,10350,104413,360,14331000
84,A033200,모아텍,20210422,10150,10250,9970,10000,34505,360,14331000
85,A033200,모아텍,20210421,9870,10150,9760,10150,49026,360,14331000
86,A033200,모아텍,20210420,9710,9900,9660,9860,29250,360,14331000
87,A033200,모아텍,20210419,9710,9770,9600,9710,27693,360,14331000
88,A033200,모아텍,20210416,9870,9950,9700,9710,34394,360,14331000
89,A033200,모아텍,20210415,10150,10150,9840,9860,35102,360,14331000
90,A033200,모아텍,20210414,10000,10300,9970,10050,57730,360,14331000
91,A033200,모아텍,20210413,9540,10100,9480,10000,110423,360,14331000
92,A033200,모아텍,20210412,9610,9610,9430,9500,33907,360,14331000
93,A033200,모아텍,20210409,9530,9700,9450,9600,47167,360,14331000
94,A033200,모아텍,20210408,9610,9680,9520,9530,48287,360,14331000
95,A033200,모아텍,20210407,9800,9800,9600,9650,32500,360,14331000
96,A033200,모아텍,20210406,9770,9770,9530,9730,67967,360,14331000
97,A033200,모아텍,20210405,9790,9850,9640,9710,40159,360,14331000
98,A033200,모아텍,20210402,9760,9970,9670,9750,43599,360,14331000
99,A033200,모아텍,20210401,9980,9980,9720,9740,29902,360,14331000
100,A033200,모아텍,20210331,9680,10100,9610,9800,48752,360,14331000
101,A033200,모아텍,20210330,9570,9780,9570,9680,26604,360,14331000
102,A033200,모아텍,20210329,10100,10100,9600,9650,52749,360,14331000
103,A033200,모아텍,20210326,9860,9970,9600,9950,60052,360,14331000
104,A033200,모아텍,20210325,10000,10150,9850,9860,51134,360,14331000
105,A033200,모아텍,20210324,10050,10300,9940,10050,116349,360,14331000
106,A033200,모아텍,20210323,10600,10700,10100,10100,72399,360,14331000
107,A033200,모아텍,20210322,10800,10950,10450,10550,30191,360,14331000
108,A033200,모아텍,20210319,10850,10850,10600,10700,30825,360,14331000
109,A033200,모아텍,20210318,10900,11200,10850,11000,28150,360,14331000
110,A033200,모아텍,20210317,11050,11200,10650,10800,30464,360,14331000
111,A033200,모아텍,20210316,10600,11200,10450,11050,88140,360,14331000
112,A033200,모아텍,20210315,11000,11000,10500,10550,61784,360,14331000
113,A033200,모아텍,20210312,10300,11450,10300,10850,132223,360,14331000
114,A033200,모아텍,20210311,9990,10300,9960,10200,28413,360,14331000
115,A033200,모아텍,20210310,10350,10700,9880,9960,67553,360,14331000
116,A033200,모아텍,20210309,10200,10500,9850,10450,82465,360,14331000
117,A033200,모아텍,20210308,11300,11350,10250,10300,76450,360,14331000
118,A033200,모아텍,20210305,10950,11200,10700,11200,43218,360,14331000
119,A033200,모아텍,20210304,11150,11250,10950,11150,39662,360,14331000
120,A033200,모아텍,20210303,11200,11400,10850,11400,40428,360,14331000
121,A033200,모아텍,20210302,11450,11550,10850,11200,87427,360,14331000
122,A033200,모아텍,20210226,11950,12000,10900,11200,177425,360,14331000
123,A033200,모아텍,20210225,12450,12550,12250,12350,47224,360,14331000
124,A033200,모아텍,20210224,12850,12850,12100,12250,72343,360,14331000
125,A033200,모아텍,20210223,12400,13050,12050,12650,75637,360,14331000
126,A033200,모아텍,20210222,13350,13500,12500,12500,141782,360,14331000
127,A033200,모아텍,20210219,14150,14200,12800,13350,186635,360,14331000
128,A033200,모아텍,20210218,14400,14450,13750,14000,135250,360,14331000
129,A033200,모아텍,20210217,13750,14350,13600,14350,151381,360,14331000
130,A033200,모아텍,20210216,14100,14300,13500,13750,156752,360,14331000
131,A033200,모아텍,20210215,14550,14900,13900,14050,323379,360,14331000
132,A033200,모아텍,20210210,13650,14200,13500,14150,225068,360,14331000
133,A033200,모아텍,20210209,13300,14100,13150,13250,165106,360,14331000
134,A033200,모아텍,20210208,13800,13850,13350,13350,125998,360,14331000
135,A033200,모아텍,20210205,13850,14300,13250,14100,316242,360,14331000
136,A033200,모아텍,20210204,14500,14500,13550,13900,356110,360,14331000
137,A033200,모아텍,20210203,14650,15250,14150,14550,399386,360,14331000
138,A033200,모아텍,20210202,15600,16200,14400,14700,1140606,360,14331000
139,A033200,모아텍,20210201,13150,15400,12750,15150,1722264,360,14331000
140,A033200,모아텍,20210129,14200,15450,12700,13200,2078701,360,14331000
141,A033200,모아텍,20210128,12850,17300,12300,13800,2929912,360,14331000
142,A033200,모아텍,20210127,12000,13700,11950,13450,1385232,360,14331000
143,A033200,모아텍,20210126,12400,12400,11750,11850,133203,360,14331000
144,A033200,모아텍,20210125,12700,12900,12200,12250,149087,360,14331000
145,A033200,모아텍,20210122,12900,13000,12350,12600,186207,360,14331000
146,A033200,모아텍,20210121,12650,13100,12050,13100,427955,360,14331000
147,A033200,모아텍,20210120,11200,13150,11050,12800,1170246,360,14331000
148,A033200,모아텍,20210119,11000,11650,10900,11050,288580,360,14331000
149,A033200,모아텍,20210118,10500,11250,10250,10800,139599,360,14331000
150,A033200,모아텍,20210115,11000,11050,10400,10600,213225,360,14331000
151,A033200,모아텍,20210114,11200,11300,10850,10850,104893,360,14331000
152,A033200,모아텍,20210113,11100,11600,10950,11200,127861,360,14331000
153,A033200,모아텍,20210112,11800,11850,10800,11200,248044,360,14331000
154,A033200,모아텍,20210111,13950,13950,11550,11900,587516,360,14331000
155,A033200,모아텍,20210108,12850,14650,12500,13150,1384511,360,14331000
156,A033200,모아텍,20210107,12800,13100,12450,12550,337880,360,14331000
