,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A009200,무림페이퍼,20210823,2720,2825,2715,2825,119781,007,41609000
1,A009200,무림페이퍼,20210820,2870,2880,2680,2700,363630,007,41609000
2,A009200,무림페이퍼,20210819,2950,2975,2810,2820,243234,007,41609000
3,A009200,무림페이퍼,20210818,2850,2985,2845,2950,170432,007,41609000
4,A009200,무림페이퍼,20210817,3000,3000,2855,2855,312864,007,41609000
5,A009200,무림페이퍼,20210813,3035,3045,2900,3000,236926,007,41609000
6,A009200,무림페이퍼,20210812,3085,3090,3005,3020,148633,007,41609000
7,A009200,무림페이퍼,20210811,3065,3100,3050,3065,94927,007,41609000
8,A009200,무림페이퍼,20210810,3110,3125,3050,3065,142800,007,41609000
9,A009200,무림페이퍼,20210809,3165,3185,3105,3110,171357,007,41609000
10,A009200,무림페이퍼,20210806,3195,3195,3135,3175,87805,007,41609000
11,A009200,무림페이퍼,20210805,3120,3175,3120,3165,177614,007,41609000
12,A009200,무림페이퍼,20210804,3070,3140,3050,3120,321207,007,41609000
13,A009200,무림페이퍼,20210803,3135,3135,3045,3070,201258,007,41609000
14,A009200,무림페이퍼,20210802,3185,3185,3105,3115,163215,007,41609000
15,A009200,무림페이퍼,20210730,3215,3215,3125,3180,245706,007,41609000
16,A009200,무림페이퍼,20210729,3215,3220,3180,3185,126780,007,41609000
17,A009200,무림페이퍼,20210728,3220,3255,3180,3185,213265,007,41609000
18,A009200,무림페이퍼,20210727,3245,3255,3215,3235,140276,007,41609000
19,A009200,무림페이퍼,20210726,3270,3290,3175,3245,300189,007,41609000
20,A009200,무림페이퍼,20210723,3275,3305,3250,3270,107456,007,41609000
21,A009200,무림페이퍼,20210722,3260,3445,3260,3275,413958,007,41609000
22,A009200,무림페이퍼,20210721,3305,3370,3255,3260,235329,007,41609000
23,A009200,무림페이퍼,20210720,3315,3355,3290,3330,207010,007,41609000
24,A009200,무림페이퍼,20210719,3435,3435,3340,3360,204199,007,41609000
25,A009200,무림페이퍼,20210716,3470,3510,3410,3435,214471,007,41609000
26,A009200,무림페이퍼,20210715,3455,3500,3430,3470,303682,007,41609000
27,A009200,무림페이퍼,20210714,3450,3485,3420,3465,260930,007,41609000
28,A009200,무림페이퍼,20210713,3400,3465,3400,3440,220241,007,41609000
29,A009200,무림페이퍼,20210712,3350,3455,3325,3430,228816,007,41609000
30,A009200,무림페이퍼,20210709,3380,3420,3280,3355,524504,007,41609000
31,A009200,무림페이퍼,20210708,3635,3635,3375,3435,922673,007,41609000
32,A009200,무림페이퍼,20210707,3495,3635,3445,3635,1138046,007,41609000
33,A009200,무림페이퍼,20210706,3475,3495,3445,3475,253436,007,41609000
34,A009200,무림페이퍼,20210705,3555,3555,3460,3475,351449,007,41609000
35,A009200,무림페이퍼,20210702,3600,3600,3510,3555,507068,007,41609000
36,A009200,무림페이퍼,20210701,3650,3650,3570,3590,366373,007,41609000
37,A009200,무림페이퍼,20210630,3600,3645,3560,3635,570034,007,41609000
38,A009200,무림페이퍼,20210629,3670,3670,3555,3570,614706,007,41609000
39,A009200,무림페이퍼,20210628,3595,3685,3550,3650,1606418,007,41609000
40,A009200,무림페이퍼,20210625,3525,3580,3490,3545,608178,007,41609000
41,A009200,무림페이퍼,20210624,3515,3575,3440,3525,729060,007,41609000
42,A009200,무림페이퍼,20210623,3570,3625,3415,3460,954752,007,41609000
43,A009200,무림페이퍼,20210622,3560,3670,3525,3565,1022207,007,41609000
44,A009200,무림페이퍼,20210621,3645,3670,3545,3560,1075927,007,41609000
45,A009200,무림페이퍼,20210618,3770,3785,3620,3670,1781666,007,41609000
46,A009200,무림페이퍼,20210617,3780,3870,3720,3815,2729893,007,41609000
47,A009200,무림페이퍼,20210616,4180,4235,3700,3750,7539268,007,41609000
48,A009200,무림페이퍼,20210615,3790,3925,3750,3925,7660349,007,41609000
49,A009200,무림페이퍼,20210614,3280,4040,3265,3855,32884478,007,41609000
50,A009200,무림페이퍼,20210611,3140,3160,3060,3110,191199,007,41609000
51,A009200,무림페이퍼,20210610,3135,3195,3070,3110,273380,007,41609000
52,A009200,무림페이퍼,20210609,3075,3225,3040,3115,742971,007,41609000
53,A009200,무림페이퍼,20210608,3065,3090,3005,3080,198472,007,41609000
54,A009200,무림페이퍼,20210607,3020,3095,2985,3065,271975,007,41609000
55,A009200,무림페이퍼,20210604,3000,3010,2950,2960,110394,007,41609000
56,A009200,무림페이퍼,20210603,2995,3025,2970,2980,148825,007,41609000
57,A009200,무림페이퍼,20210602,2980,2995,2935,2995,183353,007,41609000
58,A009200,무림페이퍼,20210601,2975,2985,2910,2960,122278,007,41609000
59,A009200,무림페이퍼,20210531,2885,2970,2885,2940,132165,007,41609000
60,A009200,무림페이퍼,20210528,2880,2895,2865,2885,86463,007,41609000
61,A009200,무림페이퍼,20210527,2875,2895,2860,2875,102055,007,41609000
62,A009200,무림페이퍼,20210526,2935,2935,2810,2875,275285,007,41609000
63,A009200,무림페이퍼,20210525,2890,2930,2870,2905,91457,007,41609000
64,A009200,무림페이퍼,20210524,2975,2975,2870,2870,153939,007,41609000
65,A009200,무림페이퍼,20210521,3015,3090,2950,2955,151995,007,41609000
66,A009200,무림페이퍼,20210520,3000,3050,2990,3020,155802,007,41609000
67,A009200,무림페이퍼,20210518,3000,3005,2950,2990,307531,007,41609000
68,A009200,무림페이퍼,20210517,3095,3130,3035,3035,190164,007,41609000
69,A009200,무림페이퍼,20210514,3120,3160,3070,3090,155299,007,41609000
70,A009200,무림페이퍼,20210513,3025,3180,3025,3120,341317,007,41609000
71,A009200,무림페이퍼,20210512,3160,3205,3070,3120,511224,007,41609000
72,A009200,무림페이퍼,20210511,3105,3245,3070,3165,1004725,007,41609000
73,A009200,무림페이퍼,20210510,2980,3215,2965,3145,2771896,007,41609000
74,A009200,무림페이퍼,20210507,2890,2970,2855,2965,156237,007,41609000
75,A009200,무림페이퍼,20210506,2875,2890,2840,2860,78428,007,41609000
76,A009200,무림페이퍼,20210504,2820,2850,2795,2850,122768,007,41609000
77,A009200,무림페이퍼,20210503,2845,2880,2840,2840,67411,007,41609000
