,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,J52G574,미래G574삼성전자콜,20210823,10,10,10,10,3000,000,11300000
1,J52G574,미래G574삼성전자콜,20210820,10,10,10,10,0,000,11300000
2,J52G574,미래G574삼성전자콜,20210819,10,10,10,10,5470,000,11300000
3,J52G574,미래G574삼성전자콜,20210818,10,15,10,15,43040,000,11300000
4,J52G574,미래G574삼성전자콜,20210817,10,15,10,15,20,000,11300000
5,J52G574,미래G574삼성전자콜,20210813,15,15,15,15,21220,000,11300000
6,J52G574,미래G574삼성전자콜,20210812,20,20,20,20,20,000,11300000
7,J52G574,미래G574삼성전자콜,20210811,20,20,20,20,6020,000,11300000
8,J52G574,미래G574삼성전자콜,20210810,25,25,25,25,5000,000,11300000
9,J52G574,미래G574삼성전자콜,20210809,30,30,30,30,0,000,11300000
10,J52G574,미래G574삼성전자콜,20210806,25,30,25,30,210010,000,11300000
11,J52G574,미래G574삼성전자콜,20210805,30,35,30,35,85010,000,11300000
12,J52G574,미래G574삼성전자콜,20210804,30,35,30,35,120,000,11300000
13,J52G574,미래G574삼성전자콜,20210803,25,30,25,30,220,000,11300000
14,J52G574,미래G574삼성전자콜,20210802,25,25,25,25,0,000,11300000
15,J52G574,미래G574삼성전자콜,20210730,25,25,25,25,310,000,11300000
16,J52G574,미래G574삼성전자콜,20210729,25,25,25,25,1000,000,11300000
17,J52G574,미래G574삼성전자콜,20210728,25,25,25,25,0,000,11300000
18,J52G574,미래G574삼성전자콜,20210727,25,25,25,25,370030,000,11300000
19,J52G574,미래G574삼성전자콜,20210726,30,30,30,30,20,000,11300000
20,J52G574,미래G574삼성전자콜,20210723,30,30,30,30,320010,000,11300000
21,J52G574,미래G574삼성전자콜,20210722,30,35,30,35,40010,000,11300000
22,J52G574,미래G574삼성전자콜,20210721,30,30,30,30,10,000,11300000
23,J52G574,미래G574삼성전자콜,20210720,30,30,30,30,0,000,11300000
24,J52G574,미래G574삼성전자콜,20210719,30,30,30,30,5040,000,11300000
25,J52G574,미래G574삼성전자콜,20210716,35,35,35,35,20,000,11300000
26,J52G574,미래G574삼성전자콜,20210715,35,35,35,35,10,000,11300000
27,J52G574,미래G574삼성전자콜,20210714,30,35,30,35,20,000,11300000
28,J52G574,미래G574삼성전자콜,20210713,35,35,35,35,1050,000,11300000
29,J52G574,미래G574삼성전자콜,20210712,35,35,35,35,10,000,11300000
30,J52G574,미래G574삼성전자콜,20210709,35,35,35,35,20,000,11300000
31,J52G574,미래G574삼성전자콜,20210708,35,35,35,35,320000,000,11300000
32,J52G574,미래G574삼성전자콜,20210707,35,40,35,35,1070260,000,11300000
33,J52G574,미래G574삼성전자콜,20210706,40,40,40,40,1010,000,11300000
34,J52G574,미래G574삼성전자콜,20210705,35,35,35,35,20,000,11300000
35,J52G574,미래G574삼성전자콜,20210702,35,35,35,35,10,000,11300000
36,J52G574,미래G574삼성전자콜,20210701,35,35,35,35,20,000,11300000
37,J52G574,미래G574삼성전자콜,20210630,40,40,40,40,10,000,11300000
38,J52G574,미래G574삼성전자콜,20210629,40,40,40,40,80000,000,11300000
39,J52G574,미래G574삼성전자콜,20210628,45,45,45,45,20,000,11300000
40,J52G574,미래G574삼성전자콜,20210625,45,45,45,45,10000,000,11300000
41,J52G574,미래G574삼성전자콜,20210624,45,45,45,45,0,000,11300000
42,J52G574,미래G574삼성전자콜,20210623,45,45,45,45,35700,000,11300000
43,J52G574,미래G574삼성전자콜,20210622,40,40,40,40,50,000,11300000
44,J52G574,미래G574삼성전자콜,20210621,40,40,40,40,140090,000,11300000
45,J52G574,미래G574삼성전자콜,20210618,45,45,45,45,0,000,11300000
46,J52G574,미래G574삼성전자콜,20210617,45,45,45,45,0,000,11300000
47,J52G574,미래G574삼성전자콜,20210616,45,45,45,45,0,000,11300000
48,J52G574,미래G574삼성전자콜,20210615,45,45,45,45,480030,000,11300000
49,J52G574,미래G574삼성전자콜,20210614,50,50,45,45,280010,000,11300000
50,J52G574,미래G574삼성전자콜,20210611,50,50,50,50,10,000,11300000
51,J52G574,미래G574삼성전자콜,20210610,45,50,45,50,11090,000,11300000
52,J52G574,미래G574삼성전자콜,20210609,50,50,50,50,30,000,11300000
53,J52G574,미래G574삼성전자콜,20210608,55,55,55,55,10550,000,11300000
54,J52G574,미래G574삼성전자콜,20210607,55,60,55,60,1021030,000,11300000
55,J52G574,미래G574삼성전자콜,20210604,60,60,60,60,40100,000,11300000
56,J52G574,미래G574삼성전자콜,20210603,65,65,65,65,20,000,11300000
57,J52G574,미래G574삼성전자콜,20210602,55,55,55,55,200000,000,11300000
58,J52G574,미래G574삼성전자콜,20210601,55,55,55,55,100020,000,11300000
59,J52G574,미래G574삼성전자콜,20210531,55,55,55,55,99990,000,11300000
60,J52G574,미래G574삼성전자콜,20210528,50,55,50,55,20,000,11300000
61,J52G574,미래G574삼성전자콜,20210527,55,55,55,55,180010,000,11300000
62,J52G574,미래G574삼성전자콜,20210526,55,55,55,55,10,000,11300000
63,J52G574,미래G574삼성전자콜,20210525,55,60,55,60,20,000,11300000
64,J52G574,미래G574삼성전자콜,20210524,60,60,60,60,250010,000,11300000
65,J52G574,미래G574삼성전자콜,20210521,60,65,60,60,220040,000,11300000
66,J52G574,미래G574삼성전자콜,20210520,60,60,60,60,500020,000,11300000
