,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,J52G609,미래G609기아콜,20210823,20,20,20,20,0,000,13700000
1,J52G609,미래G609기아콜,20210820,20,20,20,20,0,000,13700000
2,J52G609,미래G609기아콜,20210819,30,30,20,20,150020,000,13700000
3,J52G609,미래G609기아콜,20210818,35,35,30,30,450020,000,13700000
4,J52G609,미래G609기아콜,20210817,40,40,35,35,905020,000,13700000
5,J52G609,미래G609기아콜,20210813,40,40,35,35,40000,000,13700000
6,J52G609,미래G609기아콜,20210812,40,45,40,45,1672640,000,13700000
7,J52G609,미래G609기아콜,20210811,35,35,35,35,640020,000,13700000
8,J52G609,미래G609기아콜,20210810,45,45,40,40,20,000,13700000
9,J52G609,미래G609기아콜,20210809,45,45,45,45,20,000,13700000
10,J52G609,미래G609기아콜,20210806,45,45,45,45,400020,000,13700000
11,J52G609,미래G609기아콜,20210805,50,50,45,45,20,000,13700000
12,J52G609,미래G609기아콜,20210804,50,50,50,50,480020,000,13700000
13,J52G609,미래G609기아콜,20210803,50,50,45,45,180020,000,13700000
14,J52G609,미래G609기아콜,20210802,45,45,40,40,20,000,13700000
15,J52G609,미래G609기아콜,20210730,50,50,45,45,20,000,13700000
16,J52G609,미래G609기아콜,20210729,60,60,55,55,583020,000,13700000
17,J52G609,미래G609기아콜,20210728,55,55,50,50,20,000,13700000
18,J52G609,미래G609기아콜,20210727,55,55,55,55,200020,000,13700000
19,J52G609,미래G609기아콜,20210726,55,55,50,55,2020,000,13700000
20,J52G609,미래G609기아콜,20210723,65,65,55,55,1640020,000,13700000
21,J52G609,미래G609기아콜,20210722,55,60,55,60,1092980,000,13700000
22,J52G609,미래G609기아콜,20210721,60,60,60,60,271010,000,13700000
23,J52G609,미래G609기아콜,20210720,55,60,50,55,720030,000,13700000
24,J52G609,미래G609기아콜,20210719,55,55,50,50,20,000,13700000
25,J52G609,미래G609기아콜,20210716,60,60,60,60,1001000,000,13700000
26,J52G609,미래G609기아콜,20210715,60,65,60,65,803000,000,13700000
27,J52G609,미래G609기아콜,20210714,65,70,65,65,581000,000,13700000
28,J52G609,미래G609기아콜,20210713,65,65,65,65,0,000,13700000
29,J52G609,미래G609기아콜,20210712,70,70,65,65,20,000,13700000
30,J52G609,미래G609기아콜,20210709,55,60,55,60,860000,000,13700000
31,J52G609,미래G609기아콜,20210708,65,65,65,65,820000,000,13700000
32,J52G609,미래G609기아콜,20210707,95,95,95,95,0,000,13700000
33,J52G609,미래G609기아콜,20210706,95,95,95,95,0,000,13700000
34,J52G609,미래G609기아콜,20210705,95,95,95,95,0,000,13700000
35,J52G609,미래G609기아콜,20210702,95,95,95,95,0,000,13700000
36,J52G609,미래G609기아콜,20210701,95,95,95,95,0,000,13700000
37,J52G609,미래G609기아콜,20210630,95,95,95,95,0,000,13700000
38,J52G609,미래G609기아콜,20210629,95,95,95,95,0,000,13700000
39,J52G609,미래G609기아콜,20210628,95,95,95,95,0,000,13700000
40,J52G609,미래G609기아콜,20210625,95,95,95,95,0,000,13700000
41,J52G609,미래G609기아콜,20210624,95,95,95,95,100,000,13700000
42,J52G609,미래G609기아콜,20210623,75,75,75,75,0,000,13700000
43,J52G609,미래G609기아콜,20210622,75,75,75,75,0,000,13700000
44,J52G609,미래G609기아콜,20210621,75,75,75,75,0,000,13700000
45,J52G609,미래G609기아콜,20210618,75,75,75,75,0,000,13700000
46,J52G609,미래G609기아콜,20210617,75,75,75,75,0,000,13700000
47,J52G609,미래G609기아콜,20210616,75,75,75,75,200,000,13700000
48,J52G609,미래G609기아콜,20210615,60,70,60,70,300,000,13700000
49,J52G609,미래G609기아콜,20210614,65,65,65,65,0,000,13700000
50,J52G609,미래G609기아콜,20210611,65,65,65,65,0,000,13700000
51,J52G609,미래G609기아콜,20210610,65,65,65,65,0,000,13700000
52,J52G609,미래G609기아콜,20210609,65,65,65,65,0,000,13700000
53,J52G609,미래G609기아콜,20210608,65,65,65,65,0,000,13700000
54,J52G609,미래G609기아콜,20210607,65,65,65,65,0,000,13700000
55,J52G609,미래G609기아콜,20210604,65,65,65,65,0,000,13700000
56,J52G609,미래G609기아콜,20210603,65,65,65,65,0,000,13700000
57,J52G609,미래G609기아콜,20210602,65,65,65,65,0,000,13700000
58,J52G609,미래G609기아콜,20210601,65,65,65,65,0,000,13700000
59,J52G609,미래G609기아콜,20210531,65,65,65,65,0,000,13700000
60,J52G609,미래G609기아콜,20210528,65,65,65,65,0,000,13700000
61,J52G609,미래G609기아콜,20210527,65,65,65,65,1500000,000,13700000
