,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210823,15,20,15,20,30000,000,21800000
1,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210820,25,25,15,15,230020,000,21800000
2,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210819,25,25,25,25,1300020,000,21800000
3,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210818,30,30,25,25,20,000,21800000
4,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210817,35,35,25,25,710000,000,21800000
5,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210813,45,45,40,40,780020,000,21800000
6,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210812,40,40,35,40,934040,000,21800000
7,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210811,40,40,10,10,160230,000,21800000
8,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210810,40,40,35,35,400020,000,21800000
9,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210809,35,35,35,35,3300390,000,21800000
10,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210806,40,40,15,15,540420,000,21800000
11,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210805,45,45,35,35,800010,000,21800000
12,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210804,40,40,35,35,310,000,21800000
13,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210803,40,40,10,10,221000,000,21800000
14,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210802,40,40,10,10,720,000,21800000
15,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210730,45,45,35,35,1020420,000,21800000
16,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210729,50,50,15,15,321120,000,21800000
17,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210728,45,45,10,10,820,000,21800000
18,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210727,40,45,40,40,110010,000,21800000
19,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210726,40,40,40,40,40020,000,21800000
20,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210723,45,45,45,45,430000,000,21800000
21,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210722,55,55,45,45,160020,000,21800000
22,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210721,65,65,55,55,1240020,000,21800000
23,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210720,70,70,65,65,1354020,000,21800000
24,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210719,65,65,60,60,20,000,21800000
25,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210716,65,65,60,60,20,000,21800000
26,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210715,65,65,60,60,1060020,000,21800000
27,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210714,70,70,60,65,800020,000,21800000
28,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210713,60,60,60,60,0,000,21800000
29,J52G679,¹Ì·¡G679SKÅÚ·¹ÄÞÄÝ,20210712,60,60,60,60,0,000,21800000
