,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210823,4960,5010,4800,4855,31322,231,4810000
1,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210820,5330,5420,4845,4960,188378,231,4810000
2,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210819,5570,5720,5340,5430,238045,231,4810000
3,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210818,5540,5540,5400,5410,93205,231,4810000
4,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210817,6000,6000,5600,5600,108222,231,4810000
5,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210813,6230,6230,5850,5900,126502,231,4810000
6,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210812,6200,6390,6130,6160,95655,231,4810000
7,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210811,6360,6550,6240,6270,132290,231,4810000
8,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210810,6500,6620,6270,6350,161910,231,4810000
9,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210809,6800,6800,6430,6480,230605,231,4810000
10,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210806,6920,7010,6800,6800,236346,231,4810000
11,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210805,7100,7320,6910,7010,959207,231,4810000
12,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210804,6810,7130,6660,7130,771268,231,4810000
13,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210803,6340,7200,6330,6530,1037744,231,4810000
14,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210802,6620,6620,6220,6340,101514,231,4810000
15,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210730,6660,6720,6520,6550,130975,231,4810000
16,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210729,6710,6800,6660,6670,97698,231,4810000
17,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210728,6760,6880,6660,6660,217873,231,4810000
18,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210727,6910,7030,6700,6720,338080,231,4810000
19,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210726,6650,7360,6640,6940,1258232,231,4810000
20,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210723,6770,6960,6650,6700,209154,231,4810000
21,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210722,6990,7070,6830,6830,191268,231,4810000
22,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210721,6950,7170,6850,6920,256816,231,4810000
23,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210720,6900,7380,6770,6910,1008937,231,4810000
24,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210719,7320,7390,7000,7000,609045,231,4810000
25,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210716,7100,8150,6950,7390,3903883,231,4810000
26,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210715,7010,7660,6880,6980,997177,231,4810000
27,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210714,7180,7250,6970,7050,246052,231,4810000
28,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210713,7610,7760,7120,7210,435839,231,4810000
29,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210712,7950,7960,7620,7620,255090,231,4810000
30,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210709,8000,8490,7650,8000,558005,231,4810000
31,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210708,8130,8270,7860,7940,431265,231,4810000
32,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210707,8480,8690,8360,8360,496793,231,4810000
33,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210706,8550,8720,8310,8720,702478,231,4810000
34,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210705,8530,8720,8410,8550,924913,231,4810000
35,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210702,8450,8630,8190,8500,1185542,231,4810000
36,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210701,8530,8800,8320,8450,1093632,231,4810000
37,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210630,8900,8930,8460,8530,860096,231,4810000
38,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210629,8850,9400,8630,8800,2336543,231,4810000
39,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210628,8800,9410,8560,8800,2496388,231,4810000
40,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210625,9770,10100,8820,8970,3803646,231,4810000
41,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210624,9760,10850,9280,9390,7063658,231,4810000
42,A380320,»ï¼º¸Ó½ºÆ®½ºÆÑ5È£,20210623,12000,12450,9890,9890,11927555,231,4810000
