,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A003720,»ï¿µÈ­ÇÐ,20210823,2840,2910,2840,2900,201661,008,34000000
1,A003720,»ï¿µÈ­ÇÐ,20210820,2985,3035,2785,2850,516516,008,34000000
2,A003720,»ï¿µÈ­ÇÐ,20210819,3000,3150,2980,2985,476932,008,34000000
3,A003720,»ï¿µÈ­ÇÐ,20210818,2970,3100,2965,3070,302557,008,34000000
4,A003720,»ï¿µÈ­ÇÐ,20210817,3190,3195,2985,2985,742790,008,34000000
5,A003720,»ï¿µÈ­ÇÐ,20210813,3280,3300,3180,3190,541516,008,34000000
6,A003720,»ï¿µÈ­ÇÐ,20210812,3245,3330,3240,3315,394820,008,34000000
7,A003720,»ï¿µÈ­ÇÐ,20210811,3220,3330,3220,3260,295988,008,34000000
8,A003720,»ï¿µÈ­ÇÐ,20210810,3370,3385,3245,3270,452681,008,34000000
9,A003720,»ï¿µÈ­ÇÐ,20210809,3310,3415,3230,3385,545523,008,34000000
10,A003720,»ï¿µÈ­ÇÐ,20210806,3425,3425,3250,3305,464189,008,34000000
11,A003720,»ï¿µÈ­ÇÐ,20210805,3260,3390,3260,3355,452106,008,34000000
12,A003720,»ï¿µÈ­ÇÐ,20210804,3240,3295,3200,3260,323842,008,34000000
13,A003720,»ï¿µÈ­ÇÐ,20210803,3280,3305,3200,3240,457486,008,34000000
14,A003720,»ï¿µÈ­ÇÐ,20210802,3260,3360,3260,3305,602543,008,34000000
15,A003720,»ï¿µÈ­ÇÐ,20210730,3310,3375,3255,3255,826344,008,34000000
16,A003720,»ï¿µÈ­ÇÐ,20210729,3420,3420,3310,3320,1009339,008,34000000
17,A003720,»ï¿µÈ­ÇÐ,20210728,3440,3520,3370,3380,1297604,008,34000000
18,A003720,»ï¿µÈ­ÇÐ,20210727,3465,3810,3445,3480,3115877,008,34000000
19,A003720,»ï¿µÈ­ÇÐ,20210726,3725,3725,3475,3480,2167134,008,34000000
20,A003720,»ï¿µÈ­ÇÐ,20210723,3765,3950,3705,3715,3707437,008,34000000
21,A003720,»ï¿µÈ­ÇÐ,20210722,3760,3900,3610,3900,4876693,008,34000000
22,A003720,»ï¿µÈ­ÇÐ,20210721,3985,3995,3750,3750,7420927,008,34000000
23,A003720,»ï¿µÈ­ÇÐ,20210720,4435,4760,4070,4070,77948395,008,34000000
24,A003720,»ï¿µÈ­ÇÐ,20210719,3570,3775,3545,3710,2453914,008,34000000
25,A003720,»ï¿µÈ­ÇÐ,20210716,3805,3840,3620,3620,2122754,008,34000000
26,A003720,»ï¿µÈ­ÇÐ,20210715,3675,3960,3605,3805,7645394,008,34000000
27,A003720,»ï¿µÈ­ÇÐ,20210714,3545,4280,3535,3650,22705250,008,34000000
28,A003720,»ï¿µÈ­ÇÐ,20210713,3275,3430,3270,3430,990507,008,34000000
29,A003720,»ï¿µÈ­ÇÐ,20210712,3410,3485,3295,3300,716942,008,34000000
30,A003720,»ï¿µÈ­ÇÐ,20210709,3205,3435,3165,3430,914293,008,34000000
31,A003720,»ï¿µÈ­ÇÐ,20210708,3340,3355,3235,3290,551078,008,34000000
32,A003720,»ï¿µÈ­ÇÐ,20210707,3455,3495,3310,3355,660192,008,34000000
