,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A027580,상보,20210823,1970,2010,1900,2005,346444,265,50052000
1,A027580,상보,20210820,2050,2090,1920,1970,1053724,265,50052000
2,A027580,상보,20210819,2055,2185,2030,2045,791056,265,50052000
3,A027580,상보,20210818,2080,2150,2040,2110,785186,265,50052000
4,A027580,상보,20210817,2190,2190,2010,2100,1106771,265,50052000
5,A027580,상보,20210813,2310,2340,2090,2140,2386468,265,50013000
6,A027580,상보,20210812,2295,2370,2285,2320,519621,265,50013000
7,A027580,상보,20210811,2305,2335,2285,2295,386855,265,50013000
8,A027580,상보,20210810,2350,2375,2285,2335,535884,265,50013000
9,A027580,상보,20210809,2355,2400,2330,2360,574981,265,50013000
10,A027580,상보,20210806,2395,2395,2320,2355,394008,265,50013000
11,A027580,상보,20210805,2365,2410,2325,2365,461734,265,50013000
12,A027580,상보,20210804,2285,2365,2285,2360,405077,265,50013000
13,A027580,상보,20210803,2345,2370,2290,2300,551057,265,50013000
14,A027580,상보,20210802,2390,2390,2340,2345,425616,265,50013000
15,A027580,상보,20210730,2345,2430,2325,2390,1477643,265,50013000
16,A027580,상보,20210729,2310,2335,2290,2335,557298,265,49007000
17,A027580,상보,20210728,2350,2380,2300,2320,554930,265,49007000
18,A027580,상보,20210727,2265,2390,2265,2360,729143,265,49007000
19,A027580,상보,20210726,2360,2390,2290,2300,781805,265,49007000
20,A027580,상보,20210723,2320,2410,2320,2360,779708,265,49007000
21,A027580,상보,20210722,2405,2450,2320,2320,1100248,265,49007000
22,A027580,상보,20210721,2470,2490,2335,2405,2395647,265,49007000
23,A027580,상보,20210720,2485,2520,2420,2465,2456877,265,49007000
24,A027580,상보,20210719,2540,2690,2535,2565,9023521,265,49007000
25,A027580,상보,20210716,2580,2585,2515,2525,1126298,265,49007000
26,A027580,상보,20210715,2550,2625,2520,2595,2534066,265,49007000
27,A027580,상보,20210714,2575,2575,2505,2550,1307716,265,47540000
28,A027580,상보,20210713,2520,2585,2475,2560,2981282,265,47540000
