,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A092190,서울바이오시스,20210823,16100,16350,15800,16300,121343,360,38223000
1,A092190,서울바이오시스,20210820,17150,17300,16000,16100,332757,360,38223000
2,A092190,서울바이오시스,20210819,16700,17400,16700,16900,341529,360,38223000
3,A092190,서울바이오시스,20210818,16750,17000,16550,16750,248311,360,38223000
4,A092190,서울바이오시스,20210817,17100,17300,16850,17150,402687,360,38223000
5,A092190,서울바이오시스,20210813,17600,17650,16750,17050,329162,360,38223000
6,A092190,서울바이오시스,20210812,18300,18300,17500,17550,486107,360,38223000
7,A092190,서울바이오시스,20210811,17900,18400,17700,18100,788343,360,38223000
8,A092190,서울바이오시스,20210810,17750,18100,17400,17500,435826,360,38223000
9,A092190,서울바이오시스,20210809,17750,18050,17350,17500,356889,360,38223000
10,A092190,서울바이오시스,20210806,18200,18200,17650,17650,410223,360,38223000
11,A092190,서울바이오시스,20210805,18350,18600,17900,18150,1101014,360,38223000
12,A092190,서울바이오시스,20210804,17450,18850,17200,17900,4013252,360,38223000
13,A092190,서울바이오시스,20210803,16700,17100,16650,17100,203999,360,38223000
14,A092190,서울바이오시스,20210802,16450,17250,16450,16650,130866,360,38223000
15,A092190,서울바이오시스,20210730,16500,16650,16450,16450,112371,360,38223000
16,A092190,서울바이오시스,20210729,16650,16800,16500,16550,83731,360,38223000
17,A092190,서울바이오시스,20210728,16900,17000,16400,16550,218243,360,38223000
18,A092190,서울바이오시스,20210727,17000,17200,16900,17000,110017,360,38223000
19,A092190,서울바이오시스,20210726,17450,17450,17000,17050,129612,360,38223000
20,A092190,서울바이오시스,20210723,17150,17500,17100,17300,196924,360,38223000
21,A092190,서울바이오시스,20210722,17100,17150,16900,16900,117897,360,38223000
22,A092190,서울바이오시스,20210721,17150,17400,16900,16950,148368,360,38223000
23,A092190,서울바이오시스,20210720,16850,17250,16850,16900,159879,360,38223000
24,A092190,서울바이오시스,20210719,17500,17650,17050,17050,214462,360,38223000
25,A092190,서울바이오시스,20210716,17650,17750,17250,17500,262399,360,38223000
26,A092190,서울바이오시스,20210715,18000,19200,17500,17500,2432237,360,38223000
27,A092190,서울바이오시스,20210714,17700,18000,17400,17750,590749,360,38223000
28,A092190,서울바이오시스,20210713,17550,17600,17250,17350,176416,360,38223000
29,A092190,서울바이오시스,20210712,17050,17950,17050,17600,548402,360,38223000
30,A092190,서울바이오시스,20210709,17100,17250,16800,17050,228476,360,38223000
31,A092190,서울바이오시스,20210708,17850,17850,17050,17250,350280,360,38223000
32,A092190,서울바이오시스,20210707,17450,17950,17350,17750,908300,360,38223000
33,A092190,서울바이오시스,20210706,17150,17350,16850,17000,330016,360,38223000
34,A092190,서울바이오시스,20210705,16500,17150,16450,17150,233544,360,38223000
35,A092190,서울바이오시스,20210702,16400,16650,16300,16500,130022,360,38223000
36,A092190,서울바이오시스,20210701,16600,16700,16350,16500,109037,360,38223000
37,A092190,서울바이오시스,20210630,16100,17000,16050,16600,428074,360,38223000
