,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A065710,서호전기,20210823,20300,20300,19700,20000,9602,272,5150000
1,A065710,서호전기,20210820,20350,20600,19400,19800,40021,272,5150000
2,A065710,서호전기,20210819,21300,21300,20050,20350,57073,272,5150000
3,A065710,서호전기,20210818,21100,21700,20950,21300,19845,272,5150000
4,A065710,서호전기,20210817,22350,22800,21200,21350,55617,272,5150000
5,A065710,서호전기,20210813,23200,23400,21750,22700,25635,272,5150000
6,A065710,서호전기,20210812,23850,24150,23100,23100,33072,272,5150000
7,A065710,서호전기,20210811,22650,25600,22500,23550,130253,272,5150000
8,A065710,서호전기,20210810,22900,23050,22550,22650,9569,272,5150000
9,A065710,서호전기,20210809,23450,23450,22750,22900,13252,272,5150000
10,A065710,서호전기,20210806,23200,23750,22900,23450,14405,272,5150000
11,A065710,서호전기,20210805,23200,23450,22800,23200,26542,272,5150000
12,A065710,서호전기,20210804,22650,23500,22650,23300,14604,272,5150000
13,A065710,서호전기,20210803,22950,23000,22650,22700,21534,272,5150000
14,A065710,서호전기,20210802,23100,23200,22650,23100,20125,272,5150000
15,A065710,서호전기,20210730,23850,23850,23150,23250,14085,272,5150000
16,A065710,서호전기,20210729,23600,24350,23500,23700,29142,272,5150000
17,A065710,서호전기,20210728,23700,23950,23400,23650,28202,272,5150000
18,A065710,서호전기,20210727,23400,24050,23100,23750,29172,272,5150000
19,A065710,서호전기,20210726,23200,24100,22650,23550,84065,272,5150000
20,A065710,서호전기,20210723,22800,23300,22450,22650,51391,272,5150000
21,A065710,서호전기,20210722,22950,23100,22300,22500,51130,272,5150000
22,A065710,서호전기,20210721,23250,24000,22800,22950,17989,272,5150000
23,A065710,서호전기,20210720,23450,23450,22550,23400,14616,272,5150000
24,A065710,서호전기,20210719,24000,24400,23450,23650,46814,272,5150000
25,A065710,서호전기,20210716,24550,24550,23900,24150,18748,272,5150000
26,A065710,서호전기,20210715,24750,24900,24350,24550,26917,272,5150000
27,A065710,서호전기,20210714,24600,24850,24100,24700,32096,272,5150000
28,A065710,서호전기,20210713,24500,24950,24200,24650,36803,272,5150000
29,A065710,서호전기,20210712,23850,24900,23750,24500,25636,272,5150000
30,A065710,서호전기,20210709,24000,24200,23400,24100,29076,272,5150000
31,A065710,서호전기,20210708,24550,25000,23700,24500,48389,272,5150000
