,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A067370,선바이오,20210823,30950,31800,30950,30950,1218,000,11682000
1,A067370,선바이오,20210820,32350,32350,30550,30550,13467,000,11682000
2,A067370,선바이오,20210819,33200,33250,31500,32050,9170,000,11682000
3,A067370,선바이오,20210818,32000,33500,31450,32800,10159,000,11682000
4,A067370,선바이오,20210817,32900,32900,31400,32000,6216,000,11682000
5,A067370,선바이오,20210813,33550,33550,31900,32850,4851,000,11682000
6,A067370,선바이오,20210812,33850,33850,32900,33000,3765,000,11682000
7,A067370,선바이오,20210811,33900,33900,33250,33750,3082,000,11682000
8,A067370,선바이오,20210810,33600,33950,32550,33700,3200,000,11682000
9,A067370,선바이오,20210809,32900,33850,31050,33600,9109,000,11682000
10,A067370,선바이오,20210806,32800,33000,32550,32750,4247,000,11682000
11,A067370,선바이오,20210805,33500,33500,32550,32750,3671,000,11682000
12,A067370,선바이오,20210804,33800,33800,32500,32950,2174,000,11682000
13,A067370,선바이오,20210803,33900,33900,32750,33400,6103,000,11682000
14,A067370,선바이오,20210802,33650,33900,33100,33700,5275,000,11682000
15,A067370,선바이오,20210730,31500,33950,29900,33750,39716,000,11682000
16,A067370,선바이오,20210729,31900,31900,30750,31000,23042,000,11682000
17,A067370,선바이오,20210728,32400,32400,30350,30900,16334,000,11682000
18,A067370,선바이오,20210727,33000,33300,31900,31950,10922,000,11682000
19,A067370,선바이오,20210726,34000,34000,33000,33000,14237,000,11682000
20,A067370,선바이오,20210723,34300,34700,34000,34000,9455,000,11682000
21,A067370,선바이오,20210722,34850,34850,33900,34800,18088,000,11682000
22,A067370,선바이오,20210721,34600,34900,33500,34750,18179,000,11682000
23,A067370,선바이오,20210720,34650,34900,33500,34900,15743,000,11682000
24,A067370,선바이오,20210719,34100,34950,33750,34750,18171,000,11682000
25,A067370,선바이오,20210716,34850,35500,34400,34550,13405,000,11682000
26,A067370,선바이오,20210715,35000,35500,34550,34550,5712,000,11682000
27,A067370,선바이오,20210714,34000,35000,33350,34900,13194,000,11682000
28,A067370,선바이오,20210713,32950,34000,32950,33950,14883,000,11682000
29,A067370,선바이오,20210712,32300,33000,31900,32950,15811,000,11682000
30,A067370,선바이오,20210709,31000,32750,30800,32300,13186,000,11682000
31,A067370,선바이오,20210708,31000,31500,30900,31350,7358,000,11682000
32,A067370,선바이오,20210707,31700,31700,30950,31400,6297,000,11682000
33,A067370,선바이오,20210706,31250,32350,30950,31400,7440,000,11682000
34,A067370,선바이오,20210705,30700,31250,30400,31250,14778,000,11682000
35,A067370,선바이오,20210702,31300,31300,30200,31300,19936,000,11682000
36,A067370,선바이오,20210701,32200,32200,30650,31350,12816,000,11682000
37,A067370,선바이오,20210630,31700,32250,31000,31950,7994,000,11682000
38,A067370,선바이오,20210629,31700,32050,30500,31600,18189,000,11682000
39,A067370,선바이오,20210628,32300,32350,31500,31750,10936,000,11682000
40,A067370,선바이오,20210625,31950,32300,31400,32000,15159,000,11682000
41,A067370,선바이오,20210624,30200,32300,29400,31500,13810,000,11682000
42,A067370,선바이오,20210623,30850,30850,28500,30200,42550,000,11682000
43,A067370,선바이오,20210622,32450,32450,30200,30850,29173,000,11547000
44,A067370,선바이오,20210621,33450,33450,32400,32550,13267,000,11547000
