,辆格内靛,辆格疙,朝楼,矫啊,绊啊,历啊,辆啊,芭贰樊,刘鼻傈魂诀辆内靛,惯青林侥荐
0,A234100,技盔,20210823,4130,4355,4130,4295,203186,275,33481000
1,A234100,技盔,20210820,4475,4550,4085,4130,690841,275,33481000
2,A234100,技盔,20210819,4775,4800,4470,4480,550779,275,33481000
3,A234100,技盔,20210818,4630,4795,4535,4775,294402,275,33481000
4,A234100,技盔,20210817,5000,5070,4685,4685,531062,275,33481000
5,A234100,技盔,20210813,5140,5150,4990,5030,361720,275,32105000
6,A234100,技盔,20210812,5150,5260,5140,5140,189629,275,32105000
7,A234100,技盔,20210811,5190,5220,5140,5180,193142,275,32105000
8,A234100,技盔,20210810,5300,5300,5180,5180,304666,275,32105000
9,A234100,技盔,20210809,5290,5330,5240,5310,234821,275,31822000
10,A234100,技盔,20210806,5380,5390,5300,5310,234184,275,31822000
11,A234100,技盔,20210805,5350,5380,5300,5370,317482,275,31822000
12,A234100,技盔,20210804,5350,5430,5280,5380,282230,275,31822000
13,A234100,技盔,20210803,5280,5380,5250,5340,302404,275,31822000
14,A234100,技盔,20210802,5300,5300,5220,5250,227856,275,31822000
15,A234100,技盔,20210730,5360,5440,5200,5300,452225,275,31822000
16,A234100,技盔,20210729,5370,5450,5370,5370,323963,275,31822000
17,A234100,技盔,20210728,5480,5560,5360,5370,614912,275,31822000
18,A234100,技盔,20210727,5740,5740,5560,5560,437854,275,31822000
19,A234100,技盔,20210726,5800,5820,5560,5620,730155,275,31822000
20,A234100,技盔,20210723,5660,5840,5580,5660,989352,275,31822000
21,A234100,技盔,20210722,5820,5820,5680,5710,639847,275,31822000
22,A234100,技盔,20210721,5670,5900,5630,5760,1056955,275,31822000
23,A234100,技盔,20210720,5570,5700,5570,5630,340448,275,31822000
24,A234100,技盔,20210719,5790,5800,5700,5730,282414,275,31822000
25,A234100,技盔,20210716,5730,5850,5710,5790,331250,275,31822000
26,A234100,技盔,20210715,5750,5830,5720,5780,394927,275,31822000
27,A234100,技盔,20210714,5780,5850,5720,5740,391011,275,31822000
28,A234100,技盔,20210713,5690,5860,5690,5820,530568,275,31256000
29,A234100,技盔,20210712,5610,5870,5560,5710,500384,275,31256000
30,A234100,技盔,20210709,5710,5740,5510,5630,623898,275,31256000
31,A234100,技盔,20210708,5970,5990,5710,5780,884434,275,31256000
32,A234100,技盔,20210707,6020,6020,5910,5940,518809,275,31256000
33,A234100,技盔,20210706,5980,6040,5960,6000,560124,275,31256000
34,A234100,技盔,20210705,6010,6060,5950,5960,505097,275,31256000
35,A234100,技盔,20210702,6050,6140,5950,6010,1684769,275,31256000
36,A234100,技盔,20210701,5830,6200,5710,5970,2404155,275,31256000
37,A234100,技盔,20210630,5910,5960,5860,5890,414846,275,31256000
38,A234100,技盔,20210629,5950,6050,5900,5910,746128,275,31256000
39,A234100,技盔,20210628,6020,6040,5900,5900,521250,275,31256000
40,A234100,技盔,20210625,6100,6220,5990,6000,2637503,275,31256000
41,A234100,技盔,20210624,5880,6050,5820,6000,1425446,275,31256000
42,A234100,技盔,20210623,5920,5970,5840,5880,655401,275,31256000
43,A234100,技盔,20210622,5770,5900,5770,5890,565447,275,31256000
44,A234100,技盔,20210621,5820,5890,5750,5760,543444,275,31256000
45,A234100,技盔,20210618,5870,5960,5860,5910,536326,275,31256000
46,A234100,技盔,20210617,6000,6070,5870,5900,949856,275,31256000
47,A234100,技盔,20210616,5970,6030,5880,5890,858511,275,31256000
48,A234100,技盔,20210615,6060,6120,5930,5990,1019935,275,31256000
49,A234100,技盔,20210614,6090,6200,6010,6050,3722087,275,31256000
50,A234100,技盔,20210611,5840,6120,5710,6000,4656463,275,31256000
51,A234100,技盔,20210610,5780,5890,5690,5740,782194,275,31256000
52,A234100,技盔,20210609,5740,5940,5670,5830,1261744,275,31256000
53,A234100,技盔,20210608,5650,5750,5540,5690,522026,275,31256000
54,A234100,技盔,20210607,5820,5860,5610,5640,698897,275,31256000
55,A234100,技盔,20210604,5730,5840,5710,5790,613641,275,31256000
56,A234100,技盔,20210603,5750,5990,5730,5810,2246362,275,31256000
57,A234100,技盔,20210602,5850,5850,5700,5750,778204,275,31256000
58,A234100,技盔,20210601,5620,6100,5600,5800,3986184,275,31256000
59,A234100,技盔,20210531,5600,5790,5490,5630,1743954,275,31256000
60,A234100,技盔,20210528,5310,5950,5270,5590,10131757,275,31256000
61,A234100,技盔,20210527,5200,5240,5150,5190,341545,275,31256000
62,A234100,技盔,20210526,5150,5230,5140,5160,257820,275,31256000
63,A234100,技盔,20210525,5030,5530,5030,5180,1450701,275,31256000
64,A234100,技盔,20210524,5250,5260,5020,5030,512814,275,31256000
65,A234100,技盔,20210521,5300,5360,5220,5240,322954,275,31256000
66,A234100,技盔,20210520,5280,5310,5210,5250,241277,275,31256000
67,A234100,技盔,20210518,5190,5340,5190,5280,299804,275,31256000
68,A234100,技盔,20210517,5360,5410,5200,5220,355934,275,31256000
69,A234100,技盔,20210514,5320,5450,5320,5350,275659,275,31256000
70,A234100,技盔,20210513,5210,5460,5180,5300,494587,275,31256000
71,A234100,技盔,20210512,5500,5500,5280,5320,756519,275,31256000
72,A234100,技盔,20210511,5560,5590,5490,5500,453042,275,31256000
73,A234100,技盔,20210510,5630,5630,5550,5590,328930,275,31256000
74,A234100,技盔,20210507,5550,5680,5550,5590,419286,275,31256000
75,A234100,技盔,20210506,5600,5680,5580,5590,415519,275,31256000
76,A234100,技盔,20210504,5650,5750,5510,5580,744210,275,31256000
77,A234100,技盔,20210503,5810,5970,5710,5710,825935,275,31256000
78,A234100,技盔,20210430,5640,5910,5590,5800,1228587,275,31256000
79,A234100,技盔,20210429,5780,5880,5670,5670,811253,275,31256000
80,A234100,技盔,20210428,5960,6040,5770,5780,1303907,275,31256000
81,A234100,技盔,20210427,5900,6480,5880,5960,16707494,275,31256000
82,A234100,技盔,20210426,5570,5700,5510,5640,613968,275,31256000
83,A234100,技盔,20210423,5680,5680,5570,5580,573780,275,31256000
84,A234100,技盔,20210422,5670,5760,5620,5680,562981,275,31256000
85,A234100,技盔,20210421,5760,5770,5650,5670,534731,275,31256000
86,A234100,技盔,20210420,5700,5830,5650,5750,1143831,275,31256000
87,A234100,技盔,20210419,5730,5730,5590,5600,952123,275,31256000
88,A234100,技盔,20210416,5800,5850,5680,5700,881218,275,31256000
89,A234100,技盔,20210415,5900,5910,5780,5790,721810,275,31256000
90,A234100,技盔,20210414,5940,5970,5850,5850,677250,275,31256000
91,A234100,技盔,20210413,5750,5950,5750,5840,809052,275,31256000
92,A234100,技盔,20210412,5890,5910,5690,5790,842196,275,31256000
93,A234100,技盔,20210409,5980,6020,5890,5890,705700,275,31256000
94,A234100,技盔,20210408,5850,5950,5670,5920,1452154,275,31256000
95,A234100,技盔,20210407,6150,6150,5850,5850,2434863,275,31256000
96,A234100,技盔,20210406,6300,6310,6110,6150,1383870,275,31256000
97,A234100,技盔,20210405,6350,6410,6250,6260,1249445,275,31256000
98,A234100,技盔,20210402,6330,6550,6320,6340,2468976,275,31256000
99,A234100,技盔,20210401,6560,6590,6320,6330,1361132,275,31256000
100,A234100,技盔,20210331,6640,6730,6450,6470,2245373,275,31256000
101,A234100,技盔,20210330,6270,6490,6260,6490,1092838,275,31256000
102,A234100,技盔,20210329,6390,6480,6250,6270,1194587,275,30646000
103,A234100,技盔,20210326,6500,6610,6310,6390,1759724,275,30646000
104,A234100,技盔,20210325,6670,6720,6540,6540,1825979,275,30646000
105,A234100,技盔,20210324,6790,6890,6720,6760,2007571,275,30646000
106,A234100,技盔,20210323,7040,7110,6650,6940,4094535,275,30646000
107,A234100,技盔,20210322,6910,7170,6790,6960,8156155,275,30646000
108,A234100,技盔,20210319,6820,6930,6740,6850,3970409,275,30646000
109,A234100,技盔,20210318,6550,7040,6500,6970,11730171,275,30646000
110,A234100,技盔,20210317,6500,6640,6360,6500,2036088,275,30646000
111,A234100,技盔,20210316,6720,6720,6530,6530,2051211,275,30646000
112,A234100,技盔,20210315,6600,6730,6430,6660,3598835,275,30646000
113,A234100,技盔,20210312,6270,7090,6220,6550,20256108,275,30646000
114,A234100,技盔,20210311,6110,6310,6110,6180,1606585,275,30646000
115,A234100,技盔,20210310,6650,6660,6110,6110,2353237,275,30646000
116,A234100,技盔,20210309,6660,6760,6210,6390,3201933,275,30646000
117,A234100,技盔,20210308,6990,7040,6550,6550,4959482,275,30646000
118,A234100,技盔,20210305,6750,7040,6720,6840,13008616,275,30646000
119,A234100,技盔,20210304,6460,6850,6410,6750,5978758,275,30646000
120,A234100,技盔,20210303,6530,6960,6410,6560,7733068,275,30646000
121,A234100,技盔,20210302,6320,7170,6250,6640,37187663,275,30646000
122,A234100,技盔,20210226,6100,6410,6030,6140,4536818,275,30646000
123,A234100,技盔,20210225,6510,6690,6270,6390,5917329,275,30096000
124,A234100,技盔,20210224,6760,7540,6320,6320,22917261,275,30096000
125,A234100,技盔,20210223,7250,8150,6850,7200,34383532,275,30096000
126,A234100,技盔,20210222,7070,7740,6980,7490,29955570,275,28598000
127,A234100,技盔,20210219,8110,8740,6550,6850,44319646,275,28598000
128,A234100,技盔,20210218,6690,7810,6500,7810,34335182,275,28598000
