,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A075580,세진중공업,20210823,5560,5700,5470,5690,128246,015,56849000
1,A075580,세진중공업,20210820,5610,5730,5450,5560,286226,015,56849000
2,A075580,세진중공업,20210819,5910,5990,5570,5610,522469,015,56849000
3,A075580,세진중공업,20210818,5810,6060,5780,5990,282127,015,56849000
4,A075580,세진중공업,20210817,6300,6300,5970,5970,416853,015,56849000
5,A075580,세진중공업,20210813,6380,6410,6120,6300,380901,015,56849000
6,A075580,세진중공업,20210812,6510,6590,6410,6420,222137,015,56849000
7,A075580,세진중공업,20210811,6460,6620,6400,6550,199029,015,56849000
8,A075580,세진중공업,20210810,6640,6650,6440,6510,293514,015,56849000
9,A075580,세진중공업,20210809,6800,6810,6610,6640,233871,015,56849000
10,A075580,세진중공업,20210806,6920,6920,6770,6800,155210,015,56849000
11,A075580,세진중공업,20210805,6710,6910,6680,6900,217904,015,56849000
12,A075580,세진중공업,20210804,6570,6720,6560,6690,173145,015,56849000
13,A075580,세진중공업,20210803,6570,6620,6520,6580,206644,015,56849000
14,A075580,세진중공업,20210802,6700,6710,6560,6610,225259,015,56849000
15,A075580,세진중공업,20210730,6780,6780,6630,6700,232989,015,56849000
16,A075580,세진중공업,20210729,6810,6900,6770,6780,163206,015,56849000
17,A075580,세진중공업,20210728,6810,6860,6740,6810,185961,015,56849000
18,A075580,세진중공업,20210727,6840,6960,6820,6840,151409,015,56849000
19,A075580,세진중공업,20210726,7020,7020,6830,6840,225804,015,56849000
20,A075580,세진중공업,20210723,7050,7050,6950,6980,150683,015,56849000
21,A075580,세진중공업,20210722,7000,7090,6990,7010,137081,015,56849000
22,A075580,세진중공업,20210721,7050,7140,6960,6980,232175,015,56849000
23,A075580,세진중공업,20210720,6980,7110,6910,7050,220737,015,56849000
24,A075580,세진중공업,20210719,7190,7190,7040,7050,222609,015,56849000
25,A075580,세진중공업,20210716,7260,7260,7140,7170,145946,015,56849000
26,A075580,세진중공업,20210715,7340,7370,7250,7260,198804,015,56849000
27,A075580,세진중공업,20210714,7080,7400,7010,7340,541293,015,56849000
28,A075580,세진중공업,20210713,7140,7240,7140,7190,234593,015,56849000
29,A075580,세진중공업,20210712,6930,7200,6920,7120,249076,015,56849000
30,A075580,세진중공업,20210709,6990,7000,6780,6920,580125,015,56849000
31,A075580,세진중공업,20210708,7270,7280,7070,7100,364184,015,56849000
32,A075580,세진중공업,20210707,7230,7300,7210,7280,224777,015,56849000
33,A075580,세진중공업,20210706,7340,7410,7260,7340,252279,015,56849000
34,A075580,세진중공업,20210705,7380,7380,7240,7310,329657,015,56849000
35,A075580,세진중공업,20210702,7490,7550,7340,7370,317228,015,56849000
36,A075580,세진중공업,20210701,7600,7600,7370,7440,421610,015,56849000
37,A075580,세진중공업,20210630,7720,7720,7500,7610,381253,015,56849000
38,A075580,세진중공업,20210629,7560,7690,7530,7600,605746,015,56849000
39,A075580,세진중공업,20210628,7430,7590,7430,7450,586516,015,56849000
40,A075580,세진중공업,20210625,7310,7430,7310,7360,510435,015,56849000
41,A075580,세진중공업,20210624,7140,7310,7130,7230,317408,015,56849000
42,A075580,세진중공업,20210623,7390,7390,7190,7200,390478,015,56849000
43,A075580,세진중공업,20210622,7420,7420,7280,7330,321855,015,56849000
44,A075580,세진중공업,20210621,7200,7360,7150,7340,452199,015,56849000
45,A075580,세진중공업,20210618,7360,7360,7200,7280,450323,015,56849000
46,A075580,세진중공업,20210617,7390,7390,7200,7300,486961,015,56849000
47,A075580,세진중공업,20210616,7360,7510,7310,7370,516742,015,56849000
48,A075580,세진중공업,20210615,7490,7580,7300,7360,685177,015,56849000
49,A075580,세진중공업,20210614,7750,7750,7370,7490,889946,015,56849000
50,A075580,세진중공업,20210611,7900,7970,7650,7700,1000802,015,56849000
51,A075580,세진중공업,20210610,7810,7880,7580,7880,1076749,015,56849000
52,A075580,세진중공업,20210609,7490,8000,7490,7800,4551609,015,56849000
53,A075580,세진중공업,20210608,7640,7660,7270,7440,1417224,015,56849000
54,A075580,세진중공업,20210607,7370,7700,7210,7500,5210072,015,56849000
55,A075580,세진중공업,20210604,7030,7330,7010,7240,791553,015,56849000
56,A075580,세진중공업,20210603,7350,7360,6980,7100,1206864,015,56849000
57,A075580,세진중공업,20210602,7150,7370,7140,7350,1798431,015,56849000
58,A075580,세진중공업,20210601,6720,7150,6710,7060,1808045,015,56849000
59,A075580,세진중공업,20210531,6680,6680,6560,6680,439270,015,56849000
60,A075580,세진중공업,20210528,6540,6570,6470,6510,190401,015,56849000
61,A075580,세진중공업,20210527,6440,6560,6400,6470,164939,015,56849000
62,A075580,세진중공업,20210526,6550,6620,6450,6470,386453,015,56849000
63,A075580,세진중공업,20210525,6610,6670,6510,6630,272265,015,56849000
64,A075580,세진중공업,20210524,6450,6610,6340,6600,328068,015,56849000
65,A075580,세진중공업,20210521,6650,6700,6420,6460,490488,015,56849000
66,A075580,세진중공업,20210520,6800,6800,6630,6650,377969,015,56849000
67,A075580,세진중공업,20210518,6880,6910,6680,6820,548496,015,56849000
68,A075580,세진중공업,20210517,6700,6930,6610,6670,596882,015,56849000
69,A075580,세진중공업,20210514,6390,6740,6390,6650,879801,015,56849000
70,A075580,세진중공업,20210513,6400,6630,6330,6350,642803,015,56849000
71,A075580,세진중공업,20210512,6870,6950,6510,6650,733081,015,56849000
72,A075580,세진중공업,20210511,6800,6960,6610,6940,852434,015,56849000
73,A075580,세진중공업,20210510,7200,7220,6730,6800,1534725,015,56849000
74,A075580,세진중공업,20210507,7490,7500,7080,7130,1161671,015,56849000
75,A075580,세진중공업,20210506,7150,7350,7060,7250,1035670,015,56849000
76,A075580,세진중공업,20210504,7320,7400,6760,6990,1529054,015,56849000
77,A075580,세진중공업,20210503,7260,7550,7210,7310,1900634,015,56849000
78,A075580,세진중공업,20210430,7130,7570,7070,7220,4224214,015,56849000
79,A075580,세진중공업,20210429,6930,7120,6720,6970,1114172,015,56849000
80,A075580,세진중공업,20210428,6860,7250,6850,6940,1844521,015,56849000
81,A075580,세진중공업,20210427,6940,7050,6720,6940,1437128,015,56849000
82,A075580,세진중공업,20210426,6600,7080,6490,6980,3193231,015,56849000
83,A075580,세진중공업,20210423,6390,6500,6300,6470,405493,015,56849000
84,A075580,세진중공업,20210422,6330,6530,6330,6410,358654,015,56849000
85,A075580,세진중공업,20210421,6510,6510,6300,6340,339025,015,56849000
86,A075580,세진중공업,20210420,6140,6550,6130,6520,843381,015,56849000
87,A075580,세진중공업,20210419,6320,6450,5970,6140,1915336,015,56849000
88,A075580,세진중공업,20210416,6640,6700,6430,6540,541572,015,56849000
89,A075580,세진중공업,20210415,6710,6760,6580,6630,430663,015,56849000
90,A075580,세진중공업,20210414,6820,6960,6710,6740,1035791,015,56849000
91,A075580,세진중공업,20210413,6600,6780,6560,6750,959615,015,56849000
92,A075580,세진중공업,20210412,6580,6640,6460,6560,405740,015,56849000
93,A075580,세진중공업,20210409,6610,6700,6540,6580,422907,015,56849000
94,A075580,세진중공업,20210408,6670,6740,6540,6610,429601,015,56849000
95,A075580,세진중공업,20210407,6570,6750,6470,6670,906260,015,56849000
96,A075580,세진중공업,20210406,6760,6790,6570,6640,1119471,015,56849000
97,A075580,세진중공업,20210405,6190,6710,6180,6690,2338296,015,56849000
98,A075580,세진중공업,20210402,6330,6330,6100,6200,641224,015,56849000
99,A075580,세진중공업,20210401,6420,6460,6230,6290,952347,015,56849000
100,A075580,세진중공업,20210331,6070,6550,5950,6480,2425205,015,56849000
101,A075580,세진중공업,20210330,6260,6380,5890,6070,976977,015,56849000
102,A075580,세진중공업,20210329,5930,6270,5900,6210,2077378,015,56849000
103,A075580,세진중공업,20210326,5470,5880,5440,5850,1431848,015,56849000
