,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A067770,세진티에스,20210823,5530,5560,5420,5540,213533,360,8396000
1,A067770,세진티에스,20210820,5680,5690,5360,5530,447492,360,8396000
2,A067770,세진티에스,20210819,6000,6020,5590,5680,451389,360,8396000
3,A067770,세진티에스,20210818,6270,6350,5710,6040,635914,360,8396000
4,A067770,세진티에스,20210817,6750,6800,6300,6320,525522,360,8396000
5,A067770,세진티에스,20210813,6820,7060,6750,6840,906566,360,8396000
6,A067770,세진티에스,20210812,7160,7410,6830,6850,1400636,360,8396000
7,A067770,세진티에스,20210811,7490,8020,7050,7050,3091136,360,8396000
8,A067770,세진티에스,20210810,8000,9450,7500,7640,15088487,360,8396000
9,A067770,세진티에스,20210809,6130,7390,5940,7390,7065047,360,8396000
10,A067770,세진티에스,20210806,6180,6350,5600,5690,3889318,360,8396000
11,A067770,세진티에스,20210805,5230,5310,5230,5270,128180,360,8396000
12,A067770,세진티에스,20210804,5230,5240,5130,5210,40575,360,8396000
13,A067770,세진티에스,20210803,5350,5350,5240,5240,70674,360,8396000
14,A067770,세진티에스,20210802,5010,5310,4955,5270,121133,360,8396000
15,A067770,세진티에스,20210730,4955,5190,4795,5130,119962,360,8396000
16,A067770,세진티에스,20210729,4930,4955,4920,4955,38820,360,8396000
17,A067770,세진티에스,20210728,5120,5130,4955,4955,53372,360,8396000
18,A067770,세진티에스,20210727,5080,5250,5050,5140,66059,360,8396000
19,A067770,세진티에스,20210726,5030,5150,5030,5080,46555,360,8396000
20,A067770,세진티에스,20210723,5020,5060,4995,4995,61271,360,8396000
21,A067770,세진티에스,20210722,5030,5030,4560,5020,77721,360,8396000
22,A067770,세진티에스,20210721,5270,5310,5030,5040,72545,360,8396000
23,A067770,세진티에스,20210720,5340,5370,5210,5270,54222,360,8396000
24,A067770,세진티에스,20210719,5590,5600,5350,5390,61993,360,8396000
25,A067770,세진티에스,20210716,5610,5660,5530,5590,76487,360,8396000
26,A067770,세진티에스,20210715,5570,5650,5570,5610,59928,360,8396000
27,A067770,세진티에스,20210714,5540,5590,5540,5570,57092,360,8396000
28,A067770,세진티에스,20210713,5250,5570,5250,5540,155040,360,8396000
29,A067770,세진티에스,20210712,5150,5250,5070,5250,89706,360,8396000
30,A067770,세진티에스,20210709,5270,5300,5120,5200,91551,360,8396000
31,A067770,세진티에스,20210708,5620,5620,5320,5380,113494,360,8396000
32,A067770,세진티에스,20210707,5650,5770,5570,5630,132154,360,8396000
33,A067770,세진티에스,20210706,5390,5800,5390,5650,395607,360,8396000
34,A067770,세진티에스,20210705,5370,5390,5310,5390,38286,360,8396000
35,A067770,세진티에스,20210702,5470,5500,5280,5370,77484,360,8396000
36,A067770,세진티에스,20210701,5360,5520,5310,5470,126905,360,8396000
37,A067770,세진티에스,20210630,5230,5380,5220,5310,92307,360,8396000
38,A067770,세진티에스,20210629,5250,5290,5150,5230,53356,360,8396000
39,A067770,세진티에스,20210628,5220,5300,5170,5250,44000,360,8396000
40,A067770,세진티에스,20210625,5250,5260,5160,5220,32426,360,8396000
41,A067770,세진티에스,20210624,5290,5300,5180,5260,39032,360,8396000
42,A067770,세진티에스,20210623,5300,5380,5240,5290,53208,360,8396000
43,A067770,세진티에스,20210622,5220,5380,5220,5300,101360,360,8396000
44,A067770,세진티에스,20210621,5260,5280,5160,5220,48883,360,8396000
45,A067770,세진티에스,20210618,5230,5290,5230,5260,33049,360,8396000
46,A067770,세진티에스,20210617,5240,5260,5130,5230,58697,360,8396000
47,A067770,세진티에스,20210616,5240,5260,5210,5240,36883,360,8396000
48,A067770,세진티에스,20210615,5140,5250,5120,5240,60396,360,8396000
49,A067770,세진티에스,20210614,5070,5150,5070,5140,41597,360,8396000
50,A067770,세진티에스,20210611,5030,5090,5010,5070,19445,360,8396000
51,A067770,세진티에스,20210610,5040,5070,4850,4990,41518,360,8396000
52,A067770,세진티에스,20210609,5190,5220,5010,5070,41970,360,8396000
53,A067770,세진티에스,20210608,5220,5220,5140,5190,36426,360,8396000
54,A067770,세진티에스,20210607,5050,5250,5000,5220,79253,360,8396000
55,A067770,세진티에스,20210604,5050,5050,4935,5000,43690,360,8396000
56,A067770,세진티에스,20210603,5020,5080,4995,5060,53937,360,8396000
57,A067770,세진티에스,20210602,5040,5090,5000,5020,31146,360,8396000
58,A067770,세진티에스,20210601,5100,5100,4805,5040,42536,360,8396000
59,A067770,세진티에스,20210531,5020,5100,5020,5080,29001,360,8396000
60,A067770,세진티에스,20210528,4960,5020,4945,5020,48849,360,8396000
61,A067770,세진티에스,20210527,4960,4990,4945,4960,34799,360,8396000
62,A067770,세진티에스,20210526,4870,4940,4850,4935,25781,360,8396000
63,A067770,세진티에스,20210525,4640,4850,4640,4805,70563,360,8396000
64,A067770,세진티에스,20210524,4860,4880,4615,4660,69731,360,8396000
65,A067770,세진티에스,20210521,4930,5040,4855,4910,58278,360,8396000
66,A067770,세진티에스,20210520,4830,4975,4760,4930,114047,360,8396000
67,A067770,세진티에스,20210518,5000,5010,4760,4830,104408,360,8396000
68,A067770,세진티에스,20210517,5140,5200,4750,5040,140461,360,8396000
69,A067770,세진티에스,20210514,5490,5490,5100,5120,184161,360,8396000
70,A067770,세진티에스,20210513,5670,5680,5430,5490,138901,360,8396000
71,A067770,세진티에스,20210512,5570,5890,5550,5720,402815,360,8396000
72,A067770,세진티에스,20210511,5570,5590,5510,5570,48233,360,8396000
73,A067770,세진티에스,20210510,5580,5600,5530,5570,59363,360,8396000
74,A067770,세진티에스,20210507,5580,5600,5530,5580,94865,360,8396000
75,A067770,세진티에스,20210506,5360,5600,5330,5570,166236,360,8396000
76,A067770,세진티에스,20210504,5400,5400,5150,5360,90921,360,8396000
77,A067770,세진티에스,20210503,5360,5440,5350,5400,44602,360,8396000
78,A067770,세진티에스,20210430,5280,5400,5270,5400,96262,360,8396000
79,A067770,세진티에스,20210429,5390,5420,5270,5300,81208,360,8396000
80,A067770,세진티에스,20210428,5560,5580,5400,5440,133844,360,8396000
81,A067770,세진티에스,20210427,5600,5640,5570,5610,44240,360,8396000
82,A067770,세진티에스,20210426,5650,5720,5570,5600,56353,360,8396000
83,A067770,세진티에스,20210423,5620,5890,5540,5650,66455,360,8396000
84,A067770,세진티에스,20210422,5570,5650,5540,5620,55783,360,8396000
85,A067770,세진티에스,20210421,5700,5700,5540,5610,64837,360,8396000
86,A067770,세진티에스,20210420,5790,5790,5650,5700,57221,360,8396000
