,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,Ω√∞°,∞Ì∞°,¿˙∞°,¡æ∞°,∞≈∑°∑Æ,¡ı±«¿¸ªÍæ˜¡æƒ⁄µÂ,πﬂ«‡¡÷Ωƒºˆ
0,A258250,ºø¡®≈ÿ,20210823,9970,10500,9970,10500,3315,000,4475000
1,A258250,ºø¡®≈ÿ,20210820,9800,10350,9550,9970,879,000,4475000
2,A258250,ºø¡®≈ÿ,20210819,9500,11000,9400,10100,6142,000,4475000
3,A258250,ºø¡®≈ÿ,20210818,9950,9950,9600,9600,2822,000,4475000
4,A258250,ºø¡®≈ÿ,20210817,9990,9990,9700,9700,3047,000,4475000
5,A258250,ºø¡®≈ÿ,20210813,9970,9970,9770,9780,3217,000,4475000
6,A258250,ºø¡®≈ÿ,20210812,10000,10000,9880,9970,3363,000,4475000
7,A258250,ºø¡®≈ÿ,20210811,9990,10000,9950,10000,894,000,4475000
8,A258250,ºø¡®≈ÿ,20210810,10000,10000,9920,9990,350,000,4475000
9,A258250,ºø¡®≈ÿ,20210809,10000,10000,9750,9950,5013,000,4475000
10,A258250,ºø¡®≈ÿ,20210806,10000,10350,9950,10000,17877,000,4475000
11,A258250,ºø¡®≈ÿ,20210805,10000,10300,9960,10050,10962,000,4475000
12,A258250,ºø¡®≈ÿ,20210804,10250,10250,9910,10150,9370,000,4475000
13,A258250,ºø¡®≈ÿ,20210803,10100,10300,10000,10000,3684,000,4475000
14,A258250,ºø¡®≈ÿ,20210802,10900,10900,10100,10300,2938,000,4475000
15,A258250,ºø¡®≈ÿ,20210730,10450,10900,10150,10500,8677,000,4475000
16,A258250,ºø¡®≈ÿ,20210729,10150,10150,9900,10150,8648,000,4475000
17,A258250,ºø¡®≈ÿ,20210728,10850,10850,9960,10150,16834,000,4475000
18,A258250,ºø¡®≈ÿ,20210727,11100,11500,10650,10850,10608,000,4475000
19,A258250,ºø¡®≈ÿ,20210726,11300,11500,10750,10850,17169,000,4475000
20,A258250,ºø¡®≈ÿ,20210723,11600,11750,11400,11400,17400,000,4475000
21,A258250,ºø¡®≈ÿ,20210722,12000,12000,11500,11600,14987,000,4475000
22,A258250,ºø¡®≈ÿ,20210721,12200,12200,11750,11950,4873,000,4475000
23,A258250,ºø¡®≈ÿ,20210720,12150,12150,11900,12000,4261,000,4475000
24,A258250,ºø¡®≈ÿ,20210719,12400,12400,12000,12150,8164,000,4475000
25,A258250,ºø¡®≈ÿ,20210716,12450,12450,12050,12300,3600,000,4475000
26,A258250,ºø¡®≈ÿ,20210715,12400,12500,12250,12300,2726,000,4475000
27,A258250,ºø¡®≈ÿ,20210714,12350,12650,12250,12250,11596,000,4475000
28,A258250,ºø¡®≈ÿ,20210713,12650,12650,12050,12550,5845,000,4475000
29,A258250,ºø¡®≈ÿ,20210712,12300,12750,12000,12700,27933,000,4475000
30,A258250,ºø¡®≈ÿ,20210709,12300,12300,11550,12050,3967,000,4475000
31,A258250,ºø¡®≈ÿ,20210708,12450,12450,11950,12000,6108,000,4475000
32,A258250,ºø¡®≈ÿ,20210707,12600,12600,11900,12150,20689,000,4475000
33,A258250,ºø¡®≈ÿ,20210706,12750,12750,12300,12400,556,000,4475000
34,A258250,ºø¡®≈ÿ,20210705,12750,12750,12300,12400,4383,000,4475000
35,A258250,ºø¡®≈ÿ,20210702,12850,12850,12500,12550,10101,000,4475000
36,A258250,ºø¡®≈ÿ,20210701,12900,13100,12550,12800,6597,000,4475000
37,A258250,ºø¡®≈ÿ,20210630,13300,13500,12850,12900,14200,000,4475000
38,A258250,ºø¡®≈ÿ,20210629,13200,13500,12800,13100,9024,000,4475000
39,A258250,ºø¡®≈ÿ,20210628,13200,13200,12500,12900,2799,000,4475000
40,A258250,ºø¡®≈ÿ,20210625,13300,13300,12750,13050,4083,000,4475000
41,A258250,ºø¡®≈ÿ,20210624,13500,13500,12950,13050,1411,000,4475000
42,A258250,ºø¡®≈ÿ,20210623,12700,13500,12650,13200,2899,000,4475000
43,A258250,ºø¡®≈ÿ,20210622,13100,13100,13000,13050,320,000,4475000
44,A258250,ºø¡®≈ÿ,20210621,12600,13250,12600,12900,8867,000,4475000
45,A258250,ºø¡®≈ÿ,20210618,12300,12700,12200,12650,1278,000,4475000
46,A258250,ºø¡®≈ÿ,20210617,12450,12450,12050,12300,2130,000,4475000
47,A258250,ºø¡®≈ÿ,20210616,12200,12300,12000,12250,1488,000,4475000
