,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A290690,¼Ò·è½º,20210823,12400,12750,12200,12600,20760,272,8256000
1,A290690,¼Ò·è½º,20210820,13350,13500,12100,12300,99820,272,8256000
2,A290690,¼Ò·è½º,20210819,14200,14500,13300,13350,127067,272,8256000
3,A290690,¼Ò·è½º,20210818,14100,14900,14100,14450,74943,272,8256000
4,A290690,¼Ò·è½º,20210817,15650,15750,14200,14600,151116,272,8256000
5,A290690,¼Ò·è½º,20210813,16050,16200,15500,15750,89259,272,8256000
6,A290690,¼Ò·è½º,20210812,16400,16550,16000,16050,91856,272,8256000
7,A290690,¼Ò·è½º,20210811,16750,16800,16250,16250,95565,272,8256000
8,A290690,¼Ò·è½º,20210810,16950,17000,16300,16750,134288,272,8256000
9,A290690,¼Ò·è½º,20210809,16750,16950,16450,16950,144864,272,8256000
10,A290690,¼Ò·è½º,20210806,16700,17000,16350,16800,195639,272,8256000
11,A290690,¼Ò·è½º,20210805,15950,16800,15900,16600,503597,272,8256000
12,A290690,¼Ò·è½º,20210804,15750,15900,15650,15800,34635,272,8256000
13,A290690,¼Ò·è½º,20210803,15950,15950,15650,15700,67237,272,8256000
14,A290690,¼Ò·è½º,20210802,16250,16300,15800,15950,62748,272,8256000
15,A290690,¼Ò·è½º,20210730,16350,16550,16100,16200,165854,272,8256000
16,A290690,¼Ò·è½º,20210729,16100,16500,15950,16200,317670,272,8256000
17,A290690,¼Ò·è½º,20210728,15900,16000,15750,15900,47589,272,8256000
18,A290690,¼Ò·è½º,20210727,15750,16100,15750,15900,59993,272,8256000
19,A290690,¼Ò·è½º,20210726,16000,16150,15800,15800,60036,272,8256000
20,A290690,¼Ò·è½º,20210723,16050,16150,15800,16000,41004,272,8256000
21,A290690,¼Ò·è½º,20210722,15650,16150,15600,15950,77710,272,8256000
22,A290690,¼Ò·è½º,20210721,16100,16100,15650,15650,47894,272,8256000
23,A290690,¼Ò·è½º,20210720,15750,15950,15750,15850,27300,272,8256000
24,A290690,¼Ò·è½º,20210719,15900,16200,15900,16000,26034,272,8256000
25,A290690,¼Ò·è½º,20210716,15950,16200,15900,16000,40407,272,8256000
26,A290690,¼Ò·è½º,20210715,16100,16200,16000,16100,24988,272,8256000
27,A290690,¼Ò·è½º,20210714,15900,16250,15750,16050,54320,272,8256000
28,A290690,¼Ò·è½º,20210713,15850,16050,15600,15900,37799,272,8256000
29,A290690,¼Ò·è½º,20210712,15600,16200,15550,15900,63164,272,8256000
30,A290690,¼Ò·è½º,20210709,15700,15800,15500,15600,67809,272,8256000
31,A290690,¼Ò·è½º,20210708,15850,15950,15650,15900,48950,272,8256000
32,A290690,¼Ò·è½º,20210707,15900,15950,15700,15850,54589,272,8256000
33,A290690,¼Ò·è½º,20210706,16150,16150,15700,15900,134700,272,8256000
34,A290690,¼Ò·è½º,20210705,16100,16250,15900,16100,69889,272,8256000
35,A290690,¼Ò·è½º,20210702,16050,16450,16000,16050,143975,272,8256000
36,A290690,¼Ò·è½º,20210701,16250,16350,15950,16100,58094,272,8256000
37,A290690,¼Ò·è½º,20210630,16500,16650,16000,16200,100069,272,8256000
38,A290690,¼Ò·è½º,20210629,16700,16850,16250,16300,87141,272,8256000
39,A290690,¼Ò·è½º,20210628,17050,17250,16800,16800,36572,272,8256000
40,A290690,¼Ò·è½º,20210625,16950,17150,16800,16950,31184,272,8256000
41,A290690,¼Ò·è½º,20210624,16300,17500,16300,17100,167238,272,8256000
42,A290690,¼Ò·è½º,20210623,16600,16600,16250,16450,54427,272,8256000
43,A290690,¼Ò·è½º,20210622,16700,16800,16450,16600,45966,272,8256000
44,A290690,¼Ò·è½º,20210621,16900,16900,16600,16700,54607,272,8256000
45,A290690,¼Ò·è½º,20210618,17200,17200,16900,17000,39918,272,8256000
46,A290690,¼Ò·è½º,20210617,17300,17300,17050,17200,17539,272,8256000
47,A290690,¼Ò·è½º,20210616,17050,17250,17050,17200,24968,272,8256000
48,A290690,¼Ò·è½º,20210615,16950,17350,16900,17050,21134,272,8256000
49,A290690,¼Ò·è½º,20210614,17150,17300,16900,16950,26652,272,8256000
50,A290690,¼Ò·è½º,20210611,17350,17350,17000,17150,25732,272,8256000
51,A290690,¼Ò·è½º,20210610,17150,17400,16800,17150,71981,272,8256000
52,A290690,¼Ò·è½º,20210609,17450,17900,17150,17150,34401,272,8256000
53,A290690,¼Ò·è½º,20210608,18150,18200,17400,17500,49415,272,8256000
54,A290690,¼Ò·è½º,20210607,18400,18600,18150,18150,60739,272,8256000
55,A290690,¼Ò·è½º,20210604,18100,19150,18100,18250,124771,272,8256000
56,A290690,¼Ò·è½º,20210603,18300,18450,17900,18050,61403,272,8256000
57,A290690,¼Ò·è½º,20210602,18050,18550,17700,18200,121085,272,8256000
58,A290690,¼Ò·è½º,20210601,17000,18150,16850,18000,242557,272,8256000
59,A290690,¼Ò·è½º,20210531,16800,17100,16400,17000,75963,272,8256000
60,A290690,¼Ò·è½º,20210528,16900,16900,16550,16750,32196,272,8256000
61,A290690,¼Ò·è½º,20210527,16600,16850,16400,16700,26402,272,8256000
62,A290690,¼Ò·è½º,20210526,16750,16750,16400,16550,15731,272,8256000
63,A290690,¼Ò·è½º,20210525,16500,16800,16500,16500,24764,272,8256000
