,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A099440,½º¸Æ,20210823,1730,1795,1710,1760,45052,270,30734000
1,A099440,½º¸Æ,20210820,1760,1790,1675,1725,297019,270,30734000
2,A099440,½º¸Æ,20210819,1870,1875,1750,1760,406806,270,30734000
3,A099440,½º¸Æ,20210818,1865,1900,1825,1875,482755,270,30734000
4,A099440,½º¸Æ,20210817,1995,2005,1850,1930,644811,270,30734000
5,A099440,½º¸Æ,20210813,2060,2065,1965,2010,367897,270,30734000
6,A099440,½º¸Æ,20210812,2090,2100,1990,2085,350115,270,30734000
7,A099440,½º¸Æ,20210811,2130,2135,2065,2095,308809,270,30734000
8,A099440,½º¸Æ,20210810,2180,2200,2105,2125,334337,270,30734000
9,A099440,½º¸Æ,20210809,2310,2315,2155,2180,1203568,270,30734000
10,A099440,½º¸Æ,20210806,2230,2305,2195,2305,1784727,270,30734000
11,A099440,½º¸Æ,20210805,2055,2240,2030,2230,2291278,270,30734000
12,A099440,½º¸Æ,20210804,2010,2060,1990,2055,193330,270,30734000
13,A099440,½º¸Æ,20210803,2060,2080,1980,2010,271638,270,30734000
14,A099440,½º¸Æ,20210802,2090,2100,2000,2055,319885,270,30734000
15,A099440,½º¸Æ,20210730,2130,2140,2085,2090,428213,270,30734000
16,A099440,½º¸Æ,20210729,2150,2180,2100,2145,448047,270,30734000
17,A099440,½º¸Æ,20210728,2065,2265,2040,2155,3663885,270,30734000
18,A099440,½º¸Æ,20210727,2120,2225,2065,2085,1366461,270,30734000
19,A099440,½º¸Æ,20210726,2130,2135,2055,2090,269018,270,30734000
20,A099440,½º¸Æ,20210723,2135,2150,2085,2130,241754,270,30734000
21,A099440,½º¸Æ,20210722,2130,2140,2075,2140,404557,270,30734000
22,A099440,½º¸Æ,20210721,2155,2205,2100,2130,644787,270,30734000
23,A099440,½º¸Æ,20210720,2170,2210,2130,2170,1055358,270,30734000
24,A099440,½º¸Æ,20210719,2130,2260,2110,2240,2811518,270,30734000
25,A099440,½º¸Æ,20210716,2065,2270,1985,2155,6280353,270,30734000
26,A099440,½º¸Æ,20210715,2085,2085,2020,2065,397127,270,30734000
27,A099440,½º¸Æ,20210714,2125,2265,1945,2055,4974163,270,30734000
28,A099440,½º¸Æ,20210713,2060,2090,2040,2075,379311,270,30734000
29,A099440,½º¸Æ,20210712,2000,2065,1995,2060,255366,270,30734000
30,A099440,½º¸Æ,20210709,2005,2045,1940,2010,473224,270,30734000
