,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A033790,스카이문스테크놀로지,20210823,829,829,829,829,0,357,17117000
1,A033790,스카이문스테크놀로지,20210820,829,829,829,829,0,357,17117000
2,A033790,스카이문스테크놀로지,20210819,829,829,829,829,0,357,17117000
3,A033790,스카이문스테크놀로지,20210818,829,829,829,829,0,357,17117000
4,A033790,스카이문스테크놀로지,20210817,829,829,829,829,0,357,17117000
5,A033790,스카이문스테크놀로지,20210813,829,829,829,829,0,357,17117000
6,A033790,스카이문스테크놀로지,20210812,829,829,829,829,0,357,17117000
7,A033790,스카이문스테크놀로지,20210811,829,829,829,829,0,357,17117000
8,A033790,스카이문스테크놀로지,20210810,829,829,829,829,0,357,17117000
9,A033790,스카이문스테크놀로지,20210809,829,829,829,829,0,357,17117000
10,A033790,스카이문스테크놀로지,20210806,829,829,829,829,0,357,17117000
11,A033790,스카이문스테크놀로지,20210805,829,829,829,829,0,357,17117000
12,A033790,스카이문스테크놀로지,20210804,829,829,829,829,0,357,17117000
13,A033790,스카이문스테크놀로지,20210803,829,829,829,829,0,357,17117000
14,A033790,스카이문스테크놀로지,20210802,829,829,829,829,0,357,17117000
15,A033790,스카이문스테크놀로지,20210730,829,829,829,829,0,357,17117000
16,A033790,스카이문스테크놀로지,20210729,829,829,829,829,0,357,17117000
17,A033790,스카이문스테크놀로지,20210728,829,829,829,829,0,357,17117000
18,A033790,스카이문스테크놀로지,20210727,829,829,829,829,0,357,17117000
19,A033790,스카이문스테크놀로지,20210726,829,829,829,829,0,357,17117000
20,A033790,스카이문스테크놀로지,20210723,829,829,829,829,0,357,17117000
21,A033790,스카이문스테크놀로지,20210722,829,829,829,829,0,357,17117000
22,A033790,스카이문스테크놀로지,20210721,829,829,829,829,0,357,17117000
23,A033790,스카이문스테크놀로지,20210720,829,829,829,829,0,357,17117000
24,A033790,스카이문스테크놀로지,20210719,829,829,829,829,0,357,17117000
25,A033790,스카이문스테크놀로지,20210716,829,829,829,829,0,357,17117000
26,A033790,스카이문스테크놀로지,20210715,829,829,829,829,0,357,17117000
27,A033790,스카이문스테크놀로지,20210714,829,829,829,829,0,357,17117000
28,A033790,스카이문스테크놀로지,20210713,829,829,829,829,0,357,17117000
29,A033790,스카이문스테크놀로지,20210712,829,829,829,829,0,357,17117000
30,A033790,스카이문스테크놀로지,20210709,829,829,829,829,0,357,17117000
31,A033790,스카이문스테크놀로지,20210708,829,829,829,829,0,357,17117000
32,A033790,스카이문스테크놀로지,20210707,829,829,829,829,0,357,17117000
33,A033790,스카이문스테크놀로지,20210706,829,829,829,829,0,357,17117000
34,A033790,스카이문스테크놀로지,20210705,829,829,829,829,0,357,17117000
35,A033790,스카이문스테크놀로지,20210702,829,829,829,829,0,357,17117000
36,A033790,스카이문스테크놀로지,20210701,829,829,829,829,0,357,17117000
37,A033790,스카이문스테크놀로지,20210630,829,829,829,829,0,357,17117000
38,A033790,스카이문스테크놀로지,20210629,829,829,829,829,0,357,17117000
39,A033790,스카이문스테크놀로지,20210628,829,829,829,829,0,357,17117000
40,A033790,스카이문스테크놀로지,20210625,829,829,829,829,0,357,17117000
41,A033790,스카이문스테크놀로지,20210624,829,829,829,829,0,357,17117000
42,A033790,스카이문스테크놀로지,20210623,829,829,829,829,0,357,17117000
43,A033790,스카이문스테크놀로지,20210622,829,829,829,829,0,357,17117000
44,A033790,스카이문스테크놀로지,20210621,829,829,829,829,0,357,17117000
45,A033790,스카이문스테크놀로지,20210618,829,829,829,829,0,357,17117000
46,A033790,스카이문스테크놀로지,20210617,829,829,829,829,0,357,17117000
47,A033790,스카이문스테크놀로지,20210616,829,829,829,829,0,357,17117000
48,A033790,스카이문스테크놀로지,20210615,829,829,829,829,0,357,17117000
49,A033790,스카이문스테크놀로지,20210614,829,829,829,829,0,357,17117000
50,A033790,스카이문스테크놀로지,20210611,829,829,829,829,0,357,17117000
51,A033790,스카이문스테크놀로지,20210610,829,829,829,829,0,357,17117000
52,A033790,스카이문스테크놀로지,20210609,829,829,829,829,0,357,17117000
53,A033790,스카이문스테크놀로지,20210608,829,829,829,829,0,357,17117000
54,A033790,스카이문스테크놀로지,20210607,829,829,829,829,0,357,17117000
55,A033790,스카이문스테크놀로지,20210604,829,829,829,829,0,357,17117000
56,A033790,스카이문스테크놀로지,20210603,829,829,829,829,0,357,17117000
57,A033790,스카이문스테크놀로지,20210602,829,829,829,829,0,357,17117000
58,A033790,스카이문스테크놀로지,20210601,829,829,829,829,0,357,17117000
59,A033790,스카이문스테크놀로지,20210531,829,829,829,829,0,357,17117000
60,A033790,스카이문스테크놀로지,20210528,829,829,829,829,0,357,17117000
61,A033790,스카이문스테크놀로지,20210527,829,829,829,829,0,357,17117000
62,A033790,스카이문스테크놀로지,20210526,829,829,829,829,0,357,17117000
63,A033790,스카이문스테크놀로지,20210525,829,829,829,829,0,357,17117000
64,A033790,스카이문스테크놀로지,20210524,829,829,829,829,0,357,17117000
65,A033790,스카이문스테크놀로지,20210521,829,829,829,829,0,357,17117000
66,A033790,스카이문스테크놀로지,20210520,829,829,829,829,0,357,17117000
67,A033790,스카이문스테크놀로지,20210518,829,829,829,829,0,357,17117000
68,A033790,스카이문스테크놀로지,20210517,829,829,829,829,0,357,17117000
69,A033790,스카이문스테크놀로지,20210514,829,829,829,829,0,357,17117000
70,A033790,스카이문스테크놀로지,20210513,829,829,829,829,0,357,17117000
71,A033790,스카이문스테크놀로지,20210512,829,829,829,829,0,357,17117000
72,A033790,스카이문스테크놀로지,20210511,829,829,829,829,0,357,17117000
73,A033790,스카이문스테크놀로지,20210510,829,829,829,829,0,357,17117000
74,A033790,스카이문스테크놀로지,20210507,829,829,829,829,0,357,17117000
75,A033790,스카이문스테크놀로지,20210506,829,829,829,829,0,357,17117000
76,A033790,스카이문스테크놀로지,20210504,829,829,829,829,0,357,17117000
77,A033790,스카이문스테크놀로지,20210503,829,829,829,829,0,357,17117000
78,A033790,스카이문스테크놀로지,20210430,829,829,829,829,0,357,17117000
79,A033790,스카이문스테크놀로지,20210429,829,829,829,829,0,357,17117000
80,A033790,스카이문스테크놀로지,20210428,829,829,829,829,0,357,17117000
81,A033790,스카이문스테크놀로지,20210427,829,829,829,829,0,357,17117000
82,A033790,스카이문스테크놀로지,20210426,829,829,829,829,0,357,17117000
83,A033790,스카이문스테크놀로지,20210423,829,829,829,829,0,357,17117000
84,A033790,스카이문스테크놀로지,20210422,829,829,829,829,0,357,17117000
85,A033790,스카이문스테크놀로지,20210421,829,829,829,829,0,357,17117000
86,A033790,스카이문스테크놀로지,20210420,829,829,829,829,0,357,17117000
87,A033790,스카이문스테크놀로지,20210419,829,829,829,829,0,357,17117000
88,A033790,스카이문스테크놀로지,20210416,829,829,829,829,0,357,17117000
89,A033790,스카이문스테크놀로지,20210415,829,829,829,829,0,357,17117000
90,A033790,스카이문스테크놀로지,20210414,829,829,829,829,0,357,17117000
91,A033790,스카이문스테크놀로지,20210413,829,829,829,829,0,357,17117000
92,A033790,스카이문스테크놀로지,20210412,829,829,829,829,0,357,17117000
93,A033790,스카이문스테크놀로지,20210409,829,829,829,829,0,357,17117000
94,A033790,스카이문스테크놀로지,20210408,829,829,829,829,0,357,17117000
95,A033790,스카이문스테크놀로지,20210407,829,829,829,829,0,357,17117000
96,A033790,스카이문스테크놀로지,20210406,829,829,829,829,0,357,17117000
97,A033790,스카이문스테크놀로지,20210405,829,829,829,829,0,357,17117000
98,A033790,스카이문스테크놀로지,20210402,829,829,829,829,0,357,17117000
99,A033790,스카이문스테크놀로지,20210401,829,829,829,829,0,357,17117000
100,A033790,스카이문스테크놀로지,20210331,829,829,829,829,0,357,17117000
