,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A004170,신세계,20210823,247000,249000,245500,248000,15305,016,9845000
1,A004170,신세계,20210820,251000,252500,244000,246000,87097,016,9845000
2,A004170,신세계,20210819,260000,260500,249000,250500,107756,016,9845000
3,A004170,신세계,20210818,264000,264500,260000,261500,57864,016,9845000
4,A004170,신세계,20210817,273500,275000,261000,261000,115213,016,9845000
5,A004170,신세계,20210813,270500,280500,269000,271500,161647,016,9845000
6,A004170,신세계,20210812,272000,272000,266500,267500,64546,016,9845000
7,A004170,신세계,20210811,269000,272500,267000,270500,42591,016,9845000
8,A004170,신세계,20210810,268000,269500,266000,268500,38488,016,9845000
9,A004170,신세계,20210809,268500,269000,266500,268000,36503,016,9845000
10,A004170,신세계,20210806,271000,273000,268500,270000,42328,016,9845000
11,A004170,신세계,20210805,272500,274000,269500,270500,40476,016,9845000
12,A004170,신세계,20210804,266000,274000,266000,272500,65534,016,9845000
13,A004170,신세계,20210803,265000,268000,264500,268000,30488,016,9845000
14,A004170,신세계,20210802,267500,269500,264000,267000,52266,016,9845000
15,A004170,신세계,20210730,270500,271500,265000,266000,85120,016,9845000
16,A004170,신세계,20210729,272500,275500,270000,271500,56374,016,9845000
17,A004170,신세계,20210728,273500,275000,269500,271500,44269,016,9845000
18,A004170,신세계,20210727,272000,274500,271000,272500,44005,016,9845000
19,A004170,신세계,20210726,277500,277500,270500,271000,49556,016,9845000
20,A004170,신세계,20210723,274000,276000,274000,274000,23135,016,9845000
21,A004170,신세계,20210722,273500,279000,273000,276000,52885,016,9845000
22,A004170,신세계,20210721,275500,276000,271500,272500,41193,016,9845000
23,A004170,신세계,20210720,275500,278000,274000,274500,57129,016,9845000
24,A004170,신세계,20210719,282000,282500,278000,279500,45026,016,9845000
25,A004170,신세계,20210716,279000,282000,276000,282000,68547,016,9845000
26,A004170,신세계,20210715,277000,280000,277000,279500,41880,016,9845000
27,A004170,신세계,20210714,279500,280000,274500,276500,56211,016,9845000
28,A004170,신세계,20210713,276000,282000,275500,281000,79051,016,9845000
29,A004170,신세계,20210712,272500,275500,271000,275000,58427,016,9845000
30,A004170,신세계,20210709,272000,272500,266500,272000,103919,016,9845000
31,A004170,신세계,20210708,278500,280000,274000,276000,86447,016,9845000
32,A004170,신세계,20210707,283500,283500,278000,278500,107193,016,9845000
33,A004170,신세계,20210706,280500,286500,280000,284500,65282,016,9845000
34,A004170,신세계,20210705,282500,283000,280000,281000,48580,016,9845000
35,A004170,신세계,20210702,281000,283000,281000,282000,44229,016,9845000
36,A004170,신세계,20210701,284500,285000,281000,282000,63649,016,9845000
37,A004170,신세계,20210630,285000,286500,284000,285500,71789,016,9845000
38,A004170,신세계,20210629,285500,288000,282500,287500,103800,016,9845000
39,A004170,신세계,20210628,284500,288000,281500,285000,142695,016,9845000
40,A004170,신세계,20210625,285000,286000,280000,284000,219637,016,9845000
41,A004170,신세계,20210624,278500,278500,273000,277000,145145,016,9845000
42,A004170,신세계,20210623,282500,283000,276000,278500,128263,016,9845000
43,A004170,신세계,20210622,283500,285000,281000,281500,125190,016,9845000
44,A004170,신세계,20210621,280000,284500,279500,281000,186855,016,9845000
45,A004170,신세계,20210618,291500,292000,278000,279500,477758,016,9845000
46,A004170,신세계,20210617,305500,306500,290000,291500,472531,016,9845000
47,A004170,신세계,20210616,302000,311000,300000,305000,184091,016,9845000
48,A004170,신세계,20210615,301000,302000,296500,301000,61565,016,9845000
49,A004170,신세계,20210614,300500,302000,297500,300000,63462,016,9845000
50,A004170,신세계,20210611,305500,306000,299000,299500,114045,016,9845000
51,A004170,신세계,20210610,308000,308000,304500,305000,77389,016,9845000
52,A004170,신세계,20210609,306000,314000,303000,306500,98949,016,9845000
53,A004170,신세계,20210608,306000,308500,304000,308000,66398,016,9845000
54,A004170,신세계,20210607,307000,308500,304000,305500,73415,016,9845000
55,A004170,신세계,20210604,317500,317500,304500,306000,192768,016,9845000
56,A004170,신세계,20210603,316500,322000,314500,318500,80929,016,9845000
57,A004170,신세계,20210602,320500,325000,316500,317500,126546,016,9845000
58,A004170,신세계,20210601,323500,324000,319000,320500,60796,016,9845000
59,A004170,신세계,20210531,318000,327500,315000,321500,144445,016,9845000
60,A004170,신세계,20210528,312500,316500,310500,315000,110153,016,9845000
61,A004170,신세계,20210527,317000,319500,309000,309000,99511,016,9845000
62,A004170,신세계,20210526,306000,316500,306000,314000,183139,016,9845000
63,A004170,신세계,20210525,302500,308500,301000,305500,66135,016,9845000
64,A004170,신세계,20210524,299500,305500,298500,302000,54411,016,9845000
65,A004170,신세계,20210521,311000,313000,300000,302000,105193,016,9845000
66,A004170,신세계,20210520,308500,315000,308000,311500,57707,016,9845000
67,A004170,신세계,20210518,316000,320500,309000,311500,93459,016,9845000
68,A004170,신세계,20210517,310000,322500,303500,318500,149448,016,9845000
69,A004170,신세계,20210514,309500,315000,306500,308000,114256,016,9845000
70,A004170,신세계,20210513,316000,322000,305500,307000,236725,016,9845000
71,A004170,신세계,20210512,321000,323500,313000,320000,148742,016,9845000
