,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A017000,신원종합개발,20210823,5360,5700,5360,5590,65309,226,11668000
1,A017000,신원종합개발,20210820,5710,5850,5340,5460,116996,226,11668000
2,A017000,신원종합개발,20210819,6010,6150,5710,5710,104831,226,11668000
3,A017000,신원종합개발,20210818,5760,6040,5700,6020,114051,226,11668000
4,A017000,신원종합개발,20210817,6030,6170,5540,5760,159222,226,11668000
5,A017000,신원종합개발,20210813,6120,6190,5800,6140,123202,226,11668000
6,A017000,신원종합개발,20210812,6260,6330,6110,6110,82296,226,11668000
7,A017000,신원종합개발,20210811,6300,6390,6190,6190,112173,226,11668000
8,A017000,신원종합개발,20210810,6470,6550,6290,6350,108227,226,11668000
9,A017000,신원종합개발,20210809,6760,6760,6470,6470,112419,226,11668000
10,A017000,신원종합개발,20210806,6890,7000,6720,6730,99608,226,11668000
11,A017000,신원종합개발,20210805,6940,6970,6870,6890,42809,226,11668000
12,A017000,신원종합개발,20210804,6800,7000,6740,6940,68104,226,11668000
13,A017000,신원종합개발,20210803,7060,7140,6800,6860,145042,226,11668000
14,A017000,신원종합개발,20210802,7060,7200,7000,7050,77094,226,11668000
15,A017000,신원종합개발,20210730,7030,7300,7030,7060,337354,226,11668000
16,A017000,신원종합개발,20210729,6910,7030,6870,7000,108465,226,11468000
17,A017000,신원종합개발,20210728,7070,7200,6850,6990,182858,226,11468000
18,A017000,신원종합개발,20210727,6780,7460,6780,7030,882306,226,11468000
19,A017000,신원종합개발,20210726,6800,7040,6740,6780,160427,226,11468000
20,A017000,신원종합개발,20210723,6650,6870,6560,6800,133505,226,11468000
21,A017000,신원종합개발,20210722,6740,6800,6640,6690,180522,226,11268000
22,A017000,신원종합개발,20210721,7030,7070,6730,6790,190384,226,11268000
23,A017000,신원종합개발,20210720,6910,7230,6900,7000,256276,226,11268000
24,A017000,신원종합개발,20210719,7490,7500,7020,7150,325315,226,11268000
25,A017000,신원종합개발,20210716,7680,7680,7480,7510,171858,226,11268000
26,A017000,신원종합개발,20210715,7600,7780,7590,7670,177310,226,11268000
27,A017000,신원종합개발,20210714,7700,7700,7450,7570,360828,226,11268000
28,A017000,신원종합개발,20210713,7920,8110,7300,7670,497882,226,11268000
