,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A002870,신풍제지,20210823,2510,2625,2510,2625,82998,007,34958000
1,A002870,신풍제지,20210820,2700,2740,2540,2540,213699,007,34958000
2,A002870,신풍제지,20210819,2765,2875,2695,2700,138724,007,34958000
3,A002870,신풍제지,20210818,2670,2880,2635,2825,269256,007,34958000
4,A002870,신풍제지,20210817,2875,2905,2770,2775,295333,007,34958000
5,A002870,신풍제지,20210813,2985,2985,2865,2915,190187,007,34958000
6,A002870,신풍제지,20210812,3045,3045,2955,2965,142112,007,34958000
7,A002870,신풍제지,20210811,3045,3060,2990,3020,200483,007,34958000
8,A002870,신풍제지,20210810,3070,3080,3000,3010,144169,007,34958000
9,A002870,신풍제지,20210809,3095,3095,3015,3085,139879,007,34958000
10,A002870,신풍제지,20210806,3150,3150,3085,3100,103232,007,34958000
11,A002870,신풍제지,20210805,3160,3160,3110,3140,72174,007,34958000
12,A002870,신풍제지,20210804,3120,3160,3070,3110,115437,007,34958000
13,A002870,신풍제지,20210803,3090,3155,3025,3070,250481,007,34958000
14,A002870,신풍제지,20210802,3195,3235,3100,3110,157036,007,34958000
15,A002870,신풍제지,20210730,3210,3230,3175,3195,162140,007,34958000
16,A002870,신풍제지,20210729,3240,3250,3215,3230,82070,007,34958000
17,A002870,신풍제지,20210728,3260,3300,3215,3245,137320,007,34958000
18,A002870,신풍제지,20210727,3265,3280,3220,3265,89097,007,34958000
19,A002870,신풍제지,20210726,3300,3305,3240,3265,84539,007,34958000
20,A002870,신풍제지,20210723,3260,3290,3240,3275,110860,007,34958000
21,A002870,신풍제지,20210722,3285,3305,3195,3260,265887,007,34958000
22,A002870,신풍제지,20210721,3360,3365,3285,3285,127395,007,34958000
23,A002870,신풍제지,20210720,3315,3340,3250,3295,235083,007,34958000
24,A002870,신풍제지,20210719,3445,3480,3305,3320,385410,007,34958000
25,A002870,신풍제지,20210716,3460,3575,3410,3455,436447,007,34958000
26,A002870,신풍제지,20210715,3560,3565,3480,3490,265573,007,34958000
27,A002870,신풍제지,20210714,3510,3580,3495,3520,358030,007,34958000
28,A002870,신풍제지,20210713,3560,3570,3470,3505,486783,007,34958000
29,A002870,신풍제지,20210712,3635,3720,3555,3560,1143056,007,34958000
30,A002870,신풍제지,20210709,3595,3665,3490,3510,1368263,007,34958000
31,A002870,신풍제지,20210708,3755,3760,3500,3540,1641943,007,34958000
32,A002870,신풍제지,20210707,3530,3830,3475,3740,7546710,007,34958000
33,A002870,신풍제지,20210706,3420,3480,3405,3430,145954,007,34958000
34,A002870,신풍제지,20210705,3380,3465,3380,3420,114966,007,34958000
35,A002870,신풍제지,20210702,3400,3460,3400,3405,122307,007,34958000
36,A002870,신풍제지,20210701,3500,3510,3410,3420,240766,007,34958000
37,A002870,신풍제지,20210630,3560,3560,3450,3465,97872,007,34958000
38,A002870,신풍제지,20210629,3460,3505,3435,3470,174910,007,34958000
39,A002870,신풍제지,20210628,3425,3520,3400,3470,167655,007,34958000
40,A002870,신풍제지,20210625,3515,3530,3450,3455,163184,007,34958000
41,A002870,신풍제지,20210624,3500,3630,3435,3510,323116,007,34958000
42,A002870,신풍제지,20210623,3610,3610,3485,3520,323219,007,34958000
43,A002870,신풍제지,20210622,3680,3995,3550,3550,4460279,007,34958000
44,A002870,신풍제지,20210621,3520,3535,3440,3475,232099,007,34958000
45,A002870,신풍제지,20210618,3575,3605,3555,3560,242257,007,34958000
46,A002870,신풍제지,20210617,3530,3625,3505,3625,480996,007,34958000
47,A002870,신풍제지,20210616,3555,3590,3520,3530,263728,007,34958000
48,A002870,신풍제지,20210615,3575,3600,3490,3530,244064,007,34958000
49,A002870,신풍제지,20210614,3455,3780,3435,3575,1943643,007,34958000
50,A002870,신풍제지,20210611,3390,3510,3385,3455,323658,007,34958000
51,A002870,신풍제지,20210610,3355,3490,3335,3390,313418,007,34958000
52,A002870,신풍제지,20210609,3455,3455,3315,3385,205075,007,34958000
53,A002870,신풍제지,20210608,3540,3540,3405,3430,284532,007,34958000
54,A002870,신풍제지,20210607,3460,3550,3445,3510,461492,007,34958000
55,A002870,신풍제지,20210604,3445,3470,3420,3460,108664,007,34958000
56,A002870,신풍제지,20210603,3480,3480,3410,3445,208761,007,34958000
57,A002870,신풍제지,20210602,3335,3480,3335,3480,601049,007,34958000
58,A002870,신풍제지,20210601,3330,3360,3310,3320,166810,007,34958000
59,A002870,신풍제지,20210531,3305,3415,3265,3320,225493,007,34958000
60,A002870,신풍제지,20210528,3270,3315,3250,3305,200927,007,34958000
61,A002870,신풍제지,20210527,3260,3280,3205,3270,100152,007,34958000
62,A002870,신풍제지,20210526,3185,3295,3185,3250,176749,007,34958000
63,A002870,신풍제지,20210525,3155,3205,3130,3200,112037,007,34958000
64,A002870,신풍제지,20210524,3195,3210,3125,3130,159423,007,34958000
65,A002870,신풍제지,20210521,3210,3330,3195,3210,141249,007,34958000
66,A002870,신풍제지,20210520,3270,3305,3200,3210,110751,007,34958000
67,A002870,신풍제지,20210518,3260,3325,3160,3270,157020,007,34958000
68,A002870,신풍제지,20210517,3275,3320,3200,3200,204382,007,34958000
69,A002870,신풍제지,20210514,3315,3360,3260,3285,180600,007,34958000
70,A002870,신풍제지,20210513,3400,3430,3280,3300,269548,007,34958000
71,A002870,신풍제지,20210512,3480,3515,3430,3470,162225,007,34958000
72,A002870,신풍제지,20210511,3520,3600,3455,3470,243874,007,34958000
73,A002870,신풍제지,20210510,3550,3570,3490,3545,300558,007,34958000
74,A002870,신풍제지,20210507,3510,3580,3420,3550,249386,007,34958000
75,A002870,신풍제지,20210506,3320,3470,3315,3470,272107,007,34958000
76,A002870,신풍제지,20210504,3465,3500,3325,3360,330744,007,34958000
77,A002870,신풍제지,20210503,3465,3570,3435,3465,216165,007,34958000
78,A002870,신풍제지,20210430,3480,3620,3470,3505,432294,007,34958000
79,A002870,신풍제지,20210429,3550,3625,3415,3510,341223,007,34958000
80,A002870,신풍제지,20210428,3625,3640,3505,3510,445248,007,34958000
81,A002870,신풍제지,20210427,3730,3745,3605,3615,733254,007,34958000
82,A002870,신풍제지,20210426,3805,3845,3685,3760,686946,007,34958000
83,A002870,신풍제지,20210423,3965,3975,3840,3845,687902,007,34958000
84,A002870,신풍제지,20210422,3990,4055,3870,3895,769415,007,34958000
85,A002870,신풍제지,20210421,3930,4085,3905,3950,1730709,007,34958000
86,A002870,신풍제지,20210420,3800,3975,3735,3925,1549382,007,34958000
87,A002870,신풍제지,20210419,4300,4310,3895,3920,2315321,007,34958000
88,A002870,신풍제지,20210416,4415,4485,4230,4265,1308838,007,34958000
89,A002870,신풍제지,20210415,4250,4460,4200,4360,3553253,007,34958000
90,A002870,신풍제지,20210414,4040,4620,3955,4210,9706889,007,34958000
91,A002870,신풍제지,20210413,3980,4125,3950,4035,800129,007,34958000
92,A002870,신풍제지,20210412,4130,4170,4000,4030,1038642,007,34958000
93,A002870,신풍제지,20210409,4305,4500,3985,4085,3749182,007,34958000
94,A002870,신풍제지,20210408,4190,4650,4140,4285,15154517,007,34958000
95,A002870,신풍제지,20210407,3900,4155,3820,4125,3053062,007,34958000
96,A002870,신풍제지,20210406,3905,3995,3800,3910,656064,007,34958000
97,A002870,신풍제지,20210405,4100,4105,3930,3935,777643,007,34958000
98,A002870,신풍제지,20210402,3925,4050,3900,3950,858219,007,34958000
99,A002870,신풍제지,20210401,4015,4065,3915,3950,1115878,007,34958000
100,A002870,신풍제지,20210331,3845,4090,3830,4010,2530413,007,34958000
101,A002870,신풍제지,20210330,3735,3960,3610,3895,2044043,007,34958000
102,A002870,신풍제지,20210329,3860,3930,3650,3735,1243758,007,34958000
103,A002870,신풍제지,20210326,3740,4000,3740,3825,4778940,007,34958000
104,A002870,신풍제지,20210325,3470,4040,3460,3760,10780929,007,34958000
105,A002870,신풍제지,20210324,3860,3935,3420,3420,2577703,007,34958000
106,A002870,신풍제지,20210323,3650,4295,3620,3855,17993707,007,34958000
107,A002870,신풍제지,20210322,3700,3770,3620,3660,2878897,007,34958000
108,A002870,신풍제지,20210319,3310,4090,3310,3700,19753584,007,34958000
109,A002870,신풍제지,20210318,3220,3360,3210,3305,1485076,007,34958000
110,A002870,신풍제지,20210317,3150,3240,3145,3215,1038325,007,34958000
111,A002870,신풍제지,20210316,3225,3285,3020,3150,1952914,007,34958000
112,A002870,신풍제지,20210315,2825,3100,2825,3100,1640465,007,34958000
113,A002870,신풍제지,20210312,2805,2890,2800,2845,539212,007,34958000
114,A002870,신풍제지,20210311,2765,2865,2715,2760,561443,007,34958000
115,A002870,신풍제지,20210310,2780,2820,2735,2735,475361,007,34958000
116,A002870,신풍제지,20210309,2855,2880,2730,2780,548789,007,34958000
117,A002870,신풍제지,20210308,2965,2970,2840,2845,584677,007,34958000
118,A002870,신풍제지,20210305,2910,3040,2890,2930,897103,007,34958000
119,A002870,신풍제지,20210304,2895,2975,2850,2910,584714,007,34958000
120,A002870,신풍제지,20210303,2940,2995,2860,2900,626141,007,34958000
121,A002870,신풍제지,20210302,2870,2930,2820,2905,710347,007,34958000
122,A002870,신풍제지,20210226,2835,2890,2795,2850,886269,007,34958000
123,A002870,신풍제지,20210225,2885,2960,2840,2915,1049108,007,34958000
124,A002870,신풍제지,20210224,2965,3190,2875,2880,1531369,007,34958000
125,A002870,신풍제지,20210223,3010,3050,2965,2995,1449363,007,34958000
126,A002870,신풍제지,20210222,3100,3265,3065,3090,2447833,007,34958000
127,A002870,신풍제지,20210219,3100,3455,3100,3160,7585320,007,34958000
128,A002870,신풍제지,20210218,4100,4120,3050,3090,8563951,007,34958000
129,A002870,신풍제지,20210217,3925,4820,3600,4200,48522572,007,34958000
130,A002870,신풍제지,20210216,3675,3980,3455,3900,31542479,007,34958000
131,A002870,신풍제지,20210215,2825,3240,2800,3080,19404823,007,34958000
132,A002870,신풍제지,20210210,2750,3060,2735,2760,7636894,007,34958000
133,A002870,신풍제지,20210209,2740,2800,2720,2735,602649,007,34958000
134,A002870,신풍제지,20210208,2850,2855,2730,2785,694255,007,34958000
135,A002870,신풍제지,20210205,2915,2915,2785,2815,751945,007,34958000
136,A002870,신풍제지,20210204,2820,2930,2800,2880,2474203,007,34958000
137,A002870,신풍제지,20210203,2805,2845,2750,2795,1326357,007,34958000
138,A002870,신풍제지,20210202,2880,2885,2710,2805,1873097,007,34958000
139,A002870,신풍제지,20210201,3045,3085,2805,2880,2478034,007,34958000
140,A002870,신풍제지,20210129,3295,3450,2880,2905,11098405,007,34958000
141,A002870,신풍제지,20210128,3020,3705,2995,3180,40818057,007,34958000
142,A002870,신풍제지,20210127,2815,3095,2780,2850,1319079,007,34958000
143,A002870,신풍제지,20210126,2850,2910,2725,2820,346513,007,34958000
144,A002870,신풍제지,20210125,2870,2880,2830,2845,304596,007,34958000
145,A002870,신풍제지,20210122,2865,2895,2810,2880,324752,007,34958000
146,A002870,신풍제지,20210121,2900,2925,2860,2860,365008,007,34958000
147,A002870,신풍제지,20210120,2940,3000,2900,2905,636560,007,34958000
