,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A289010,아이스크림에듀,20210823,7000,7240,7000,7220,61637,263,12864000
1,A289010,아이스크림에듀,20210820,7420,7530,7010,7040,255294,263,12864000
2,A289010,아이스크림에듀,20210819,7960,7960,7500,7500,183842,263,12864000
3,A289010,아이스크림에듀,20210818,7640,8020,7630,7890,214353,263,12864000
4,A289010,아이스크림에듀,20210817,8250,8260,7850,7990,239944,263,12864000
5,A289010,아이스크림에듀,20210813,8510,8580,8210,8270,152863,263,12864000
6,A289010,아이스크림에듀,20210812,8670,8900,8480,8510,174900,263,12864000
7,A289010,아이스크림에듀,20210811,8500,8760,8430,8750,270504,263,12864000
8,A289010,아이스크림에듀,20210810,8360,8420,8270,8420,146359,263,12864000
9,A289010,아이스크림에듀,20210809,8530,8810,8300,8350,350835,263,12864000
10,A289010,아이스크림에듀,20210806,8480,8520,8400,8420,69629,263,12864000
11,A289010,아이스크림에듀,20210805,8360,8540,8360,8520,108072,263,12864000
12,A289010,아이스크림에듀,20210804,8230,8460,8210,8390,110946,263,12864000
13,A289010,아이스크림에듀,20210803,8340,8370,8140,8170,132546,263,12864000
14,A289010,아이스크림에듀,20210802,8390,8420,8250,8340,126998,263,12864000
15,A289010,아이스크림에듀,20210730,8540,8570,8320,8380,184968,263,12864000
16,A289010,아이스크림에듀,20210729,8590,8700,8540,8560,147265,263,12864000
17,A289010,아이스크림에듀,20210728,8530,8780,8530,8640,198446,263,12864000
18,A289010,아이스크림에듀,20210727,8710,8760,8570,8600,148671,263,12864000
19,A289010,아이스크림에듀,20210726,8790,8920,8690,8810,229407,263,12864000
20,A289010,아이스크림에듀,20210723,8960,8970,8730,8790,306376,263,12864000
21,A289010,아이스크림에듀,20210722,8650,9160,8580,8830,711323,263,12864000
22,A289010,아이스크림에듀,20210721,8620,8750,8530,8680,254475,263,12864000
23,A289010,아이스크림에듀,20210720,8500,8670,8500,8550,263048,263,12864000
24,A289010,아이스크림에듀,20210719,8740,8760,8560,8640,276523,263,12864000
