,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A011090,¿¡³Ø½º,20210823,2365,2425,2325,2415,452116,004,59991000
1,A011090,¿¡³Ø½º,20210820,2460,2480,2290,2365,1786642,004,59991000
2,A011090,¿¡³Ø½º,20210819,2570,2660,2400,2455,1304818,004,59991000
3,A011090,¿¡³Ø½º,20210818,2540,2765,2515,2630,1119714,004,59991000
4,A011090,¿¡³Ø½º,20210817,2750,2790,2545,2595,1428913,004,59991000
5,A011090,¿¡³Ø½º,20210813,2805,2830,2695,2750,1324317,004,59991000
6,A011090,¿¡³Ø½º,20210812,2860,2885,2815,2825,630987,004,59991000
7,A011090,¿¡³Ø½º,20210811,2805,2935,2805,2850,869000,004,59991000
8,A011090,¿¡³Ø½º,20210810,2895,2910,2800,2850,1099072,004,59991000
9,A011090,¿¡³Ø½º,20210809,3005,3005,2900,2900,1460205,004,59991000
10,A011090,¿¡³Ø½º,20210806,3060,3095,2985,2990,2085961,004,59991000
11,A011090,¿¡³Ø½º,20210805,3090,3105,3020,3030,1237076,004,59991000
12,A011090,¿¡³Ø½º,20210804,3045,3085,3000,3085,1435345,004,59991000
13,A011090,¿¡³Ø½º,20210803,3180,3225,3015,3050,6970298,004,59991000
14,A011090,¿¡³Ø½º,20210802,3020,3140,3010,3070,2865905,004,59991000
15,A011090,¿¡³Ø½º,20210730,3030,3180,2970,3010,7982651,004,59991000
16,A011090,¿¡³Ø½º,20210729,2955,3075,2950,2990,3766788,004,59991000
17,A011090,¿¡³Ø½º,20210728,3010,3055,2900,2985,3288750,004,59991000
18,A011090,¿¡³Ø½º,20210727,2890,3275,2850,3000,30232090,004,59991000
19,A011090,¿¡³Ø½º,20210726,2845,2865,2730,2750,902792,004,59991000
20,A011090,¿¡³Ø½º,20210723,2830,2950,2820,2820,1622377,004,59991000
21,A011090,¿¡³Ø½º,20210722,2820,2890,2815,2825,876024,004,59991000
22,A011090,¿¡³Ø½º,20210721,2910,2925,2810,2820,1051144,004,59991000
23,A011090,¿¡³Ø½º,20210720,2905,3010,2830,2885,1487898,004,59991000
