,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A056190,에스에프에이,20210823,36900,37200,36600,37000,19711,270,35908000
1,A056190,에스에프에이,20210820,37000,38100,36500,36850,195455,270,35908000
2,A056190,에스에프에이,20210819,38250,38400,36650,36800,169199,270,35908000
3,A056190,에스에프에이,20210818,39350,39500,38300,38450,190664,270,35908000
4,A056190,에스에프에이,20210817,40300,40750,39300,39350,162404,270,35908000
5,A056190,에스에프에이,20210813,40850,40900,39800,40600,139773,270,35908000
6,A056190,에스에프에이,20210812,40950,41300,40750,40800,71378,270,35908000
7,A056190,에스에프에이,20210811,42050,42050,41100,41250,99281,270,35908000
8,A056190,에스에프에이,20210810,42650,42700,41750,42150,100184,270,35908000
9,A056190,에스에프에이,20210809,42000,43000,41600,42400,219557,270,35908000
10,A056190,에스에프에이,20210806,41750,42150,41700,41800,78784,270,35908000
11,A056190,에스에프에이,20210805,41700,42000,41300,41900,99174,270,35908000
12,A056190,에스에프에이,20210804,41300,41750,40800,41750,115108,270,35908000
13,A056190,에스에프에이,20210803,40850,41300,40650,40950,90450,270,35908000
14,A056190,에스에프에이,20210802,40900,41150,40650,41150,38550,270,35908000
15,A056190,에스에프에이,20210730,41000,41150,40550,40600,64915,270,35908000
16,A056190,에스에프에이,20210729,41150,41350,40800,41150,55454,270,35908000
17,A056190,에스에프에이,20210728,41000,41250,40450,40900,85582,270,35908000
18,A056190,에스에프에이,20210727,41200,41550,41050,41050,59325,270,35908000
19,A056190,에스에프에이,20210726,42250,42250,41050,41050,78766,270,35908000
20,A056190,에스에프에이,20210723,41100,41800,41050,41800,124106,270,35908000
21,A056190,에스에프에이,20210722,40450,41500,40350,40900,112521,270,35908000
22,A056190,에스에프에이,20210721,40550,40800,40100,40200,97369,270,35908000
23,A056190,에스에프에이,20210720,40500,40800,40200,40450,110770,270,35908000
24,A056190,에스에프에이,20210719,40900,40900,40500,40650,73013,270,35908000
25,A056190,에스에프에이,20210716,41150,41200,40800,40950,79366,270,35908000
26,A056190,에스에프에이,20210715,40850,41600,40850,41450,72820,270,35908000
27,A056190,에스에프에이,20210714,40900,41050,40450,40800,88461,270,35908000
28,A056190,에스에프에이,20210713,40800,41500,40800,41050,53108,270,35908000
29,A056190,에스에프에이,20210712,41000,41600,40700,40750,72202,270,35908000
30,A056190,에스에프에이,20210709,41150,41850,40250,40700,137316,270,35908000
31,A056190,에스에프에이,20210708,41950,42200,41200,41250,112442,270,35908000
32,A056190,에스에프에이,20210707,42150,42400,42000,42050,104206,270,35908000
33,A056190,에스에프에이,20210706,42400,42650,42150,42200,82541,270,35908000
34,A056190,에스에프에이,20210705,42250,42600,41900,42350,79616,270,35908000
35,A056190,에스에프에이,20210702,42350,42650,41950,42350,82089,270,35908000
36,A056190,에스에프에이,20210701,43500,43500,42300,42350,171143,270,35908000
37,A056190,에스에프에이,20210630,42000,43400,41850,43300,254968,270,35908000
38,A056190,에스에프에이,20210629,42000,42600,41400,41800,165040,270,35908000
39,A056190,에스에프에이,20210628,41250,41550,41050,41400,69132,270,35908000
40,A056190,에스에프에이,20210625,41100,41850,41100,41150,84641,270,35908000
41,A056190,에스에프에이,20210624,41050,41550,40750,40900,81674,270,35908000
42,A056190,에스에프에이,20210623,41700,41900,40850,41050,131267,270,35908000
43,A056190,에스에프에이,20210622,41150,41750,41100,41350,77270,270,35908000
44,A056190,에스에프에이,20210621,41000,41800,40600,40850,156345,270,35908000
45,A056190,에스에프에이,20210618,41200,41750,40900,41150,191269,270,35908000
46,A056190,에스에프에이,20210617,40800,41200,40450,41100,138094,270,35908000
47,A056190,에스에프에이,20210616,41350,41500,40550,40750,250842,270,35908000
48,A056190,에스에프에이,20210615,42000,42050,41250,41300,129347,270,35908000
49,A056190,에스에프에이,20210614,42000,42250,41850,42000,57486,270,35908000
50,A056190,에스에프에이,20210611,41650,42100,41600,41950,92934,270,35908000
51,A056190,에스에프에이,20210610,41400,41850,41000,41600,197607,270,35908000
52,A056190,에스에프에이,20210609,42200,42300,40950,41150,174534,270,35908000
53,A056190,에스에프에이,20210608,42900,42950,42150,42200,119574,270,35908000
54,A056190,에스에프에이,20210607,42550,42900,42200,42850,84515,270,35908000
55,A056190,에스에프에이,20210604,43000,43050,42200,42300,116608,270,35908000
56,A056190,에스에프에이,20210603,42700,43650,42450,43200,163280,270,35908000
57,A056190,에스에프에이,20210602,42900,42900,42350,42600,76618,270,35908000
58,A056190,에스에프에이,20210601,42350,42800,42200,42600,72462,270,35908000
59,A056190,에스에프에이,20210531,43200,43200,42100,42400,141611,270,35908000
60,A056190,에스에프에이,20210528,43200,44100,42800,43150,143293,270,35908000
61,A056190,에스에프에이,20210527,42850,43150,42000,42900,139656,270,35908000
62,A056190,에스에프에이,20210526,43900,44100,42600,42800,153145,270,35908000
63,A056190,에스에프에이,20210525,42800,44000,42800,43850,159197,270,35908000
64,A056190,에스에프에이,20210524,43300,44100,42300,42600,169553,270,35908000
65,A056190,에스에프에이,20210521,43900,44600,43200,43200,234146,270,35908000
66,A056190,에스에프에이,20210520,42250,43650,41900,43550,224224,270,35908000
67,A056190,에스에프에이,20210518,43000,43350,42200,42650,113591,270,35908000
68,A056190,에스에프에이,20210517,41950,43500,41200,43100,350106,270,35908000
69,A056190,에스에프에이,20210514,40450,42300,40200,41900,301361,270,35908000
70,A056190,에스에프에이,20210513,39450,40550,39400,39650,181122,270,35908000
71,A056190,에스에프에이,20210512,41550,41700,39950,40250,220013,270,35908000
72,A056190,에스에프에이,20210511,42000,42250,41300,41550,129040,270,35908000
73,A056190,에스에프에이,20210510,41600,42750,41300,42650,154061,270,35908000
74,A056190,에스에프에이,20210507,41000,41750,40850,41550,84832,270,35908000
75,A056190,에스에프에이,20210506,40800,41050,40450,40700,96388,270,35908000
76,A056190,에스에프에이,20210504,41700,41700,40450,40800,173340,270,35908000
77,A056190,에스에프에이,20210503,41800,42450,41450,41650,158091,270,35908000
78,A056190,에스에프에이,20210430,41000,41900,40550,41900,196058,270,35908000
79,A056190,에스에프에이,20210429,41950,42150,41050,41100,147757,270,35908000
80,A056190,에스에프에이,20210428,43250,43250,41800,41900,211606,270,35908000
81,A056190,에스에프에이,20210427,43300,43350,42400,43150,116714,270,35908000
82,A056190,에스에프에이,20210426,43650,43650,43000,43400,107997,270,35908000
83,A056190,에스에프에이,20210423,42300,43350,41750,43350,162170,270,35908000
84,A056190,에스에프에이,20210422,42450,42850,42300,42450,89188,270,35908000
85,A056190,에스에프에이,20210421,42850,42900,42000,42350,164726,270,35908000
86,A056190,에스에프에이,20210420,44000,44050,43050,43050,203494,270,35908000
87,A056190,에스에프에이,20210419,43850,44250,43150,43850,224699,270,35908000
88,A056190,에스에프에이,20210416,42450,43900,42350,43750,323248,270,35908000
89,A056190,에스에프에이,20210415,42300,42700,42050,42350,135626,270,35908000
90,A056190,에스에프에이,20210414,42000,42400,41850,42050,134081,270,35908000
91,A056190,에스에프에이,20210413,42350,42350,41550,41750,193586,270,35908000
92,A056190,에스에프에이,20210412,43000,43400,42000,42350,228093,270,35908000
93,A056190,에스에프에이,20210409,41950,41950,41500,41550,135652,270,35908000
94,A056190,에스에프에이,20210408,42100,42350,41500,41500,195601,270,35908000
95,A056190,에스에프에이,20210407,41500,42200,41150,42000,238177,270,35908000
96,A056190,에스에프에이,20210406,41950,42000,41000,41150,127854,270,35908000
97,A056190,에스에프에이,20210405,41600,41650,41100,41450,109747,270,35908000
98,A056190,에스에프에이,20210402,40600,41650,40600,41300,217079,270,35908000
99,A056190,에스에프에이,20210401,40650,40700,40050,40300,122219,270,35908000
100,A056190,에스에프에이,20210331,40550,40600,39900,40550,178248,270,35908000
101,A056190,에스에프에이,20210330,40100,40950,40000,40750,129869,270,35908000
102,A056190,에스에프에이,20210329,40550,40550,39900,40000,170341,270,35908000
103,A056190,에스에프에이,20210326,41050,41150,40550,40600,150864,270,35908000
104,A056190,에스에프에이,20210325,40300,41100,40250,40700,247693,270,35908000
105,A056190,에스에프에이,20210324,39700,40600,39500,40200,178730,270,35908000
106,A056190,에스에프에이,20210323,41200,41300,40050,40150,175419,270,35908000
107,A056190,에스에프에이,20210322,40850,41150,40550,41000,146771,270,35908000
108,A056190,에스에프에이,20210319,40650,41200,40600,40750,149557,270,35908000
109,A056190,에스에프에이,20210318,41900,42150,41350,41500,111014,270,35908000
110,A056190,에스에프에이,20210317,42250,42250,41150,41600,111658,270,35908000
111,A056190,에스에프에이,20210316,41450,42300,40850,42150,250350,270,35908000
112,A056190,에스에프에이,20210315,41700,41700,40500,41050,246268,270,35908000
