,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A015260,에이엔피,20210823,2190,2270,2190,2260,371268,013,22336000
1,A015260,에이엔피,20210820,2510,2510,2030,2160,3026528,013,22336000
2,A015260,에이엔피,20210819,2635,2645,2515,2525,545803,013,22336000
3,A015260,에이엔피,20210818,2630,2750,2580,2640,697707,013,22336000
4,A015260,에이엔피,20210817,2660,2920,2605,2660,3366308,013,22336000
5,A015260,에이엔피,20210813,2480,2680,2445,2680,3414934,013,22336000
6,A015260,에이엔피,20210812,2180,2690,2180,2480,7771937,013,21826000
7,A015260,에이엔피,20210811,2175,2270,2120,2180,376838,013,21826000
8,A015260,에이엔피,20210810,2230,2245,2160,2180,383093,013,21826000
9,A015260,에이엔피,20210809,2350,2445,2180,2255,1997511,013,21826000
10,A015260,에이엔피,20210806,2225,2270,2150,2270,967069,013,21826000
11,A015260,에이엔피,20210805,2220,2255,2140,2225,387520,013,21826000
12,A015260,에이엔피,20210804,2100,2270,2100,2210,889049,013,21826000
13,A015260,에이엔피,20210803,2025,2105,2005,2100,323037,013,21826000
14,A015260,에이엔피,20210802,2090,2100,1955,2025,490151,013,21826000
15,A015260,에이엔피,20210730,2120,2155,2070,2100,273669,013,21826000
16,A015260,에이엔피,20210729,2065,2140,2005,2120,371203,013,21826000
17,A015260,에이엔피,20210728,2055,2170,1985,2065,515492,013,21826000
18,A015260,에이엔피,20210727,2135,2135,2035,2060,444094,013,21826000
19,A015260,에이엔피,20210726,2120,2180,2100,2150,508337,013,21826000
20,A015260,에이엔피,20210723,2155,2280,2135,2135,682247,013,21826000
21,A015260,에이엔피,20210722,2205,2260,2030,2165,1170399,013,21826000
22,A015260,에이엔피,20210721,2195,2365,2195,2240,1564578,013,21826000
23,A015260,에이엔피,20210720,2275,2290,2110,2275,3298813,013,21826000
24,A015260,에이엔피,20210719,1990,2480,1890,2310,18134825,013,21826000
25,A015260,에이엔피,20210716,1690,2005,1680,1910,9118260,013,21826000
26,A015260,에이엔피,20210715,1635,1680,1620,1680,125798,013,21826000
27,A015260,에이엔피,20210714,1630,1660,1615,1615,148548,013,21826000
28,A015260,에이엔피,20210713,1625,1645,1605,1630,92681,013,21826000
29,A015260,에이엔피,20210712,1570,1640,1570,1625,127080,013,21826000
30,A015260,에이엔피,20210709,1570,1600,1560,1585,128283,013,21826000
31,A015260,에이엔피,20210708,1625,1650,1580,1620,190218,013,21826000
32,A015260,에이엔피,20210707,1645,1665,1620,1635,95328,013,21826000
33,A015260,에이엔피,20210706,1595,1675,1595,1660,255919,013,21826000
34,A015260,에이엔피,20210705,1585,1600,1555,1595,206976,013,21826000
35,A015260,에이엔피,20210702,1635,1635,1550,1590,350715,013,21826000
36,A015260,에이엔피,20210701,1655,1655,1585,1635,356638,013,21826000
37,A015260,에이엔피,20210630,1690,1695,1635,1655,178175,013,21826000
38,A015260,에이엔피,20210629,1685,1715,1680,1690,91697,013,21826000
39,A015260,에이엔피,20210628,1700,1740,1560,1680,723573,013,21826000
40,A015260,에이엔피,20210625,1770,1770,1725,1760,245454,013,21826000
41,A015260,에이엔피,20210624,1795,1800,1750,1770,231931,013,21826000
42,A015260,에이엔피,20210623,1825,1840,1785,1785,363298,013,21826000
43,A015260,에이엔피,20210622,1790,1875,1775,1810,356707,013,21826000
44,A015260,에이엔피,20210621,1790,1800,1770,1785,127963,013,21826000
45,A015260,에이엔피,20210618,1780,1830,1740,1795,334425,013,21826000
46,A015260,에이엔피,20210617,1795,1805,1765,1780,99041,013,21826000
47,A015260,에이엔피,20210616,1810,1810,1755,1795,331729,013,21826000
48,A015260,에이엔피,20210615,1810,1815,1770,1805,207421,013,21826000
49,A015260,에이엔피,20210614,1830,1840,1760,1810,340883,013,21826000
50,A015260,에이엔피,20210611,1790,1885,1755,1800,1206247,013,21826000
51,A015260,에이엔피,20210610,1645,1795,1645,1790,1357848,013,21826000
52,A015260,에이엔피,20210609,1745,1745,1630,1645,536694,013,21826000
53,A015260,에이엔피,20210608,1730,1760,1690,1730,616750,013,21826000
54,A015260,에이엔피,20210607,1650,1730,1610,1730,776740,013,21826000
55,A015260,에이엔피,20210604,1610,1650,1590,1645,577922,013,21826000
56,A015260,에이엔피,20210603,1525,1635,1525,1605,1299632,013,21826000
57,A015260,에이엔피,20210602,1540,1565,1485,1530,224979,013,21826000
58,A015260,에이엔피,20210601,1505,1535,1480,1535,219330,013,21826000
59,A015260,에이엔피,20210531,1500,1575,1480,1495,499453,013,21826000
60,A015260,에이엔피,20210528,1500,1505,1480,1500,61201,013,21826000
61,A015260,에이엔피,20210527,1520,1530,1475,1500,121155,013,21826000
62,A015260,에이엔피,20210526,1465,1520,1460,1520,451087,013,21826000
63,A015260,에이엔피,20210525,1460,1480,1445,1465,125804,013,21826000
64,A015260,에이엔피,20210524,1460,1480,1455,1465,77076,013,21826000
65,A015260,에이엔피,20210521,1470,1470,1440,1460,115974,013,21826000
66,A015260,에이엔피,20210520,1480,1495,1450,1455,160853,013,21826000
67,A015260,에이엔피,20210518,1450,1515,1450,1480,187145,013,21826000
68,A015260,에이엔피,20210517,1515,1515,1450,1460,228804,013,21826000
69,A015260,에이엔피,20210514,1505,1515,1475,1515,165696,013,21826000
70,A015260,에이엔피,20210513,1420,1560,1400,1505,1004964,013,21826000
71,A015260,에이엔피,20210512,1415,1435,1405,1425,194046,013,21826000
72,A015260,에이엔피,20210511,1440,1440,1415,1425,89311,013,21826000
73,A015260,에이엔피,20210510,1450,1450,1410,1440,158833,013,21826000
74,A015260,에이엔피,20210507,1440,1440,1390,1435,119192,013,21826000
75,A015260,에이엔피,20210506,1445,1450,1415,1440,47247,013,21826000
76,A015260,에이엔피,20210504,1455,1455,1395,1445,202630,013,21826000
77,A015260,에이엔피,20210503,1420,1470,1420,1455,143333,013,21826000
78,A015260,에이엔피,20210430,1420,1450,1375,1425,197355,013,21826000
79,A015260,에이엔피,20210429,1420,1470,1415,1415,86421,013,21826000
80,A015260,에이엔피,20210428,1490,1505,1420,1420,224991,013,21826000
81,A015260,에이엔피,20210427,1545,1545,1490,1490,303533,013,21826000
82,A015260,에이엔피,20210426,1550,1570,1510,1520,213682,013,21826000
83,A015260,에이엔피,20210423,1515,1555,1500,1540,379036,013,21826000
84,A015260,에이엔피,20210422,1455,1520,1440,1520,307136,013,21826000
85,A015260,에이엔피,20210421,1445,1460,1430,1455,142159,013,21826000
86,A015260,에이엔피,20210420,1430,1485,1420,1440,392699,013,21826000
87,A015260,에이엔피,20210419,1425,1425,1400,1420,195633,013,21826000
88,A015260,에이엔피,20210416,1420,1430,1395,1420,126047,013,21826000
89,A015260,에이엔피,20210415,1415,1430,1400,1420,211320,013,21826000
90,A015260,에이엔피,20210414,1445,1450,1410,1415,246673,013,21826000
91,A015260,에이엔피,20210413,1450,1450,1425,1445,159972,013,21826000
92,A015260,에이엔피,20210412,1445,1470,1430,1450,108546,013,21826000
93,A015260,에이엔피,20210409,1450,1470,1435,1445,80226,013,21826000
94,A015260,에이엔피,20210408,1460,1460,1440,1450,92059,013,21826000
95,A015260,에이엔피,20210407,1455,1480,1440,1450,113948,013,21826000
96,A015260,에이엔피,20210406,1460,1460,1425,1455,134441,013,21826000
97,A015260,에이엔피,20210405,1485,1485,1440,1460,149868,013,21826000
98,A015260,에이엔피,20210402,1490,1505,1470,1485,76047,013,21826000
99,A015260,에이엔피,20210401,1460,1495,1440,1490,310130,013,21826000
100,A015260,에이엔피,20210331,1465,1490,1420,1465,181047,013,21826000
101,A015260,에이엔피,20210330,1500,1505,1460,1475,94389,013,21826000
102,A015260,에이엔피,20210329,1475,1500,1460,1490,145098,013,21826000
