,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A067630,에이치엘비생명과학,20210823,10900,11300,10850,11050,1087955,212,94180000
1,A067630,에이치엘비생명과학,20210820,10950,11150,10500,10650,2327246,212,94180000
2,A067630,에이치엘비생명과학,20210819,11750,12000,10800,11000,3375874,212,94180000
3,A067630,에이치엘비생명과학,20210818,10750,11950,10700,11500,7999123,212,94180000
4,A067630,에이치엘비생명과학,20210817,11350,11500,10650,10700,2067780,212,94180000
5,A067630,에이치엘비생명과학,20210813,10400,11150,10350,11100,3285227,212,94180000
6,A067630,에이치엘비생명과학,20210812,10250,11000,10250,10450,1974978,212,94180000
7,A067630,에이치엘비생명과학,20210811,10400,10450,10200,10250,564619,212,94180000
8,A067630,에이치엘비생명과학,20210810,10500,10750,10300,10400,959584,212,94180000
9,A067630,에이치엘비생명과학,20210809,10250,10900,10100,10500,2059057,212,94180000
10,A067630,에이치엘비생명과학,20210806,10450,10550,10300,10350,548542,212,94180000
11,A067630,에이치엘비생명과학,20210805,10450,10650,10450,10500,607098,212,94180000
12,A067630,에이치엘비생명과학,20210804,10200,10500,10100,10500,575176,212,94180000
13,A067630,에이치엘비생명과학,20210803,10550,10650,10350,10350,752905,212,94180000
14,A067630,에이치엘비생명과학,20210802,10500,10900,10400,10550,1130050,212,94180000
15,A067630,에이치엘비생명과학,20210730,10150,10800,10050,10500,2809312,212,94180000
16,A067630,에이치엘비생명과학,20210729,10250,10300,10050,10150,639069,212,94180000
17,A067630,에이치엘비생명과학,20210728,9880,10400,9830,10250,2080015,212,94180000
18,A067630,에이치엘비생명과학,20210727,10000,10100,9800,9870,723009,212,94180000
19,A067630,에이치엘비생명과학,20210726,10000,10200,9910,10050,839021,212,94180000
20,A067630,에이치엘비생명과학,20210723,9660,10100,9640,10000,1319962,212,94180000
21,A067630,에이치엘비생명과학,20210722,9830,9840,9650,9660,821682,212,94180000
22,A067630,에이치엘비생명과학,20210721,9870,9940,9540,9820,1614675,212,94180000
23,A067630,에이치엘비생명과학,20210720,9800,9900,9780,9840,804195,212,94180000
24,A067630,에이치엘비생명과학,20210719,10150,10200,9870,9940,2056023,212,94180000
25,A067630,에이치엘비생명과학,20210716,10300,10450,10050,10100,1552842,212,94180000
26,A067630,에이치엘비생명과학,20210715,10050,11350,10000,10300,9037583,212,94180000
27,A067630,에이치엘비생명과학,20210714,10100,10250,9980,10000,901991,212,94180000
28,A067630,에이치엘비생명과학,20210713,9970,10500,9940,10150,1851911,212,94180000
29,A067630,에이치엘비생명과학,20210712,10000,10050,9950,9990,400225,212,94180000
30,A067630,에이치엘비생명과학,20210709,10050,10100,9920,10000,852052,212,94180000
31,A067630,에이치엘비생명과학,20210708,10100,10300,9960,10150,1215618,212,94180000
32,A067630,에이치엘비생명과학,20210707,10100,10350,9980,10100,857071,212,94180000
33,A067630,에이치엘비생명과학,20210706,10150,10300,10000,10100,692430,212,94180000
34,A067630,에이치엘비생명과학,20210705,9970,10200,9920,10100,806942,212,94180000
35,A067630,에이치엘비생명과학,20210702,9990,10000,9920,9950,637336,212,94180000
36,A067630,에이치엘비생명과학,20210701,10050,10100,9930,9970,736472,212,94180000
37,A067630,에이치엘비생명과학,20210630,9990,10400,9980,10000,1008130,212,94180000
38,A067630,에이치엘비생명과학,20210629,10000,10050,9960,9980,765732,212,94180000
39,A067630,에이치엘비생명과학,20210628,10100,10250,9990,10000,657222,212,94180000
40,A067630,에이치엘비생명과학,20210625,10050,10150,10000,10050,552700,212,94180000
41,A067630,에이치엘비생명과학,20210624,10150,10250,10050,10050,696559,212,94180000
42,A067630,에이치엘비생명과학,20210623,10350,10600,10150,10250,1092311,212,94180000
43,A067630,에이치엘비생명과학,20210622,10500,10550,10150,10250,869328,212,94180000
44,A067630,에이치엘비생명과학,20210621,10750,10900,10400,10450,826037,212,94180000
45,A067630,에이치엘비생명과학,20210618,10400,11150,10350,10750,2423528,212,94180000
46,A067630,에이치엘비생명과학,20210617,10500,10800,10300,10450,782473,212,94180000
47,A067630,에이치엘비생명과학,20210616,10600,10650,10400,10550,504944,212,94180000
48,A067630,에이치엘비생명과학,20210615,10700,10750,10350,10550,842557,212,94180000
49,A067630,에이치엘비생명과학,20210614,10550,10950,10400,10650,1466807,212,94180000
