,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A043220,에이치엘비파워,20210823,2130,2130,2045,2120,713855,270,91115000
1,A043220,에이치엘비파워,20210820,2085,2160,2040,2085,2075735,270,91115000
2,A043220,에이치엘비파워,20210819,2170,2170,2060,2090,2300435,270,91115000
3,A043220,에이치엘비파워,20210818,2210,2260,2050,2195,5429096,270,91115000
4,A043220,에이치엘비파워,20210817,2300,2330,2230,2230,2354179,270,91115000
5,A043220,에이치엘비파워,20210813,2280,2320,2255,2290,1498119,270,91115000
6,A043220,에이치엘비파워,20210812,2320,2365,2270,2305,1339853,270,91115000
7,A043220,에이치엘비파워,20210811,2295,2360,2245,2300,1921150,270,91115000
8,A043220,에이치엘비파워,20210810,2360,2365,2280,2300,1936034,270,91115000
9,A043220,에이치엘비파워,20210809,2335,2400,2225,2360,4825236,270,91115000
10,A043220,에이치엘비파워,20210806,2290,2345,2260,2310,1886565,270,91115000
11,A043220,에이치엘비파워,20210805,2315,2355,2275,2310,1961563,270,91115000
12,A043220,에이치엘비파워,20210804,2280,2335,2210,2315,2001893,270,91115000
13,A043220,에이치엘비파워,20210803,2460,2470,2300,2305,4063486,270,91115000
14,A043220,에이치엘비파워,20210802,2570,2635,2450,2470,4120314,270,91115000
15,A043220,에이치엘비파워,20210730,2510,2565,2400,2470,5647555,270,91115000
16,A043220,에이치엘비파워,20210729,2625,2695,2510,2515,7978953,270,91115000
17,A043220,에이치엘비파워,20210728,2505,2670,2470,2610,6564017,270,91115000
18,A043220,에이치엘비파워,20210727,2645,2685,2455,2535,6348923,270,91115000
19,A043220,에이치엘비파워,20210726,2610,2715,2570,2655,7296737,270,91115000
20,A043220,에이치엘비파워,20210723,2415,2685,2385,2650,17513413,270,91115000
21,A043220,에이치엘비파워,20210722,2475,2480,2360,2445,4353536,270,91115000
22,A043220,에이치엘비파워,20210721,2465,2535,2415,2460,5557208,270,91115000
23,A043220,에이치엘비파워,20210720,2405,2595,2365,2465,12363736,270,91115000
24,A043220,에이치엘비파워,20210719,2680,2770,2445,2480,22619785,270,91115000
25,A043220,에이치엘비파워,20210716,2700,2765,2475,2690,24067074,270,91115000
26,A043220,에이치엘비파워,20210715,2310,3000,2280,2715,112426339,270,91115000
27,A043220,에이치엘비파워,20210714,2230,2470,2210,2310,24089041,270,91115000
28,A043220,에이치엘비파워,20210713,2145,2350,2130,2265,25211351,270,91115000
29,A043220,에이치엘비파워,20210712,1990,2280,1990,2165,23085451,270,91115000
30,A043220,에이치엘비파워,20210709,1980,2005,1945,1980,2183433,270,91115000
31,A043220,에이치엘비파워,20210708,2020,2040,1985,2010,2307061,270,91115000
32,A043220,에이치엘비파워,20210707,2025,2065,2010,2030,1904021,270,91115000
33,A043220,에이치엘비파워,20210706,2020,2080,1995,2050,2770161,270,91115000
34,A043220,에이치엘비파워,20210705,2040,2065,2000,2010,2585381,270,91115000
35,A043220,에이치엘비파워,20210702,2125,2125,2025,2040,4264845,270,91115000
36,A043220,에이치엘비파워,20210701,2240,2260,2135,2135,6311843,270,91115000
37,A043220,에이치엘비파워,20210630,2050,2310,2040,2245,34656846,270,91115000
38,A043220,에이치엘비파워,20210629,2000,2085,1985,2035,4386300,270,91115000
39,A043220,에이치엘비파워,20210628,1990,2015,1945,2005,3358241,270,91115000
40,A043220,에이치엘비파워,20210625,2050,2095,2005,2005,3472898,270,91115000
41,A043220,에이치엘비파워,20210624,2060,2070,1985,2055,3833661,270,91115000
42,A043220,에이치엘비파워,20210623,2055,2075,1990,2035,4705944,270,91115000
43,A043220,에이치엘비파워,20210622,2035,2095,2030,2065,4159827,270,91115000
44,A043220,에이치엘비파워,20210621,2125,2170,2040,2040,5841337,270,91115000
45,A043220,에이치엘비파워,20210618,2160,2220,2140,2150,7021364,270,91115000
46,A043220,에이치엘비파워,20210617,2285,2370,2190,2200,28047107,270,91115000
47,A043220,에이치엘비파워,20210616,2160,2190,2120,2190,9927055,270,91115000
48,A043220,에이치엘비파워,20210615,2205,2320,2080,2160,18068787,270,91115000
49,A043220,에이치엘비파워,20210614,2195,2265,2150,2220,14215164,270,91115000
50,A043220,에이치엘비파워,20210611,2670,2785,2200,2220,49857168,270,91115000
51,A043220,에이치엘비파워,20210610,2900,3255,2440,2565,147558184,270,91115000
52,A043220,에이치엘비파워,20210609,2505,2505,2505,2505,6782275,270,91115000
53,A043220,에이치엘비파워,20210608,1995,2030,1835,1930,6990510,270,91115000
54,A043220,에이치엘비파워,20210607,1805,2045,1805,1965,18694025,270,91115000
55,A043220,에이치엘비파워,20210604,1760,1870,1755,1815,2857455,270,91115000
56,A043220,에이치엘비파워,20210603,1625,1850,1625,1770,9371819,270,91115000
57,A043220,에이치엘비파워,20210602,1640,1645,1580,1625,1382410,270,91115000
58,A043220,에이치엘비파워,20210601,1610,1645,1560,1640,1526859,270,91115000
59,A043220,에이치엘비파워,20210531,1685,1710,1580,1595,2982846,270,91115000
60,A043220,에이치엘비파워,20210528,1695,1720,1650,1660,1664961,270,91115000
61,A043220,에이치엘비파워,20210527,1695,1730,1660,1695,1436652,270,91115000
62,A043220,에이치엘비파워,20210526,1770,1785,1690,1695,1903189,270,91115000
63,A043220,에이치엘비파워,20210525,1745,1775,1620,1755,3631150,270,91115000
64,A043220,에이치엘비파워,20210524,1810,1860,1740,1740,2280643,270,91115000
65,A043220,에이치엘비파워,20210521,1830,1880,1770,1800,2291369,270,91115000
66,A043220,에이치엘비파워,20210520,1865,1900,1810,1810,2199650,270,91115000
67,A043220,에이치엘비파워,20210518,1765,1955,1765,1890,6078146,270,91115000
68,A043220,에이치엘비파워,20210517,1900,1935,1765,1805,3366007,270,91115000
