,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A224110,에이텍티앤,20210823,30600,32300,30600,31450,92849,358,5340000
1,A224110,에이텍티앤,20210820,30600,31650,30300,30650,145612,358,5340000
2,A224110,에이텍티앤,20210819,29200,32100,29200,30600,319932,358,5340000
3,A224110,에이텍티앤,20210818,28850,29750,28800,29500,48475,358,5340000
4,A224110,에이텍티앤,20210817,30550,30800,29000,29350,89301,358,5340000
5,A224110,에이텍티앤,20210813,30800,31000,29600,30400,72102,358,5340000
6,A224110,에이텍티앤,20210812,30300,31050,30300,30700,64160,358,5340000
7,A224110,에이텍티앤,20210811,30550,31050,30250,30250,41399,358,5340000
8,A224110,에이텍티앤,20210810,31350,31350,30400,30500,66019,358,5340000
9,A224110,에이텍티앤,20210809,31900,32000,31250,31500,47053,358,5340000
10,A224110,에이텍티앤,20210806,31500,31950,30750,31850,88806,358,5340000
11,A224110,에이텍티앤,20210805,30650,31550,30050,31450,62603,358,5340000
12,A224110,에이텍티앤,20210804,30700,30900,30400,30750,37482,358,5340000
13,A224110,에이텍티앤,20210803,30550,30900,30100,30700,46045,358,5340000
14,A224110,에이텍티앤,20210802,30800,31000,30350,30700,62751,358,5340000
15,A224110,에이텍티앤,20210730,29100,31150,29100,31000,145284,358,5340000
16,A224110,에이텍티앤,20210729,30050,30200,29350,29350,34906,358,5340000
17,A224110,에이텍티앤,20210728,30450,30800,29450,29650,53374,358,5340000
18,A224110,에이텍티앤,20210727,29500,31300,29250,30100,148581,358,5340000
19,A224110,에이텍티앤,20210726,30000,30050,28950,29200,58421,358,5340000
20,A224110,에이텍티앤,20210723,29300,30100,29250,29850,55319,358,5340000
21,A224110,에이텍티앤,20210722,28450,29350,28450,29150,93683,358,5340000
22,A224110,에이텍티앤,20210721,29600,29900,28050,28250,157205,358,5340000
23,A224110,에이텍티앤,20210720,29150,29950,29150,29550,75331,358,5340000
24,A224110,에이텍티앤,20210719,30750,31200,29050,29300,175057,358,5340000
25,A224110,에이텍티앤,20210716,30750,31450,30450,31200,80095,358,5340000
26,A224110,에이텍티앤,20210715,30700,30950,30550,30750,91347,358,5340000
27,A224110,에이텍티앤,20210714,29950,30750,29750,30500,129144,358,5340000
28,A224110,에이텍티앤,20210713,29800,30450,29050,29400,181624,358,5340000
29,A224110,에이텍티앤,20210712,31150,31450,29850,29950,185248,358,5340000
30,A224110,에이텍티앤,20210709,30200,31750,30200,31500,143839,358,5340000
31,A224110,에이텍티앤,20210708,32100,32350,30300,30600,249747,358,5340000
32,A224110,에이텍티앤,20210707,33150,33300,32050,32200,165119,358,5340000
33,A224110,에이텍티앤,20210706,33850,34150,32950,33100,191680,358,5340000
34,A224110,에이텍티앤,20210705,36000,36000,33650,33900,356754,358,5340000
35,A224110,에이텍티앤,20210702,36700,37550,36200,36850,173016,358,5340000
36,A224110,에이텍티앤,20210701,37000,37100,35600,36650,170659,358,5340000
37,A224110,에이텍티앤,20210630,38250,38250,36200,36650,257179,358,5340000
38,A224110,에이텍티앤,20210629,39550,39600,37800,38100,232214,358,5340000
39,A224110,에이텍티앤,20210628,39600,39750,38800,39200,209277,358,5340000
40,A224110,에이텍티앤,20210625,39050,40500,37950,38550,318672,358,5340000
41,A224110,에이텍티앤,20210624,38250,39150,37250,38550,203754,358,5340000
42,A224110,에이텍티앤,20210623,38750,39000,37850,38400,191840,358,5340000
43,A224110,에이텍티앤,20210622,37700,39050,37700,38700,170779,358,5340000
44,A224110,에이텍티앤,20210621,38400,38900,37450,37850,245963,358,5340000
45,A224110,에이텍티앤,20210618,37450,37450,36850,37300,83609,358,5340000
46,A224110,에이텍티앤,20210617,36700,37450,36450,36950,94241,358,5340000
47,A224110,에이텍티앤,20210616,36400,36850,36300,36650,79189,358,5340000
48,A224110,에이텍티앤,20210615,36800,37450,36350,36450,123755,358,5340000
49,A224110,에이텍티앤,20210614,36700,37050,36350,36400,92964,358,5340000
50,A224110,에이텍티앤,20210611,37600,37600,36500,37000,179960,358,5340000
51,A224110,에이텍티앤,20210610,37550,39950,36000,37750,723143,358,5340000
52,A224110,에이텍티앤,20210609,37750,38150,37100,37550,120703,358,5340000
53,A224110,에이텍티앤,20210608,37900,38500,37100,37850,142956,358,5340000
54,A224110,에이텍티앤,20210607,39600,39600,37350,37900,258269,358,5340000
55,A224110,에이텍티앤,20210604,40400,41000,39500,39800,249447,358,5340000
56,A224110,에이텍티앤,20210603,41000,41500,39800,39800,348439,358,5340000
57,A224110,에이텍티앤,20210602,38550,40850,38050,40700,480417,358,5340000
58,A224110,에이텍티앤,20210601,35500,39350,35500,38800,725692,358,5340000
59,A224110,에이텍티앤,20210531,36250,36250,35300,35700,105946,358,5340000
60,A224110,에이텍티앤,20210528,36900,37150,36300,36500,86850,358,5340000
61,A224110,에이텍티앤,20210527,36200,37050,35700,36900,128916,358,5340000
62,A224110,에이텍티앤,20210526,34950,36000,34400,35950,96912,358,5340000
63,A224110,에이텍티앤,20210525,34350,35650,34350,34850,111269,358,5340000
64,A224110,에이텍티앤,20210524,35800,36000,34550,34550,118723,358,5340000
65,A224110,에이텍티앤,20210521,36200,37350,35700,35800,169488,358,5340000
66,A224110,에이텍티앤,20210520,36000,36150,35250,36000,74495,358,5340000
67,A224110,에이텍티앤,20210518,37000,37250,35650,35800,147760,358,5340000
68,A224110,에이텍티앤,20210517,36750,37500,36400,36950,146123,358,5340000
69,A224110,에이텍티앤,20210514,37600,38450,36350,36700,445247,358,5340000
70,A224110,에이텍티앤,20210513,37200,38200,36050,36450,222970,358,5340000
71,A224110,에이텍티앤,20210512,39150,39700,36950,37800,230738,358,5340000
72,A224110,에이텍티앤,20210511,38000,39600,38000,39100,299643,358,5340000
73,A224110,에이텍티앤,20210510,38800,39000,38300,38400,139130,358,5340000
74,A224110,에이텍티앤,20210507,37650,39500,37550,38900,216527,358,5340000
75,A224110,에이텍티앤,20210506,38500,38650,37600,38100,166155,358,5340000
76,A224110,에이텍티앤,20210504,37100,38500,35600,38450,279009,358,5340000
77,A224110,에이텍티앤,20210503,38000,40300,37000,37100,725202,358,5340000
78,A224110,에이텍티앤,20210430,36800,38300,36700,37000,335027,358,5340000
79,A224110,에이텍티앤,20210429,35200,38450,35000,36650,743692,358,5340000
80,A224110,에이텍티앤,20210428,34850,36500,34750,35000,188908,358,5340000
81,A224110,에이텍티앤,20210427,35950,36150,34650,35000,202596,358,5340000
82,A224110,에이텍티앤,20210426,35700,36850,35000,35900,188350,358,5340000
83,A224110,에이텍티앤,20210423,37000,37050,35000,35550,275622,358,5340000
84,A224110,에이텍티앤,20210422,38650,38800,36350,36450,341944,358,5340000
85,A224110,에이텍티앤,20210421,38050,39300,38000,38200,194513,358,5340000
86,A224110,에이텍티앤,20210420,37500,38800,36650,38450,311144,358,5340000
87,A224110,에이텍티앤,20210419,39500,40050,37750,37850,380627,358,5340000
88,A224110,에이텍티앤,20210416,40000,41100,39000,40300,567922,358,5340000
89,A224110,에이텍티앤,20210415,39350,41900,38300,38850,1294715,358,5340000
90,A224110,에이텍티앤,20210414,39900,41350,39150,39200,609418,358,5340000
91,A224110,에이텍티앤,20210413,40650,41400,39400,39550,680925,358,5340000
92,A224110,에이텍티앤,20210412,42900,43900,41650,42000,665036,358,5340000
93,A224110,에이텍티앤,20210409,46100,47050,42800,43050,1641611,358,5340000
94,A224110,에이텍티앤,20210408,38750,48450,36850,45300,8645948,358,5340000
95,A224110,에이텍티앤,20210407,38250,42500,38150,39100,2257374,358,5340000
96,A224110,에이텍티앤,20210406,38650,39750,38400,38800,643690,358,5340000
97,A224110,에이텍티앤,20210405,38450,39650,37400,39200,1107162,358,5340000
98,A224110,에이텍티앤,20210402,38350,40800,37850,39050,1846846,358,5340000
99,A224110,에이텍티앤,20210401,37500,39400,36250,39400,4176243,358,5340000
100,A224110,에이텍티앤,20210331,28700,37550,28300,37550,6213889,358,5340000
101,A224110,에이텍티앤,20210330,27250,29000,26800,28900,924877,358,5340000
102,A224110,에이텍티앤,20210329,25450,28250,25450,27500,1516237,358,5340000
103,A224110,에이텍티앤,20210326,26000,27200,25000,25150,604365,358,5340000
104,A224110,에이텍티앤,20210325,25900,26800,25350,25750,367957,358,5340000
105,A224110,에이텍티앤,20210324,23100,26450,23100,26050,1008163,358,5340000
106,A224110,에이텍티앤,20210323,24850,25100,23500,23600,362608,358,5340000
107,A224110,에이텍티앤,20210322,25700,25950,25200,25400,224769,358,5340000
108,A224110,에이텍티앤,20210319,25550,26450,25500,25900,269040,358,5340000
109,A224110,에이텍티앤,20210318,24650,26150,24550,26050,421447,358,5340000
110,A224110,에이텍티앤,20210317,24600,25550,24550,24700,235341,358,5340000
111,A224110,에이텍티앤,20210316,25300,25300,24150,24600,242353,358,5340000
112,A224110,에이텍티앤,20210315,26100,26550,24850,25300,324309,358,5340000
113,A224110,에이텍티앤,20210312,26300,27350,26100,26300,764985,358,5340000
114,A224110,에이텍티앤,20210311,25450,26550,24650,26500,628708,358,5340000
115,A224110,에이텍티앤,20210310,26500,27600,24300,25250,1102795,358,5340000
