,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A031860,엔에스엔,20210823,1160,1165,1145,1155,147054,227,57693000
1,A031860,엔에스엔,20210820,1180,1205,1160,1160,398840,227,57693000
2,A031860,엔에스엔,20210819,1210,1220,1160,1195,442270,227,57693000
3,A031860,엔에스엔,20210818,1200,1220,1195,1215,179341,227,57693000
4,A031860,엔에스엔,20210817,1235,1250,1200,1200,288897,227,57693000
5,A031860,엔에스엔,20210813,1230,1235,1185,1235,391331,227,57693000
6,A031860,엔에스엔,20210812,1240,1245,1210,1230,300739,227,57693000
7,A031860,엔에스엔,20210811,1280,1280,1235,1240,233472,227,57693000
8,A031860,엔에스엔,20210810,1265,1285,1240,1265,488510,227,57693000
9,A031860,엔에스엔,20210809,1300,1300,1265,1285,377219,227,57693000
10,A031860,엔에스엔,20210806,1310,1325,1280,1300,401359,227,57693000
11,A031860,엔에스엔,20210805,1310,1320,1290,1310,427555,227,57693000
12,A031860,엔에스엔,20210804,1315,1320,1275,1310,325301,227,57693000
13,A031860,엔에스엔,20210803,1295,1320,1290,1315,207949,227,57693000
14,A031860,엔에스엔,20210802,1330,1345,1285,1290,542000,227,57693000
15,A031860,엔에스엔,20210730,1345,1360,1315,1330,401783,227,57693000
16,A031860,엔에스엔,20210729,1400,1400,1330,1340,543979,227,57693000
17,A031860,엔에스엔,20210728,1400,1400,1375,1380,246572,227,57693000
18,A031860,엔에스엔,20210727,1385,1400,1380,1390,321312,227,57693000
19,A031860,엔에스엔,20210726,1390,1410,1370,1390,273328,227,57693000
20,A031860,엔에스엔,20210723,1420,1435,1365,1380,802651,227,57693000
21,A031860,엔에스엔,20210722,1450,1465,1385,1415,996636,227,57693000
22,A031860,엔에스엔,20210721,1640,1640,1425,1430,7722054,227,57693000
23,A031860,엔에스엔,20210720,1400,1475,1360,1415,1195195,227,57693000
24,A031860,엔에스엔,20210719,1455,1470,1400,1400,719909,227,57693000
25,A031860,엔에스엔,20210716,1450,1590,1430,1455,4076409,227,57693000
26,A031860,엔에스엔,20210715,1330,1455,1315,1420,1617509,227,57693000
27,A031860,엔에스엔,20210714,1320,1330,1300,1300,172888,227,57693000
28,A031860,엔에스엔,20210713,1320,1335,1305,1330,223553,227,57693000
29,A031860,엔에스엔,20210712,1295,1325,1295,1320,233785,227,57693000
30,A031860,엔에스엔,20210709,1300,1300,1285,1290,243862,227,57693000
31,A031860,엔에스엔,20210708,1305,1315,1295,1305,152796,227,57693000
32,A031860,엔에스엔,20210707,1300,1310,1295,1305,160282,227,57693000
