,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A291230,엔피,20210823,9090,9850,8800,8970,373008,212,39049000
1,A291230,엔피,20210820,10350,11350,8510,8700,2542090,212,39049000
2,A291230,엔피,20210819,10100,11500,9830,10500,5495233,212,7550000
3,A291230,엔피,20210818,9430,9810,9180,9810,615106,212,7550000
4,A291230,엔피,20210817,8880,9760,8880,9430,1163984,212,7550000
5,A291230,엔피,20210813,9000,9230,8570,8880,410043,212,7550000
6,A291230,엔피,20210812,9400,9400,9160,9170,217013,212,7550000
7,A291230,엔피,20210811,9230,10100,9150,9240,703068,212,7550000
8,A291230,엔피,20210810,9800,9820,9100,9220,657688,212,7550000
9,A291230,엔피,20210809,10200,10200,9730,9800,516368,212,7550000
10,A291230,엔피,20210806,10350,10650,10150,10250,485380,212,7550000
11,A291230,엔피,20210805,10450,11200,10050,10400,1027759,212,7550000
12,A291230,엔피,20210804,10050,11000,10000,10300,1289287,212,7550000
13,A291230,엔피,20210803,9700,10950,9630,10250,2207668,212,7550000
14,A291230,엔피,20210802,10300,10450,9740,9750,564591,212,7550000
15,A291230,엔피,20210730,10650,10800,10000,10100,853055,212,7550000
16,A291230,엔피,20210729,11150,11300,10700,10850,1137462,212,7550000
17,A291230,엔피,20210728,10950,11750,10600,11050,2823642,212,7550000
18,A291230,엔피,20210727,11400,12500,10400,11100,6421089,212,7550000
19,A291230,엔피,20210726,8920,11550,8920,11550,7779614,212,7550000
20,A291230,엔피,20210723,8810,9190,8800,8920,707896,212,7550000
21,A291230,엔피,20210722,9000,9080,8710,8870,800610,212,7550000
22,A291230,엔피,20210721,8840,9420,8760,8790,1572402,212,7550000
23,A291230,엔피,20210720,7910,9700,7900,9060,10314782,212,7550000
24,A291230,엔피,20210719,8090,8200,7820,8070,681379,212,7550000
25,A291230,엔피,20210716,8150,8640,7850,8070,3726585,212,7550000
26,A291230,엔피,20210715,7410,8630,7380,7980,5149487,212,7550000
27,A291230,엔피,20210714,7100,7600,7050,7370,857943,212,7550000
28,A291230,엔피,20210713,7230,7310,7100,7170,389049,212,7550000
29,A291230,엔피,20210712,7080,7290,7060,7210,334653,212,7550000
30,A291230,엔피,20210709,7290,7550,7100,7140,496407,212,7550000
31,A291230,엔피,20210708,7210,7600,7150,7300,864850,212,7550000
32,A291230,엔피,20210707,7400,8090,7060,7300,1848181,212,7550000
33,A291230,엔피,20210706,7600,7690,7130,7400,1044868,212,7550000
34,A291230,엔피,20210705,7730,8420,7500,7700,4431903,212,7550000
35,A291230,엔피,20210702,6680,8100,6540,7500,5876205,212,7550000
36,A291230,엔피,20210701,6030,7120,6020,6800,3410510,212,7550000
37,A291230,엔피,20210630,6080,6300,5700,6200,1035027,212,7550000
38,A291230,엔피,20210629,6170,6240,5840,5980,976326,212,7550000
39,A291230,엔피,20210628,6530,6530,6130,6180,803348,212,7550000
40,A291230,엔피,20210625,6330,7100,6300,6530,2363928,212,7550000
41,A291230,엔피,20210624,6700,6820,6270,6350,1043947,212,7550000
42,A291230,엔피,20210623,7020,7130,6670,6710,1560189,212,7550000
43,A291230,엔피,20210622,7700,7880,6760,7300,7389034,212,7550000
44,A291230,엔피,20210621,8900,9190,7700,7920,6315938,212,7550000
45,A291230,엔피,20210618,7830,9650,7690,8490,28253263,212,7550000
46,A291230,엔피,20210617,6230,7690,5840,7690,23277675,212,7550000
47,A291230,엔피,20210616,5920,6090,5680,5920,2594098,212,7550000
48,A291230,엔피,20210615,5790,6270,5700,5980,4865098,212,7550000
49,A291230,엔피,20210614,5240,6500,5230,5900,15409354,212,7550000
50,A291230,엔피,20210611,5300,5500,4820,5070,2349950,212,7550000
51,A291230,엔피,20210610,6430,6500,5200,5240,11038412,212,7550000
52,A291230,엔피,20210609,4590,6000,4460,5950,14409781,212,7550000
53,A291230,엔피,20210608,5110,5170,4510,4650,1437122,212,7550000
54,A291230,엔피,20210607,5220,5590,4930,5110,2419051,212,7550000
55,A291230,엔피,20210604,6400,6400,5150,5210,4683178,212,7550000
56,A291230,엔피,20210603,7150,7800,6290,6470,5651010,212,7550000
57,A291230,엔피,20210602,7200,9520,6220,7200,26106109,212,7550000
58,A291230,엔피,20210601,8580,8580,8580,8580,0,212,7550000
59,A291230,엔피,20210531,7030,8580,6910,8580,16145016,212,7550000
60,A291230,엔피,20210528,6070,7430,6000,6600,19877345,212,7550000
61,A291230,엔피,20210527,5470,6500,5340,5800,14335948,212,7550000
62,A291230,엔피,20210526,6680,6950,5120,5700,27792164,212,7550000
63,A291230,엔피,20210525,4150,5560,4150,5560,10829084,212,7550000
64,A291230,엔피,20210524,3415,4400,3395,4280,11667735,212,7550000
65,A291230,엔피,20210521,3260,3455,3255,3415,516320,212,7550000
66,A291230,엔피,20210520,3250,3315,3105,3315,668475,212,7550000
67,A291230,엔피,20210518,3000,3490,2940,3235,2699436,212,7550000
68,A291230,엔피,20210517,2960,2995,2915,2970,209559,212,7550000
69,A291230,엔피,20210514,3045,3055,2970,3020,186437,212,7550000
70,A291230,엔피,20210513,2965,3060,2965,3020,332457,212,7550000
71,A291230,엔피,20210512,3050,3105,2970,3045,782033,212,7550000
72,A291230,엔피,20210511,2990,3180,2815,3010,739841,212,7550000
73,A291230,엔피,20210510,3080,3150,2970,2970,715065,212,7550000
74,A291230,엔피,20210507,2905,3150,2800,3080,1902159,212,7550000
75,A291230,엔피,20210506,2980,3195,2745,2875,4356042,212,7550000
76,A291230,엔피,20210504,2980,2980,2980,2980,0,212,5523000
77,A291230,엔피,20210503,2980,2980,2980,2980,0,212,5523000
78,A291230,엔피,20210430,2980,2980,2980,2980,0,212,5523000
79,A291230,엔피,20210429,2980,2980,2980,2980,0,212,5523000
80,A291230,엔피,20210428,2980,2980,2980,2980,0,212,5523000
81,A291230,엔피,20210427,2980,2980,2980,2980,0,212,5523000
82,A291230,엔피,20210426,2980,2980,2980,2980,0,212,5523000
83,A291230,엔피,20210423,2980,2980,2980,2980,0,212,5523000
84,A291230,엔피,20210422,2980,2980,2980,2980,0,212,5523000
85,A291230,엔피,20210421,2980,2980,2980,2980,0,212,5523000
86,A291230,엔피,20210420,2980,2980,2980,2980,0,212,5523000
87,A291230,엔피,20210419,2980,2980,2980,2980,0,212,5523000
88,A291230,엔피,20210416,2980,2980,2980,2980,0,212,5523000
89,A291230,엔피,20210415,2980,2980,2980,2980,0,212,5523000
90,A291230,엔피,20210414,2980,2980,2980,2980,0,212,5523000
91,A291230,엔피,20210413,2980,2980,2980,2980,0,212,5523000
92,A291230,엔피,20210412,2980,2980,2980,2980,0,212,5523000
93,A291230,엔피,20210409,2980,2980,2980,2980,0,212,5523000
94,A291230,엔피,20210408,2980,2980,2980,2980,0,212,5523000
95,A291230,엔피,20210407,2980,2980,2980,2980,0,212,5523000
96,A291230,엔피,20210406,2980,2980,2980,2980,0,212,5523000
97,A291230,엔피,20210405,2980,2980,2980,2980,0,212,5523000
98,A291230,엔피,20210402,2980,2980,2980,2980,0,212,5523000
99,A291230,엔피,20210401,2980,2980,2980,2980,0,212,5523000
100,A291230,엔피,20210331,2980,2980,2980,2980,0,212,5523000
101,A291230,엔피,20210330,2980,2980,2980,2980,0,212,5523000
102,A291230,엔피,20210329,2980,2980,2980,2980,0,212,5523000
103,A291230,엔피,20210326,2980,2980,2980,2980,0,212,5523000
104,A291230,엔피,20210325,2980,2980,2980,2980,0,212,5523000
105,A291230,엔피,20210324,2980,2980,2980,2980,0,212,5523000
106,A291230,엔피,20210323,2980,2980,2980,2980,0,212,5523000
107,A291230,엔피,20210322,2980,2980,2980,2980,0,212,5523000
108,A291230,엔피,20210319,2980,2980,2980,2980,0,212,5523000
109,A291230,엔피,20210318,2980,2980,2980,2980,0,212,5523000
110,A291230,엔피,20210317,2980,2980,2980,2980,0,212,5523000
111,A291230,엔피,20210316,2980,2980,2980,2980,0,212,5523000
112,A291230,엔피,20210315,2980,2980,2980,2980,0,212,5523000
113,A291230,엔피,20210312,2980,2980,2980,2980,0,212,5523000
114,A291230,엔피,20210311,2980,2980,2980,2980,0,212,5523000
115,A291230,엔피,20210310,2980,2980,2980,2980,0,212,5523000
116,A291230,엔피,20210309,2980,2980,2980,2980,0,212,5523000
117,A291230,엔피,20210308,2980,2980,2980,2980,0,212,5523000
118,A291230,엔피,20210305,2980,2980,2980,2980,0,212,5523000
119,A291230,엔피,20210304,2980,2980,2980,2980,0,212,5523000
120,A291230,엔피,20210303,2980,2980,2980,2980,0,212,5523000
121,A291230,엔피,20210302,2980,2980,2980,2980,0,212,5523000
122,A291230,엔피,20210226,2980,2980,2980,2980,0,212,5523000
123,A291230,엔피,20210225,2980,2980,2980,2980,0,212,5523000
124,A291230,엔피,20210224,2980,2980,2980,2980,0,212,5523000
125,A291230,엔피,20210223,2980,2980,2980,2980,0,212,5523000
126,A291230,엔피,20210222,2980,2980,2980,2980,0,212,5523000
127,A291230,엔피,20210219,2980,2980,2980,2980,0,212,5523000
128,A291230,엔피,20210218,2980,2980,2980,2980,0,212,5523000
129,A291230,엔피,20210217,2980,2980,2980,2980,0,212,5523000
130,A291230,엔피,20210216,2980,2980,2980,2980,0,212,5523000
131,A291230,엔피,20210215,2980,2980,2980,2980,0,212,5523000
132,A291230,엔피,20210210,2980,2980,2980,2980,0,212,5523000
133,A291230,엔피,20210209,2980,2980,2980,2980,0,212,5523000
134,A291230,엔피,20210208,2980,2980,2980,2980,0,212,5523000
135,A291230,엔피,20210205,2980,3034,2980,2980,33004,212,5523000
136,A291230,엔피,20210204,2973,3007,2932,3007,42087,212,5523000
137,A291230,엔피,20210203,2959,2973,2911,2973,44190,212,5523000
138,A291230,엔피,20210202,2945,3144,2911,2925,148397,212,5523000
139,A291230,엔피,20210201,2932,2952,2856,2952,41210,212,5523000
140,A291230,엔피,20210129,2938,2980,2863,2932,36640,212,5523000
141,A291230,엔피,20210128,2993,2993,2904,2938,13638,212,5523000
142,A291230,엔피,20210127,2966,2973,2911,2959,40481,212,5523000
143,A291230,엔피,20210126,2966,3007,2918,2938,43369,212,5523000
144,A291230,엔피,20210125,2938,3048,2911,3000,180143,212,5523000
145,A291230,엔피,20210122,2843,2932,2829,2925,32770,212,5523000
146,A291230,엔피,20210121,2870,2877,2822,2843,28256,212,5523000
147,A291230,엔피,20210120,2870,2870,2829,2856,10068,212,5523000
148,A291230,엔피,20210119,2856,2870,2822,2856,1458,212,5523000
149,A291230,엔피,20210118,2856,2877,2822,2856,9902,212,5523000
150,A291230,엔피,20210115,2870,2870,2829,2856,8462,212,5523000
151,A291230,엔피,20210114,2897,2897,2829,2863,6463,212,5523000
152,A291230,엔피,20210113,2884,2884,2815,2856,4678,212,5523000
153,A291230,엔피,20210112,2884,2884,2802,2802,17554,212,5523000
154,A291230,엔피,20210111,2856,2856,2809,2809,35299,212,5523000
155,A291230,엔피,20210108,2863,2863,2822,2850,32858,212,5523000
156,A291230,엔피,20210107,2863,2870,2850,2856,10073,212,5523000
157,A291230,엔피,20210106,2891,2891,2843,2863,27890,212,5523000
158,A291230,엔피,20210105,2911,2918,2850,2863,18109,212,5523000
159,A291230,엔피,20210104,2850,2911,2836,2911,60731,212,5523000
160,A291230,엔피,20201230,2829,2843,2829,2829,20669,212,5523000
161,A291230,엔피,20201229,2809,2829,2809,2829,50459,212,5523000
162,A291230,엔피,20201228,2809,2809,2795,2809,22461,212,5523000
163,A291230,엔피,20201224,2781,2815,2781,2809,19203,212,5523000
164,A291230,엔피,20201223,2795,2795,2781,2795,3837,212,5523000
165,A291230,엔피,20201222,2795,2795,2781,2795,45642,212,5523000
166,A291230,엔피,20201221,2795,2795,2781,2788,8913,212,5523000
167,A291230,엔피,20201218,2788,2788,2774,2788,35702,212,5523000
168,A291230,엔피,20201217,2781,2788,2781,2788,14766,212,5523000
169,A291230,엔피,20201216,2788,2788,2781,2788,6123,212,5523000
170,A291230,엔피,20201215,2788,2788,2781,2788,14817,212,5523000
171,A291230,엔피,20201214,2788,2788,2781,2788,2381,212,5523000
172,A291230,엔피,20201211,2788,2788,2781,2788,9606,212,5523000
173,A291230,엔피,20201210,2788,2788,2788,2788,10916,212,5523000
174,A291230,엔피,20201209,2788,2788,2781,2788,6898,212,5523000
175,A291230,엔피,20201208,2788,2788,2781,2788,1967,212,5523000
176,A291230,엔피,20201207,2781,2788,2781,2788,820,212,5523000
177,A291230,엔피,20201204,2788,2788,2781,2788,2158,212,5523000
178,A291230,엔피,20201203,2788,2788,2781,2788,9251,212,5523000
179,A291230,엔피,20201202,2781,2788,2781,2788,6408,212,5523000
180,A291230,엔피,20201201,2774,2788,2774,2788,19102,212,5523000
181,A291230,엔피,20201130,2781,2788,2774,2788,29344,212,5523000
182,A291230,엔피,20201127,2774,2788,2774,2781,6351,212,5523000
183,A291230,엔피,20201126,2774,2781,2774,2781,13349,212,5523000
184,A291230,엔피,20201125,2774,2781,2774,2774,9142,212,5523000
185,A291230,엔피,20201124,2774,2788,2774,2788,19004,212,5523000
186,A291230,엔피,20201123,2774,2781,2774,2781,7800,212,5523000
187,A291230,엔피,20201120,2774,2774,2768,2774,17664,212,5523000
188,A291230,엔피,20201119,2768,2774,2761,2774,15407,212,5523000
189,A291230,엔피,20201118,2768,2774,2761,2768,7864,212,5523000
190,A291230,엔피,20201117,2768,2768,2768,2768,0,212,5523000
191,A291230,엔피,20201116,2768,2768,2761,2768,700,212,5523000
192,A291230,엔피,20201113,2761,2774,2761,2768,3862,212,5523000
193,A291230,엔피,20201112,2768,2768,2761,2761,3940,212,5523000
194,A291230,엔피,20201111,2768,2768,2761,2768,5998,212,5523000
