,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A376190,¿¤ºñ·ç¼À,20210823,13850,14300,13800,14100,114740,359,24600000
1,A376190,¿¤ºñ·ç¼À,20210820,14050,14200,13700,13800,196853,359,24600000
2,A376190,¿¤ºñ·ç¼À,20210819,14400,14600,13900,14000,251167,359,24600000
3,A376190,¿¤ºñ·ç¼À,20210818,14350,14800,14250,14450,168067,359,24600000
4,A376190,¿¤ºñ·ç¼À,20210817,15050,15100,14350,14350,367097,359,24600000
5,A376190,¿¤ºñ·ç¼À,20210813,14800,15400,14700,14950,507713,359,24600000
6,A376190,¿¤ºñ·ç¼À,20210812,14700,15200,14700,14850,279660,359,24600000
7,A376190,¿¤ºñ·ç¼À,20210811,15600,15650,14800,14850,504349,359,24600000
8,A376190,¿¤ºñ·ç¼À,20210810,15950,16300,15500,15600,609926,359,24600000
9,A376190,¿¤ºñ·ç¼À,20210809,15500,15900,15250,15850,520688,359,24600000
10,A376190,¿¤ºñ·ç¼À,20210806,15500,15700,15350,15350,250358,359,24600000
11,A376190,¿¤ºñ·ç¼À,20210805,15800,15850,15450,15500,491186,359,24600000
12,A376190,¿¤ºñ·ç¼À,20210804,15800,15950,15400,15650,354225,359,24600000
13,A376190,¿¤ºñ·ç¼À,20210803,15700,16200,15400,15850,783717,359,24600000
14,A376190,¿¤ºñ·ç¼À,20210802,16300,16650,15700,15700,1015725,359,24600000
15,A376190,¿¤ºñ·ç¼À,20210730,15850,16200,15250,16000,1059825,359,24600000
16,A376190,¿¤ºñ·ç¼À,20210729,15400,16850,15300,15650,5132861,359,24600000
17,A376190,¿¤ºñ·ç¼À,20210728,14750,15350,14700,15150,529020,359,24600000
18,A376190,¿¤ºñ·ç¼À,20210727,14800,15300,14750,14850,292167,359,24600000
19,A376190,¿¤ºñ·ç¼À,20210726,15200,15350,14800,14800,350371,359,24600000
20,A376190,¿¤ºñ·ç¼À,20210723,14950,15400,14900,15050,392645,359,24600000
21,A376190,¿¤ºñ·ç¼À,20210722,14900,15450,14750,14950,641112,359,24600000
22,A376190,¿¤ºñ·ç¼À,20210721,14950,15000,14750,14850,210748,359,24600000
23,A376190,¿¤ºñ·ç¼À,20210720,14900,15150,14600,14750,508229,359,24600000
24,A376190,¿¤ºñ·ç¼À,20210719,15500,15750,15000,15250,498261,359,24600000
25,A376190,¿¤ºñ·ç¼À,20210716,15550,16000,15100,15400,1097485,359,24600000
26,A376190,¿¤ºñ·ç¼À,20210715,15100,15400,14950,15300,941210,359,24600000
27,A376190,¿¤ºñ·ç¼À,20210714,14600,15100,14300,14950,907981,359,24600000
28,A376190,¿¤ºñ·ç¼À,20210713,13850,14550,13850,14450,602621,359,24600000
29,A376190,¿¤ºñ·ç¼À,20210712,13900,14000,13750,13850,192595,359,24600000
30,A376190,¿¤ºñ·ç¼À,20210709,13800,13900,13700,13850,236525,359,24600000
31,A376190,¿¤ºñ·ç¼À,20210708,14100,14100,13850,13950,211261,359,24600000
32,A376190,¿¤ºñ·ç¼À,20210707,14300,14300,14000,14100,257934,359,24600000
33,A376190,¿¤ºñ·ç¼À,20210706,14450,14450,14200,14300,182682,359,24600000
34,A376190,¿¤ºñ·ç¼À,20210705,14550,14600,14200,14300,318079,359,24600000
35,A376190,¿¤ºñ·ç¼À,20210702,14000,14650,13900,14400,776511,359,24600000
36,A376190,¿¤ºñ·ç¼À,20210701,14000,14000,13800,13850,184348,359,24600000
37,A376190,¿¤ºñ·ç¼À,20210630,14000,14000,13850,14000,134884,359,24600000
38,A376190,¿¤ºñ·ç¼À,20210629,14000,14150,13900,13900,171208,359,24600000
39,A376190,¿¤ºñ·ç¼À,20210628,13800,14150,13800,13900,241621,359,24600000
40,A376190,¿¤ºñ·ç¼À,20210625,13850,14000,13750,13800,273429,359,24600000
41,A376190,¿¤ºñ·ç¼À,20210624,14000,14000,13700,13750,421716,359,24600000
42,A376190,¿¤ºñ·ç¼À,20210623,14250,14250,13900,14000,491694,359,24600000
43,A376190,¿¤ºñ·ç¼À,20210622,14400,14650,14200,14200,650066,359,24600000
44,A376190,¿¤ºñ·ç¼À,20210621,14350,14450,14100,14250,551583,359,24600000
45,A376190,¿¤ºñ·ç¼À,20210618,14400,14700,14300,14450,787964,359,24600000
46,A376190,¿¤ºñ·ç¼À,20210617,14500,14700,14350,14350,885126,359,24600000
47,A376190,¿¤ºñ·ç¼À,20210616,14400,14550,14250,14400,740474,359,24600000
48,A376190,¿¤ºñ·ç¼À,20210615,14750,15150,14300,14300,1911795,359,24600000
49,A376190,¿¤ºñ·ç¼À,20210614,14900,15300,14600,14600,1503893,359,24600000
50,A376190,¿¤ºñ·ç¼À,20210611,18000,19300,14900,15200,11998246,359,24600000
