,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A143540,영우디에스피,20210823,2430,2465,2340,2445,386203,359,44599000
1,A143540,영우디에스피,20210820,2565,2650,2345,2425,4500802,359,44599000
2,A143540,영우디에스피,20210819,2655,2700,2480,2535,2615349,359,44599000
3,A143540,영우디에스피,20210818,2680,2760,2635,2715,1315339,359,44599000
4,A143540,영우디에스피,20210817,2855,2860,2685,2715,3363888,359,44599000
5,A143540,영우디에스피,20210813,3010,3045,2875,2880,3539139,359,44599000
6,A143540,영우디에스피,20210812,3055,3135,2975,3020,5955951,359,44599000
7,A143540,영우디에스피,20210811,3045,3130,2970,3110,7353821,359,44599000
8,A143540,영우디에스피,20210810,3145,3290,3000,3030,30368532,359,44599000
9,A143540,영우디에스피,20210809,2725,3180,2700,2990,32668065,359,44599000
10,A143540,영우디에스피,20210806,2750,2755,2710,2730,219331,359,44599000
11,A143540,영우디에스피,20210805,2690,2745,2680,2740,286360,359,44599000
12,A143540,영우디에스피,20210804,2665,2700,2635,2685,167993,359,44599000
13,A143540,영우디에스피,20210803,2670,2690,2630,2665,200862,359,44599000
14,A143540,영우디에스피,20210802,2670,2705,2665,2665,138749,359,44599000
15,A143540,영우디에스피,20210730,2715,2730,2665,2685,185497,359,44599000
16,A143540,영우디에스피,20210729,2705,2735,2695,2715,192320,359,44599000
17,A143540,영우디에스피,20210728,2735,2760,2660,2705,483226,359,44599000
18,A143540,영우디에스피,20210727,2685,2760,2685,2740,387518,359,44599000
19,A143540,영우디에스피,20210726,2740,2745,2670,2695,319004,359,44599000
20,A143540,영우디에스피,20210723,2700,2745,2700,2720,274244,359,44599000
21,A143540,영우디에스피,20210722,2695,2760,2695,2725,423827,359,44599000
22,A143540,영우디에스피,20210721,2775,2775,2650,2665,683952,359,44599000
23,A143540,영우디에스피,20210720,2730,2795,2710,2760,282134,359,44599000
24,A143540,영우디에스피,20210719,2805,2815,2745,2775,391254,359,44599000
25,A143540,영우디에스피,20210716,2840,2865,2800,2805,309017,359,44599000
26,A143540,영우디에스피,20210715,2855,2870,2820,2850,332362,359,44599000
27,A143540,영우디에스피,20210714,2915,2925,2725,2855,455142,359,44599000
28,A143540,영우디에스피,20210713,2915,2925,2880,2915,365736,359,44599000
29,A143540,영우디에스피,20210712,2860,2960,2855,2905,597214,359,44599000
30,A143540,영우디에스피,20210709,2810,2860,2755,2860,603649,359,44599000
31,A143540,영우디에스피,20210708,2910,2925,2785,2880,778988,359,43232000
32,A143540,영우디에스피,20210707,2910,2965,2905,2910,507394,359,43232000
33,A143540,영우디에스피,20210706,2910,2975,2865,2970,704066,359,43232000
34,A143540,영우디에스피,20210705,2965,2965,2835,2900,1417094,359,43232000
35,A143540,영우디에스피,20210702,2995,3030,2915,2975,1088339,359,43232000
36,A143540,영우디에스피,20210701,3030,3045,2925,2995,1077894,359,43232000
37,A143540,영우디에스피,20210630,3040,3080,3000,3020,2044693,359,43232000
38,A143540,영우디에스피,20210629,3010,3060,2955,3015,2648028,359,43232000
39,A143540,영우디에스피,20210628,2885,3100,2885,2965,4455443,359,43232000
40,A143540,영우디에스피,20210625,2845,3015,2845,2880,1729026,359,43232000
41,A143540,영우디에스피,20210624,2875,2915,2785,2835,572555,359,43232000
42,A143540,영우디에스피,20210623,2945,3045,2865,2870,2575029,359,43232000
43,A143540,영우디에스피,20210622,2900,2915,2845,2880,524634,359,43232000
44,A143540,영우디에스피,20210621,2845,2940,2790,2885,1045963,359,43232000
45,A143540,영우디에스피,20210618,2745,2865,2735,2850,1089949,359,43232000
46,A143540,영우디에스피,20210617,2740,2745,2700,2740,273375,359,43232000
47,A143540,영우디에스피,20210616,2740,2770,2720,2745,303955,359,43232000
48,A143540,영우디에스피,20210615,2735,2760,2710,2740,260954,359,43232000
49,A143540,영우디에스피,20210614,2750,2770,2700,2755,312728,359,43232000
50,A143540,영우디에스피,20210611,2750,2790,2700,2770,374842,359,43232000
51,A143540,영우디에스피,20210610,2705,2745,2665,2740,473711,359,43232000
52,A143540,영우디에스피,20210609,2665,2750,2640,2725,801100,359,43232000
53,A143540,영우디에스피,20210608,2760,2760,2655,2660,847302,359,43232000
54,A143540,영우디에스피,20210607,2875,2885,2725,2760,1078486,359,43232000
55,A143540,영우디에스피,20210604,2885,2895,2825,2845,771571,359,43232000
56,A143540,영우디에스피,20210603,2805,2975,2800,2895,2697474,359,43232000
57,A143540,영우디에스피,20210602,2815,2830,2770,2795,285368,359,43232000
58,A143540,영우디에스피,20210601,2840,2850,2800,2810,345178,359,43232000
59,A143540,영우디에스피,20210531,2825,2825,2775,2815,362577,359,43232000
60,A143540,영우디에스피,20210528,2760,2820,2750,2795,415256,359,43232000
61,A143540,영우디에스피,20210527,2750,2765,2700,2755,387170,359,43232000
62,A143540,영우디에스피,20210526,2710,2740,2680,2725,270447,359,43232000
63,A143540,영우디에스피,20210525,2700,2745,2680,2710,212236,359,43232000
64,A143540,영우디에스피,20210524,2665,2720,2605,2700,345734,359,43232000
65,A143540,영우디에스피,20210521,2760,2775,2630,2690,545143,359,43232000
66,A143540,영우디에스피,20210520,2785,2790,2720,2745,444584,359,43232000
67,A143540,영우디에스피,20210518,2810,2810,2725,2790,459633,359,43232000
68,A143540,영우디에스피,20210517,2845,2890,2720,2775,1362134,359,43232000
69,A143540,영우디에스피,20210514,2610,2855,2580,2830,1688848,359,43232000
70,A143540,영우디에스피,20210513,2600,2680,2575,2600,552888,359,43232000
71,A143540,영우디에스피,20210512,2730,2765,2620,2685,557096,359,43232000
72,A143540,영우디에스피,20210511,2820,2830,2720,2735,597889,359,43232000
73,A143540,영우디에스피,20210510,2815,2925,2800,2855,1199955,359,43232000
74,A143540,영우디에스피,20210507,2800,2855,2705,2815,600042,359,43232000
75,A143540,영우디에스피,20210506,2780,2780,2690,2760,410507,359,43232000
76,A143540,영우디에스피,20210504,2740,2805,2635,2780,664580,359,43232000
77,A143540,영우디에스피,20210503,2860,2895,2600,2770,833062,359,43232000
78,A143540,영우디에스피,20210430,2840,2945,2805,2865,847356,359,43232000
79,A143540,영우디에스피,20210429,2870,2915,2740,2865,1260384,359,43232000
80,A143540,영우디에스피,20210428,2950,2965,2805,2870,1513816,359,43232000
81,A143540,영우디에스피,20210427,3040,3050,2865,2955,2401153,359,43232000
82,A143540,영우디에스피,20210426,2990,3140,2935,3080,4207436,359,43232000
83,A143540,영우디에스피,20210423,2685,3010,2560,3000,9124307,359,43232000
84,A143540,영우디에스피,20210422,2600,2710,2545,2650,792730,359,43232000
85,A143540,영우디에스피,20210421,2600,2650,2545,2595,712230,359,43232000
86,A143540,영우디에스피,20210420,2535,2610,2470,2600,862332,359,43232000
87,A143540,영우디에스피,20210419,2465,2700,2445,2540,2059356,359,43232000
88,A143540,영우디에스피,20210416,2460,2500,2445,2465,748498,359,43232000
89,A143540,영우디에스피,20210415,2435,2510,2355,2510,1984615,359,43232000
90,A143540,영우디에스피,20210414,2135,2345,2125,2330,1942295,359,43232000
91,A143540,영우디에스피,20210413,2115,2165,2110,2130,260586,359,43232000
92,A143540,영우디에스피,20210412,2170,2180,2110,2135,403820,359,43232000
93,A143540,영우디에스피,20210409,2190,2225,2165,2170,197649,359,43232000
94,A143540,영우디에스피,20210408,2235,2240,2160,2190,237392,359,43232000
95,A143540,영우디에스피,20210407,2280,2280,2200,2215,289904,359,43232000
96,A143540,영우디에스피,20210406,2215,2275,2175,2255,667693,359,43232000
97,A143540,영우디에스피,20210405,2155,2215,2125,2205,335198,359,43232000
98,A143540,영우디에스피,20210402,2180,2205,2155,2155,187006,359,43232000
99,A143540,영우디에스피,20210401,2230,2235,2170,2175,189753,359,43232000
100,A143540,영우디에스피,20210331,2225,2240,2155,2230,250689,359,43232000
101,A143540,영우디에스피,20210330,2215,2240,2205,2225,167867,359,43232000
102,A143540,영우디에스피,20210329,2215,2245,2195,2225,628225,359,43232000
103,A143540,영우디에스피,20210326,2245,2270,2210,2235,277523,359,43232000
104,A143540,영우디에스피,20210325,2220,2290,2185,2265,484264,359,43232000
