,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,Ω√∞°,∞Ì∞°,¿˙∞°,¡æ∞°,∞≈∑°∑Æ,¡ı±«¿¸ªÍæ˜¡æƒ⁄µÂ,πﬂ«‡¡÷Ωƒºˆ
0,A012160,øµ»Ô,20210823,1035,1045,1000,1045,302929,011,101310000
1,A012160,øµ»Ô,20210820,1060,1090,1005,1015,977536,011,101310000
2,A012160,øµ»Ô,20210819,1100,1130,1060,1060,1021517,011,101310000
3,A012160,øµ»Ô,20210818,1080,1120,1080,1115,563032,011,101310000
4,A012160,øµ»Ô,20210817,1150,1160,1095,1100,1331902,011,101310000
5,A012160,øµ»Ô,20210813,1170,1185,1140,1145,1250031,011,101310000
6,A012160,øµ»Ô,20210812,1195,1205,1170,1175,1036939,011,101310000
7,A012160,øµ»Ô,20210811,1230,1250,1185,1190,2247238,011,101310000
8,A012160,øµ»Ô,20210810,1295,1320,1190,1225,12630217,011,101310000
9,A012160,øµ»Ô,20210809,1175,1185,1155,1155,1081050,011,101310000
10,A012160,øµ»Ô,20210806,1170,1180,1160,1175,480347,011,101310000
11,A012160,øµ»Ô,20210805,1155,1170,1150,1165,517797,011,101310000
12,A012160,øµ»Ô,20210804,1150,1160,1140,1155,236991,011,101310000
13,A012160,øµ»Ô,20210803,1175,1185,1140,1140,963971,011,101310000
14,A012160,øµ»Ô,20210802,1205,1210,1175,1180,707287,011,101310000
15,A012160,øµ»Ô,20210730,1220,1225,1195,1200,864397,011,101310000
16,A012160,øµ»Ô,20210729,1230,1235,1215,1220,463877,011,101310000
17,A012160,øµ»Ô,20210728,1240,1260,1215,1225,719043,011,101310000
18,A012160,øµ»Ô,20210727,1230,1250,1220,1240,484867,011,101310000
19,A012160,øµ»Ô,20210726,1225,1240,1215,1225,510858,011,101310000
20,A012160,øµ»Ô,20210723,1215,1225,1205,1220,607562,011,101310000
21,A012160,øµ»Ô,20210722,1235,1240,1210,1215,629189,011,101310000
22,A012160,øµ»Ô,20210721,1230,1260,1215,1225,592655,011,101310000
23,A012160,øµ»Ô,20210720,1215,1245,1210,1230,989160,011,101310000
24,A012160,øµ»Ô,20210719,1255,1260,1230,1255,519287,011,101310000
25,A012160,øµ»Ô,20210716,1235,1270,1215,1265,764951,011,101310000
26,A012160,øµ»Ô,20210715,1230,1245,1225,1235,426734,011,101310000
27,A012160,øµ»Ô,20210714,1230,1240,1205,1230,377034,011,101310000
28,A012160,øµ»Ô,20210713,1215,1240,1205,1220,605855,011,101310000
29,A012160,øµ»Ô,20210712,1200,1220,1200,1220,515031,011,100665000
30,A012160,øµ»Ô,20210709,1225,1230,1175,1200,2077589,011,100665000
31,A012160,øµ»Ô,20210708,1265,1285,1230,1240,1078487,011,100665000
32,A012160,øµ»Ô,20210707,1280,1280,1255,1270,566001,011,100665000
33,A012160,øµ»Ô,20210706,1260,1285,1260,1280,980795,011,100665000
34,A012160,øµ»Ô,20210705,1275,1275,1255,1260,850965,011,100665000
35,A012160,øµ»Ô,20210702,1250,1275,1245,1270,1118443,011,100665000
36,A012160,øµ»Ô,20210701,1240,1270,1235,1250,1996429,011,100665000
37,A012160,øµ»Ô,20210630,1245,1250,1220,1225,1960639,011,100665000
38,A012160,øµ»Ô,20210629,1245,1265,1235,1245,2122784,011,100665000
39,A012160,øµ»Ô,20210628,1305,1435,1245,1250,24475458,011,100665000
40,A012160,øµ»Ô,20210625,1250,1255,1230,1240,1563888,011,100665000
41,A012160,øµ»Ô,20210624,1265,1270,1235,1250,648739,011,98217000
42,A012160,øµ»Ô,20210623,1270,1290,1255,1265,924152,011,98217000
43,A012160,øµ»Ô,20210622,1235,1295,1235,1270,1677185,011,98217000
44,A012160,øµ»Ô,20210621,1230,1235,1210,1230,328577,011,98217000
45,A012160,øµ»Ô,20210618,1240,1265,1235,1235,419271,011,98217000
46,A012160,øµ»Ô,20210617,1240,1250,1225,1250,284497,011,98217000
47,A012160,øµ»Ô,20210616,1255,1255,1225,1245,512097,011,98217000
48,A012160,øµ»Ô,20210615,1260,1275,1230,1255,647440,011,98217000
49,A012160,øµ»Ô,20210614,1235,1260,1230,1250,738418,011,98217000
50,A012160,øµ»Ô,20210611,1245,1245,1220,1235,474321,011,98217000
51,A012160,øµ»Ô,20210610,1190,1235,1190,1230,1186412,011,98217000
52,A012160,øµ»Ô,20210609,1185,1205,1185,1200,765223,011,98217000
53,A012160,øµ»Ô,20210608,1200,1210,1180,1190,625316,011,98217000
