,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A038520,오리엔트전자,20210823,1950,1950,1950,1950,0,699,12690000
1,A038520,오리엔트전자,20210820,1950,1950,1950,1950,0,699,12690000
2,A038520,오리엔트전자,20210819,1970,1970,1970,1970,0,699,12690000
3,A038520,오리엔트전자,20210818,1985,1985,1985,1985,0,699,12690000
4,A038520,오리엔트전자,20210817,2220,2220,2220,2220,1,699,12690000
5,A038520,오리엔트전자,20210813,1500,2300,1500,1980,6,699,12690000
6,A038520,오리엔트전자,20210812,1990,1990,1990,1990,0,699,12690000
7,A038520,오리엔트전자,20210811,2000,2000,2000,2000,0,699,12690000
8,A038520,오리엔트전자,20210810,2300,2300,2300,2300,1,699,12690000
9,A038520,오리엔트전자,20210809,1895,1900,1895,1900,120,699,12690000
10,A038520,오리엔트전자,20210806,2800,2800,1660,1660,67,699,12690000
11,A038520,오리엔트전자,20210805,2365,2365,2365,2365,0,699,12690000
12,A038520,오리엔트전자,20210804,2550,2550,2550,2550,1,699,12690000
13,A038520,오리엔트전자,20210803,2370,2370,2370,2370,0,699,12690000
14,A038520,오리엔트전자,20210802,2665,2665,2665,2665,1,699,12690000
15,A038520,오리엔트전자,20210730,2100,2100,2050,2050,2,699,12690000
16,A038520,오리엔트전자,20210729,1850,1995,1755,1995,537,699,12690000
17,A038520,오리엔트전자,20210728,1850,1850,1850,1850,1052,699,12690000
18,A038520,오리엔트전자,20210727,1995,1995,1995,1995,8,699,12690000
19,A038520,오리엔트전자,20210726,1925,1925,1850,1850,760,699,12690000
20,A038520,오리엔트전자,20210723,2200,2200,1920,1925,451,699,12690000
21,A038520,오리엔트전자,20210722,1995,2170,1995,2170,275,699,12690000
22,A038520,오리엔트전자,20210721,2160,2160,2160,2160,0,699,12690000
23,A038520,오리엔트전자,20210720,2160,2160,2160,2160,1,699,12690000
24,A038520,오리엔트전자,20210719,2085,2085,2085,2085,253,699,12690000
25,A038520,오리엔트전자,20210716,1950,1950,1950,1950,66,699,12690000
26,A038520,오리엔트전자,20210715,2025,2150,1900,2095,312,699,12690000
27,A038520,오리엔트전자,20210714,2025,2025,2025,2025,120,699,12690000
28,A038520,오리엔트전자,20210713,2025,2025,2025,2025,0,699,12690000
29,A038520,오리엔트전자,20210712,2025,2030,1850,2030,599,699,12690000
30,A038520,오리엔트전자,20210709,2045,2045,1510,2045,509,699,12690000
31,A038520,오리엔트전자,20210708,1895,1895,1895,1895,5,699,12690000
32,A038520,오리엔트전자,20210707,1600,2190,1600,2190,2,699,12690000
33,A038520,오리엔트전자,20210706,2205,2205,2205,2205,0,699,12690000
34,A038520,오리엔트전자,20210705,2290,2290,2195,2195,10,699,12690000
35,A038520,오리엔트전자,20210702,2195,2195,2195,2195,0,699,12690000
36,A038520,오리엔트전자,20210701,2265,2265,2265,2265,0,699,12690000
37,A038520,오리엔트전자,20210630,2265,2265,2265,2265,1,699,12690000
38,A038520,오리엔트전자,20210629,2220,2220,1555,1815,26,699,12690000
39,A038520,오리엔트전자,20210628,2010,2250,2005,2245,130,699,12690000
40,A038520,오리엔트전자,20210625,2295,2295,2295,2295,1,699,12690000
41,A038520,오리엔트전자,20210624,3295,3295,1775,2500,1055,699,12690000
42,A038520,오리엔트전자,20210623,2600,2600,1950,2500,11,699,12690000
43,A038520,오리엔트전자,20210622,2500,2500,2500,2500,0,699,12690000
44,A038520,오리엔트전자,20210621,2600,2600,2290,2580,13,699,12690000
45,A038520,오리엔트전자,20210618,2030,2495,2030,2495,39,699,12690000
46,A038520,오리엔트전자,20210617,2900,2900,2900,2900,1,699,12690000
47,A038520,오리엔트전자,20210616,2400,2400,2395,2395,3,699,12690000
48,A038520,오리엔트전자,20210615,1925,2400,1925,2400,2,699,12690000
49,A038520,오리엔트전자,20210614,2600,2600,1920,2500,7,699,12690000
50,A038520,오리엔트전자,20210611,2600,2600,2600,2600,1,699,12690000
51,A038520,오리엔트전자,20210610,2485,2485,1900,2195,260,699,12690000
52,A038520,오리엔트전자,20210609,2200,2200,2200,2200,0,699,12690000
53,A038520,오리엔트전자,20210608,2200,2200,2200,2200,7,699,12690000
54,A038520,오리엔트전자,20210607,1880,2390,1880,2390,154,699,12690000
55,A038520,오리엔트전자,20210604,2275,2445,2275,2445,1215,699,12690000
56,A038520,오리엔트전자,20210603,1950,2395,1950,2250,13,699,12690000
57,A038520,오리엔트전자,20210602,2290,2290,1915,1950,328,699,12690000
58,A038520,오리엔트전자,20210601,1700,2895,1700,2895,45,699,12690000
59,A038520,오리엔트전자,20210531,2390,2390,2390,2390,4,699,12690000
60,A038520,오리엔트전자,20210528,2000,2170,2000,2170,629,699,12690000
61,A038520,오리엔트전자,20210527,1450,2595,1450,2595,5,699,12690000
62,A038520,오리엔트전자,20210526,2000,2000,2000,2000,46,699,12690000
63,A038520,오리엔트전자,20210525,2395,2395,2395,2395,2,699,12690000
64,A038520,오리엔트전자,20210524,1800,2195,1800,2195,5,699,12690000
65,A038520,오리엔트전자,20210521,2885,2885,1755,1755,32,699,12690000
66,A038520,오리엔트전자,20210520,2225,2225,2225,2225,0,699,12690000
67,A038520,오리엔트전자,20210518,2710,2710,2120,2595,74,699,12690000
68,A038520,오리엔트전자,20210517,2770,2770,1635,2585,109,699,12690000
69,A038520,오리엔트전자,20210514,1935,2595,1935,2595,3,699,12690000
70,A038520,오리엔트전자,20210513,4900,4900,2645,2645,385,699,12690000
71,A038520,오리엔트전자,20210512,3775,3775,3775,3775,1,699,12690000
72,A038520,오리엔트전자,20210511,2910,2910,2910,2910,1,699,12690000
73,A038520,오리엔트전자,20210510,2570,2570,2130,2560,91,699,12690000
74,A038520,오리엔트전자,20210507,2770,2770,2770,2770,1,699,12690000
75,A038520,오리엔트전자,20210506,3715,3715,2100,2845,192,699,12690000
76,A038520,오리엔트전자,20210504,2885,2890,2800,2800,51,699,12690000
77,A038520,오리엔트전자,20210503,2100,3175,2100,3175,130,699,12690000
78,A038520,오리엔트전자,20210430,2995,2995,2995,2995,1,699,12690000
79,A038520,오리엔트전자,20210429,3035,3035,1755,2340,423,699,12690000
80,A038520,오리엔트전자,20210428,4045,4045,2185,2445,291,699,12690000
81,A038520,오리엔트전자,20210427,3115,3115,3115,3115,1,699,12690000
82,A038520,오리엔트전자,20210426,3075,3075,2390,3000,202,699,12690000
83,A038520,오리엔트전자,20210423,3195,3195,1730,2695,101,699,12690000
84,A038520,오리엔트전자,20210422,2445,3180,2445,2995,1790,699,12690000
85,A038520,오리엔트전자,20210421,3490,3490,3490,3490,7,699,12690000
86,A038520,오리엔트전자,20210420,4610,4610,3230,3975,1533,699,12690000
87,A038520,오리엔트전자,20210419,4900,4900,3090,3895,131,699,12690000
88,A038520,오리엔트전자,20210416,4410,4410,4410,4410,1,699,12690000
89,A038520,오리엔트전자,20210415,4120,4120,2230,3950,6,699,12690000
90,A038520,오리엔트전자,20210414,3185,3185,3185,3185,1,699,12690000
91,A038520,오리엔트전자,20210413,3185,3185,3185,3185,1,699,12690000
92,A038520,오리엔트전자,20210412,2450,2450,2450,2450,1006,699,12690000
