,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A082210,옵트론텍,20210823,7750,7850,7600,7830,224339,360,24383000
1,A082210,옵트론텍,20210820,7840,8020,7060,7680,878824,360,24383000
2,A082210,옵트론텍,20210819,8430,8430,7820,7840,1147263,360,24383000
3,A082210,옵트론텍,20210818,8540,8770,8430,8450,1103804,360,24220000
4,A082210,옵트론텍,20210817,9270,9450,8720,8750,1161494,360,24220000
5,A082210,옵트론텍,20210813,9700,9720,9170,9260,1092910,360,24220000
6,A082210,옵트론텍,20210812,9550,9950,9520,9620,1270848,360,24220000
7,A082210,옵트론텍,20210811,9900,9910,9490,9520,1488710,360,24220000
8,A082210,옵트론텍,20210810,10200,10400,9830,9980,2174253,360,24220000
9,A082210,옵트론텍,20210809,9540,10300,9420,10200,6522821,360,24220000
10,A082210,옵트론텍,20210806,9580,9630,9370,9520,1731163,360,24220000
11,A082210,옵트론텍,20210805,9040,9930,8930,9580,12419925,360,24220000
12,A082210,옵트론텍,20210804,9090,9090,8910,8980,352681,360,24220000
13,A082210,옵트론텍,20210803,8950,9150,8760,9030,692709,360,24220000
14,A082210,옵트론텍,20210802,8580,8940,8570,8930,472846,360,24220000
15,A082210,옵트론텍,20210730,8800,8800,8580,8580,417478,360,24220000
16,A082210,옵트론텍,20210729,8960,9040,8790,8790,510869,360,24220000
17,A082210,옵트론텍,20210728,9000,9190,8810,8960,957889,360,24220000
18,A082210,옵트론텍,20210727,8940,9660,8860,9110,6355178,360,24220000
19,A082210,옵트론텍,20210726,8830,8990,8750,8790,529196,360,24220000
20,A082210,옵트론텍,20210723,9100,9100,8750,8770,1076923,360,24220000
21,A082210,옵트론텍,20210722,8670,8940,8660,8900,989497,360,24220000
22,A082210,옵트론텍,20210721,8750,8780,8540,8620,461270,360,24220000
23,A082210,옵트론텍,20210720,8640,8830,8620,8690,580028,360,24220000
24,A082210,옵트론텍,20210719,8880,8960,8730,8820,794964,360,24220000
25,A082210,옵트론텍,20210716,8910,9070,8800,8850,1251105,360,24220000
26,A082210,옵트론텍,20210715,8910,9000,8780,8800,1357286,360,24220000
27,A082210,옵트론텍,20210714,8750,8920,8630,8900,2318906,360,24220000
28,A082210,옵트론텍,20210713,7920,9220,7920,8750,12986388,360,24220000
29,A082210,옵트론텍,20210712,7840,7990,7790,7900,144392,360,24220000
30,A082210,옵트론텍,20210709,7850,7920,7590,7760,320741,360,24220000
31,A082210,옵트론텍,20210708,8090,8090,7840,7950,266183,360,24220000
32,A082210,옵트론텍,20210707,8170,8200,8050,8090,162718,360,24220000
33,A082210,옵트론텍,20210706,8170,8210,8090,8200,157157,360,24057000
34,A082210,옵트론텍,20210705,8040,8150,8010,8140,145615,360,24057000
35,A082210,옵트론텍,20210702,8150,8150,8040,8040,106183,360,24057000
36,A082210,옵트론텍,20210701,8280,8290,8090,8130,168122,360,24057000
37,A082210,옵트론텍,20210630,8190,8270,8120,8270,258583,360,24057000
38,A082210,옵트론텍,20210629,8000,8210,8000,8150,206885,360,24057000
39,A082210,옵트론텍,20210628,7950,8120,7930,8030,118248,360,24057000
40,A082210,옵트론텍,20210625,8000,8040,7940,7970,134968,360,23675000
41,A082210,옵트론텍,20210624,8070,8110,7950,7980,189719,360,23675000
42,A082210,옵트론텍,20210623,8180,8220,8020,8060,239962,360,23675000
43,A082210,옵트론텍,20210622,8210,8230,8140,8180,117384,360,23675000
44,A082210,옵트론텍,20210621,8360,8440,8130,8180,256340,360,23675000
45,A082210,옵트론텍,20210618,8340,8490,8300,8370,331054,360,23675000
46,A082210,옵트론텍,20210617,8180,8270,8130,8250,102629,360,23675000
47,A082210,옵트론텍,20210616,8200,8280,8170,8230,144184,360,23675000
48,A082210,옵트론텍,20210615,8250,8340,8150,8200,154648,360,23675000
49,A082210,옵트론텍,20210614,8360,8380,8200,8240,167983,360,23675000
50,A082210,옵트론텍,20210611,8300,8380,8260,8330,227761,360,23675000
51,A082210,옵트론텍,20210610,8110,8820,8100,8260,1326715,360,23675000
52,A082210,옵트론텍,20210609,8180,8280,8130,8130,141409,360,23675000
53,A082210,옵트론텍,20210608,8280,8310,8170,8190,146124,360,23675000
54,A082210,옵트론텍,20210607,8430,8780,8200,8280,578475,360,23675000
55,A082210,옵트론텍,20210604,8520,8520,8300,8390,257607,360,23675000
56,A082210,옵트론텍,20210603,8520,8550,8350,8540,316310,360,23675000
57,A082210,옵트론텍,20210602,8190,8500,8130,8450,491567,360,23675000
58,A082210,옵트론텍,20210601,8160,8220,8110,8190,154896,360,23675000
59,A082210,옵트론텍,20210531,8260,8280,8070,8120,369776,360,23675000
60,A082210,옵트론텍,20210528,7870,8330,7830,8260,721072,360,23675000
61,A082210,옵트론텍,20210527,7870,7910,7780,7820,187439,360,23675000
62,A082210,옵트론텍,20210526,7710,8400,7670,7840,923349,360,23675000
63,A082210,옵트론텍,20210525,7630,7720,7570,7670,222852,360,23675000
64,A082210,옵트론텍,20210524,7780,7790,7600,7620,238474,360,23675000
65,A082210,옵트론텍,20210521,7740,8100,7700,7780,689130,360,23675000
66,A082210,옵트론텍,20210520,7580,7770,7570,7650,141587,360,23675000
67,A082210,옵트론텍,20210518,7660,7770,7570,7630,251805,360,23675000
68,A082210,옵트론텍,20210517,8370,8430,7580,7630,1233417,360,23675000
69,A082210,옵트론텍,20210514,8650,8700,8430,8480,196135,360,23675000
70,A082210,옵트론텍,20210513,8460,8890,8360,8570,541441,360,23675000
71,A082210,옵트론텍,20210512,8560,8580,8290,8580,195894,360,23675000
72,A082210,옵트론텍,20210511,8600,8720,8460,8560,235452,360,23675000
73,A082210,옵트론텍,20210510,8720,8900,8710,8770,211873,360,23675000
74,A082210,옵트론텍,20210507,8570,8790,8510,8720,177683,360,23675000
75,A082210,옵트론텍,20210506,8400,8670,8370,8570,192755,360,23675000
76,A082210,옵트론텍,20210504,8360,8450,8140,8440,324009,360,23675000
77,A082210,옵트론텍,20210503,8350,8680,8340,8430,214245,360,23675000
78,A082210,옵트론텍,20210430,8600,8690,8350,8420,336964,360,23675000
79,A082210,옵트론텍,20210429,8790,8870,8470,8620,409139,360,23675000
80,A082210,옵트론텍,20210428,9070,9100,8720,8780,476562,360,23675000
81,A082210,옵트론텍,20210427,9140,9140,9040,9060,209615,360,23675000
82,A082210,옵트론텍,20210426,9100,9190,9010,9060,430385,360,23675000
83,A082210,옵트론텍,20210423,9250,9250,9090,9120,354944,360,23675000
84,A082210,옵트론텍,20210422,9210,9360,9190,9250,316378,360,23675000
85,A082210,옵트론텍,20210421,9330,9340,9100,9180,460176,360,23675000
86,A082210,옵트론텍,20210420,9390,9410,9290,9360,303384,360,23675000
87,A082210,옵트론텍,20210419,9120,9470,9120,9400,585161,360,23675000
88,A082210,옵트론텍,20210416,9220,9220,9090,9150,283853,360,23675000
89,A082210,옵트론텍,20210415,9100,9210,9020,9150,210832,360,23675000
90,A082210,옵트론텍,20210414,9280,9290,9070,9120,433832,360,23675000
91,A082210,옵트론텍,20210413,9350,9350,9180,9240,404486,360,23675000
92,A082210,옵트론텍,20210412,9300,9570,9270,9350,799205,360,23675000
93,A082210,옵트론텍,20210409,9200,9310,9150,9150,236863,360,23675000
94,A082210,옵트론텍,20210408,9320,9420,9100,9150,408560,360,23675000
95,A082210,옵트론텍,20210407,9400,9600,9300,9350,296250,360,23675000
96,A082210,옵트론텍,20210406,9760,9760,9330,9390,399892,360,23675000
97,A082210,옵트론텍,20210405,9360,9630,9260,9610,517580,360,23675000
98,A082210,옵트론텍,20210402,9350,9400,9200,9240,319883,360,23675000
99,A082210,옵트론텍,20210401,9150,9280,9070,9250,266189,360,23675000
100,A082210,옵트론텍,20210331,9400,9400,9050,9050,381878,360,23675000
101,A082210,옵트론텍,20210330,8860,9450,8850,9340,772623,360,23675000
102,A082210,옵트론텍,20210329,9210,9230,8810,8820,448392,360,23675000
103,A082210,옵트론텍,20210326,9200,9260,9000,9170,427892,360,23675000
104,A082210,옵트론텍,20210325,9360,9580,9100,9190,478639,360,23675000
105,A082210,옵트론텍,20210324,9500,9600,9350,9470,353443,360,23675000
106,A082210,옵트론텍,20210323,9960,9960,9450,9510,502850,360,23675000
107,A082210,옵트론텍,20210322,10250,10250,9820,9870,527010,360,23675000
108,A082210,옵트론텍,20210319,9810,10400,9690,10050,698706,360,23675000
109,A082210,옵트론텍,20210318,9970,10100,9670,9990,788967,360,23675000
110,A082210,옵트론텍,20210317,9490,9950,9380,9950,1314878,360,23675000
111,A082210,옵트론텍,20210316,9250,9450,9140,9350,505786,360,23675000
112,A082210,옵트론텍,20210315,8850,9250,8700,9090,584350,360,23675000
113,A082210,옵트론텍,20210312,8750,9370,8740,8830,1482960,360,23675000
114,A082210,옵트론텍,20210311,8330,8730,8330,8680,464044,360,23675000
115,A082210,옵트론텍,20210310,8690,8790,8300,8320,333017,360,23675000
116,A082210,옵트론텍,20210309,8400,8720,8100,8530,835982,360,23675000
117,A082210,옵트론텍,20210308,9060,9060,8450,8450,716817,360,23675000
118,A082210,옵트론텍,20210305,8950,8950,8620,8930,855569,360,23675000
119,A082210,옵트론텍,20210304,9130,9140,8830,9030,726287,360,23675000
120,A082210,옵트론텍,20210303,9120,9340,9050,9200,651576,360,23675000
121,A082210,옵트론텍,20210302,9460,9690,9030,9180,730667,360,23675000
122,A082210,옵트론텍,20210226,9500,9580,9160,9250,1728911,360,23675000
123,A082210,옵트론텍,20210225,9710,9940,9660,9900,805654,360,23675000
124,A082210,옵트론텍,20210224,10300,10350,9460,9490,1304455,360,23675000
125,A082210,옵트론텍,20210223,10550,10600,10000,10200,976638,360,23675000
126,A082210,옵트론텍,20210222,11250,11400,10700,10750,686784,360,23675000
127,A082210,옵트론텍,20210219,11250,11600,10900,11250,822189,360,23675000
128,A082210,옵트론텍,20210218,12050,12100,11200,11350,1108065,360,23675000
129,A082210,옵트론텍,20210217,12500,12550,11800,12100,1459005,360,23675000
130,A082210,옵트론텍,20210216,12150,12800,11950,12400,5482215,360,23675000
131,A082210,옵트론텍,20210215,10900,11950,10500,11550,2309464,360,23675000
132,A082210,옵트론텍,20210210,11250,11450,10800,11050,712661,360,23675000
133,A082210,옵트론텍,20210209,11050,11250,10800,10950,451689,360,23675000
134,A082210,옵트론텍,20210208,11600,11650,10900,10950,1321765,360,23675000
135,A082210,옵트론텍,20210205,12450,12450,11700,11800,654060,360,23675000
136,A082210,옵트론텍,20210204,12450,12500,11900,12250,917988,360,23675000
137,A082210,옵트론텍,20210203,11750,12550,11650,12450,1518459,360,23675000
138,A082210,옵트론텍,20210202,11850,11950,11400,11650,994705,360,23675000
139,A082210,옵트론텍,20210201,11650,12000,11400,11800,1050495,360,23675000
140,A082210,옵트론텍,20210129,12100,12450,11400,11600,1123670,360,23675000
141,A082210,옵트론텍,20210128,12300,12500,11800,11850,1155396,360,23675000
142,A082210,옵트론텍,20210127,13350,13500,12700,12800,864365,360,23675000
143,A082210,옵트론텍,20210126,13700,13800,12950,13200,1398819,360,23675000
144,A082210,옵트론텍,20210125,13950,15300,13250,13650,4437118,360,23675000
145,A082210,옵트론텍,20210122,13900,14450,13150,13750,1560856,360,23675000
146,A082210,옵트론텍,20210121,13350,14150,12600,14000,2487048,360,23675000
147,A082210,옵트론텍,20210120,13000,13500,12800,13000,1301925,360,23675000
148,A082210,옵트론텍,20210119,12300,12950,12150,12800,946720,360,23675000
149,A082210,옵트론텍,20210118,12600,12750,12050,12250,672068,360,23675000
150,A082210,옵트론텍,20210115,12900,13250,12700,12900,1169399,360,23675000
151,A082210,옵트론텍,20210114,13450,13450,12450,13000,1943096,360,23675000
152,A082210,옵트론텍,20210113,12250,13650,12250,13500,3600074,360,23675000
153,A082210,옵트론텍,20210112,12000,12800,11700,12250,2514623,360,23675000
154,A082210,옵트론텍,20210111,12050,12550,11200,11750,1221089,360,23675000
155,A082210,옵트론텍,20210108,11800,12100,11400,12000,1109668,360,23675000
156,A082210,옵트론텍,20210107,11800,11850,11400,11800,810581,360,23675000
157,A082210,옵트론텍,20210106,12200,12200,11100,11800,1674510,360,23675000
158,A082210,옵트론텍,20210105,12700,13050,11550,12000,1776448,360,23675000
159,A082210,옵트론텍,20210104,12000,12950,12000,12700,896802,360,23675000
160,A082210,옵트론텍,20201230,11700,11750,11550,11750,402685,360,23675000
161,A082210,옵트론텍,20201229,11550,11850,11550,11850,972173,360,23675000
162,A082210,옵트론텍,20201228,10850,11800,10650,11700,4051841,360,23675000
163,A082210,옵트론텍,20201224,9650,11850,9630,11100,11600980,360,23675000
164,A082210,옵트론텍,20201223,9370,9860,9340,9690,1649974,360,23675000
165,A082210,옵트론텍,20201222,9600,9610,9240,9370,945149,360,23675000
166,A082210,옵트론텍,20201221,9620,9830,9310,9690,908356,360,23675000
167,A082210,옵트론텍,20201218,9670,9800,9430,9630,912901,360,23675000
168,A082210,옵트론텍,20201217,10200,10400,9320,9670,3729448,360,23675000
169,A082210,옵트론텍,20201216,8780,10100,8750,9480,6330738,360,23675000
170,A082210,옵트론텍,20201215,8620,8780,8410,8670,886499,360,23675000
171,A082210,옵트론텍,20201214,8210,8900,8210,8700,2973177,360,23675000
172,A082210,옵트론텍,20201211,7850,8200,7850,8180,890966,360,23675000
173,A082210,옵트론텍,20201210,7680,8080,7660,7850,740247,360,23675000
174,A082210,옵트론텍,20201209,7730,7910,7650,7760,405989,360,23675000
175,A082210,옵트론텍,20201208,7800,7920,7740,7790,475059,360,23675000
176,A082210,옵트론텍,20201207,7700,7970,7570,7850,970210,360,23675000
177,A082210,옵트론텍,20201204,8340,8360,7790,7800,1325348,360,23675000
178,A082210,옵트론텍,20201203,8030,8340,7920,8280,1166993,360,23675000
179,A082210,옵트론텍,20201202,7900,8120,7820,7980,1177854,360,23675000
180,A082210,옵트론텍,20201201,7770,8170,7740,7980,3942936,360,23675000
181,A082210,옵트론텍,20201130,7500,7720,7310,7540,1360354,360,23675000
182,A082210,옵트론텍,20201127,6960,7410,6860,7410,1403634,360,23675000
183,A082210,옵트론텍,20201126,6980,7020,6830,6890,300489,360,23675000
184,A082210,옵트론텍,20201125,7070,7120,6870,6950,480911,360,23675000
185,A082210,옵트론텍,20201124,6990,7060,6860,6970,585118,360,23675000
186,A082210,옵트론텍,20201123,6610,6870,6540,6870,446228,360,23675000
187,A082210,옵트론텍,20201120,6600,6630,6550,6600,125715,360,23675000
188,A082210,옵트론텍,20201119,6600,6600,6470,6560,221894,360,23675000
189,A082210,옵트론텍,20201118,6630,6670,6550,6600,130233,360,23675000
190,A082210,옵트론텍,20201117,6710,6760,6600,6610,210346,360,23675000
191,A082210,옵트론텍,20201116,6650,6870,6610,6700,370701,360,23675000
192,A082210,옵트론텍,20201113,6520,6580,6410,6580,181206,360,23675000
193,A082210,옵트론텍,20201112,6530,6610,6500,6580,121213,360,23675000
194,A082210,옵트론텍,20201111,6560,6660,6470,6520,277018,360,23675000
195,A082210,옵트론텍,20201110,6550,6720,6500,6570,293637,360,23675000
196,A082210,옵트론텍,20201109,6510,6640,6510,6590,174058,360,23675000
197,A082210,옵트론텍,20201106,6550,6700,6390,6490,308737,360,23675000
198,A082210,옵트론텍,20201105,6490,6630,6410,6600,279316,360,23675000
199,A082210,옵트론텍,20201104,6410,6470,6240,6420,191272,360,23675000
200,A082210,옵트론텍,20201103,6240,6440,6240,6350,177147,360,23675000
201,A082210,옵트론텍,20201102,6130,6270,6000,6220,114857,360,23675000
202,A082210,옵트론텍,20201030,6310,6320,6100,6120,213325,360,23675000
203,A082210,옵트론텍,20201029,6200,6330,6160,6320,152174,360,23675000
204,A082210,옵트론텍,20201028,6060,6400,6060,6400,171734,360,23675000
205,A082210,옵트론텍,20201027,6140,6290,6020,6140,232249,360,23675000
206,A082210,옵트론텍,20201026,6580,6580,6170,6240,292114,360,23675000
207,A082210,옵트론텍,20201023,6620,6620,6450,6550,195067,360,23675000
208,A082210,옵트론텍,20201022,6590,6650,6450,6470,220711,360,23675000
209,A082210,옵트론텍,20201021,6680,6730,6580,6670,147037,360,23675000
210,A082210,옵트론텍,20201020,6520,6740,6450,6670,284650,360,23675000
211,A082210,옵트론텍,20201019,6700,6770,6550,6560,319709,360,23675000
212,A082210,옵트론텍,20201016,6920,6940,6440,6750,528975,360,23675000
213,A082210,옵트론텍,20201015,7140,7160,6730,6880,646820,360,23675000
214,A082210,옵트론텍,20201014,7530,7530,7170,7170,526250,360,23675000
215,A082210,옵트론텍,20201013,7400,7620,7340,7540,719106,360,23675000
216,A082210,옵트론텍,20201012,7630,7650,7290,7340,552058,360,23675000
217,A082210,옵트론텍,20201008,7700,7830,7500,7530,1112497,360,23675000
218,A082210,옵트론텍,20201007,7170,7660,7070,7530,1540710,360,23675000
219,A082210,옵트론텍,20201006,7290,7470,7210,7240,565592,360,23675000
220,A082210,옵트론텍,20201005,7040,7210,6970,7190,575859,360,23675000
221,A082210,옵트론텍,20200929,7050,7170,6910,7000,579698,360,23675000
222,A082210,옵트론텍,20200928,6720,6930,6720,6910,374756,360,23675000
223,A082210,옵트론텍,20200925,6840,6860,6530,6600,289702,360,23675000
224,A082210,옵트론텍,20200924,6690,6980,6610,6620,464506,360,23675000
225,A082210,옵트론텍,20200923,6830,7170,6560,6910,878539,360,23675000
226,A082210,옵트론텍,20200922,7100,7130,6640,6710,1005851,360,23675000
