,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A251370,와이엠티,20210823,21000,21500,20850,21050,24376,265,14954000
1,A251370,와이엠티,20210820,21000,21200,20050,20700,98953,265,14954000
2,A251370,와이엠티,20210819,21400,21900,20700,21000,74042,265,14954000
3,A251370,와이엠티,20210818,20750,21650,20300,21400,66255,265,14954000
4,A251370,와이엠티,20210817,21700,21900,20600,20750,108386,265,14954000
5,A251370,와이엠티,20210813,22350,22350,21450,22000,55966,265,14954000
6,A251370,와이엠티,20210812,21950,22350,21650,22350,71551,265,14954000
7,A251370,와이엠티,20210811,22150,22200,21650,22000,74414,265,14954000
8,A251370,와이엠티,20210810,22850,22900,22050,22300,94598,265,14954000
9,A251370,와이엠티,20210809,23050,23050,22450,22850,57304,265,14954000
10,A251370,와이엠티,20210806,22900,23100,22700,22850,73190,265,14954000
11,A251370,와이엠티,20210805,22100,22950,22050,22900,149370,265,14954000
12,A251370,와이엠티,20210804,21900,22300,21600,22150,68445,265,14954000
13,A251370,와이엠티,20210803,21750,22050,21550,21850,47674,265,14954000
14,A251370,와이엠티,20210802,21600,21750,21400,21700,21199,265,14954000
15,A251370,와이엠티,20210730,21600,21850,21350,21600,61040,265,14954000
16,A251370,와이엠티,20210729,21700,21700,21400,21600,27543,265,14954000
17,A251370,와이엠티,20210728,21400,21650,21300,21450,36526,265,14954000
18,A251370,와이엠티,20210727,21350,21950,21350,21700,31676,265,14954000
19,A251370,와이엠티,20210726,21650,21650,21350,21600,56944,265,14954000
20,A251370,와이엠티,20210723,21600,21600,21200,21600,37507,265,14954000
21,A251370,와이엠티,20210722,21350,21650,21150,21600,61580,265,14954000
22,A251370,와이엠티,20210721,21300,21550,21050,21300,86529,265,14954000
23,A251370,와이엠티,20210720,21000,21550,20850,21300,77611,265,14954000
24,A251370,와이엠티,20210719,21350,21500,20900,21300,73127,265,14954000
25,A251370,와이엠티,20210716,21700,21850,21250,21450,54589,265,14954000
26,A251370,와이엠티,20210715,21900,22100,21500,21800,51507,265,14954000
27,A251370,와이엠티,20210714,22100,22100,21550,21700,41551,265,14954000
28,A251370,와이엠티,20210713,21850,22100,21650,22100,49501,265,14954000
29,A251370,와이엠티,20210712,21500,22000,21100,21850,50598,265,14954000
30,A251370,와이엠티,20210709,21750,21750,21000,21300,91633,265,14954000
31,A251370,와이엠티,20210708,22300,22300,21650,21800,81447,265,14954000
32,A251370,와이엠티,20210707,22250,22350,21950,22250,90030,265,14954000
33,A251370,와이엠티,20210706,22500,22650,22350,22400,34494,265,14954000
34,A251370,와이엠티,20210705,22800,22800,22400,22500,38107,265,14954000
35,A251370,와이엠티,20210702,22650,22800,22500,22650,39106,265,14954000
36,A251370,와이엠티,20210701,22700,22850,22450,22800,79253,265,14954000
37,A251370,와이엠티,20210630,22800,22850,22350,22850,77298,265,14954000
38,A251370,와이엠티,20210629,22850,22900,22600,22800,32787,265,14954000
39,A251370,와이엠티,20210628,23150,23150,22600,22700,61757,265,14954000
40,A251370,와이엠티,20210625,23500,23500,22900,22950,73497,265,14954000
41,A251370,와이엠티,20210624,23500,23700,22900,23400,82002,265,14954000
42,A251370,와이엠티,20210623,23800,23800,23200,23550,68783,265,14954000
43,A251370,와이엠티,20210622,23450,23850,23300,23700,90841,265,14954000
44,A251370,와이엠티,20210621,23400,23900,23150,23350,143687,265,14954000
45,A251370,와이엠티,20210618,23600,24150,23500,23700,135297,265,14954000
46,A251370,와이엠티,20210617,23100,23700,22800,23600,156857,265,14954000
47,A251370,와이엠티,20210616,22300,23500,22300,23100,166601,265,14954000
48,A251370,와이엠티,20210615,23000,23150,22400,22700,128175,265,14954000
49,A251370,와이엠티,20210614,22450,23450,22400,23150,278410,265,14954000
50,A251370,와이엠티,20210611,22500,22500,22150,22450,65922,265,14954000
51,A251370,와이엠티,20210610,22350,22450,22100,22350,43840,265,14954000
52,A251370,와이엠티,20210609,22400,22400,21950,22300,26515,265,14954000
53,A251370,와이엠티,20210608,22200,22450,22150,22350,35982,265,14954000
54,A251370,와이엠티,20210607,22700,22750,22150,22400,38744,265,14954000
55,A251370,와이엠티,20210604,22600,22600,22150,22500,56522,265,14954000
56,A251370,와이엠티,20210603,21900,22800,21900,22600,102488,265,14954000
