,辆格内靛,辆格疙,朝楼,矫啊,绊啊,历啊,辆啊,芭贰樊,刘鼻傈魂诀辆内靛,惯青林侥荐
0,A006980,快己荤丰,20210823,29900,30950,29900,30950,10369,005,3090000
1,A006980,快己荤丰,20210820,31200,31450,29700,29850,31397,005,3090000
2,A006980,快己荤丰,20210819,32200,32500,30800,31100,25806,005,3090000
3,A006980,快己荤丰,20210818,31600,32650,31600,32450,15699,005,3090000
4,A006980,快己荤丰,20210817,33650,33850,31850,32250,29343,005,3090000
5,A006980,快己荤丰,20210813,34250,34450,32950,33500,23991,005,3090000
6,A006980,快己荤丰,20210812,34750,34950,34250,34250,9783,005,3090000
7,A006980,快己荤丰,20210811,35000,35100,34500,34700,15030,005,3090000
8,A006980,快己荤丰,20210810,35500,35600,34900,34950,25892,005,3090000
9,A006980,快己荤丰,20210809,35800,36700,35450,35600,19360,005,3090000
10,A006980,快己荤丰,20210806,35750,36200,35400,35800,14904,005,3090000
11,A006980,快己荤丰,20210805,35500,35900,35500,35750,8831,005,3090000
12,A006980,快己荤丰,20210804,35950,35950,35100,35600,10404,005,3090000
13,A006980,快己荤丰,20210803,36050,36450,35200,35700,16310,005,3090000
14,A006980,快己荤丰,20210802,36300,36550,35600,36050,12536,005,3090000
15,A006980,快己荤丰,20210730,36000,36750,35550,36550,47434,005,3090000
16,A006980,快己荤丰,20210729,35700,35700,35200,35300,9411,005,3090000
17,A006980,快己荤丰,20210728,35850,36500,35000,35350,23474,005,3090000
18,A006980,快己荤丰,20210727,35050,36900,34800,35850,46483,005,3090000
19,A006980,快己荤丰,20210726,35350,35400,34900,35050,11972,005,3090000
20,A006980,快己荤丰,20210723,35200,35450,34950,35150,12089,005,3090000
21,A006980,快己荤丰,20210722,35200,35900,35000,35100,13653,005,3090000
22,A006980,快己荤丰,20210721,35900,36000,35000,35200,12363,005,3090000
23,A006980,快己荤丰,20210720,35200,36250,35050,35750,19442,005,3090000
24,A006980,快己荤丰,20210719,36700,36700,35400,35900,12106,005,3090000
25,A006980,快己荤丰,20210716,37050,37050,36150,36400,10669,005,3090000
26,A006980,快己荤丰,20210715,36550,36800,36100,36600,15451,005,3090000
27,A006980,快己荤丰,20210714,36500,36750,35650,36600,15385,005,3090000
28,A006980,快己荤丰,20210713,35950,37250,35600,37000,35757,005,3090000
29,A006980,快己荤丰,20210712,34900,36500,34900,35800,26504,005,3090000
30,A006980,快己荤丰,20210709,35550,35550,34250,34900,48579,005,3090000
31,A006980,快己荤丰,20210708,36900,37000,35600,35850,43162,005,3090000
32,A006980,快己荤丰,20210707,37150,37200,36850,36900,15316,005,3090000
33,A006980,快己荤丰,20210706,37500,37600,37050,37300,14115,005,3090000
34,A006980,快己荤丰,20210705,37350,37350,36750,37250,16415,005,3090000
35,A006980,快己荤丰,20210702,37200,37300,36750,37300,23183,005,3090000
36,A006980,快己荤丰,20210701,36900,37450,36500,36950,22956,005,3090000
37,A006980,快己荤丰,20210630,37050,37200,36800,36850,14467,005,3090000
38,A006980,快己荤丰,20210629,37500,37750,36850,37050,24020,005,3090000
39,A006980,快己荤丰,20210628,37200,37400,37050,37350,18161,005,3090000
40,A006980,快己荤丰,20210625,37100,37150,36750,37150,14265,005,3090000
41,A006980,快己荤丰,20210624,37200,37200,36300,37050,20258,005,3090000
42,A006980,快己荤丰,20210623,37200,37300,36650,36650,19902,005,3090000
43,A006980,快己荤丰,20210622,36900,37300,36600,37150,13599,005,3090000
44,A006980,快己荤丰,20210621,36950,37600,36850,36850,20831,005,3090000
45,A006980,快己荤丰,20210618,37300,37450,36950,37250,16418,005,3090000
46,A006980,快己荤丰,20210617,37750,37800,37000,37300,22873,005,3090000
47,A006980,快己荤丰,20210616,37300,38200,37250,37750,36029,005,3090000
48,A006980,快己荤丰,20210615,37150,37650,36850,37250,13874,005,3090000
