,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A112040,위메이드,20210823,75000,76500,73500,74100,164097,354,16800000
1,A112040,위메이드,20210820,73000,76700,70600,73400,527813,354,16800000
2,A112040,위메이드,20210819,76300,78800,72200,73100,660847,354,16800000
3,A112040,위메이드,20210818,75500,77900,72700,76200,677595,354,16800000
4,A112040,위메이드,20210817,62500,78000,61800,75500,2411517,354,16800000
5,A112040,위메이드,20210813,61200,64200,60700,63000,648366,354,16800000
6,A112040,위메이드,20210812,54800,62500,54600,61100,930113,354,16800000
7,A112040,위메이드,20210811,52400,55100,51500,54700,451137,354,16800000
8,A112040,위메이드,20210810,50700,51700,50100,51200,140994,354,16800000
9,A112040,위메이드,20210809,51000,51400,50100,50700,143778,354,16800000
10,A112040,위메이드,20210806,52300,52700,51100,51300,191980,354,16800000
11,A112040,위메이드,20210805,52400,53800,51700,52200,289817,354,16800000
12,A112040,위메이드,20210804,52000,52400,50300,51600,249294,354,16800000
13,A112040,위메이드,20210803,57600,57800,49300,51900,1395210,354,16800000
14,A112040,위메이드,20210802,57500,58200,56400,57700,161982,354,16800000
15,A112040,위메이드,20210730,59000,60100,56500,56500,233454,354,16800000
16,A112040,위메이드,20210729,57700,60200,57200,59500,203676,354,16800000
17,A112040,위메이드,20210728,59100,60000,57100,57400,263834,354,16800000
18,A112040,위메이드,20210727,60500,61100,58900,59500,204556,354,16800000
19,A112040,위메이드,20210726,63500,63600,60700,60800,253616,354,16800000
20,A112040,위메이드,20210723,61800,62100,59700,61300,198112,354,16800000
21,A112040,위메이드,20210722,61600,62800,60300,61100,251780,354,16800000
22,A112040,위메이드,20210721,61700,64800,60700,61300,496184,354,16800000
23,A112040,위메이드,20210720,60500,63100,59300,60200,421824,354,16800000
24,A112040,위메이드,20210719,57000,61900,55900,61100,655101,354,16800000
25,A112040,위메이드,20210716,58300,65200,56300,57000,1682967,354,16800000
26,A112040,위메이드,20210715,55500,59400,55400,58000,481385,354,16800000
27,A112040,위메이드,20210714,55100,55400,54200,55400,105355,354,16800000
28,A112040,위메이드,20210713,53700,56200,53400,55700,212484,354,16800000
29,A112040,위메이드,20210712,54500,55000,53500,54100,138969,354,16800000
30,A112040,위메이드,20210709,55900,55900,52800,54200,314901,354,16800000
31,A112040,위메이드,20210708,56600,57900,55200,56200,193493,354,16800000
32,A112040,위메이드,20210707,58200,59300,56500,56600,230394,354,16800000
33,A112040,위메이드,20210706,59300,60200,58200,58300,188110,354,16800000
34,A112040,위메이드,20210705,60800,61300,58000,59000,515235,354,16800000
35,A112040,위메이드,20210702,55300,60500,55100,59900,704575,354,16800000
36,A112040,위메이드,20210701,56800,59600,54800,55300,344235,354,16800000
37,A112040,위메이드,20210630,54900,57200,53700,56600,235798,354,16800000
38,A112040,위메이드,20210629,55500,59900,54300,54700,831744,354,16800000
39,A112040,위메이드,20210628,53100,54300,52500,53000,114414,354,16800000
40,A112040,위메이드,20210625,53000,54800,52700,52900,155196,354,16800000
41,A112040,위메이드,20210624,52000,53500,51800,52500,105866,354,16800000
42,A112040,위메이드,20210623,52400,53100,51400,51400,124581,354,16800000
43,A112040,위메이드,20210622,53700,54600,50800,52400,322558,354,16800000
44,A112040,위메이드,20210621,56900,57100,53300,53400,333506,354,16800000
45,A112040,위메이드,20210618,58900,59100,57200,57800,102859,354,16800000
46,A112040,위메이드,20210617,58300,59500,58100,58700,71228,354,16800000
47,A112040,위메이드,20210616,59000,59800,58000,58700,98599,354,16800000
48,A112040,위메이드,20210615,58500,59400,57300,59300,141808,354,16800000
49,A112040,위메이드,20210614,56700,58700,56300,58600,175320,354,16800000
50,A112040,위메이드,20210611,55400,57200,55400,56600,129942,354,16800000
51,A112040,위메이드,20210610,56100,56800,55400,55600,120440,354,16800000
52,A112040,위메이드,20210609,57100,57100,55500,56000,121516,354,16800000
53,A112040,위메이드,20210608,56500,57800,56200,56800,102888,354,16800000
54,A112040,위메이드,20210607,57300,58500,56000,56000,229910,354,16800000
55,A112040,위메이드,20210604,59500,60000,57700,57700,155817,354,16800000
56,A112040,위메이드,20210603,59000,60600,58300,60200,159368,354,16800000
57,A112040,위메이드,20210602,59000,59600,58200,58900,84519,354,16800000
58,A112040,위메이드,20210601,59000,60000,57900,59000,151577,354,16800000
59,A112040,위메이드,20210531,58300,59300,57400,59000,130891,354,16800000
60,A112040,위메이드,20210528,56500,59000,56500,58300,210256,354,16800000
61,A112040,위메이드,20210527,54800,56900,54800,56900,160397,354,16800000
62,A112040,위메이드,20210526,54800,56100,54200,55000,160913,354,16800000
63,A112040,위메이드,20210525,52700,55600,52500,55100,307213,354,16800000
64,A112040,위메이드,20210524,52000,52900,50600,52100,124144,354,16800000
65,A112040,위메이드,20210521,53200,53400,51600,52600,110689,354,16800000
66,A112040,위메이드,20210520,52100,53400,50900,53200,117111,354,16800000
67,A112040,위메이드,20210518,52500,53100,51900,52600,128819,354,16800000
68,A112040,위메이드,20210517,51700,53100,51300,52500,130312,354,16800000
69,A112040,위메이드,20210514,53600,55000,50600,50900,300627,354,16800000
70,A112040,위메이드,20210513,51500,55700,51300,53600,438286,354,16800000
71,A112040,위메이드,20210512,57400,57500,52000,52400,463361,354,16800000
72,A112040,위메이드,20210511,56200,57200,55100,56300,187874,354,16800000
73,A112040,위메이드,20210510,54400,57400,52900,56800,260570,354,16800000
74,A112040,위메이드,20210507,51000,54800,51000,54100,197161,354,16800000
75,A112040,위메이드,20210506,52400,52700,51000,51100,93127,354,16800000
76,A112040,위메이드,20210504,51300,53300,50300,52300,196585,354,16800000
77,A112040,위메이드,20210503,51700,53000,50300,50900,145971,354,16800000
78,A112040,위메이드,20210430,53000,53600,51900,52100,151043,354,16800000
79,A112040,위메이드,20210429,54200,54900,52200,53000,170844,354,16800000
80,A112040,위메이드,20210428,55400,55600,53900,54400,160256,354,16800000
81,A112040,위메이드,20210427,55800,56300,54900,55200,99788,354,16800000
82,A112040,위메이드,20210426,56700,56700,54300,55200,240413,354,16800000
83,A112040,위메이드,20210423,56900,57400,56100,56500,89668,354,16800000
84,A112040,위메이드,20210422,57400,59200,55700,57000,295063,354,16800000
85,A112040,위메이드,20210421,57000,58100,56500,56800,133776,354,16800000
86,A112040,위메이드,20210420,57800,57800,56600,56800,191754,354,16800000
87,A112040,위메이드,20210419,58900,59100,57200,58000,211210,354,16800000
88,A112040,위메이드,20210416,61300,61900,57800,59400,488681,354,16800000
89,A112040,위메이드,20210415,57500,58200,56600,57900,177004,354,16800000
90,A112040,위메이드,20210414,57800,59000,56900,57300,134818,354,16800000
91,A112040,위메이드,20210413,59000,59100,57400,57900,186742,354,16800000
92,A112040,위메이드,20210412,59800,60300,56700,59000,235109,354,16800000
93,A112040,위메이드,20210409,57200,61000,57100,59800,317365,354,16800000
94,A112040,위메이드,20210408,56200,58200,56000,57200,227765,354,16800000
95,A112040,위메이드,20210407,57400,58400,54600,56500,499196,354,16800000
96,A112040,위메이드,20210406,57600,59300,55500,58900,423904,354,16800000
97,A112040,위메이드,20210405,63600,64400,57100,57600,763811,354,16800000
98,A112040,위메이드,20210402,62000,65300,61000,64100,527170,354,16800000
99,A112040,위메이드,20210401,61000,63400,58700,60200,385698,354,16800000
100,A112040,위메이드,20210331,59900,61800,59200,60000,237819,354,16800000
101,A112040,위메이드,20210330,57000,61900,55000,60200,503659,354,16800000
102,A112040,위메이드,20210329,57000,60100,55700,56600,521313,354,16800000
103,A112040,위메이드,20210326,51300,57300,51300,56500,755924,354,16800000
104,A112040,위메이드,20210325,52100,53000,49600,51500,369158,354,16800000
105,A112040,위메이드,20210324,49500,52900,48750,52900,338674,354,16800000
106,A112040,위메이드,20210323,49000,51300,48400,49650,561723,354,16800000
107,A112040,위메이드,20210322,45000,49450,44700,49000,1179756,354,16800000
108,A112040,위메이드,20210319,42050,44650,41900,44200,295185,354,16800000
109,A112040,위메이드,20210318,43000,43650,42600,42800,126307,354,16800000
110,A112040,위메이드,20210317,43100,43500,42550,43000,131465,354,16800000
111,A112040,위메이드,20210316,42600,44600,41650,43000,442383,354,16800000
112,A112040,위메이드,20210315,41650,42300,41050,42300,105506,354,16800000
113,A112040,위메이드,20210312,41700,41900,41000,41250,105867,354,16800000
114,A112040,위메이드,20210311,41300,42600,41100,41400,257452,354,16800000
115,A112040,위메이드,20210310,42250,44200,40700,41200,465434,354,16800000
116,A112040,위메이드,20210309,40950,42400,40400,41950,239642,354,16800000
117,A112040,위메이드,20210308,40400,41800,40050,40800,168790,354,16800000
118,A112040,위메이드,20210305,39050,40400,38450,40050,109077,354,16800000
119,A112040,위메이드,20210304,40300,40500,39150,39650,132621,354,16800000
120,A112040,위메이드,20210303,39150,41000,39150,40800,124422,354,16800000
121,A112040,위메이드,20210302,39550,40500,39100,39600,133254,354,16800000
122,A112040,위메이드,20210226,39000,39100,37450,38100,213831,354,16800000
123,A112040,위메이드,20210225,40000,40300,39500,39900,99052,354,16800000
124,A112040,위메이드,20210224,40700,41150,38850,39400,188739,354,16800000
125,A112040,위메이드,20210223,39950,41450,39750,40150,217207,354,16800000
126,A112040,위메이드,20210222,41600,42050,40150,40600,177263,354,16800000
127,A112040,위메이드,20210219,41000,41850,39850,41550,262678,354,16800000
128,A112040,위메이드,20210218,42700,43550,40800,41000,401510,354,16800000
