,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A101730,위메이드맥스,20210823,6240,6370,6080,6160,30927,354,15795000
1,A101730,위메이드맥스,20210820,6100,6290,5920,6200,128504,354,15795000
2,A101730,위메이드맥스,20210819,6400,6590,5880,6030,276548,354,15795000
3,A101730,위메이드맥스,20210818,6530,6650,6270,6400,138183,354,15795000
4,A101730,위메이드맥스,20210817,5800,6920,5800,6650,1137465,354,15795000
5,A101730,위메이드맥스,20210813,5760,6060,5720,5920,145775,354,15795000
6,A101730,위메이드맥스,20210812,5570,5900,5480,5890,110095,354,15795000
7,A101730,위메이드맥스,20210811,5540,5630,5420,5580,33074,354,15795000
8,A101730,위메이드맥스,20210810,5420,5570,5400,5530,37930,354,15795000
9,A101730,위메이드맥스,20210809,5590,5620,5420,5420,41711,354,15795000
10,A101730,위메이드맥스,20210806,5830,5830,5510,5590,34389,354,15795000
11,A101730,위메이드맥스,20210805,5650,5860,5560,5690,36944,354,15795000
12,A101730,위메이드맥스,20210804,5520,5700,5350,5650,31977,354,15795000
13,A101730,위메이드맥스,20210803,5790,5900,5400,5520,91716,354,15795000
14,A101730,위메이드맥스,20210802,5790,5800,5700,5790,20178,354,15795000
15,A101730,위메이드맥스,20210730,5980,6040,5740,5780,27643,354,15795000
16,A101730,위메이드맥스,20210729,5890,6000,5790,5960,19563,354,15795000
17,A101730,위메이드맥스,20210728,6000,6090,5710,5770,109723,354,15795000
18,A101730,위메이드맥스,20210727,6000,6090,5910,5990,22296,354,15795000
19,A101730,위메이드맥스,20210726,6030,6130,5990,6000,32658,354,15795000
20,A101730,위메이드맥스,20210723,5860,6130,5860,6090,59537,354,15795000
21,A101730,위메이드맥스,20210722,5940,5990,5840,5940,24840,354,15795000
22,A101730,위메이드맥스,20210721,5900,6050,5900,5970,26795,354,15795000
23,A101730,위메이드맥스,20210720,6000,6190,5900,5930,51865,354,15795000
24,A101730,위메이드맥스,20210719,5980,6130,5860,6090,58770,354,15795000
25,A101730,위메이드맥스,20210716,5890,6200,5840,5980,134546,354,15795000
26,A101730,위메이드맥스,20210715,5820,5940,5730,5840,35524,354,15795000
27,A101730,위메이드맥스,20210714,5790,5970,5660,5820,52667,354,15795000
28,A101730,위메이드맥스,20210713,5800,5800,5670,5740,43415,354,15795000
29,A101730,위메이드맥스,20210712,5810,5880,5660,5780,17151,354,15795000
30,A101730,위메이드맥스,20210709,6000,6000,5650,5780,88853,354,15795000
31,A101730,위메이드맥스,20210708,6110,6150,5940,6000,43608,354,15795000
32,A101730,위메이드맥스,20210707,6110,6180,5980,6120,44911,354,15795000
33,A101730,위메이드맥스,20210706,6100,6180,6080,6110,64563,354,15795000
34,A101730,위메이드맥스,20210705,6190,6190,6040,6120,35632,354,15795000
35,A101730,위메이드맥스,20210702,6120,6290,6080,6180,69132,354,15795000
36,A101730,위메이드맥스,20210701,6040,6250,6040,6100,49266,354,15795000
37,A101730,위메이드맥스,20210630,5960,6060,5840,6050,39446,354,15795000
38,A101730,위메이드맥스,20210629,5880,6090,5800,5960,52428,354,15795000
39,A101730,위메이드맥스,20210628,5990,5990,5710,5780,52666,354,15795000
40,A101730,위메이드맥스,20210625,5830,5960,5780,5880,28802,354,15795000
41,A101730,위메이드맥스,20210624,5850,6050,5770,5830,45325,354,15795000
42,A101730,위메이드맥스,20210623,6000,6000,5770,5890,63482,354,15795000
43,A101730,위메이드맥스,20210622,6020,6080,5770,5900,139288,354,15795000
44,A101730,위메이드맥스,20210621,6120,6240,5970,6010,70561,354,15795000
45,A101730,위메이드맥스,20210618,6300,6400,6150,6260,48823,354,15795000
46,A101730,위메이드맥스,20210617,6300,6330,6170,6300,37720,354,15795000
47,A101730,위메이드맥스,20210616,6250,6340,6140,6300,51315,354,15795000
48,A101730,위메이드맥스,20210615,6240,6240,6060,6220,32666,354,15795000
49,A101730,위메이드맥스,20210614,6250,6290,6130,6210,34945,354,15795000
50,A101730,위메이드맥스,20210611,6150,6330,6130,6220,67846,354,15795000
51,A101730,위메이드맥스,20210610,6020,6230,6010,6120,51745,354,15795000
52,A101730,위메이드맥스,20210609,5980,6250,5980,6100,114874,354,15795000
53,A101730,위메이드맥스,20210608,6050,6050,5900,5980,58204,354,15795000
54,A101730,위메이드맥스,20210607,6040,6110,5900,5980,71642,354,15795000
55,A101730,위메이드맥스,20210604,6170,6180,5970,6030,57335,354,15795000
56,A101730,위메이드맥스,20210603,6090,6190,6060,6180,91002,354,15795000
57,A101730,위메이드맥스,20210602,5900,6100,5770,6080,83696,354,15795000
58,A101730,위메이드맥스,20210601,6030,6030,5800,5900,58494,354,15795000
59,A101730,위메이드맥스,20210531,5950,6030,5810,5980,105831,354,15795000
60,A101730,위메이드맥스,20210528,5540,5940,5480,5930,153905,354,15795000
61,A101730,위메이드맥스,20210527,5480,5580,5400,5540,50960,354,15795000
62,A101730,위메이드맥스,20210526,5510,5550,5360,5400,53542,354,15795000
63,A101730,위메이드맥스,20210525,5130,5700,5130,5510,170017,354,15795000
64,A101730,위메이드맥스,20210524,5260,5380,5110,5180,36544,354,15795000
65,A101730,위메이드맥스,20210521,5290,5590,5240,5260,33547,354,15795000
66,A101730,위메이드맥스,20210520,5390,5400,5190,5290,62022,354,15795000
67,A101730,위메이드맥스,20210518,5360,5490,5270,5420,70513,354,15795000
68,A101730,위메이드맥스,20210517,5460,5650,5270,5360,103761,354,15795000
69,A101730,위메이드맥스,20210514,5850,5850,5480,5500,104257,354,15795000
70,A101730,위메이드맥스,20210513,5570,5790,5510,5710,109593,354,15795000
71,A101730,위메이드맥스,20210512,5930,6060,5600,5760,156224,354,15795000
72,A101730,위메이드맥스,20210511,5750,5890,5650,5810,97229,354,15795000
73,A101730,위메이드맥스,20210510,5970,5980,5630,5860,218693,354,15795000
74,A101730,위메이드맥스,20210507,5410,6100,5410,5970,388730,354,15795000
75,A101730,위메이드맥스,20210506,5300,5700,5300,5400,124495,354,15795000
76,A101730,위메이드맥스,20210504,5170,5450,5090,5280,83943,354,15795000
77,A101730,위메이드맥스,20210503,5350,5350,5200,5210,77442,354,15795000
78,A101730,위메이드맥스,20210430,5210,5360,5140,5310,97486,354,15795000
79,A101730,위메이드맥스,20210429,5390,5450,5150,5210,131692,354,15795000
80,A101730,위메이드맥스,20210428,5130,5540,5050,5320,181687,354,15795000
81,A101730,위메이드맥스,20210427,5240,5240,5030,5100,92819,354,15795000
82,A101730,위메이드맥스,20210426,5280,5340,5050,5190,138137,354,15795000
83,A101730,위메이드맥스,20210423,5150,5650,4995,5230,286954,354,15795000
84,A101730,위메이드맥스,20210422,5200,5290,4990,5070,214117,354,15795000
85,A101730,위메이드맥스,20210421,5400,5500,5050,5150,426417,354,15795000
86,A101730,위메이드맥스,20210420,5740,5740,5430,5430,236187,354,15795000
87,A101730,위메이드맥스,20210419,6020,6160,5710,5710,168165,354,15795000
88,A101730,위메이드맥스,20210416,6150,6280,5920,6030,175356,354,15795000
89,A101730,위메이드맥스,20210415,6050,6160,5840,5980,131878,354,15795000
90,A101730,위메이드맥스,20210414,6310,6400,5870,6020,225794,354,15795000
91,A101730,위메이드맥스,20210413,6420,6560,6100,6300,222824,354,15795000
92,A101730,위메이드맥스,20210412,5970,6640,5890,6420,469944,354,15795000
93,A101730,위메이드맥스,20210409,5930,5960,5610,5950,257029,354,15795000
