,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A018000,À¯´Ï½¼,20210823,3115,3200,3050,3165,306525,270,121733000
1,A018000,À¯´Ï½¼,20210820,3240,3275,3100,3105,1077563,270,121733000
2,A018000,À¯´Ï½¼,20210819,3410,3480,3230,3240,1457898,270,121733000
3,A018000,À¯´Ï½¼,20210818,3310,3580,3310,3425,873482,270,121733000
4,A018000,À¯´Ï½¼,20210817,3505,3520,3390,3390,942249,270,121733000
5,A018000,À¯´Ï½¼,20210813,3570,3665,3470,3520,1691846,270,121733000
6,A018000,À¯´Ï½¼,20210812,3495,3620,3495,3585,971844,270,121733000
7,A018000,À¯´Ï½¼,20210811,3570,3585,3515,3520,527844,270,121733000
8,A018000,À¯´Ï½¼,20210810,3615,3640,3545,3550,654123,270,121733000
9,A018000,À¯´Ï½¼,20210809,3665,3665,3575,3610,699138,270,121733000
10,A018000,À¯´Ï½¼,20210806,3755,3770,3655,3680,853058,270,121733000
11,A018000,À¯´Ï½¼,20210805,3625,3840,3610,3755,2151415,270,121733000
12,A018000,À¯´Ï½¼,20210804,3575,3615,3505,3610,610666,270,121733000
13,A018000,À¯´Ï½¼,20210803,3595,3650,3535,3575,579839,270,121733000
14,A018000,À¯´Ï½¼,20210802,3540,3665,3515,3600,827149,270,121733000
15,A018000,À¯´Ï½¼,20210730,3605,3605,3505,3535,1033219,270,121733000
16,A018000,À¯´Ï½¼,20210729,3600,3665,3595,3605,606149,270,121733000
17,A018000,À¯´Ï½¼,20210728,3680,3715,3590,3600,1054797,270,121733000
18,A018000,À¯´Ï½¼,20210727,3685,3735,3680,3700,643365,270,121733000
19,A018000,À¯´Ï½¼,20210726,3785,3790,3695,3695,919563,270,121733000
20,A018000,À¯´Ï½¼,20210723,3795,3800,3765,3775,512467,270,121733000
21,A018000,À¯´Ï½¼,20210722,3800,3835,3755,3780,621618,270,121733000
22,A018000,À¯´Ï½¼,20210721,3855,3880,3760,3765,787014,270,121733000
23,A018000,À¯´Ï½¼,20210720,3675,3905,3670,3830,1789188,270,121733000
24,A018000,À¯´Ï½¼,20210719,3750,3795,3720,3765,727249,270,121733000
25,A018000,À¯´Ï½¼,20210716,3870,3870,3790,3795,918886,270,121733000
26,A018000,À¯´Ï½¼,20210715,3945,3945,3865,3870,771671,270,121733000
27,A018000,À¯´Ï½¼,20210714,3940,3945,3865,3900,590402,270,121733000
28,A018000,À¯´Ï½¼,20210713,3840,3985,3810,3935,994150,270,121733000
29,A018000,À¯´Ï½¼,20210712,3790,3845,3770,3840,636957,270,121733000
30,A018000,À¯´Ï½¼,20210709,3810,3830,3715,3770,1556323,270,121733000
31,A018000,À¯´Ï½¼,20210708,3985,3995,3870,3885,1486497,270,121733000
32,A018000,À¯´Ï½¼,20210707,4035,4040,3980,3995,826711,270,121733000
33,A018000,À¯´Ï½¼,20210706,3980,4115,3935,4055,1837009,270,121733000
34,A018000,À¯´Ï½¼,20210705,3945,3965,3920,3955,813216,270,121733000
35,A018000,À¯´Ï½¼,20210702,3970,3980,3935,3955,963271,270,121733000
36,A018000,À¯´Ï½¼,20210701,4010,4015,3950,3970,1048511,270,121733000
37,A018000,À¯´Ï½¼,20210630,4010,4065,3990,4020,1045791,270,121733000
38,A018000,À¯´Ï½¼,20210629,3930,4015,3930,4005,1025294,270,121733000
39,A018000,À¯´Ï½¼,20210628,3995,4030,3965,3980,911226,270,121733000
40,A018000,À¯´Ï½¼,20210625,4010,4050,3985,4000,986725,270,121733000
41,A018000,À¯´Ï½¼,20210624,4010,4025,3955,4005,1412409,270,121733000
42,A018000,À¯´Ï½¼,20210623,4015,4050,3995,4000,1139507,270,121733000
43,A018000,À¯´Ï½¼,20210622,4075,4075,3990,4010,1345115,270,121733000
44,A018000,À¯´Ï½¼,20210621,4095,4100,4025,4040,1307434,270,121733000
45,A018000,À¯´Ï½¼,20210618,4135,4150,4100,4130,1236750,270,121733000
46,A018000,À¯´Ï½¼,20210617,4195,4200,4110,4130,1468857,270,121733000
47,A018000,À¯´Ï½¼,20210616,4155,4230,4140,4200,1029682,270,121733000
48,A018000,À¯´Ï½¼,20210615,4245,4255,4135,4170,1614012,270,121733000
49,A018000,À¯´Ï½¼,20210614,4240,4270,4115,4245,2596424,270,121733000
50,A018000,À¯´Ï½¼,20210611,4425,4435,4210,4280,4847339,270,121733000
51,A018000,À¯´Ï½¼,20210610,4555,4570,4415,4450,3751209,270,121733000
52,A018000,À¯´Ï½¼,20210609,4535,4555,4400,4555,3274016,270,121733000
53,A018000,À¯´Ï½¼,20210608,4750,4775,4455,4555,6721156,270,121733000
54,A018000,À¯´Ï½¼,20210607,4355,4780,4350,4655,20733006,270,121733000
55,A018000,À¯´Ï½¼,20210604,4215,4365,4190,4315,1957958,270,121733000
56,A018000,À¯´Ï½¼,20210603,4275,4275,4220,4245,1083900,270,121733000
57,A018000,À¯´Ï½¼,20210602,4320,4350,4225,4280,1220966,270,121733000
58,A018000,À¯´Ï½¼,20210601,4290,4360,4255,4320,1818723,270,121733000
59,A018000,À¯´Ï½¼,20210531,4420,4490,4230,4245,2613802,270,121733000
60,A018000,À¯´Ï½¼,20210528,4305,4365,4245,4330,2116887,270,121733000
61,A018000,À¯´Ï½¼,20210527,4245,4285,4090,4270,1980890,270,121733000
62,A018000,À¯´Ï½¼,20210526,4170,4265,4140,4220,1434804,270,121733000
63,A018000,À¯´Ï½¼,20210525,4125,4180,4115,4165,782276,270,121733000
64,A018000,À¯´Ï½¼,20210524,4140,4165,4040,4125,1495210,270,121733000
65,A018000,À¯´Ï½¼,20210521,4075,4120,4015,4060,548871,270,121733000
66,A018000,À¯´Ï½¼,20210520,3980,4075,3955,4075,726883,270,121733000
67,A018000,À¯´Ï½¼,20210518,4000,4005,3960,3970,772589,270,121733000
68,A018000,À¯´Ï½¼,20210517,4035,4050,3960,4005,588847,270,121733000
69,A018000,À¯´Ï½¼,20210514,4030,4050,4000,4000,430211,270,121727000
70,A018000,À¯´Ï½¼,20210513,3990,4070,3980,4000,946879,270,121727000
71,A018000,À¯´Ï½¼,20210512,4230,4320,4090,4100,1335703,270,121727000
72,A018000,À¯´Ï½¼,20210511,4170,4200,4145,4170,813855,270,121727000
73,A018000,À¯´Ï½¼,20210510,4240,4350,4145,4220,1621756,270,121727000
74,A018000,À¯´Ï½¼,20210507,4430,4535,4240,4240,7416773,270,121727000
75,A018000,À¯´Ï½¼,20210506,4150,4240,4100,4240,1291295,270,121727000
76,A018000,À¯´Ï½¼,20210504,4055,4130,3910,4130,1059042,270,121727000
77,A018000,À¯´Ï½¼,20210503,4020,4200,4020,4055,793237,270,121727000
78,A018000,À¯´Ï½¼,20210430,4100,4185,4050,4095,806216,270,121727000
79,A018000,À¯´Ï½¼,20210429,4120,4175,4050,4085,881849,270,121727000
80,A018000,À¯´Ï½¼,20210428,4225,4225,4055,4120,1519162,270,121727000
81,A018000,À¯´Ï½¼,20210427,4320,4340,4200,4230,1350532,270,121679000
82,A018000,À¯´Ï½¼,20210426,4340,4365,4250,4320,1341853,270,121679000
83,A018000,À¯´Ï½¼,20210423,4460,4490,4345,4350,2183716,270,121679000
84,A018000,À¯´Ï½¼,20210422,4450,4580,4425,4455,3505753,270,121679000
85,A018000,À¯´Ï½¼,20210421,4415,4450,4310,4415,1707678,270,121679000
86,A018000,À¯´Ï½¼,20210420,4440,4480,4370,4450,1375100,270,121679000
87,A018000,À¯´Ï½¼,20210419,4435,4475,4350,4425,2707947,270,121679000
88,A018000,À¯´Ï½¼,20210416,4265,4390,4250,4390,4965367,270,121679000
89,A018000,À¯´Ï½¼,20210415,4335,4375,4240,4245,1229611,270,121679000
90,A018000,À¯´Ï½¼,20210414,4275,4425,4250,4330,2222390,270,121679000
91,A018000,À¯´Ï½¼,20210413,4305,4395,4265,4275,1661398,270,121679000
92,A018000,À¯´Ï½¼,20210412,4185,4390,4185,4305,3046882,270,121624000
93,A018000,À¯´Ï½¼,20210409,4250,4285,4155,4185,1435676,270,121624000
94,A018000,À¯´Ï½¼,20210408,4140,4295,4085,4240,1957391,270,121624000
95,A018000,À¯´Ï½¼,20210407,4100,4180,4100,4130,1280184,270,121624000
96,A018000,À¯´Ï½¼,20210406,4155,4160,4080,4100,851759,270,121624000
97,A018000,À¯´Ï½¼,20210405,4120,4165,4065,4130,1241428,270,121624000
98,A018000,À¯´Ï½¼,20210402,4155,4160,4055,4100,1145543,270,121624000
99,A018000,À¯´Ï½¼,20210401,4260,4260,4110,4150,1616941,270,121624000
100,A018000,À¯´Ï½¼,20210331,4295,4360,4235,4285,2421329,270,121624000
101,A018000,À¯´Ï½¼,20210330,4355,4435,4180,4230,2948834,270,121624000
102,A018000,À¯´Ï½¼,20210329,4365,4450,4260,4355,2659585,270,121624000
103,A018000,À¯´Ï½¼,20210326,4345,4390,4240,4305,1742122,270,121624000
104,A018000,À¯´Ï½¼,20210325,4200,4390,4180,4320,4045003,270,121588000
105,A018000,À¯´Ï½¼,20210324,3945,4235,3935,4230,4492488,270,121588000
106,A018000,À¯´Ï½¼,20210323,4030,4115,3900,3960,1524658,270,121588000
107,A018000,À¯´Ï½¼,20210322,4050,4075,3980,4020,1193974,270,121588000
108,A018000,À¯´Ï½¼,20210319,3995,4165,3965,3965,1942773,270,121588000
109,A018000,À¯´Ï½¼,20210318,4100,4130,4075,4100,1132511,270,121588000
110,A018000,À¯´Ï½¼,20210317,4075,4080,3995,4070,1043952,270,121588000
111,A018000,À¯´Ï½¼,20210316,4090,4235,3980,4075,4557685,270,121588000
112,A018000,À¯´Ï½¼,20210315,3955,4125,3895,4065,2807858,270,121588000
113,A018000,À¯´Ï½¼,20210312,3860,4095,3835,3995,7023185,270,121588000
114,A018000,À¯´Ï½¼,20210311,3840,3900,3710,3770,2926515,270,121516000
115,A018000,À¯´Ï½¼,20210310,3595,4280,3545,3945,21147059,270,121516000
116,A018000,À¯´Ï½¼,20210309,3520,3610,3345,3510,3092780,270,121516000
117,A018000,À¯´Ï½¼,20210308,3840,3865,3600,3600,1863141,270,121516000
118,A018000,À¯´Ï½¼,20210305,3800,3870,3710,3815,2025765,270,121516000
119,A018000,À¯´Ï½¼,20210304,4005,4005,3905,3925,963349,270,121516000
120,A018000,À¯´Ï½¼,20210303,3965,4105,3930,4020,1064917,270,121516000
121,A018000,À¯´Ï½¼,20210302,4075,4075,3960,3995,1006224,270,121516000
122,A018000,À¯´Ï½¼,20210226,4055,4055,3890,3935,2031421,270,121516000
123,A018000,À¯´Ï½¼,20210225,4020,4120,3965,4095,1479816,270,121365000
124,A018000,À¯´Ï½¼,20210224,4125,4160,3945,3960,2115144,270,121365000
125,A018000,À¯´Ï½¼,20210223,4250,4270,4100,4120,2241321,270,121365000
126,A018000,À¯´Ï½¼,20210222,4550,4550,4250,4300,3032046,270,121365000
127,A018000,À¯´Ï½¼,20210219,4715,4800,4550,4580,2132927,270,121365000
128,A018000,À¯´Ï½¼,20210218,4650,4935,4595,4715,6685457,270,121365000
129,A018000,À¯´Ï½¼,20210217,4710,4710,4610,4665,2232699,270,121365000
130,A018000,À¯´Ï½¼,20210216,4795,4795,4620,4725,2710277,270,121365000
