,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A063180,유니텍,20210823,287,287,287,287,0,699,3338000
1,A063180,유니텍,20210820,287,287,287,287,0,699,3338000
2,A063180,유니텍,20210819,287,287,287,287,0,699,3338000
3,A063180,유니텍,20210818,287,287,287,287,0,699,3338000
4,A063180,유니텍,20210817,288,288,287,287,1620,699,3338000
5,A063180,유니텍,20210813,290,290,290,290,0,699,3338000
6,A063180,유니텍,20210812,291,291,290,290,200,699,3338000
7,A063180,유니텍,20210811,290,290,290,290,739,699,3338000
8,A063180,유니텍,20210810,297,297,296,297,553,699,3338000
9,A063180,유니텍,20210809,356,356,298,298,600,699,3338000
10,A063180,유니텍,20210806,369,370,350,350,707,699,3338000
11,A063180,유니텍,20210805,384,384,293,293,163,699,3338000
12,A063180,유니텍,20210804,380,380,295,296,4809,699,3338000
13,A063180,유니텍,20210803,295,295,293,295,1301,699,3338000
14,A063180,유니텍,20210802,302,303,300,300,1601,699,3338000
15,A063180,유니텍,20210730,325,326,305,305,237,699,3338000
16,A063180,유니텍,20210729,325,325,325,325,624,699,3338000
17,A063180,유니텍,20210728,330,330,330,330,701,699,3338000
18,A063180,유니텍,20210727,335,335,335,335,1,699,3338000
19,A063180,유니텍,20210726,337,337,337,337,0,699,3338000
20,A063180,유니텍,20210723,337,337,337,337,41,699,3338000
21,A063180,유니텍,20210722,346,346,346,346,2,699,3338000
22,A063180,유니텍,20210721,346,346,346,346,0,699,3338000
23,A063180,유니텍,20210720,346,346,346,346,0,699,3338000
24,A063180,유니텍,20210719,341,376,341,376,272,699,3338000
25,A063180,유니텍,20210716,349,349,340,340,233,699,3338000
26,A063180,유니텍,20210715,350,350,345,345,50,699,3338000
27,A063180,유니텍,20210714,438,438,438,438,0,699,3338000
28,A063180,유니텍,20210713,384,499,351,351,1288,699,3338000
29,A063180,유니텍,20210712,384,384,384,384,5,699,3338000
30,A063180,유니텍,20210709,340,428,340,428,2,699,3338000
31,A063180,유니텍,20210708,444,444,444,444,1,699,3338000
