,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A000700,유수홀딩스,20210823,5670,5780,5580,5780,25865,026,26041000
1,A000700,유수홀딩스,20210820,5790,5830,5600,5600,91175,026,26041000
2,A000700,유수홀딩스,20210819,5980,6050,5780,5790,65742,026,26041000
3,A000700,유수홀딩스,20210818,5930,6030,5910,5980,54010,026,26041000
4,A000700,유수홀딩스,20210817,6070,6090,5940,5980,43533,026,26041000
5,A000700,유수홀딩스,20210813,6140,6200,6000,6100,34730,026,26041000
6,A000700,유수홀딩스,20210812,6100,6200,6100,6140,21882,026,26041000
7,A000700,유수홀딩스,20210811,6100,6200,6000,6090,58843,026,26041000
8,A000700,유수홀딩스,20210810,6230,6340,6090,6120,72078,026,26041000
9,A000700,유수홀딩스,20210809,6330,6350,6200,6230,64446,026,26041000
10,A000700,유수홀딩스,20210806,6250,6340,6220,6310,52694,026,26041000
11,A000700,유수홀딩스,20210805,6250,6250,6180,6200,32366,026,26041000
12,A000700,유수홀딩스,20210804,6200,6360,6160,6190,55835,026,26041000
13,A000700,유수홀딩스,20210803,6220,6230,6150,6200,49634,026,26041000
14,A000700,유수홀딩스,20210802,6390,6430,6090,6220,174055,026,26041000
15,A000700,유수홀딩스,20210730,6490,6540,6360,6440,46116,026,26041000
16,A000700,유수홀딩스,20210729,6500,6600,6470,6480,20004,026,26041000
17,A000700,유수홀딩스,20210728,6530,6580,6470,6500,19718,026,26041000
18,A000700,유수홀딩스,20210727,6520,6640,6430,6530,86965,026,26041000
19,A000700,유수홀딩스,20210726,6590,6650,6430,6470,31539,026,26041000
20,A000700,유수홀딩스,20210723,6490,6660,6460,6590,24536,026,26041000
21,A000700,유수홀딩스,20210722,6470,6500,6360,6500,64052,026,26041000
22,A000700,유수홀딩스,20210721,6480,6570,6470,6490,28218,026,26041000
23,A000700,유수홀딩스,20210720,6480,6510,6420,6480,29774,026,26041000
24,A000700,유수홀딩스,20210719,6700,6700,6520,6520,52222,026,26041000
25,A000700,유수홀딩스,20210716,6790,6790,6650,6700,23280,026,26041000
26,A000700,유수홀딩스,20210715,6700,6740,6610,6730,37799,026,26041000
27,A000700,유수홀딩스,20210714,6760,6760,6600,6730,38696,026,26041000
28,A000700,유수홀딩스,20210713,6670,6810,6670,6760,36051,026,26041000
29,A000700,유수홀딩스,20210712,6600,6770,6600,6710,30432,026,26041000
30,A000700,유수홀딩스,20210709,6770,6770,6570,6600,93625,026,26041000
31,A000700,유수홀딩스,20210708,6970,7000,6710,6830,162519,026,26041000
32,A000700,유수홀딩스,20210707,7050,7100,6940,7030,46405,026,26041000
33,A000700,유수홀딩스,20210706,7030,7050,6990,7050,17101,026,26041000
34,A000700,유수홀딩스,20210705,7130,7170,7000,7030,38416,026,26041000
35,A000700,유수홀딩스,20210702,7090,7140,7090,7130,18469,026,26041000
36,A000700,유수홀딩스,20210701,7140,7200,7060,7090,37151,026,26041000
37,A000700,유수홀딩스,20210630,7220,7230,7110,7140,52526,026,26041000
38,A000700,유수홀딩스,20210629,7040,7240,6980,7190,84072,026,26041000
39,A000700,유수홀딩스,20210628,7000,7090,6960,6980,76824,026,26041000
40,A000700,유수홀딩스,20210625,7000,7060,6930,7000,96771,026,26041000
41,A000700,유수홀딩스,20210624,7030,7160,6910,7000,80774,026,26041000
42,A000700,유수홀딩스,20210623,7120,7120,7000,7030,27151,026,26041000
43,A000700,유수홀딩스,20210622,7200,7200,7010,7050,46593,026,26041000
44,A000700,유수홀딩스,20210621,7240,7250,7000,7060,101646,026,26041000
45,A000700,유수홀딩스,20210618,7270,7350,7240,7240,79891,026,26041000
46,A000700,유수홀딩스,20210617,7250,7350,7230,7320,51899,026,26041000
47,A000700,유수홀딩스,20210616,7290,7380,7200,7280,68969,026,26041000
48,A000700,유수홀딩스,20210615,7470,7490,7260,7290,127140,026,26041000
49,A000700,유수홀딩스,20210614,7980,7980,7460,7470,267503,026,26041000
50,A000700,유수홀딩스,20210611,7510,8130,7450,8130,234981,026,26041000
51,A000700,유수홀딩스,20210610,7680,7690,7430,7490,196886,026,26041000
52,A000700,유수홀딩스,20210609,7900,7970,7550,7680,163138,026,26041000
53,A000700,유수홀딩스,20210608,8050,8100,7890,7900,198647,026,26041000
54,A000700,유수홀딩스,20210607,8190,8230,7990,8060,153738,026,26041000
55,A000700,유수홀딩스,20210604,8010,8210,7950,8150,231431,026,26041000
56,A000700,유수홀딩스,20210603,8140,8170,7950,8010,189817,026,26041000
57,A000700,유수홀딩스,20210602,8260,8330,7980,8130,466013,026,26041000
58,A000700,유수홀딩스,20210601,8250,8410,8240,8280,124289,026,26041000
59,A000700,유수홀딩스,20210531,8330,8440,8110,8250,102889,026,26041000
60,A000700,유수홀딩스,20210528,8340,8380,8210,8330,186374,026,26041000
61,A000700,유수홀딩스,20210527,7930,8270,7930,8260,304550,026,26041000
62,A000700,유수홀딩스,20210526,7800,7960,7800,7910,221938,026,26041000
63,A000700,유수홀딩스,20210525,7500,7790,7450,7780,370775,026,26041000
64,A000700,유수홀딩스,20210524,7950,8000,7360,7380,304998,026,26041000
