,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A367460,유안타제7호스팩,20210823,2255,2255,2200,2215,15022,231,5500000
1,A367460,유안타제7호스팩,20210820,2250,2250,2215,2240,40489,231,5500000
2,A367460,유안타제7호스팩,20210819,2245,2245,2220,2240,14567,231,5500000
3,A367460,유안타제7호스팩,20210818,2245,2245,2225,2240,13883,231,5500000
4,A367460,유안타제7호스팩,20210817,2255,2255,2225,2245,11560,231,5500000
5,A367460,유안타제7호스팩,20210813,2255,2255,2220,2240,8934,231,5500000
6,A367460,유안타제7호스팩,20210812,2260,2260,2230,2235,27419,231,5500000
7,A367460,유안타제7호스팩,20210811,2275,2275,2200,2235,69353,231,5500000
8,A367460,유안타제7호스팩,20210810,2310,2310,2210,2260,67948,231,5500000
9,A367460,유안타제7호스팩,20210809,2300,2340,2290,2305,55423,231,5500000
10,A367460,유안타제7호스팩,20210806,2340,2340,2290,2305,47628,231,5500000
11,A367460,유안타제7호스팩,20210805,2350,2350,2275,2300,46719,231,5500000
12,A367460,유안타제7호스팩,20210804,2285,2290,2255,2285,29000,231,5500000
13,A367460,유안타제7호스팩,20210803,2255,2270,2235,2255,46089,231,5500000
14,A367460,유안타제7호스팩,20210802,2210,2245,2210,2235,15962,231,5500000
15,A367460,유안타제7호스팩,20210730,2235,2240,2210,2220,46233,231,5500000
16,A367460,유안타제7호스팩,20210729,2215,2245,2205,2220,77838,231,5500000
17,A367460,유안타제7호스팩,20210728,2215,2390,2200,2215,735050,231,5500000
18,A367460,유안타제7호스팩,20210727,2195,2215,2195,2215,32216,231,5500000
19,A367460,유안타제7호스팩,20210726,2215,2215,2190,2200,21266,231,5500000
20,A367460,유안타제7호스팩,20210723,2195,2210,2195,2200,5691,231,5500000
21,A367460,유안타제7호스팩,20210722,2200,2215,2200,2210,25348,231,5500000
22,A367460,유안타제7호스팩,20210721,2185,2210,2185,2205,55112,231,5500000
23,A367460,유안타제7호스팩,20210720,2200,2200,2180,2185,12763,231,5500000
24,A367460,유안타제7호스팩,20210719,2200,2200,2185,2190,8211,231,5500000
25,A367460,유안타제7호스팩,20210716,2190,2190,2170,2185,18601,231,5500000
26,A367460,유안타제7호스팩,20210715,2185,2185,2165,2180,49494,231,5500000
27,A367460,유안타제7호스팩,20210714,2170,2180,2150,2170,24113,231,5500000
28,A367460,유안타제7호스팩,20210713,2165,2165,2150,2160,8334,231,5500000
29,A367460,유안타제7호스팩,20210712,2165,2165,2140,2150,1452,231,5500000
30,A367460,유안타제7호스팩,20210709,2165,2165,2145,2150,12229,231,5500000
31,A367460,유안타제7호스팩,20210708,2160,2170,2130,2160,23437,231,5500000
32,A367460,유안타제7호스팩,20210707,2160,2170,2125,2150,18694,231,5500000
33,A367460,유안타제7호스팩,20210706,2170,2170,2130,2150,8152,231,5500000
34,A367460,유안타제7호스팩,20210705,2150,2155,2135,2150,46962,231,5500000
35,A367460,유안타제7호스팩,20210702,2125,2135,2110,2135,12273,231,5500000
36,A367460,유안타제7호스팩,20210701,2125,2125,2110,2120,8120,231,5500000
37,A367460,유안타제7호스팩,20210630,2130,2130,2115,2120,6247,231,5500000
38,A367460,유안타제7호스팩,20210629,2135,2135,2115,2120,11107,231,5500000
39,A367460,유안타제7호스팩,20210628,2135,2135,2120,2125,8336,231,5500000
40,A367460,유안타제7호스팩,20210625,2120,2135,2120,2130,1312,231,5500000
41,A367460,유안타제7호스팩,20210624,2125,2140,2120,2120,7206,231,5500000
42,A367460,유안타제7호스팩,20210623,2130,2135,2120,2120,19636,231,5500000
43,A367460,유안타제7호스팩,20210622,2170,2170,2120,2130,34761,231,5500000
44,A367460,유안타제7호스팩,20210621,2170,2180,2145,2155,14475,231,5500000
45,A367460,유안타제7호스팩,20210618,2135,2205,2125,2145,65508,231,5500000
46,A367460,유안타제7호스팩,20210617,2135,2165,2115,2130,52115,231,5500000
47,A367460,유안타제7호스팩,20210616,2125,2145,2110,2130,27533,231,5500000
48,A367460,유안타제7호스팩,20210615,2130,2130,2105,2125,11884,231,5500000
49,A367460,유안타제7호스팩,20210614,2100,2125,2090,2120,58850,231,5500000
50,A367460,유안타제7호스팩,20210611,2115,2145,2095,2110,42601,231,5500000
51,A367460,유안타제7호스팩,20210610,2110,2125,2105,2115,21213,231,5500000
52,A367460,유안타제7호스팩,20210609,2095,2120,2095,2115,51926,231,5500000
53,A367460,유안타제7호스팩,20210608,2120,2120,2095,2105,47637,231,5500000
54,A367460,유안타제7호스팩,20210607,2125,2125,2100,2110,111222,231,5500000
55,A367460,유안타제7호스팩,20210604,2130,2145,2100,2120,86021,231,5500000
56,A367460,유안타제7호스팩,20210603,2140,2155,2110,2110,95258,231,5500000
57,A367460,유안타제7호스팩,20210602,2160,2190,2110,2115,222275,231,5500000
58,A367460,유안타제7호스팩,20210601,2480,2695,2150,2160,1148125,231,5500000
59,A367460,유안타제7호스팩,20210531,2235,2350,2195,2350,421714,231,5500000
60,A367460,유안타제7호스팩,20210528,2235,2235,2190,2190,57428,231,5500000
61,A367460,유안타제7호스팩,20210527,2145,2220,2135,2190,72177,231,5500000
62,A367460,유안타제7호스팩,20210526,2135,2200,2110,2150,44508,231,5500000
63,A367460,유안타제7호스팩,20210525,2090,2125,2090,2115,102748,231,5500000
64,A367460,유안타제7호스팩,20210524,2085,2115,2085,2115,3430,231,5500000
65,A367460,유안타제7호스팩,20210521,2075,2095,2075,2095,1253,231,5500000
66,A367460,유안타제7호스팩,20210520,2085,2085,2080,2080,202,231,5500000
67,A367460,유안타제7호스팩,20210518,2085,2110,2085,2110,422,231,5500000
68,A367460,유안타제7호스팩,20210517,2090,2110,2085,2100,3727,231,5500000
69,A367460,유안타제7호스팩,20210514,2085,2140,2075,2105,10021,231,5500000
70,A367460,유안타제7호스팩,20210513,2080,2080,2075,2080,2208,231,5500000
71,A367460,유안타제7호스팩,20210512,2085,2085,2075,2080,8252,231,5500000
72,A367460,유안타제7호스팩,20210511,2085,2090,2065,2085,96656,231,5500000
73,A367460,유안타제7호스팩,20210510,2155,2155,2075,2085,16170,231,5500000
74,A367460,유안타제7호스팩,20210507,2100,2100,2080,2090,2348,231,5500000
75,A367460,유안타제7호스팩,20210506,2100,2100,2085,2095,12768,231,5500000
76,A367460,유안타제7호스팩,20210504,2105,2120,2095,2100,21117,231,5500000
77,A367460,유안타제7호스팩,20210503,2100,2135,2100,2135,2376,231,5500000
