,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A003470,유안타증권,20210823,4000,4085,3980,4085,267867,024,199596000
1,A003470,유안타증권,20210820,4190,4235,3975,3975,897447,024,199596000
2,A003470,유안타증권,20210819,4250,4300,4130,4195,876985,024,199596000
3,A003470,유안타증권,20210818,4245,4350,4235,4325,466648,024,199596000
4,A003470,유안타증권,20210817,4300,4315,4180,4275,740050,024,199596000
5,A003470,유안타증권,20210813,4400,4400,4220,4300,643078,024,199596000
6,A003470,유안타증권,20210812,4380,4445,4370,4385,364063,024,199596000
7,A003470,유안타증권,20210811,4370,4455,4365,4380,391091,024,199596000
8,A003470,유안타증권,20210810,4445,4450,4375,4395,322647,024,199596000
9,A003470,유안타증권,20210809,4500,4515,4410,4420,481626,024,199596000
10,A003470,유안타증권,20210806,4535,4540,4490,4490,239796,024,199596000
11,A003470,유안타증권,20210805,4455,4515,4435,4500,467367,024,199596000
12,A003470,유안타증권,20210804,4410,4470,4385,4455,433508,024,199596000
13,A003470,유안타증권,20210803,4450,4485,4355,4400,478876,024,199596000
14,A003470,유안타증권,20210802,4465,4500,4400,4450,463738,024,199596000
15,A003470,유안타증권,20210730,4530,4540,4450,4460,549985,024,199596000
16,A003470,유안타증권,20210729,4535,4610,4500,4525,466462,024,199596000
17,A003470,유안타증권,20210728,4590,4675,4520,4560,891227,024,199596000
18,A003470,유안타증권,20210727,4670,4750,4610,4615,682805,024,199596000
19,A003470,유안타증권,20210726,4815,4960,4660,4670,3791405,024,199596000
20,A003470,유안타증권,20210723,4650,4730,4570,4695,1105287,024,199596000
21,A003470,유안타증권,20210722,4450,4740,4410,4635,2611904,024,199596000
22,A003470,유안타증권,20210721,4355,4690,4355,4400,1801075,024,199596000
23,A003470,유안타증권,20210720,4250,4405,4250,4325,596633,024,199596000
24,A003470,유안타증권,20210719,4500,4505,4370,4370,557208,024,199596000
25,A003470,유안타증권,20210716,4475,4545,4475,4520,336382,024,199596000
26,A003470,유안타증권,20210715,4485,4545,4465,4545,322618,024,199596000
27,A003470,유안타증권,20210714,4555,4560,4465,4475,341466,024,199596000
28,A003470,유안타증권,20210713,4550,4585,4520,4565,358746,024,199596000
29,A003470,유안타증권,20210712,4455,4535,4455,4510,476511,024,199596000
30,A003470,유안타증권,20210709,4510,4540,4310,4420,1332929,024,199596000
31,A003470,유안타증권,20210708,4610,4730,4585,4590,602843,024,199596000
32,A003470,유안타증권,20210707,4695,4695,4615,4620,502071,024,199596000
33,A003470,유안타증권,20210706,4665,4750,4655,4700,406005,024,199596000
34,A003470,유안타증권,20210705,4695,4720,4620,4660,580038,024,199596000
35,A003470,유안타증권,20210702,4725,4755,4700,4705,380296,024,199596000
36,A003470,유안타증권,20210701,4850,4850,4700,4725,779983,024,199596000
37,A003470,유안타증권,20210630,4860,4860,4780,4820,515603,024,199596000
38,A003470,유안타증권,20210629,4905,4910,4820,4860,544703,024,199596000
39,A003470,유안타증권,20210628,4840,4950,4800,4910,953458,024,199596000
40,A003470,유안타증권,20210625,4760,4830,4735,4800,594767,024,199596000
41,A003470,유안타증권,20210624,4705,4760,4600,4740,759045,024,199596000
42,A003470,유안타증권,20210623,4810,4815,4690,4705,783747,024,199596000
43,A003470,유안타증권,20210622,4800,4880,4790,4810,525101,024,199596000
44,A003470,유안타증권,20210621,4855,4875,4725,4755,1076554,024,199596000
45,A003470,유안타증권,20210618,4875,4935,4840,4925,702054,024,199596000
46,A003470,유안타증권,20210617,4970,4970,4860,4895,1078063,024,199596000
47,A003470,유안타증권,20210616,5000,5110,4955,4980,1297401,024,199596000
48,A003470,유안타증권,20210615,4895,5120,4850,5000,2925631,024,199596000
49,A003470,유안타증권,20210614,4825,4905,4745,4895,977051,024,199596000
50,A003470,유안타증권,20210611,4810,4830,4765,4825,743064,024,199596000
51,A003470,유안타증권,20210610,4725,4860,4675,4810,1172647,024,199596000
52,A003470,유안타증권,20210609,4855,4895,4710,4710,1087762,024,199596000
53,A003470,유안타증권,20210608,4875,4925,4840,4855,920192,024,199596000
54,A003470,유안타증권,20210607,5040,5040,4820,4875,1611274,024,199596000
55,A003470,유안타증권,20210604,4870,5010,4765,4950,1960200,024,199596000
56,A003470,유안타증권,20210603,4860,5040,4815,4850,4137003,024,199596000
57,A003470,유안타증권,20210602,4775,4810,4680,4805,2121189,024,199596000
58,A003470,유안타증권,20210601,4580,4775,4530,4745,3097813,024,199596000
59,A003470,유안타증권,20210531,4545,4630,4490,4555,1084388,024,199596000
60,A003470,유안타증권,20210528,4520,4540,4475,4520,539977,024,199596000
61,A003470,유안타증권,20210527,4560,4575,4480,4520,968795,024,199596000
62,A003470,유안타증권,20210526,4450,4540,4425,4530,1086945,024,199596000
63,A003470,유안타증권,20210525,4400,4570,4385,4395,1373861,024,199596000
