,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210823,4165,4305,4105,4135,7702,360,9363000
1,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210820,4105,4330,4000,4140,43767,360,9363000
2,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210819,4480,4500,4200,4200,49662,360,9363000
3,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210818,4565,4565,4430,4480,23546,360,9363000
4,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210817,4860,4860,4515,4565,69608,360,9363000
5,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210813,4775,5250,4580,4860,101916,360,9363000
6,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210812,4825,5020,4760,4775,28820,360,9363000
7,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210811,4920,4965,4700,4825,77297,360,9363000
8,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210810,5150,5160,4815,4920,47237,360,9363000
9,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210809,5010,5390,4935,5150,46489,360,9363000
10,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210806,5120,5170,4950,4985,25791,360,9363000
11,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210805,5020,5190,5020,5080,33692,360,9363000
12,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210804,4975,5100,4700,4995,49344,360,9363000
13,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210803,5130,5500,4875,4920,78667,360,9363000
14,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210802,5180,5190,4950,5190,62038,360,9363000
15,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210730,5380,5440,5120,5230,51023,360,9363000
16,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210729,5360,5520,5240,5380,45205,360,9363000
17,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210728,5620,5720,5210,5360,74127,360,9363000
18,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210727,5510,5760,5440,5620,49060,360,9363000
19,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210726,5600,5660,5370,5570,39657,360,9363000
20,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210723,5340,5650,5330,5600,54302,360,9363000
21,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210722,5560,5630,5300,5330,107755,360,9363000
22,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210721,5810,6170,5480,5680,196197,360,9363000
23,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210720,5710,5910,5590,5830,212107,360,9363000
24,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210719,5400,6110,5360,5750,903962,360,9363000
25,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210716,5300,5450,5210,5320,49026,360,9363000
26,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210715,5070,5570,5060,5280,169089,360,9363000
27,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210714,5420,5420,5080,5080,151306,360,9363000
28,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210713,4955,5630,4950,5420,710475,360,9363000
29,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210712,4885,4970,4800,4955,98823,360,9363000
30,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210709,4735,4960,4690,4950,156420,360,9363000
31,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210708,4750,4895,4725,4800,101945,360,9363000
32,A191410,À°ÀÏ¾¾¿£¿¡¾²,20210707,4645,4890,4575,4715,108524,360,9363000
