,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A008250,이건산업,20210823,12700,12750,12400,12750,63140,007,10952000
1,A008250,이건산업,20210820,13350,13400,12300,12450,420927,007,10952000
2,A008250,이건산업,20210819,14100,14350,13200,13250,404428,007,10952000
3,A008250,이건산업,20210818,14100,14450,13700,14350,257872,007,10952000
4,A008250,이건산업,20210817,14850,15000,14050,14350,351320,007,10952000
5,A008250,이건산업,20210813,15100,15150,14500,15000,303050,007,10952000
6,A008250,이건산업,20210812,14750,14950,14600,14800,110474,007,10952000
7,A008250,이건산업,20210811,14950,15100,14700,14850,168450,007,10952000
8,A008250,이건산업,20210810,15300,15300,14650,15050,196319,007,10952000
9,A008250,이건산업,20210809,15300,15400,15100,15300,207333,007,10952000
10,A008250,이건산업,20210806,15050,15350,14900,15250,228111,007,10952000
11,A008250,이건산업,20210805,14850,15050,14700,15050,177092,007,10952000
12,A008250,이건산업,20210804,14700,14900,14500,14800,206606,007,10952000
13,A008250,이건산업,20210803,15050,15150,14400,14650,393240,007,10952000
14,A008250,이건산업,20210802,15400,15450,14650,14900,277225,007,10952000
15,A008250,이건산업,20210730,15400,15900,15200,15300,692354,007,10952000
16,A008250,이건산업,20210729,15000,15700,15000,15250,850115,007,10952000
17,A008250,이건산업,20210728,15350,15500,14650,14900,488612,007,10952000
18,A008250,이건산업,20210727,15000,15700,14900,15200,1366186,007,10952000
19,A008250,이건산업,20210726,14700,15200,14450,14750,491310,007,10952000
20,A008250,이건산업,20210723,14550,15200,14500,14650,843790,007,10952000
21,A008250,이건산업,20210722,14250,14600,14200,14400,187826,007,10952000
22,A008250,이건산업,20210721,14500,14550,14150,14200,157768,007,10952000
23,A008250,이건산업,20210720,14050,14450,14000,14400,202774,007,10952000
24,A008250,이건산업,20210719,14100,14500,13900,14350,223861,007,10952000
25,A008250,이건산업,20210716,14250,14250,13900,14100,151470,007,10952000
26,A008250,이건산업,20210715,14400,14400,14150,14250,217827,007,10952000
27,A008250,이건산업,20210714,14500,14650,14250,14450,246165,007,10952000
28,A008250,이건산업,20210713,14750,15000,14500,14650,283930,007,10952000
29,A008250,이건산업,20210712,14250,14850,13950,14650,466747,007,10952000
30,A008250,이건산업,20210709,14200,14350,13800,14150,383214,007,10952000
31,A008250,이건산업,20210708,14600,14950,14300,14600,457574,007,10952000
32,A008250,이건산업,20210707,14650,14800,14400,14650,556668,007,10952000
33,A008250,이건산업,20210706,14300,15100,14250,14550,1809838,007,10952000
34,A008250,이건산업,20210705,14050,14250,13700,13800,461265,007,10952000
35,A008250,이건산업,20210702,13600,16100,13550,13900,4636283,007,10952000
36,A008250,이건산업,20210701,13400,13550,13250,13350,87945,007,10952000
37,A008250,이건산업,20210630,13350,13600,13200,13450,97757,007,10952000
38,A008250,이건산업,20210629,13550,13600,13200,13300,98694,007,10952000
39,A008250,이건산업,20210628,13250,13850,13150,13500,258698,007,10952000
40,A008250,이건산업,20210625,13200,13400,13000,13250,163938,007,10952000
41,A008250,이건산업,20210624,13200,13250,12900,13150,214905,007,10952000
42,A008250,이건산업,20210623,13650,13700,13250,13300,203674,007,10952000
43,A008250,이건산업,20210622,13650,13900,13550,13800,211108,007,10952000
44,A008250,이건산업,20210621,13550,13750,13200,13400,251712,007,10952000
45,A008250,이건산업,20210618,14050,14100,13550,13550,390341,007,10952000
46,A008250,이건산업,20210617,14400,14400,14000,14200,144221,007,10952000
47,A008250,이건산업,20210616,14350,14900,14200,14350,282921,007,10952000
48,A008250,이건산업,20210615,14250,14450,13950,14300,215587,007,10952000
49,A008250,이건산업,20210614,14900,14900,14200,14300,353302,007,10952000
50,A008250,이건산업,20210611,15100,15100,14650,14850,166967,007,10952000
51,A008250,이건산업,20210610,15050,15100,14650,14950,164173,007,10952000
52,A008250,이건산업,20210609,15200,15600,14900,14900,231549,007,10952000
53,A008250,이건산업,20210608,15000,15350,14850,15050,161608,007,10952000
54,A008250,이건산업,20210607,15450,15450,14850,15100,211349,007,10952000
55,A008250,이건산업,20210604,15600,15600,15250,15400,166500,007,10952000
56,A008250,이건산업,20210603,15750,15850,15350,15600,216294,007,10952000
57,A008250,이건산업,20210602,15350,15900,15100,15700,482525,007,10952000
58,A008250,이건산업,20210601,15000,15250,14850,15250,223409,007,10952000
59,A008250,이건산업,20210531,15450,15700,14900,15100,425072,007,10952000
60,A008250,이건산업,20210528,15700,15700,15150,15250,236141,007,10952000
61,A008250,이건산업,20210527,15100,15500,14750,15500,280551,007,10952000
62,A008250,이건산업,20210526,15550,15550,14750,15100,400689,007,10952000
63,A008250,이건산업,20210525,14900,15850,14900,15550,760319,007,10952000
64,A008250,이건산업,20210524,15400,15650,14550,14550,470402,007,10952000
65,A008250,이건산업,20210521,15750,16200,15500,15500,520341,007,10952000
66,A008250,이건산업,20210520,15800,16200,15200,15850,913549,007,10952000
67,A008250,이건산업,20210518,16350,16700,16050,16300,907942,007,10952000
68,A008250,이건산업,20210517,14600,17450,14600,16350,6031397,007,10952000
69,A008250,이건산업,20210514,13450,14800,12500,14250,1239005,007,10952000
70,A008250,이건산업,20210513,13550,13850,13050,13250,471785,007,10952000
71,A008250,이건산업,20210512,14650,14800,13800,14100,568122,007,10952000
72,A008250,이건산업,20210511,14150,14900,14000,14900,531300,007,10952000
73,A008250,이건산업,20210510,14800,15000,14400,14550,648068,007,10952000
74,A008250,이건산업,20210507,14400,15300,14250,14550,1605822,007,10952000
75,A008250,이건산업,20210506,13400,14200,13100,13900,653212,007,10952000
76,A008250,이건산업,20210504,13300,13600,12650,13150,466934,007,10952000
77,A008250,이건산업,20210503,14200,14200,13100,13100,425405,007,10952000
78,A008250,이건산업,20210430,14150,14950,13500,14200,1208089,007,10952000
79,A008250,이건산업,20210429,13550,14050,13100,13800,524555,007,10952000
80,A008250,이건산업,20210428,13750,14350,13250,13300,747679,007,10952000
81,A008250,이건산업,20210427,12700,13700,12450,13650,1024453,007,10952000
82,A008250,이건산업,20210426,12200,12700,11950,12600,338917,007,10952000
83,A008250,이건산업,20210423,12300,12800,12000,12150,977082,007,10952000
84,A008250,이건산업,20210422,12250,12350,11800,12100,398221,007,10952000
85,A008250,이건산업,20210421,12000,12200,11850,12000,571672,007,10952000
86,A008250,이건산업,20210420,11400,12350,11300,12000,1196837,007,10952000
87,A008250,이건산업,20210419,11700,11850,11350,11500,537625,007,10952000
88,A008250,이건산업,20210416,11300,11550,10900,11550,999121,007,10952000
89,A008250,이건산업,20210415,10700,10900,10600,10850,325072,007,10952000
90,A008250,이건산업,20210414,10350,10800,10150,10650,364276,007,10952000
91,A008250,이건산업,20210413,10700,10900,10100,10350,920194,007,10952000
92,A008250,이건산업,20210412,10450,12000,10300,10900,4278432,007,10952000
93,A008250,이건산업,20210409,10250,10650,10200,10350,371029,007,10952000
94,A008250,이건산업,20210408,10000,10300,9840,10100,311239,007,10952000
95,A008250,이건산업,20210407,9620,10150,9560,10050,371416,007,10952000
96,A008250,이건산업,20210406,9500,9590,9470,9550,64797,007,10952000
97,A008250,이건산업,20210405,9380,9560,9290,9500,103012,007,10952000
98,A008250,이건산업,20210402,9640,9640,9330,9380,79415,007,10952000
99,A008250,이건산업,20210401,9650,9660,9490,9550,64344,007,10952000
100,A008250,이건산업,20210331,9490,9630,9380,9570,81476,007,10952000
101,A008250,이건산업,20210330,9500,9580,9420,9460,68057,007,10952000
102,A008250,이건산업,20210329,9600,9600,9400,9510,97123,007,10952000
103,A008250,이건산업,20210326,9410,9600,9410,9520,106072,007,10952000
