,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A007660,이수페타시스,20210823,3770,3870,3730,3750,385365,013,41268000
1,A007660,이수페타시스,20210820,4030,4070,3655,3730,2915909,013,41268000
2,A007660,이수페타시스,20210819,3605,4060,3575,4010,7526659,013,41268000
3,A007660,이수페타시스,20210818,3400,3655,3305,3635,3212384,013,41268000
4,A007660,이수페타시스,20210817,3780,3815,3615,3720,781035,013,41268000
5,A007660,이수페타시스,20210813,3840,3850,3735,3780,585404,013,41268000
6,A007660,이수페타시스,20210812,3720,3880,3720,3875,725059,013,41268000
7,A007660,이수페타시스,20210811,3760,3780,3715,3720,247003,013,41268000
8,A007660,이수페타시스,20210810,3760,3760,3670,3760,267299,013,41268000
9,A007660,이수페타시스,20210809,3795,3810,3720,3760,238348,013,41268000
10,A007660,이수페타시스,20210806,3775,3800,3740,3775,193606,013,41268000
11,A007660,이수페타시스,20210805,3745,3775,3705,3770,125987,013,41268000
12,A007660,이수페타시스,20210804,3695,3750,3690,3730,120722,013,41268000
13,A007660,이수페타시스,20210803,3775,3830,3670,3690,376038,013,41268000
14,A007660,이수페타시스,20210802,3725,3775,3705,3775,192810,013,41268000
15,A007660,이수페타시스,20210730,3740,3740,3650,3725,272620,013,41268000
16,A007660,이수페타시스,20210729,3745,3780,3705,3710,245017,013,41268000
17,A007660,이수페타시스,20210728,3800,3835,3730,3775,379107,013,41268000
18,A007660,이수페타시스,20210727,3740,3860,3730,3815,482364,013,41268000
19,A007660,이수페타시스,20210726,3720,3755,3660,3730,333160,013,41268000
20,A007660,이수페타시스,20210723,3705,3765,3685,3720,237945,013,41268000
21,A007660,이수페타시스,20210722,3675,3725,3675,3700,239693,013,41268000
22,A007660,이수페타시스,20210721,3735,3780,3670,3675,282706,013,41268000
23,A007660,이수페타시스,20210720,3695,3825,3675,3710,514266,013,41268000
24,A007660,이수페타시스,20210719,3675,3760,3610,3750,601528,013,41268000
25,A007660,이수페타시스,20210716,3775,3790,3685,3700,615458,013,41268000
26,A007660,이수페타시스,20210715,3760,3910,3760,3790,669074,013,41268000
27,A007660,이수페타시스,20210714,3790,3815,3700,3730,624981,013,41268000
