,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A066980,이엔코퍼레이션,20210823,10350,10750,10300,10550,39600,354,19291000
1,A066980,이엔코퍼레이션,20210820,10350,10850,10250,10450,81123,354,19291000
2,A066980,이엔코퍼레이션,20210819,11000,11050,10400,10500,170205,354,19291000
3,A066980,이엔코퍼레이션,20210818,11400,11400,10600,10800,141511,354,19291000
4,A066980,이엔코퍼레이션,20210817,11750,11800,11150,11450,154819,354,19291000
5,A066980,이엔코퍼레이션,20210813,11500,11850,11350,11650,202131,354,19291000
6,A066980,이엔코퍼레이션,20210812,11550,11650,11300,11600,105840,354,19291000
7,A066980,이엔코퍼레이션,20210811,11450,12000,11450,11600,170346,354,19291000
8,A066980,이엔코퍼레이션,20210810,11200,11700,11000,11600,142644,354,19291000
9,A066980,이엔코퍼레이션,20210809,11100,12000,11000,11400,412710,354,19291000
10,A066980,이엔코퍼레이션,20210806,11000,11050,10850,10950,46773,354,19291000
11,A066980,이엔코퍼레이션,20210805,10650,11000,10600,10900,93654,354,19291000
12,A066980,이엔코퍼레이션,20210804,10150,10700,10050,10650,75708,354,19291000
13,A066980,이엔코퍼레이션,20210803,10100,10250,9960,10150,70342,354,19291000
14,A066980,이엔코퍼레이션,20210802,10600,10650,10100,10200,86411,354,19291000
15,A066980,이엔코퍼레이션,20210730,10800,10950,10550,10600,69152,354,19291000
16,A066980,이엔코퍼레이션,20210729,10650,11050,10550,10700,200245,354,19291000
17,A066980,이엔코퍼레이션,20210728,9800,11050,9720,10600,444569,354,19291000
18,A066980,이엔코퍼레이션,20210727,10000,10050,9650,9660,319115,354,19291000
19,A066980,이엔코퍼레이션,20210726,10350,10400,9980,10050,170424,354,19291000
20,A066980,이엔코퍼레이션,20210723,10650,10650,10150,10300,154121,354,19291000
21,A066980,이엔코퍼레이션,20210722,10700,10750,10450,10650,84287,354,19291000
22,A066980,이엔코퍼레이션,20210721,10700,10800,10500,10500,76812,354,19291000
23,A066980,이엔코퍼레이션,20210720,10500,11000,10500,10650,87587,354,19291000
24,A066980,이엔코퍼레이션,20210719,10750,10750,10550,10550,102827,354,19291000
25,A066980,이엔코퍼레이션,20210716,11200,11200,10650,10800,124287,354,19291000
26,A066980,이엔코퍼레이션,20210715,11350,11450,10850,11050,225221,354,19291000
27,A066980,이엔코퍼레이션,20210714,11250,11250,10800,10950,115939,354,17959000
28,A066980,이엔코퍼레이션,20210713,11150,11300,11050,11100,80169,354,17959000
29,A066980,이엔코퍼레이션,20210712,11100,11250,11100,11250,57724,354,17959000
30,A066980,이엔코퍼레이션,20210709,10900,11200,10650,11050,109203,354,17959000
31,A066980,이엔코퍼레이션,20210708,11100,11150,10950,11000,102229,354,17959000
32,A066980,이엔코퍼레이션,20210707,11350,11350,11000,11100,107288,354,17959000
33,A066980,이엔코퍼레이션,20210706,11200,11450,11050,11350,87585,354,17959000
34,A066980,이엔코퍼레이션,20210705,11100,11250,10900,11100,66313,354,17959000
35,A066980,이엔코퍼레이션,20210702,11000,11300,11000,11100,94872,354,17959000
36,A066980,이엔코퍼레이션,20210701,11350,11350,10850,10900,203272,354,17959000
37,A066980,이엔코퍼레이션,20210630,11550,11650,11300,11350,104953,354,17959000
38,A066980,이엔코퍼레이션,20210629,11700,11700,11400,11500,110220,354,17959000
39,A066980,이엔코퍼레이션,20210628,11800,11850,11500,11600,105382,354,17959000
40,A066980,이엔코퍼레이션,20210625,11850,12150,11650,11800,108630,354,17959000
41,A066980,이엔코퍼레이션,20210624,11550,11950,11450,11850,114760,354,17959000
42,A066980,이엔코퍼레이션,20210623,11950,11950,11550,11600,126426,354,17959000
43,A066980,이엔코퍼레이션,20210622,12150,12250,11700,11850,91845,354,17959000
44,A066980,이엔코퍼레이션,20210621,12250,12250,11850,12150,141430,354,17959000
45,A066980,이엔코퍼레이션,20210618,12550,12600,12200,12350,107804,354,17959000
46,A066980,이엔코퍼레이션,20210617,12350,12600,12200,12450,99403,354,17959000
47,A066980,이엔코퍼레이션,20210616,12250,12700,12250,12450,113426,354,17959000
48,A066980,이엔코퍼레이션,20210615,12200,12350,12000,12250,106942,354,17959000
49,A066980,이엔코퍼레이션,20210614,12500,12500,12150,12400,165464,354,17959000
50,A066980,이엔코퍼레이션,20210611,11750,12250,11750,12250,169175,354,17959000
51,A066980,이엔코퍼레이션,20210610,12200,12200,11700,11750,146648,354,17959000
52,A066980,이엔코퍼레이션,20210609,12550,12550,11950,12200,162747,354,17959000
53,A066980,이엔코퍼레이션,20210608,12800,12800,12300,12400,138157,354,17959000
54,A066980,이엔코퍼레이션,20210607,12950,13100,12650,12850,177687,354,17959000
55,A066980,이엔코퍼레이션,20210604,12500,12700,12400,12700,142821,354,17959000
56,A066980,이엔코퍼레이션,20210603,12300,12700,12300,12500,197326,354,17959000
57,A066980,이엔코퍼레이션,20210602,12500,12850,12400,12500,236143,354,17959000
58,A066980,이엔코퍼레이션,20210601,11600,12700,11200,12500,661405,354,17959000
59,A066980,이엔코퍼레이션,20210531,11400,11600,11200,11500,151071,354,17959000
60,A066980,이엔코퍼레이션,20210528,10800,11300,10800,11200,134473,354,17959000
