,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A041830,인바디,20210823,28300,29050,28200,28800,17617,274,13683000
1,A041830,인바디,20210820,29850,30100,28100,28300,115941,274,13683000
2,A041830,인바디,20210819,30300,31050,29350,29900,106751,274,13683000
3,A041830,인바디,20210818,30200,31000,30000,30800,114566,274,13683000
4,A041830,인바디,20210817,31200,31200,29800,30100,170041,274,13683000
5,A041830,인바디,20210813,30300,31200,29550,31000,215201,274,13683000
6,A041830,인바디,20210812,28900,30100,28600,30100,153577,274,13683000
7,A041830,인바디,20210811,30600,31200,27550,28700,393577,274,13683000
8,A041830,인바디,20210810,29600,31000,29600,30700,134424,274,13683000
9,A041830,인바디,20210809,29950,30200,29500,29550,61032,274,13683000
10,A041830,인바디,20210806,30450,30450,29450,30150,57362,274,13683000
11,A041830,인바디,20210805,30100,30500,29750,30200,36878,274,13683000
12,A041830,인바디,20210804,29300,30800,29250,30100,175116,274,13683000
13,A041830,인바디,20210803,29000,29400,28650,28800,48074,274,13683000
14,A041830,인바디,20210802,29000,29500,28350,29100,85041,274,13683000
15,A041830,인바디,20210730,29600,29600,28800,29100,59506,274,13683000
16,A041830,인바디,20210729,29550,29800,29100,29500,39570,274,13683000
17,A041830,인바디,20210728,29800,29800,28600,29500,88564,274,13683000
18,A041830,인바디,20210727,29200,29750,29200,29500,36670,274,13683000
19,A041830,인바디,20210726,29350,30150,29250,29300,61887,274,13683000
20,A041830,인바디,20210723,29700,30050,29300,29300,79833,274,13683000
21,A041830,인바디,20210722,30100,30500,29200,29450,129724,274,13683000
22,A041830,인바디,20210721,31750,32200,30000,30000,165499,274,13683000
23,A041830,인바디,20210720,31300,32000,31100,31750,65608,274,13683000
24,A041830,인바디,20210719,32100,32450,31700,31850,60526,274,13683000
25,A041830,인바디,20210716,32400,32500,31800,32300,95226,274,13683000
26,A041830,인바디,20210715,32300,32850,31650,32500,134282,274,13683000
27,A041830,인바디,20210714,30500,32550,30100,32200,279294,274,13683000
