,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A006490,인스코비,20210823,4275,4665,4210,4465,14078760,020,107745000
1,A006490,인스코비,20210820,4035,4275,4000,4170,6724930,020,107745000
2,A006490,인스코비,20210819,4100,4165,4010,4080,2816752,020,107745000
3,A006490,인스코비,20210818,3910,4185,3860,4165,5779803,020,107745000
4,A006490,인스코비,20210817,4480,4570,3975,4000,16371771,020,107745000
5,A006490,인스코비,20210813,3775,4325,3715,4325,30328125,020,107745000
6,A006490,인스코비,20210812,3595,3940,3595,3775,11495381,020,107745000
7,A006490,인스코비,20210811,3510,3585,3495,3510,1135016,020,107745000
8,A006490,인스코비,20210810,3590,3620,3485,3550,1582670,020,107745000
9,A006490,인스코비,20210809,3620,3740,3550,3590,1742930,020,107745000
10,A006490,인스코비,20210806,3765,3765,3675,3680,1118044,020,107745000
11,A006490,인스코비,20210805,3660,3785,3660,3745,1240409,020,107745000
12,A006490,인스코비,20210804,3590,3730,3550,3690,1686232,020,107745000
13,A006490,인스코비,20210803,3780,3795,3675,3695,1778610,020,107745000
14,A006490,인스코비,20210802,3620,3850,3610,3800,5778740,020,107745000
15,A006490,인스코비,20210730,3575,3735,3550,3625,3713664,020,107745000
16,A006490,인스코비,20210729,3520,3630,3470,3525,1590957,020,107745000
17,A006490,인스코비,20210728,3575,3635,3505,3530,1472778,020,107745000
18,A006490,인스코비,20210727,3625,3645,3505,3580,2132390,020,107745000
19,A006490,인스코비,20210726,3680,3745,3550,3595,3206270,020,107745000
20,A006490,인스코비,20210723,3890,3920,3760,3760,4617227,020,107745000
21,A006490,인스코비,20210722,3950,4065,3820,3980,19835155,020,107745000
22,A006490,인스코비,20210721,3740,4070,3655,3760,16285368,020,107745000
23,A006490,인스코비,20210720,3675,3845,3655,3725,5119515,020,107745000
24,A006490,인스코비,20210719,3785,3835,3660,3770,7015714,020,107745000
25,A006490,인스코비,20210716,3370,3960,3310,3860,51724636,020,107745000
26,A006490,인스코비,20210715,3380,3465,3340,3370,3702823,020,107745000
27,A006490,인스코비,20210714,3400,3470,3330,3390,6469261,020,107745000
28,A006490,인스코비,20210713,3235,3390,3235,3370,6586704,020,107745000
29,A006490,인스코비,20210712,3120,3420,3115,3235,8109654,020,107745000
30,A006490,인스코비,20210709,3270,3275,3075,3110,3428385,020,107745000
31,A006490,인스코비,20210708,3055,3570,3055,3315,19164867,020,107745000
32,A006490,인스코비,20210707,3065,3095,3025,3055,628452,020,107745000
33,A006490,인스코비,20210706,3095,3130,3060,3075,737122,020,107745000
34,A006490,인스코비,20210705,3180,3185,3045,3065,1246595,020,107745000
35,A006490,인스코비,20210702,3235,3240,3135,3170,1063178,020,107745000
36,A006490,인스코비,20210701,3100,3315,3090,3180,3684093,020,107745000
37,A006490,인스코비,20210630,3120,3145,3090,3115,718673,020,107745000
38,A006490,인스코비,20210629,3055,3190,3050,3120,1893338,020,107745000
39,A006490,인스코비,20210628,3040,3075,3010,3055,494172,020,107745000
40,A006490,인스코비,20210625,3040,3090,3000,3040,933824,020,107745000
41,A006490,인스코비,20210624,3020,3025,2980,3010,824917,020,107745000
42,A006490,인스코비,20210623,3040,3040,3005,3015,562459,020,107745000
43,A006490,인스코비,20210622,3145,3145,3015,3025,978990,020,107745000
44,A006490,인스코비,20210621,3025,3150,3000,3120,1635530,020,107745000
45,A006490,인스코비,20210618,3035,3045,2995,3035,429279,020,107745000
46,A006490,인스코비,20210617,3030,3035,2980,3020,784410,020,107745000
47,A006490,인스코비,20210616,3045,3075,3020,3030,417727,020,107745000
48,A006490,인스코비,20210615,3085,3120,3035,3065,481043,020,107745000
49,A006490,인스코비,20210614,3010,3110,3010,3085,994052,020,107745000
50,A006490,인스코비,20210611,3075,3090,3005,3020,717461,020,107745000
51,A006490,인스코비,20210610,2980,3110,2970,3075,1557073,020,107745000
52,A006490,인스코비,20210609,2995,3015,2970,2985,685217,020,107745000
53,A006490,인스코비,20210608,3035,3055,2985,2990,726333,020,107745000
54,A006490,인스코비,20210607,2985,3060,2985,3020,845622,020,107745000
55,A006490,인스코비,20210604,2990,3015,2970,2995,636390,020,107745000
56,A006490,인스코비,20210603,2995,3010,2980,2985,500346,020,107745000
57,A006490,인스코비,20210602,3010,3020,2990,2990,557500,020,107745000
58,A006490,인스코비,20210601,3020,3035,2990,3010,447942,020,107745000
59,A006490,인스코비,20210531,2975,3030,2975,3005,553478,020,107745000
60,A006490,인스코비,20210528,3000,3040,2960,2970,926460,020,107745000
61,A006490,인스코비,20210527,2995,3030,2975,3000,697990,020,107745000
62,A006490,인스코비,20210526,3090,3150,3035,3035,932825,020,107745000
63,A006490,인스코비,20210525,2970,3265,2955,3070,3332017,020,107745000
64,A006490,인스코비,20210524,2995,3015,2955,2970,524690,020,107745000
65,A006490,인스코비,20210521,3005,3020,2955,2975,725899,020,107745000
66,A006490,인스코비,20210520,3005,3055,2990,3005,518145,020,107745000
