,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,Ω√∞°,∞Ì∞°,¿˙∞°,¡æ∞°,∞≈∑°∑Æ,¡ı±«¿¸ªÍæ˜¡æƒ⁄µÂ,πﬂ«‡¡÷Ωƒºˆ
0,A023810,¿Œ∆—,20210823,11700,12150,11350,12000,27039,015,10000000
1,A023810,¿Œ∆—,20210820,12400,12700,11250,11700,233342,015,10000000
2,A023810,¿Œ∆—,20210819,12400,13150,12350,12500,97697,015,10000000
3,A023810,¿Œ∆—,20210818,11850,12950,11850,12700,89293,015,10000000
4,A023810,¿Œ∆—,20210817,12900,13000,11950,12150,98813,015,10000000
5,A023810,¿Œ∆—,20210813,13350,13400,12500,13100,85932,015,10000000
6,A023810,¿Œ∆—,20210812,13150,13450,13100,13350,26147,015,10000000
7,A023810,¿Œ∆—,20210811,13400,13850,13300,13300,59009,015,10000000
8,A023810,¿Œ∆—,20210810,13850,13850,13350,13400,58682,015,10000000
9,A023810,¿Œ∆—,20210809,12900,14000,12600,13800,220578,015,10000000
10,A023810,¿Œ∆—,20210806,13100,13100,12600,12850,33264,015,10000000
11,A023810,¿Œ∆—,20210805,12850,13050,12700,12900,19532,015,10000000
12,A023810,¿Œ∆—,20210804,12850,12900,12500,12900,23645,015,10000000
13,A023810,¿Œ∆—,20210803,12850,13000,12350,12750,44952,015,10000000
14,A023810,¿Œ∆—,20210802,13000,13050,12600,12850,30154,015,10000000
15,A023810,¿Œ∆—,20210730,13350,13400,12700,13000,57197,015,10000000
16,A023810,¿Œ∆—,20210729,13200,13350,13050,13350,28409,015,10000000
17,A023810,¿Œ∆—,20210728,13300,13600,13050,13250,62651,015,10000000
18,A023810,¿Œ∆—,20210727,13050,13650,13000,13500,69521,015,10000000
19,A023810,¿Œ∆—,20210726,12850,13350,12700,13100,61075,015,10000000
20,A023810,¿Œ∆—,20210723,12850,13050,12700,12800,40350,015,10000000
21,A023810,¿Œ∆—,20210722,12900,13100,12750,12850,68837,015,10000000
22,A023810,¿Œ∆—,20210721,13300,13300,12750,12850,66960,015,10000000
23,A023810,¿Œ∆—,20210720,13100,13500,12900,13100,100276,015,10000000
24,A023810,¿Œ∆—,20210719,13450,13600,12800,13350,269034,015,10000000
25,A023810,¿Œ∆—,20210716,14350,14350,13600,13600,109090,015,10000000
26,A023810,¿Œ∆—,20210715,13900,14350,13500,14300,108602,015,10000000
27,A023810,¿Œ∆—,20210714,14200,14250,13450,13900,188080,015,10000000
28,A023810,¿Œ∆—,20210713,14300,14500,14100,14200,99171,015,10000000
29,A023810,¿Œ∆—,20210712,14450,14650,14150,14350,104021,015,10000000
30,A023810,¿Œ∆—,20210709,14100,14550,13900,14350,136860,015,10000000
31,A023810,¿Œ∆—,20210708,15400,15450,14100,14400,247663,015,10000000
32,A023810,¿Œ∆—,20210707,15450,16100,15100,15200,266907,015,10000000
33,A023810,¿Œ∆—,20210706,15150,15500,14950,15150,259751,015,10000000
34,A023810,¿Œ∆—,20210705,17500,17750,14950,14950,1417846,015,10000000
35,A023810,¿Œ∆—,20210702,18800,19300,18400,18850,95707,015,10000000
36,A023810,¿Œ∆—,20210701,18200,19350,17450,19250,190584,015,10000000
37,A023810,¿Œ∆—,20210630,18750,18950,18200,18350,106546,015,10000000
38,A023810,¿Œ∆—,20210629,18850,19300,18550,18750,110465,015,10000000
39,A023810,¿Œ∆—,20210628,19600,20400,18250,18850,249762,015,10000000
40,A023810,¿Œ∆—,20210625,19600,20650,19350,19600,273512,015,10000000
41,A023810,¿Œ∆—,20210624,17500,20250,17500,19700,1062644,015,10000000
42,A023810,¿Œ∆—,20210623,17200,17500,16900,17400,87599,015,10000000
43,A023810,¿Œ∆—,20210622,16750,17650,16500,17350,156021,015,10000000
44,A023810,¿Œ∆—,20210621,16800,17150,16350,16750,136524,015,10000000
45,A023810,¿Œ∆—,20210618,17400,17800,17000,17450,138457,015,10000000
46,A023810,¿Œ∆—,20210617,18200,18450,17050,17400,397683,015,10000000
47,A023810,¿Œ∆—,20210616,15800,18300,15350,18200,592209,015,10000000
48,A023810,¿Œ∆—,20210615,14950,16200,14850,16000,204375,015,10000000
49,A023810,¿Œ∆—,20210614,14550,15900,14550,15000,283680,015,10000000
50,A023810,¿Œ∆—,20210611,15250,15300,14550,14600,313042,015,10000000
51,A023810,¿Œ∆—,20210610,14150,16000,13750,15300,1152306,015,10000000
52,A023810,¿Œ∆—,20210609,12400,14300,12250,13950,1547589,015,10000000
53,A023810,¿Œ∆—,20210608,12550,12800,12100,12500,164988,015,10000000
54,A023810,¿Œ∆—,20210607,13050,13300,12550,12550,371102,015,10000000
55,A023810,¿Œ∆—,20210604,12650,15400,12550,13050,2121480,015,10000000
56,A023810,¿Œ∆—,20210603,12150,12600,12050,12550,220254,015,10000000
57,A023810,¿Œ∆—,20210602,12050,12300,11900,12200,126205,015,10000000
58,A023810,¿Œ∆—,20210601,12200,12200,11700,12050,147140,015,10000000
59,A023810,¿Œ∆—,20210531,11800,12850,11800,12200,319916,015,10000000
60,A023810,¿Œ∆—,20210528,11400,11850,11350,11550,69706,015,10000000
61,A023810,¿Œ∆—,20210527,11600,11600,11150,11500,91253,015,10000000
62,A023810,¿Œ∆—,20210526,11850,12000,11500,11700,44051,015,10000000
63,A023810,¿Œ∆—,20210525,11350,12000,11250,11850,122827,015,10000000
64,A023810,¿Œ∆—,20210524,11600,11600,11000,11400,119507,015,10000000
65,A023810,¿Œ∆—,20210521,12000,12050,11300,11800,110242,015,10000000
66,A023810,¿Œ∆—,20210520,12450,12450,11800,12000,125959,015,10000000
67,A023810,¿Œ∆—,20210518,13000,13050,12300,12700,98889,015,10000000
68,A023810,¿Œ∆—,20210517,12400,13100,12400,12900,168466,015,10000000
69,A023810,¿Œ∆—,20210514,12800,13100,11850,12400,154731,015,10000000
70,A023810,¿Œ∆—,20210513,12000,12700,11800,12400,98933,015,10000000
71,A023810,¿Œ∆—,20210512,11950,12850,11950,12350,293120,015,10000000
72,A023810,¿Œ∆—,20210511,11500,12100,10950,11900,174573,015,10000000
73,A023810,¿Œ∆—,20210510,11500,11750,11200,11450,109196,015,10000000
74,A023810,¿Œ∆—,20210507,11350,11500,11200,11400,76995,015,10000000
75,A023810,¿Œ∆—,20210506,11300,11500,10950,11350,91410,015,10000000
76,A023810,¿Œ∆—,20210504,10700,11200,10350,11200,150025,015,10000000
77,A023810,¿Œ∆—,20210503,9980,10900,9980,10700,214930,015,10000000
78,A023810,¿Œ∆—,20210430,10100,10300,9850,9980,76022,015,10000000
79,A023810,¿Œ∆—,20210429,10200,10500,9600,10200,271283,015,10000000
80,A023810,¿Œ∆—,20210428,10950,10950,10000,10250,114490,015,10000000
81,A023810,¿Œ∆—,20210427,10900,11150,10600,11000,79053,015,10000000
82,A023810,¿Œ∆—,20210426,10700,11000,10600,10850,102909,015,10000000
83,A023810,¿Œ∆—,20210423,10800,11100,10500,10550,172698,015,10000000
84,A023810,¿Œ∆—,20210422,11100,12300,10950,11150,790400,015,10000000
85,A023810,¿Œ∆—,20210421,12050,12150,11050,11050,370237,015,10000000
86,A023810,¿Œ∆—,20210420,10300,13250,10300,12000,1610558,015,10000000
87,A023810,¿Œ∆—,20210419,10800,11000,10050,10300,270590,015,10000000
88,A023810,¿Œ∆—,20210416,9540,11200,9400,10800,945647,015,10000000
89,A023810,¿Œ∆—,20210415,8840,9430,8660,9330,301530,015,10000000
90,A023810,¿Œ∆—,20210414,8060,9270,8060,8970,944167,015,10000000
91,A023810,¿Œ∆—,20210413,8150,8190,7550,7990,147645,015,10000000
92,A023810,¿Œ∆—,20210412,8650,8660,8090,8190,110134,015,10000000
93,A023810,¿Œ∆—,20210409,8650,8810,8600,8730,44336,015,10000000
94,A023810,¿Œ∆—,20210408,8230,8840,8060,8800,206055,015,10000000
95,A023810,¿Œ∆—,20210407,8100,8390,7960,8230,86836,015,10000000
96,A023810,¿Œ∆—,20210406,8100,8300,7790,8210,131209,015,10000000
97,A023810,¿Œ∆—,20210405,7210,8460,7210,8090,466493,015,10000000
98,A023810,¿Œ∆—,20210402,7000,7220,7000,7210,47654,015,10000000
99,A023810,¿Œ∆—,20210401,6910,7020,6900,7000,22807,015,10000000
