,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A317400,자이에스앤디,20210823,9200,9300,9090,9230,77382,026,38782000
1,A317400,자이에스앤디,20210820,9600,9710,9070,9110,386141,026,38782000
2,A317400,자이에스앤디,20210819,9960,10050,9500,9590,343739,026,38782000
3,A317400,자이에스앤디,20210818,9850,10150,9830,10050,162243,026,38782000
4,A317400,자이에스앤디,20210817,10150,10300,9930,9950,227099,026,38782000
5,A317400,자이에스앤디,20210813,10350,10400,10050,10200,203571,026,38782000
6,A317400,자이에스앤디,20210812,10400,10450,10350,10350,98108,026,38782000
7,A317400,자이에스앤디,20210811,10450,10500,10400,10400,81418,026,38782000
8,A317400,자이에스앤디,20210810,10450,10600,10400,10450,136544,026,38782000
9,A317400,자이에스앤디,20210809,10650,10650,10500,10500,173340,026,38782000
10,A317400,자이에스앤디,20210806,10650,10700,10600,10650,71174,026,38782000
11,A317400,자이에스앤디,20210805,10650,10700,10550,10650,84364,026,38782000
12,A317400,자이에스앤디,20210804,10700,10700,10550,10600,160002,026,38782000
13,A317400,자이에스앤디,20210803,10650,10900,10600,10650,179281,026,38782000
14,A317400,자이에스앤디,20210802,10700,10750,10550,10650,196795,026,38782000
15,A317400,자이에스앤디,20210730,10950,10950,10600,10700,368652,026,38782000
16,A317400,자이에스앤디,20210729,11200,11200,10850,10950,557466,026,38782000
17,A317400,자이에스앤디,20210728,10500,11250,10400,11250,1295308,026,38782000
18,A317400,자이에스앤디,20210727,10550,10600,10350,10450,208384,026,38782000
19,A317400,자이에스앤디,20210726,10700,10750,10500,10500,143465,026,38782000
20,A317400,자이에스앤디,20210723,10650,10750,10600,10700,95493,026,38782000
21,A317400,자이에스앤디,20210722,10650,10750,10600,10650,159075,026,38782000
22,A317400,자이에스앤디,20210721,10750,10800,10550,10650,176675,026,38782000
23,A317400,자이에스앤디,20210720,10700,10800,10600,10700,120167,026,38782000
24,A317400,자이에스앤디,20210719,10900,10900,10750,10800,110889,026,38782000
25,A317400,자이에스앤디,20210716,11050,11050,10900,10950,107567,026,38782000
26,A317400,자이에스앤디,20210715,10750,11150,10750,11100,412530,026,38782000
27,A317400,자이에스앤디,20210714,10700,10750,10600,10750,143252,026,38782000
28,A317400,자이에스앤디,20210713,10700,10800,10700,10750,125621,026,38782000
29,A317400,자이에스앤디,20210712,10700,10750,10650,10700,121433,026,38782000
30,A317400,자이에스앤디,20210709,10650,10750,10400,10700,315101,026,38782000
31,A317400,자이에스앤디,20210708,11050,11100,10750,10750,213935,026,38782000
32,A317400,자이에스앤디,20210707,11150,11150,10900,11000,216786,026,38782000
33,A317400,자이에스앤디,20210706,11250,11300,11150,11150,318221,026,38782000
34,A317400,자이에스앤디,20210705,11050,11350,11000,11150,463574,026,38782000
35,A317400,자이에스앤디,20210702,10750,10950,10700,10950,362986,026,38782000
36,A317400,자이에스앤디,20210701,10750,10800,10650,10750,159746,026,38782000
37,A317400,자이에스앤디,20210630,10850,10850,10650,10750,315360,026,38782000
38,A317400,자이에스앤디,20210629,10900,10900,10700,10750,175430,026,38782000
39,A317400,자이에스앤디,20210628,10950,10950,10700,10800,160785,026,38782000
40,A317400,자이에스앤디,20210625,10900,10900,10750,10750,211148,026,38782000
41,A317400,자이에스앤디,20210624,10650,10800,10650,10800,124610,026,38782000
42,A317400,자이에스앤디,20210623,10900,10900,10700,10750,146607,026,38782000
43,A317400,자이에스앤디,20210622,10750,10850,10700,10850,135335,026,38782000
44,A317400,자이에스앤디,20210621,10800,10900,10700,10700,161300,026,38782000
45,A317400,자이에스앤디,20210618,11250,11250,10800,10900,382279,026,38782000
46,A317400,자이에스앤디,20210617,11000,11250,10850,11150,376960,026,38782000
47,A317400,자이에스앤디,20210616,10950,11100,10900,11000,527878,026,38782000
48,A317400,자이에스앤디,20210615,10800,10850,10700,10800,173837,026,38782000
49,A317400,자이에스앤디,20210614,10700,10750,10550,10700,171305,026,38782000
50,A317400,자이에스앤디,20210611,10550,10650,10450,10650,173738,026,38782000
51,A317400,자이에스앤디,20210610,10500,10600,10450,10500,135847,026,38782000
52,A317400,자이에스앤디,20210609,10700,10700,10500,10500,208141,026,38782000
53,A317400,자이에스앤디,20210608,10900,10900,10600,10600,289442,026,38782000
54,A317400,자이에스앤디,20210607,10800,10950,10650,10900,254059,026,38782000
55,A317400,자이에스앤디,20210604,10600,10850,10500,10850,506940,026,38782000
56,A317400,자이에스앤디,20210603,10600,10650,10450,10500,119012,026,38782000
57,A317400,자이에스앤디,20210602,10350,10600,10300,10550,219513,026,38782000
58,A317400,자이에스앤디,20210601,10450,10500,10300,10350,145818,026,38782000
59,A317400,자이에스앤디,20210531,10600,10600,10300,10450,120152,026,38782000
60,A317400,자이에스앤디,20210528,10600,10700,10450,10500,204225,026,38782000
61,A317400,자이에스앤디,20210527,10200,10600,10200,10450,356508,026,38782000
62,A317400,자이에스앤디,20210526,10050,10250,10050,10200,131377,026,38782000
63,A317400,자이에스앤디,20210525,10100,10200,10000,10100,161681,026,38782000
64,A317400,자이에스앤디,20210524,10300,10350,10050,10150,140535,026,38782000
65,A317400,자이에스앤디,20210521,10550,10550,10250,10300,182504,026,38782000
66,A317400,자이에스앤디,20210520,10550,10600,10300,10500,168210,026,38782000
67,A317400,자이에스앤디,20210518,10550,10650,10400,10550,190644,026,38782000
68,A317400,자이에스앤디,20210517,10600,10600,10250,10400,228109,026,38782000
69,A317400,자이에스앤디,20210514,10700,10750,10450,10600,150882,026,38782000
70,A317400,자이에스앤디,20210513,10150,10850,10050,10600,548803,026,38782000
71,A317400,자이에스앤디,20210512,10800,10900,10350,10500,389860,026,26782000
72,A317400,자이에스앤디,20210511,11000,11100,10750,10900,912298,026,26782000
73,A317400,자이에스앤디,20210510,11650,11650,11250,11500,141973,026,26782000
74,A317400,자이에스앤디,20210507,11400,11600,11350,11500,133226,026,26782000
75,A317400,자이에스앤디,20210506,11300,11500,11200,11450,115691,026,26782000
76,A317400,자이에스앤디,20210504,11150,11400,11000,11300,125362,026,26782000
77,A317400,자이에스앤디,20210503,11400,11650,11000,11150,191261,026,26782000
78,A317400,자이에스앤디,20210430,11650,12000,11400,11500,853755,026,26782000
79,A317400,자이에스앤디,20210429,11300,11500,10950,11250,326877,026,26782000
80,A317400,자이에스앤디,20210428,11050,11250,10700,11000,364220,026,26782000
81,A317400,자이에스앤디,20210427,10700,11100,10700,11050,276791,026,26782000
