,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A140310,자일자동차판매,20210823,1450,1450,1450,1450,58,699,20686000
1,A140310,자일자동차판매,20210820,1485,1500,1420,1500,9528,699,20686000
2,A140310,자일자동차판매,20210819,1520,1540,1520,1540,211,699,20686000
3,A140310,자일자동차판매,20210818,1510,1550,1510,1550,12396,699,20686000
4,A140310,자일자동차판매,20210817,1500,1515,1500,1515,317,699,20686000
5,A140310,자일자동차판매,20210813,1520,1540,1515,1530,303,699,20686000
6,A140310,자일자동차판매,20210812,1495,1550,1495,1515,304,699,20686000
7,A140310,자일자동차판매,20210811,1490,1495,1490,1495,125,699,20686000
8,A140310,자일자동차판매,20210810,1485,1485,1485,1485,8,699,20686000
9,A140310,자일자동차판매,20210809,1565,1565,1490,1490,269,699,20686000
10,A140310,자일자동차판매,20210806,1560,1560,1505,1505,523,699,20686000
11,A140310,자일자동차판매,20210805,1505,1565,1505,1565,15685,699,20686000
12,A140310,자일자동차판매,20210804,1570,1570,1500,1505,1071,699,20686000
13,A140310,자일자동차판매,20210803,1950,1950,1465,1485,37590,699,20686000
14,A140310,자일자동차판매,20210802,2560,2560,1500,1535,27095,699,20686000
15,A140310,자일자동차판매,20210730,1970,1970,1970,1970,1,699,20686000
16,A140310,자일자동차판매,20210729,1600,1600,1515,1575,2312,699,20686000
17,A140310,자일자동차판매,20210728,1565,1565,1470,1565,1825,699,20686000
18,A140310,자일자동차판매,20210727,1600,1600,1485,1520,269,699,20686000
19,A140310,자일자동차판매,20210726,1520,1600,1460,1540,556,699,20686000
20,A140310,자일자동차판매,20210723,1600,1600,1515,1570,2180,699,20686000
21,A140310,자일자동차판매,20210722,1600,1600,1510,1595,224,699,20686000
22,A140310,자일자동차판매,20210721,1590,1590,1550,1575,741,699,20686000
23,A140310,자일자동차판매,20210720,1600,1600,1525,1590,151,699,20686000
24,A140310,자일자동차판매,20210719,1600,1600,1520,1580,1603,699,20686000
25,A140310,자일자동차판매,20210716,1510,1600,1480,1600,7836,699,20686000
26,A140310,자일자동차판매,20210715,1500,1550,1465,1550,5173,699,20686000
27,A140310,자일자동차판매,20210714,1600,1600,1500,1520,4225,699,20686000
28,A140310,자일자동차판매,20210713,1540,1550,1505,1540,1223,699,20686000
29,A140310,자일자동차판매,20210712,1600,1600,1450,1550,15896,699,20686000
30,A140310,자일자동차판매,20210709,1525,1545,1525,1545,5743,699,20686000
31,A140310,자일자동차판매,20210708,1530,1560,1530,1545,1971,699,20686000
32,A140310,자일자동차판매,20210707,1540,1560,1530,1560,667,699,20686000
33,A140310,자일자동차판매,20210706,1560,1560,1535,1560,637,699,20686000
34,A140310,자일자동차판매,20210705,1600,1600,1510,1525,1143,699,20686000
35,A140310,자일자동차판매,20210702,1535,1550,1455,1550,33,699,20686000
36,A140310,자일자동차판매,20210701,1540,1600,1520,1575,2635,699,20686000
37,A140310,자일자동차판매,20210630,1600,1600,1490,1540,1330,699,20686000
38,A140310,자일자동차판매,20210629,1150,1600,1150,1600,4671,699,20686000
39,A140310,자일자동차판매,20210628,1460,1550,1455,1550,730,699,20686000
40,A140310,자일자동차판매,20210625,1550,1550,1450,1490,333,699,20686000
41,A140310,자일자동차판매,20210624,1450,1580,1450,1490,8462,699,20686000
42,A140310,자일자동차판매,20210623,1500,1500,1450,1500,1055,699,20686000
43,A140310,자일자동차판매,20210622,1490,1500,1430,1500,456,699,20686000
44,A140310,자일자동차판매,20210621,1500,1500,1400,1500,1155,699,20686000
45,A140310,자일자동차판매,20210618,1480,1480,1310,1480,919,699,20686000
46,A140310,자일자동차판매,20210617,1500,1500,1440,1475,174,699,20686000
47,A140310,자일자동차판매,20210616,1430,1500,1430,1500,6460,699,20686000
48,A140310,자일자동차판매,20210615,1420,1600,1420,1550,7275,699,20686000
49,A140310,자일자동차판매,20210614,1450,1500,1390,1450,507,699,20686000
50,A140310,자일자동차판매,20210611,1400,1450,1400,1445,1766,699,20686000
51,A140310,자일자동차판매,20210610,1775,1775,1390,1450,1461,699,20686000
52,A140310,자일자동차판매,20210609,1450,1450,1335,1450,2248,699,20686000
53,A140310,자일자동차판매,20210608,1410,1445,1410,1430,235,699,20686000
54,A140310,자일자동차판매,20210607,1500,1500,1410,1450,173,699,20686000
55,A140310,자일자동차판매,20210604,1410,1500,1410,1415,502,699,20686000
56,A140310,자일자동차판매,20210603,1500,1500,1400,1450,1874,699,20686000
57,A140310,자일자동차판매,20210602,1755,1755,1395,1400,6019,699,20686000
58,A140310,자일자동차판매,20210601,1350,1400,1325,1400,657,699,20686000
59,A140310,자일자동차판매,20210531,1300,1350,1300,1325,2051,699,20686000
60,A140310,자일자동차판매,20210528,1325,1400,1305,1400,3140,699,20686000
61,A140310,자일자동차판매,20210527,1285,1350,1285,1350,809,699,20686000
62,A140310,자일자동차판매,20210526,1285,1350,1285,1320,757,699,20686000
63,A140310,자일자동차판매,20210525,1285,1350,1275,1350,6584,699,20686000
64,A140310,자일자동차판매,20210524,1500,1500,1255,1360,6412,699,20686000
65,A140310,자일자동차판매,20210521,1250,1500,1210,1500,1759,699,20686000
66,A140310,자일자동차판매,20210520,1255,1255,1180,1200,1060,699,20686000
67,A140310,자일자동차판매,20210518,1250,1250,1195,1195,4691,699,20686000
68,A140310,자일자동차판매,20210517,1270,1270,1230,1230,60,699,20686000
69,A140310,자일자동차판매,20210514,1270,1270,1230,1270,84,699,20686000
70,A140310,자일자동차판매,20210513,1285,1285,1200,1205,1049,699,20686000
71,A140310,자일자동차판매,20210512,1255,1255,1190,1245,628,699,20686000
72,A140310,자일자동차판매,20210511,1250,1250,1205,1250,367,699,20686000
73,A140310,자일자동차판매,20210510,1210,1255,1210,1255,15,699,20686000
74,A140310,자일자동차판매,20210507,1225,1230,1195,1230,2794,699,20686000
75,A140310,자일자동차판매,20210506,1205,1255,1205,1255,2521,699,20686000
76,A140310,자일자동차판매,20210504,1260,1260,1190,1205,898,699,20686000
77,A140310,자일자동차판매,20210503,1285,1290,1155,1270,909,699,20686000
78,A140310,자일자동차판매,20210430,1245,1300,1210,1300,772,699,20686000
79,A140310,자일자동차판매,20210429,1300,1300,1190,1245,1326,699,20686000
80,A140310,자일자동차판매,20210428,1250,1290,1220,1230,239,699,20686000
81,A140310,자일자동차판매,20210427,1205,1225,1205,1225,99,699,20686000
82,A140310,자일자동차판매,20210426,1280,1280,1200,1280,995,699,20686000
83,A140310,자일자동차판매,20210423,1245,1300,1200,1285,1810,699,20686000
84,A140310,자일자동차판매,20210422,1185,1250,1185,1250,593,699,20686000
85,A140310,자일자동차판매,20210421,1300,1300,1190,1200,498,699,20686000
86,A140310,자일자동차판매,20210420,1225,1540,1220,1250,122,699,20686000
87,A140310,자일자동차판매,20210419,1180,1225,1155,1225,728,699,20686000
88,A140310,자일자동차판매,20210416,1210,1245,1200,1240,3239,699,20686000
89,A140310,자일자동차판매,20210415,1195,1250,1195,1205,113,699,20686000
90,A140310,자일자동차판매,20210414,1195,1200,1195,1200,3583,699,20686000
91,A140310,자일자동차판매,20210413,1170,1215,1170,1195,1038,699,20686000
92,A140310,자일자동차판매,20210412,1180,1215,1100,1210,715,699,20686000
93,A140310,자일자동차판매,20210409,1295,1295,1195,1250,1029,699,20686000
94,A140310,자일자동차판매,20210408,1220,1220,1160,1210,4228,699,20686000
95,A140310,자일자동차판매,20210407,1250,1250,1110,1200,2901,699,20686000
96,A140310,자일자동차판매,20210406,1185,1195,1185,1195,845,699,20686000
97,A140310,자일자동차판매,20210405,1180,1210,1170,1210,1744,699,20686000
98,A140310,자일자동차판매,20210402,1250,1250,1175,1250,114,699,20686000
99,A140310,자일자동차판매,20210401,1150,1250,1150,1250,381,699,20686000
100,A140310,자일자동차판매,20210331,1185,1250,1185,1250,786,699,20686000
101,A140310,자일자동차판매,20210330,1200,1250,1170,1250,168,699,20686000
102,A140310,자일자동차판매,20210329,1185,1200,1165,1185,1238,699,20686000
103,A140310,자일자동차판매,20210326,1170,1250,1170,1250,15,699,20686000
104,A140310,자일자동차판매,20210325,1175,1200,1160,1200,330,699,20686000
105,A140310,자일자동차판매,20210324,1175,1175,1170,1170,100,699,20686000
106,A140310,자일자동차판매,20210323,1160,1200,1160,1170,52,699,20686000
107,A140310,자일자동차판매,20210322,1100,1200,1010,1185,986,699,20686000
108,A140310,자일자동차판매,20210319,1160,1200,1150,1195,2098,699,20686000
109,A140310,자일자동차판매,20210318,1450,1450,1150,1200,2198,699,20686000
110,A140310,자일자동차판매,20210317,1185,1195,1180,1195,4031,699,20686000
111,A140310,자일자동차판매,20210316,1170,1195,1100,1170,692,699,20686000
112,A140310,자일자동차판매,20210315,1140,1195,1000,1135,7275,699,20686000
113,A140310,자일자동차판매,20210312,1200,1200,1115,1115,4117,699,20686000
114,A140310,자일자동차판매,20210311,1180,1200,1120,1120,1302,699,20686000
115,A140310,자일자동차판매,20210310,1310,1310,1180,1180,735,699,20686000
116,A140310,자일자동차판매,20210309,1440,1440,1180,1190,509,699,20686000
117,A140310,자일자동차판매,20210308,1185,1200,1170,1200,154,699,20686000
118,A140310,자일자동차판매,20210305,1185,1185,1185,1185,4,699,20686000
119,A140310,자일자동차판매,20210304,1455,1455,1455,1455,1,699,20686000
120,A140310,자일자동차판매,20210303,1195,1200,1170,1200,1087,699,20686000
121,A140310,자일자동차판매,20210302,1190,1200,1180,1195,368,699,20686000
122,A140310,자일자동차판매,20210226,1180,1295,1180,1295,128,699,20686000
123,A140310,자일자동차판매,20210225,1105,1290,1105,1180,230,699,20686000
124,A140310,자일자동차판매,20210224,1180,1180,1170,1180,4387,699,20686000
125,A140310,자일자동차판매,20210223,1195,1450,1170,1180,1489,699,20686000
126,A140310,자일자동차판매,20210222,1175,1200,1170,1195,718,699,20686000
127,A140310,자일자동차판매,20210219,1170,1195,1170,1175,606,699,20686000
128,A140310,자일자동차판매,20210218,1150,1195,1150,1170,6623,699,20686000
129,A140310,자일자동차판매,20210217,1160,1175,1160,1165,180,699,20686000
130,A140310,자일자동차판매,20210216,1165,1185,1160,1160,8531,699,20686000
131,A140310,자일자동차판매,20210215,1155,1170,1155,1160,215,699,20686000
132,A140310,자일자동차판매,20210210,1300,1390,1160,1160,1915,699,20686000
133,A140310,자일자동차판매,20210209,1200,1200,1180,1200,114,699,20686000
134,A140310,자일자동차판매,20210208,1190,1190,1150,1190,1299,699,20686000
135,A140310,자일자동차판매,20210205,1170,1200,1170,1190,2303,699,20686000
136,A140310,자일자동차판매,20210204,1170,1200,1170,1200,228,699,20686000
137,A140310,자일자동차판매,20210203,1185,1200,1180,1200,763,699,20686000
138,A140310,자일자동차판매,20210202,1190,1200,1180,1200,704,699,20686000
139,A140310,자일자동차판매,20210201,1200,1200,1185,1185,3302,699,20686000
140,A140310,자일자동차판매,20210129,1170,1200,1170,1200,12237,699,20686000
141,A140310,자일자동차판매,20210128,1200,1200,1180,1200,1403,699,20686000
142,A140310,자일자동차판매,20210127,1200,1200,1180,1195,499,699,20686000
143,A140310,자일자동차판매,20210126,1190,1200,1180,1200,726,699,20686000
144,A140310,자일자동차판매,20210125,1200,1200,1160,1175,2735,699,20686000
145,A140310,자일자동차판매,20210122,1165,1200,1100,1200,4037,699,20686000
146,A140310,자일자동차판매,20210121,1175,1200,1150,1200,6,699,20686000
147,A140310,자일자동차판매,20210120,1200,1200,1170,1200,447,699,20686000
