,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A040420,정상제이엘에스,20210823,7150,7150,7060,7100,20652,212,15677000
1,A040420,정상제이엘에스,20210820,7210,7210,7070,7070,63556,212,15677000
2,A040420,정상제이엘에스,20210819,7240,7260,7150,7150,97262,212,15677000
3,A040420,정상제이엘에스,20210818,7220,7250,7200,7240,28873,212,15677000
4,A040420,정상제이엘에스,20210817,7180,7250,7180,7220,63387,212,15677000
5,A040420,정상제이엘에스,20210813,7300,7300,7170,7230,58414,212,15677000
6,A040420,정상제이엘에스,20210812,7250,7270,7200,7220,23718,212,15677000
7,A040420,정상제이엘에스,20210811,7160,7280,7140,7250,81189,212,15677000
8,A040420,정상제이엘에스,20210810,7190,7220,7160,7180,14235,212,15677000
9,A040420,정상제이엘에스,20210809,7190,7210,7180,7190,27877,212,15677000
10,A040420,정상제이엘에스,20210806,7200,7220,7180,7210,12581,212,15677000
11,A040420,정상제이엘에스,20210805,7180,7220,7170,7200,22899,212,15677000
12,A040420,정상제이엘에스,20210804,7140,7190,7100,7180,19959,212,15677000
13,A040420,정상제이엘에스,20210803,7140,7220,7100,7140,26679,212,15677000
14,A040420,정상제이엘에스,20210802,7110,7150,7100,7140,29906,212,15677000
15,A040420,정상제이엘에스,20210730,7160,7190,7110,7150,59010,212,15677000
16,A040420,정상제이엘에스,20210729,7160,7180,7150,7160,26215,212,15677000
17,A040420,정상제이엘에스,20210728,7180,7220,7150,7160,31494,212,15677000
18,A040420,정상제이엘에스,20210727,7190,7220,7180,7220,23861,212,15677000
19,A040420,정상제이엘에스,20210726,7210,7250,7150,7190,55373,212,15677000
20,A040420,정상제이엘에스,20210723,7250,7270,7210,7210,19647,212,15677000
21,A040420,정상제이엘에스,20210722,7180,7240,7180,7210,21240,212,15677000
22,A040420,정상제이엘에스,20210721,7210,7240,7180,7180,20357,212,15677000
23,A040420,정상제이엘에스,20210720,7180,7200,7150,7200,24791,212,15677000
24,A040420,정상제이엘에스,20210719,7220,7250,7180,7220,27046,212,15677000
25,A040420,정상제이엘에스,20210716,7230,7250,7210,7240,19432,212,15677000
26,A040420,정상제이엘에스,20210715,7230,7280,7230,7230,24920,212,15677000
27,A040420,정상제이엘에스,20210714,7210,7260,7190,7240,27293,212,15677000
28,A040420,정상제이엘에스,20210713,7240,7280,7200,7210,37985,212,15677000
29,A040420,정상제이엘에스,20210712,7150,7260,7150,7220,39363,212,15677000
30,A040420,정상제이엘에스,20210709,7240,7250,7110,7190,108903,212,15677000
31,A040420,정상제이엘에스,20210708,7380,7440,7290,7320,45541,212,15677000
