,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A004700,Á¶±¤ÇÇÇõ,20210823,51000,53000,51000,52300,1024,004,6649000
1,A004700,Á¶±¤ÇÇÇõ,20210820,52700,53500,51100,51100,7900,004,6649000
2,A004700,Á¶±¤ÇÇÇõ,20210819,54900,54900,52800,52900,3377,004,6649000
3,A004700,Á¶±¤ÇÇÇõ,20210818,53600,55300,53600,54700,3023,004,6649000
4,A004700,Á¶±¤ÇÇÇõ,20210817,54800,54900,53600,54100,5101,004,6649000
5,A004700,Á¶±¤ÇÇÇõ,20210813,56400,56400,54500,54800,6967,004,6649000
6,A004700,Á¶±¤ÇÇÇõ,20210812,56400,56400,55600,56000,1567,004,6649000
7,A004700,Á¶±¤ÇÇÇõ,20210811,55900,56400,55700,56100,2613,004,6649000
8,A004700,Á¶±¤ÇÇÇõ,20210810,55900,56400,55400,55900,3341,004,6649000
9,A004700,Á¶±¤ÇÇÇõ,20210809,56300,56600,55200,55900,2766,004,6649000
10,A004700,Á¶±¤ÇÇÇõ,20210806,56000,56400,55600,56000,2301,004,6649000
11,A004700,Á¶±¤ÇÇÇõ,20210805,55800,56100,55500,56000,1164,004,6649000
12,A004700,Á¶±¤ÇÇÇõ,20210804,55400,56300,55400,55800,1569,004,6649000
13,A004700,Á¶±¤ÇÇÇõ,20210803,56200,56200,55100,55500,2846,004,6649000
14,A004700,Á¶±¤ÇÇÇõ,20210802,55200,56400,55200,56200,2456,004,6649000
15,A004700,Á¶±¤ÇÇÇõ,20210730,55800,56600,55300,55300,2103,004,6649000
16,A004700,Á¶±¤ÇÇÇõ,20210729,55800,55900,55100,55500,1821,004,6649000
17,A004700,Á¶±¤ÇÇÇõ,20210728,55800,56000,55400,55500,1419,004,6649000
18,A004700,Á¶±¤ÇÇÇõ,20210727,55700,56500,55500,55800,1779,004,6649000
19,A004700,Á¶±¤ÇÇÇõ,20210726,56200,56800,55400,55600,1168,004,6649000
20,A004700,Á¶±¤ÇÇÇõ,20210723,56500,56500,55600,55700,1624,004,6649000
21,A004700,Á¶±¤ÇÇÇõ,20210722,55800,56400,55500,56400,1328,004,6649000
22,A004700,Á¶±¤ÇÇÇõ,20210721,56200,56600,55600,55800,2231,004,6649000
23,A004700,Á¶±¤ÇÇÇõ,20210720,56000,56900,55600,56100,1574,004,6649000
24,A004700,Á¶±¤ÇÇÇõ,20210719,57400,57600,56300,56900,1389,004,6649000
25,A004700,Á¶±¤ÇÇÇõ,20210716,56700,57200,56100,57200,2185,004,6649000
26,A004700,Á¶±¤ÇÇÇõ,20210715,56600,56600,56000,56600,846,004,6649000
27,A004700,Á¶±¤ÇÇÇõ,20210714,56700,56700,56000,56000,1280,004,6649000
28,A004700,Á¶±¤ÇÇÇõ,20210713,56400,56800,56000,56300,1130,004,6649000
29,A004700,Á¶±¤ÇÇÇõ,20210712,55500,56200,55300,55800,1247,004,6649000
30,A004700,Á¶±¤ÇÇÇõ,20210709,55700,55900,54300,55700,3661,004,6649000
31,A004700,Á¶±¤ÇÇÇõ,20210708,56600,57000,55600,55900,2774,004,6649000
32,A004700,Á¶±¤ÇÇÇõ,20210707,58000,58000,56700,57000,2257,004,6649000
33,A004700,Á¶±¤ÇÇÇõ,20210706,59700,59700,57900,57900,3634,004,6649000
34,A004700,Á¶±¤ÇÇÇõ,20210705,57600,59600,57200,59000,10400,004,6649000
35,A004700,Á¶±¤ÇÇÇõ,20210702,56700,57700,56200,57600,3676,004,6649000
36,A004700,Á¶±¤ÇÇÇõ,20210701,56200,56800,55500,56800,4066,004,6649000
37,A004700,Á¶±¤ÇÇÇõ,20210630,55400,56000,55400,55600,1466,004,6649000
38,A004700,Á¶±¤ÇÇÇõ,20210629,55500,56100,55200,55500,1978,004,6649000
39,A004700,Á¶±¤ÇÇÇõ,20210628,55300,55700,55100,55500,1606,004,6649000
40,A004700,Á¶±¤ÇÇÇõ,20210625,55700,55700,55200,55300,2774,004,6649000
41,A004700,Á¶±¤ÇÇÇõ,20210624,55700,56000,55300,55600,2870,004,6649000
42,A004700,Á¶±¤ÇÇÇõ,20210623,56100,56300,55300,55800,2365,004,6649000
43,A004700,Á¶±¤ÇÇÇõ,20210622,55600,56400,55600,56100,2570,004,6649000
44,A004700,Á¶±¤ÇÇÇõ,20210621,55200,56300,55200,55600,2989,004,6649000
45,A004700,Á¶±¤ÇÇÇõ,20210618,55600,56200,55500,56000,3753,004,6649000
46,A004700,Á¶±¤ÇÇÇõ,20210617,55800,55900,55200,55600,1695,004,6649000
47,A004700,Á¶±¤ÇÇÇõ,20210616,55300,55900,55200,55200,1846,004,6649000
48,A004700,Á¶±¤ÇÇÇõ,20210615,55500,56200,55300,55300,1327,004,6649000
49,A004700,Á¶±¤ÇÇÇõ,20210614,55700,56700,55200,55800,4125,004,6649000
50,A004700,Á¶±¤ÇÇÇõ,20210611,56300,56300,55100,55700,9704,004,6649000
51,A004700,Á¶±¤ÇÇÇõ,20210610,56700,57000,55900,56200,2081,004,6649000
52,A004700,Á¶±¤ÇÇÇõ,20210609,56900,57200,56500,56700,2276,004,6649000
53,A004700,Á¶±¤ÇÇÇõ,20210608,56500,57100,56200,56900,2498,004,6649000
54,A004700,Á¶±¤ÇÇÇõ,20210607,56800,57000,55600,56500,3490,004,6649000
55,A004700,Á¶±¤ÇÇÇõ,20210604,56900,57200,56400,56600,773,004,6649000
56,A004700,Á¶±¤ÇÇÇõ,20210603,56300,57300,56100,56900,4274,004,6649000
57,A004700,Á¶±¤ÇÇÇõ,20210602,56300,56700,56000,56200,1955,004,6649000
58,A004700,Á¶±¤ÇÇÇõ,20210601,57600,57800,56100,56300,4824,004,6649000
59,A004700,Á¶±¤ÇÇÇõ,20210531,56700,58300,56000,57200,8582,004,6649000
60,A004700,Á¶±¤ÇÇÇõ,20210528,56300,57900,56100,56200,6385,004,6649000
61,A004700,Á¶±¤ÇÇÇõ,20210527,56000,56100,55300,56000,2281,004,6649000
62,A004700,Á¶±¤ÇÇÇõ,20210526,56000,56100,55400,56000,3266,004,6649000
63,A004700,Á¶±¤ÇÇÇõ,20210525,56200,56300,54900,56000,2693,004,6649000
64,A004700,Á¶±¤ÇÇÇõ,20210524,55400,56300,55300,56000,1720,004,6649000
65,A004700,Á¶±¤ÇÇÇõ,20210521,55400,57200,55400,55600,5297,004,6649000
66,A004700,Á¶±¤ÇÇÇõ,20210520,54800,55300,54500,55300,4420,004,6649000
67,A004700,Á¶±¤ÇÇÇõ,20210518,53700,54800,53000,54800,4536,004,6649000
68,A004700,Á¶±¤ÇÇÇõ,20210517,54900,55900,53100,53400,11722,004,6649000
69,A004700,Á¶±¤ÇÇÇõ,20210514,55600,55800,54800,54900,3533,004,6649000
