,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,Ω√∞°,∞Ì∞°,¿˙∞°,¡æ∞°,∞≈∑°∑Æ,¡ı±«¿¸ªÍæ˜¡æƒ⁄µÂ,πﬂ«‡¡÷Ωƒºˆ
0,A239340,¡‹¿Œ≈Õ≥›,20210823,5600,5650,5500,5620,93777,353,26979000
1,A239340,¡‹¿Œ≈Õ≥›,20210820,5870,5910,5530,5570,606298,353,26979000
2,A239340,¡‹¿Œ≈Õ≥›,20210819,6120,6240,5840,5840,439859,353,26979000
3,A239340,¡‹¿Œ≈Õ≥›,20210818,6090,6270,6080,6220,289330,353,26979000
4,A239340,¡‹¿Œ≈Õ≥›,20210817,6550,6560,6140,6140,525759,353,26979000
5,A239340,¡‹¿Œ≈Õ≥›,20210813,6820,6820,6420,6580,527991,353,26979000
6,A239340,¡‹¿Œ≈Õ≥›,20210812,6840,7000,6730,6780,336998,353,26979000
7,A239340,¡‹¿Œ≈Õ≥›,20210811,6820,6960,6780,6780,556972,353,26979000
8,A239340,¡‹¿Œ≈Õ≥›,20210810,7040,7090,6880,6880,505353,353,26979000
9,A239340,¡‹¿Œ≈Õ≥›,20210809,7300,7320,7030,7030,1347957,353,26979000
10,A239340,¡‹¿Œ≈Õ≥›,20210806,7200,7480,7130,7350,1064187,353,26979000
11,A239340,¡‹¿Œ≈Õ≥›,20210805,7520,7890,7300,7330,9505401,353,26979000
12,A239340,¡‹¿Œ≈Õ≥›,20210804,6900,7280,6890,7060,1800161,353,26979000
13,A239340,¡‹¿Œ≈Õ≥›,20210803,6930,7040,6730,6760,514202,353,26979000
14,A239340,¡‹¿Œ≈Õ≥›,20210802,6990,7040,6860,6920,343950,353,26979000
15,A239340,¡‹¿Œ≈Õ≥›,20210730,7200,7510,7000,7000,2259993,353,26979000
16,A239340,¡‹¿Œ≈Õ≥›,20210729,7280,7290,7010,7060,811258,353,26979000
17,A239340,¡‹¿Œ≈Õ≥›,20210728,7200,8050,7180,7210,5565684,353,26979000
18,A239340,¡‹¿Œ≈Õ≥›,20210727,7400,7400,7130,7250,568201,353,26979000
19,A239340,¡‹¿Œ≈Õ≥›,20210726,7270,7460,7160,7230,670659,353,26979000
20,A239340,¡‹¿Œ≈Õ≥›,20210723,6840,7350,6840,7290,1375032,353,26979000
21,A239340,¡‹¿Œ≈Õ≥›,20210722,6780,6900,6660,6810,345209,353,26979000
22,A239340,¡‹¿Œ≈Õ≥›,20210721,6880,6990,6740,6760,325564,353,26979000
23,A239340,¡‹¿Œ≈Õ≥›,20210720,6770,7200,6720,6810,1354033,353,26979000
24,A239340,¡‹¿Œ≈Õ≥›,20210719,7060,7100,6770,6800,512353,353,26979000
25,A239340,¡‹¿Œ≈Õ≥›,20210716,7000,7110,6810,7050,503485,353,26979000
26,A239340,¡‹¿Œ≈Õ≥›,20210715,7200,7290,6950,7000,758151,353,26979000
27,A239340,¡‹¿Œ≈Õ≥›,20210714,7290,7390,7180,7220,346813,353,26979000
28,A239340,¡‹¿Œ≈Õ≥›,20210713,7440,7550,7260,7290,797119,353,26979000
29,A239340,¡‹¿Œ≈Õ≥›,20210712,7450,7740,7420,7490,1387081,353,26979000
30,A239340,¡‹¿Œ≈Õ≥›,20210709,7490,7680,7370,7370,964427,353,26979000
31,A239340,¡‹¿Œ≈Õ≥›,20210708,7660,7720,7430,7630,1327695,353,26979000
32,A239340,¡‹¿Œ≈Õ≥›,20210707,7390,7700,7320,7630,3818027,353,26979000
33,A239340,¡‹¿Œ≈Õ≥›,20210706,7400,7400,7250,7270,526904,353,26979000
34,A239340,¡‹¿Œ≈Õ≥›,20210705,7350,7430,7200,7430,762669,353,26979000
35,A239340,¡‹¿Œ≈Õ≥›,20210702,7300,7700,7170,7290,2197649,353,26979000
36,A239340,¡‹¿Œ≈Õ≥›,20210701,7460,7620,7150,7160,1568969,353,26979000
37,A239340,¡‹¿Œ≈Õ≥›,20210630,7440,7550,7260,7550,1356097,353,26979000
38,A239340,¡‹¿Œ≈Õ≥›,20210629,7930,8770,7360,7380,15865967,353,26979000
39,A239340,¡‹¿Œ≈Õ≥›,20210628,7720,8100,7710,7880,1936785,353,26979000
40,A239340,¡‹¿Œ≈Õ≥›,20210625,8220,8380,7820,7830,2782829,353,26979000
41,A239340,¡‹¿Œ≈Õ≥›,20210624,8200,8480,7920,8260,6053136,353,26979000
42,A239340,¡‹¿Œ≈Õ≥›,20210623,7130,8770,7120,8300,31450077,353,26979000
43,A239340,¡‹¿Œ≈Õ≥›,20210622,7230,7230,6870,6940,1741334,353,26979000
44,A239340,¡‹¿Œ≈Õ≥›,20210621,6730,7530,6700,7130,8894445,353,26979000
45,A239340,¡‹¿Œ≈Õ≥›,20210618,6310,7350,6240,6940,17046577,353,26979000
46,A239340,¡‹¿Œ≈Õ≥›,20210617,6190,6260,6110,6260,310798,353,26979000
47,A239340,¡‹¿Œ≈Õ≥›,20210616,6390,6450,6160,6210,653310,353,26979000
48,A239340,¡‹¿Œ≈Õ≥›,20210615,6620,6640,6310,6350,904067,353,26979000
49,A239340,¡‹¿Œ≈Õ≥›,20210614,6600,6660,6460,6620,607624,353,26979000
50,A239340,¡‹¿Œ≈Õ≥›,20210611,6550,7070,6480,6610,4172231,353,26979000
51,A239340,¡‹¿Œ≈Õ≥›,20210610,6560,6900,6450,6550,1072869,353,26979000
52,A239340,¡‹¿Œ≈Õ≥›,20210609,6230,6850,6230,6690,4043555,353,26979000
53,A239340,¡‹¿Œ≈Õ≥›,20210608,6130,6360,6130,6230,366992,353,26979000
54,A239340,¡‹¿Œ≈Õ≥›,20210607,6370,6370,6170,6180,302444,353,26979000
55,A239340,¡‹¿Œ≈Õ≥›,20210604,6350,6440,6270,6320,327224,353,26979000
56,A239340,¡‹¿Œ≈Õ≥›,20210603,6270,6490,6240,6350,744407,353,26979000
57,A239340,¡‹¿Œ≈Õ≥›,20210602,6410,6460,6250,6250,495042,353,26979000
58,A239340,¡‹¿Œ≈Õ≥›,20210601,6210,6390,6160,6370,430100,353,26979000
59,A239340,¡‹¿Œ≈Õ≥›,20210531,6170,6290,6140,6210,326454,353,26979000
60,A239340,¡‹¿Œ≈Õ≥›,20210528,6280,6410,6140,6160,521994,353,26979000
