,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A002780,진흥기업,20210823,2080,2190,2080,2185,590376,018,145471000
1,A002780,진흥기업,20210820,2130,2150,2060,2080,1534724,018,145471000
2,A002780,진흥기업,20210819,2230,2250,2130,2130,1535230,018,145471000
3,A002780,진흥기업,20210818,2180,2275,2160,2240,1766320,018,145471000
4,A002780,진흥기업,20210817,2325,2330,2230,2235,1320951,018,145471000
5,A002780,진흥기업,20210813,2330,2340,2240,2315,1983349,018,145471000
6,A002780,진흥기업,20210812,2310,2380,2310,2340,864395,018,145471000
7,A002780,진흥기업,20210811,2375,2445,2305,2310,1513643,018,145471000
8,A002780,진흥기업,20210810,2420,2420,2365,2370,1247564,018,145471000
9,A002780,진흥기업,20210809,2475,2475,2410,2415,1166883,018,145471000
10,A002780,진흥기업,20210806,2465,2490,2450,2475,1048764,018,145471000
11,A002780,진흥기업,20210805,2435,2500,2430,2470,1041437,018,145471000
12,A002780,진흥기업,20210804,2415,2455,2405,2445,776862,018,145471000
13,A002780,진흥기업,20210803,2400,2445,2400,2425,1112899,018,145471000
14,A002780,진흥기업,20210802,2435,2465,2410,2425,1083132,018,145471000
15,A002780,진흥기업,20210730,2470,2505,2420,2425,1701856,018,145471000
16,A002780,진흥기업,20210729,2540,2540,2480,2490,1220806,018,145471000
17,A002780,진흥기업,20210728,2570,2585,2495,2510,2588915,018,145471000
18,A002780,진흥기업,20210727,2505,2670,2490,2580,5909826,018,145471000
19,A002780,진흥기업,20210726,2515,2535,2480,2505,972988,018,145471000
20,A002780,진흥기업,20210723,2460,2525,2450,2505,1204728,018,145471000
21,A002780,진흥기업,20210722,2475,2485,2445,2455,746832,018,145471000
22,A002780,진흥기업,20210721,2475,2530,2470,2475,1135381,018,145471000
23,A002780,진흥기업,20210720,2425,2490,2410,2475,1087338,018,145471000
24,A002780,진흥기업,20210719,2540,2545,2465,2470,1564045,018,145471000
25,A002780,진흥기업,20210716,2545,2555,2515,2540,993704,018,145471000
26,A002780,진흥기업,20210715,2525,2580,2475,2545,2283049,018,145471000
27,A002780,진흥기업,20210714,2555,2585,2510,2515,1782244,018,145471000
28,A002780,진흥기업,20210713,2550,2565,2520,2560,1780599,018,145471000
29,A002780,진흥기업,20210712,2480,2560,2405,2550,2402674,018,145471000
30,A002780,진흥기업,20210709,2510,2510,2400,2465,2373986,018,145471000
31,A002780,진흥기업,20210708,2500,2555,2465,2510,1976796,018,145471000
32,A002780,진흥기업,20210707,2570,2580,2520,2530,2031023,018,145471000
33,A002780,진흥기업,20210706,2580,2615,2560,2585,1648873,018,145471000
34,A002780,진흥기업,20210705,2670,2685,2555,2585,4320587,018,145471000
35,A002780,진흥기업,20210702,2780,2780,2680,2715,3268581,018,145471000
36,A002780,진흥기업,20210701,2710,2820,2695,2780,4491247,018,145471000
37,A002780,진흥기업,20210630,2775,2780,2705,2710,1861406,018,145471000
38,A002780,진흥기업,20210629,2755,2815,2715,2765,3303392,018,145471000
39,A002780,진흥기업,20210628,2830,2845,2735,2755,2898611,018,145471000
40,A002780,진흥기업,20210625,2860,2860,2785,2815,3180904,018,145471000
41,A002780,진흥기업,20210624,2950,2950,2830,2870,3488594,018,145471000
42,A002780,진흥기업,20210623,3060,3065,2940,2950,3029318,018,145471000
43,A002780,진흥기업,20210622,2975,3135,2975,3060,6805038,018,145471000
44,A002780,진흥기업,20210621,3030,3085,2940,2970,3202285,018,145471000
45,A002780,진흥기업,20210618,3100,3135,3000,3020,4556456,018,145471000
46,A002780,진흥기업,20210617,3100,3180,3060,3110,5016596,018,145471000
47,A002780,진흥기업,20210616,3100,3340,3055,3075,25371890,018,145471000
48,A002780,진흥기업,20210615,3060,3100,3005,3045,6235761,018,145471000
49,A002780,진흥기업,20210614,2885,3145,2860,3075,20262739,018,145471000
50,A002780,진흥기업,20210611,3005,3005,2850,2855,5763963,018,145471000
51,A002780,진흥기업,20210610,3300,3420,2950,3020,24451850,018,145471000
52,A002780,진흥기업,20210609,2790,3350,2785,3145,78032593,018,145471000
53,A002780,진흥기업,20210608,2745,2890,2665,2815,8755197,018,145471000
54,A002780,진흥기업,20210607,2930,2935,2795,2795,7140765,018,145471000
55,A002780,진흥기업,20210604,2860,2970,2810,2935,16482447,018,145471000
56,A002780,진흥기업,20210603,2890,3125,2735,2920,88115916,018,145471000
57,A002780,진흥기업,20210602,2355,2465,2335,2445,4330614,018,145471000
58,A002780,진흥기업,20210601,2315,2345,2295,2345,1136543,018,145471000
59,A002780,진흥기업,20210531,2330,2330,2270,2320,966301,018,145471000
60,A002780,진흥기업,20210528,2335,2355,2300,2330,783069,018,145471000
61,A002780,진흥기업,20210527,2300,2335,2275,2330,1185588,018,145471000
62,A002780,진흥기업,20210526,2230,2300,2230,2285,922048,018,145471000
63,A002780,진흥기업,20210525,2235,2255,2220,2240,937684,018,145471000
64,A002780,진흥기업,20210524,2300,2300,2225,2225,988600,018,145471000
65,A002780,진흥기업,20210521,2320,2325,2280,2280,1240827,018,145471000
66,A002780,진흥기업,20210520,2350,2365,2310,2320,941970,018,145471000
67,A002780,진흥기업,20210518,2310,2345,2275,2330,1307466,018,145471000
68,A002780,진흥기업,20210517,2420,2430,2270,2300,2262851,018,145471000
69,A002780,진흥기업,20210514,2470,2520,2400,2405,3275089,018,145471000
70,A002780,진흥기업,20210513,2420,2545,2395,2400,2264541,018,145471000
71,A002780,진흥기업,20210512,2465,2500,2450,2455,1647195,018,145471000
72,A002780,진흥기업,20210511,2520,2540,2450,2465,1581709,018,145471000
73,A002780,진흥기업,20210510,2580,2585,2530,2535,2328048,018,145471000
74,A002780,진흥기업,20210507,2420,2565,2420,2515,3159084,018,145471000
75,A002780,진흥기업,20210506,2480,2515,2440,2480,1107817,018,145471000
76,A002780,진흥기업,20210504,2505,2515,2430,2470,929998,018,145471000
77,A002780,진흥기업,20210503,2500,2535,2485,2505,635848,018,145471000
78,A002780,진흥기업,20210430,2580,2590,2495,2505,1171397,018,145471000
79,A002780,진흥기업,20210429,2540,2615,2515,2570,1306120,018,145471000
80,A002780,진흥기업,20210428,2620,2640,2535,2540,1566456,018,145471000
81,A002780,진흥기업,20210427,2715,2720,2590,2610,2325833,018,145471000
82,A002780,진흥기업,20210426,2730,2745,2700,2715,1035018,018,145471000
83,A002780,진흥기업,20210423,2725,2745,2685,2720,1329245,018,145471000
84,A002780,진흥기업,20210422,2830,2835,2715,2730,2542059,018,145471000
85,A002780,진흥기업,20210421,2880,2885,2755,2810,1622464,018,145471000
86,A002780,진흥기업,20210420,2785,2915,2770,2890,3726246,018,145471000
87,A002780,진흥기업,20210419,2730,2770,2680,2765,1584863,018,145471000
88,A002780,진흥기업,20210416,2705,2820,2695,2715,5984007,018,145471000
89,A002780,진흥기업,20210415,2780,2785,2690,2700,2596989,018,145471000
90,A002780,진흥기업,20210414,2865,2870,2755,2780,3408302,018,145471000
91,A002780,진흥기업,20210413,2930,2950,2890,2890,1393247,018,145471000
92,A002780,진흥기업,20210412,2995,3015,2900,2925,1891343,018,145471000
93,A002780,진흥기업,20210409,3010,3035,2940,2995,2106804,018,145471000
94,A002780,진흥기업,20210408,3365,3370,2955,2995,6886824,018,145471000
95,A002780,진흥기업,20210407,3265,3325,3130,3260,4649991,018,145471000
96,A002780,진흥기업,20210406,3255,3260,3115,3220,3008832,018,145471000
97,A002780,진흥기업,20210405,3405,3450,3270,3270,4522483,018,145471000
98,A002780,진흥기업,20210402,3360,3405,3310,3395,4296655,018,145471000
99,A002780,진흥기업,20210401,3450,3465,3275,3350,3419682,018,145471000
100,A002780,진흥기업,20210331,3525,3600,3425,3455,2606612,018,145471000
101,A002780,진흥기업,20210330,3705,3710,3485,3510,2243940,018,145471000
102,A002780,진흥기업,20210329,3885,3925,3600,3660,2344867,018,145471000
103,A002780,진흥기업,20210326,4000,4090,3775,3850,3191208,018,145471000
104,A002780,진흥기업,20210325,4035,4255,3860,3965,8691750,018,145471000
