,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A009310,참엔지니어링,20210823,1380,1400,1370,1390,61494,012,55528000
1,A009310,참엔지니어링,20210820,1385,1415,1335,1375,433830,012,55528000
2,A009310,참엔지니어링,20210819,1465,1480,1380,1380,536085,012,55528000
3,A009310,참엔지니어링,20210818,1490,1510,1450,1475,365173,012,55528000
4,A009310,참엔지니어링,20210817,1525,1565,1485,1490,399639,012,55528000
5,A009310,참엔지니어링,20210813,1565,1575,1500,1530,378585,012,55528000
6,A009310,참엔지니어링,20210812,1550,1595,1550,1565,135901,012,55528000
7,A009310,참엔지니어링,20210811,1580,1595,1545,1550,341922,012,55528000
8,A009310,참엔지니어링,20210810,1600,1615,1580,1585,272521,012,55528000
9,A009310,참엔지니어링,20210809,1615,1620,1595,1615,223383,012,55528000
10,A009310,참엔지니어링,20210806,1655,1665,1615,1620,228355,012,55528000
11,A009310,참엔지니어링,20210805,1650,1655,1635,1650,171223,012,55528000
12,A009310,참엔지니어링,20210804,1635,1655,1610,1645,232365,012,55528000
13,A009310,참엔지니어링,20210803,1615,1635,1600,1630,331391,012,55528000
14,A009310,참엔지니어링,20210802,1595,1620,1585,1600,336688,012,55528000
15,A009310,참엔지니어링,20210730,1610,1620,1580,1610,288757,012,55528000
16,A009310,참엔지니어링,20210729,1615,1650,1600,1610,256021,012,55528000
17,A009310,참엔지니어링,20210728,1660,1665,1610,1615,284899,012,55528000
18,A009310,참엔지니어링,20210727,1650,1680,1640,1670,240314,012,55528000
19,A009310,참엔지니어링,20210726,1700,1700,1660,1660,399985,012,55528000
20,A009310,참엔지니어링,20210723,1720,1725,1695,1700,467248,012,55528000
21,A009310,참엔지니어링,20210722,1675,1730,1675,1705,635128,012,55528000
22,A009310,참엔지니어링,20210721,1725,1725,1655,1675,587163,012,55528000
23,A009310,참엔지니어링,20210720,1655,1700,1650,1685,492207,012,55528000
24,A009310,참엔지니어링,20210719,1725,1740,1690,1700,449066,012,55528000
25,A009310,참엔지니어링,20210716,1740,1745,1700,1725,523522,012,55528000
26,A009310,참엔지니어링,20210715,1665,1750,1645,1715,1105782,012,55528000
27,A009310,참엔지니어링,20210714,1710,1720,1650,1675,808308,012,55528000
28,A009310,참엔지니어링,20210713,1745,1750,1700,1710,370220,012,55528000
29,A009310,참엔지니어링,20210712,1725,1765,1710,1720,456596,012,55528000
30,A009310,참엔지니어링,20210709,1675,1740,1650,1740,594803,012,55528000
31,A009310,참엔지니어링,20210708,1730,1785,1695,1700,834066,012,55528000
32,A009310,참엔지니어링,20210707,1765,1785,1745,1760,702368,012,55528000
33,A009310,참엔지니어링,20210706,1745,1780,1725,1780,909606,012,55528000
34,A009310,참엔지니어링,20210705,1720,1755,1700,1755,1399332,012,55528000
35,A009310,참엔지니어링,20210702,1650,1940,1650,1735,17390408,012,55528000
36,A009310,참엔지니어링,20210701,1650,1660,1630,1640,278004,012,55528000
37,A009310,참엔지니어링,20210630,1620,1655,1615,1655,250151,012,55528000
38,A009310,참엔지니어링,20210629,1670,1670,1620,1620,681530,012,55528000
39,A009310,참엔지니어링,20210628,1650,1730,1630,1650,1216670,012,55528000
40,A009310,참엔지니어링,20210625,1645,1660,1620,1640,422853,012,55528000
41,A009310,참엔지니어링,20210624,1620,1670,1600,1645,1289072,012,55528000
42,A009310,참엔지니어링,20210623,1605,1645,1570,1620,1430551,012,55528000
43,A009310,참엔지니어링,20210622,1520,1810,1515,1605,6708207,012,55528000
44,A009310,참엔지니어링,20210621,1555,1555,1515,1520,244789,012,55528000
45,A009310,참엔지니어링,20210618,1550,1580,1535,1545,439751,012,55528000
46,A009310,참엔지니어링,20210617,1510,1555,1505,1545,417614,012,55528000
47,A009310,참엔지니어링,20210616,1530,1530,1505,1510,206440,012,55528000
48,A009310,참엔지니어링,20210615,1540,1545,1520,1530,141305,012,55528000
49,A009310,참엔지니어링,20210614,1555,1555,1530,1540,121385,012,55528000
50,A009310,참엔지니어링,20210611,1555,1560,1535,1540,108189,012,55528000
51,A009310,참엔지니어링,20210610,1530,1555,1525,1550,267683,012,55528000
52,A009310,참엔지니어링,20210609,1525,1550,1510,1540,299618,012,55528000
53,A009310,참엔지니어링,20210608,1510,1540,1505,1525,246243,012,55528000
54,A009310,참엔지니어링,20210607,1520,1530,1505,1510,143053,012,55528000
55,A009310,참엔지니어링,20210604,1510,1545,1485,1510,406201,012,55528000
