,辆格内靛,辆格疙,朝楼,矫啊,绊啊,历啊,辆啊,芭贰樊,刘鼻傈魂诀辆内靛,惯青林侥荐
0,A042000,墨其24,20210823,39950,40400,38850,39100,131712,353,18834000
1,A042000,墨其24,20210820,38350,40350,38200,40050,665227,353,18834000
2,A042000,墨其24,20210819,40350,41450,38500,38550,619382,353,18834000
3,A042000,墨其24,20210818,39400,41150,38650,41000,899139,353,18834000
4,A042000,墨其24,20210817,39000,40700,37900,39650,1057082,353,18834000
5,A042000,墨其24,20210813,39500,41150,38950,39500,1068057,353,18834000
6,A042000,墨其24,20210812,43700,44100,39850,40150,1981919,353,18834000
7,A042000,墨其24,20210811,43800,47150,41850,44600,3609285,353,18834000
8,A042000,墨其24,20210810,48550,58100,42500,42900,7388299,353,18834000
9,A042000,墨其24,20210809,51500,56600,47550,49700,8359417,353,18834000
10,A042000,墨其24,20210806,40050,44950,40000,44800,4489836,353,18834000
11,A042000,墨其24,20210805,38000,41600,37400,40450,3579733,353,18834000
12,A042000,墨其24,20210804,34000,39100,33900,37850,3543379,353,18834000
13,A042000,墨其24,20210803,33550,34450,33300,33650,411566,353,18834000
14,A042000,墨其24,20210802,31600,33700,31550,33550,419758,353,18834000
15,A042000,墨其24,20210730,32300,32550,31500,31700,136635,353,18834000
16,A042000,墨其24,20210729,32400,33100,32150,32300,191547,353,18834000
17,A042000,墨其24,20210728,31600,33750,31200,32500,421898,353,18834000
18,A042000,墨其24,20210727,31800,32800,31600,31600,231178,353,18834000
19,A042000,墨其24,20210726,30200,33500,30200,32300,1432678,353,18834000
20,A042000,墨其24,20210723,29350,30300,29250,30200,122478,353,18834000
21,A042000,墨其24,20210722,29000,29450,29000,29250,54339,353,18834000
22,A042000,墨其24,20210721,29750,29800,28950,29050,132501,353,18834000
23,A042000,墨其24,20210720,29250,29700,29200,29600,118695,353,18834000
24,A042000,墨其24,20210719,30200,30300,29800,29800,115589,353,18834000
25,A042000,墨其24,20210716,31150,31300,30400,30650,92170,353,18834000
26,A042000,墨其24,20210715,31300,31850,31050,31350,56146,353,18834000
27,A042000,墨其24,20210714,31750,31750,31100,31250,57183,353,18834000
28,A042000,墨其24,20210713,32050,32150,31450,31500,100748,353,18834000
29,A042000,墨其24,20210712,32550,32850,32000,32050,169814,353,18834000
30,A042000,墨其24,20210709,32200,32300,31300,32150,179751,353,18834000
31,A042000,墨其24,20210708,32300,32450,31350,32350,163214,353,18834000
32,A042000,墨其24,20210707,31750,32500,31650,32050,138089,353,18834000
33,A042000,墨其24,20210706,32600,32600,31750,32000,119538,353,18834000
34,A042000,墨其24,20210705,31050,32550,31050,32400,432580,353,18834000
35,A042000,墨其24,20210702,31000,31200,30550,30950,103876,353,18834000
36,A042000,墨其24,20210701,30100,30950,29900,30850,126449,353,18834000
37,A042000,墨其24,20210630,30000,30350,30000,30050,38109,353,18834000
38,A042000,墨其24,20210629,30200,30600,29900,30150,72944,353,18834000
39,A042000,墨其24,20210628,29700,30250,29550,30100,52054,353,18834000
40,A042000,墨其24,20210625,29250,29950,29250,29600,54780,353,18834000
41,A042000,墨其24,20210624,29900,29950,29150,29250,125394,353,18834000
42,A042000,墨其24,20210623,30200,30200,29800,29800,87982,353,18834000
43,A042000,墨其24,20210622,30200,30300,29900,30000,73305,353,18834000
44,A042000,墨其24,20210621,31100,31100,30000,30050,182750,353,18834000
45,A042000,墨其24,20210618,30900,31300,30600,31200,119004,353,18834000
46,A042000,墨其24,20210617,31200,31200,30550,30750,49761,353,18834000
47,A042000,墨其24,20210616,30600,31150,30300,30750,86664,353,18834000
48,A042000,墨其24,20210615,30400,30700,30350,30600,69086,353,18834000
49,A042000,墨其24,20210614,30300,31100,30300,30450,74596,353,18834000
50,A042000,墨其24,20210611,30900,30950,30450,30450,53478,353,18834000
51,A042000,墨其24,20210610,30250,30900,29950,30500,95177,353,18834000
