,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A115500,케이씨에스,20210823,6800,6910,6710,6890,32291,356,12000000
1,A115500,케이씨에스,20210820,6920,7180,6500,6820,146829,356,12000000
2,A115500,케이씨에스,20210819,7300,7310,6850,7000,95969,356,12000000
3,A115500,케이씨에스,20210818,6920,7230,6920,7180,55188,356,12000000
4,A115500,케이씨에스,20210817,7500,7500,7040,7060,104820,356,12000000
5,A115500,케이씨에스,20210813,7690,7690,6950,7500,123020,356,12000000
6,A115500,케이씨에스,20210812,7710,7840,7590,7620,46205,356,12000000
7,A115500,케이씨에스,20210811,7910,7930,7660,7670,64298,356,12000000
8,A115500,케이씨에스,20210810,7970,8050,7830,7910,55582,356,12000000
9,A115500,케이씨에스,20210809,8090,8090,7960,7970,49376,356,12000000
10,A115500,케이씨에스,20210806,8290,8370,8020,8100,74924,356,12000000
11,A115500,케이씨에스,20210805,8440,8440,8220,8290,51135,356,12000000
12,A115500,케이씨에스,20210804,7840,8400,7840,8270,177309,356,12000000
13,A115500,케이씨에스,20210803,8030,8080,7820,7850,104599,356,12000000
14,A115500,케이씨에스,20210802,8100,8150,8020,8060,57090,356,12000000
15,A115500,케이씨에스,20210730,8320,8390,8050,8050,92132,356,12000000
16,A115500,케이씨에스,20210729,8310,8490,8310,8370,77709,356,12000000
17,A115500,케이씨에스,20210728,8380,8480,8260,8370,80072,356,12000000
18,A115500,케이씨에스,20210727,8330,8540,8330,8380,107714,356,12000000
19,A115500,케이씨에스,20210726,8840,8840,8310,8330,290774,356,12000000
20,A115500,케이씨에스,20210723,8800,8950,8780,8830,99488,356,12000000
21,A115500,케이씨에스,20210722,9000,9100,8840,8850,155788,356,12000000
22,A115500,케이씨에스,20210721,9080,9110,8910,9010,190924,356,12000000
23,A115500,케이씨에스,20210720,9220,9270,8800,8960,428997,356,12000000
24,A115500,케이씨에스,20210719,9410,9660,9310,9370,1009844,356,12000000
25,A115500,케이씨에스,20210716,8780,9460,8770,9350,1196292,356,12000000
26,A115500,케이씨에스,20210715,9030,9260,8740,8740,404478,356,12000000
27,A115500,케이씨에스,20210714,8930,8940,8720,8770,178866,356,12000000
28,A115500,케이씨에스,20210713,8900,9110,8810,8890,432172,356,12000000
29,A115500,케이씨에스,20210712,9360,9430,8920,8990,315150,356,12000000
30,A115500,케이씨에스,20210709,9190,9460,9020,9440,325313,356,12000000
31,A115500,케이씨에스,20210708,9650,9670,9220,9310,526520,356,12000000
32,A115500,케이씨에스,20210707,9240,9520,9200,9520,452211,356,12000000
33,A115500,케이씨에스,20210706,8840,9400,8840,9270,695538,356,12000000
34,A115500,케이씨에스,20210705,8960,8960,8730,8890,78445,356,12000000
35,A115500,케이씨에스,20210702,9000,9030,8790,8850,110307,356,12000000
36,A115500,케이씨에스,20210701,9120,9120,8900,9000,103930,356,12000000
37,A115500,케이씨에스,20210630,8880,9080,8860,9040,137783,356,12000000
38,A115500,케이씨에스,20210629,8970,8980,8800,8870,121190,356,12000000
39,A115500,케이씨에스,20210628,8810,9000,8810,8870,84633,356,12000000
40,A115500,케이씨에스,20210625,8810,9100,8810,8870,147829,356,12000000
41,A115500,케이씨에스,20210624,8870,8980,8760,8880,122469,356,12000000
42,A115500,케이씨에스,20210623,8910,9100,8800,8870,159481,356,12000000
43,A115500,케이씨에스,20210622,8770,9010,8760,8950,180972,356,12000000
44,A115500,케이씨에스,20210621,8940,9000,8640,8740,210426,356,12000000
45,A115500,케이씨에스,20210618,9300,9390,9070,9100,355097,356,12000000
46,A115500,케이씨에스,20210617,8860,9470,8830,9410,889351,356,12000000
